#PeakID(python identify_motif.py ./ENCODE_processed_files/TAL1_idr.fa TAL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
345_100	chr16	88992395	88992795	+	1000	737.0	[4.611834]	[118]	[4.611834]	[118]	[88992606]	[88992606]
345_1000	chr19	12887447	12887847	+	1000	545.0	[5.088419, 4.611834]	[119, 136]	[4.611834, 4.611834]	[119, 136]	[12887663, 12887680]	[12887663, 12887680]
345_10002	chr9	124512819	124513219	+	1000	119.0	[11.270045]	[73]	[11.270045]	[73]	[124512991]	[124512991]
345_10003	chr1	19312534	19312934	+	1000	118.0	[4.611834, 11.270045, 4.611834]	[64, 67, 128]	[4.611834, 11.270045, 4.611834]	[64, 67, 128]	[19312696, 19312699, 19312760]	[19312696, 19312699, 19312760]
345_10007	chr1	115655292	115655692	+	1000	118.0	[9.465482]	[134]	[4.611834]	[134]	[115655521]	[115655521]
345_1001	chr2	53668501	53668901	+	1000	545.0	[4.611834]	[137]	[4.611834]	[137]	[53668733]	[53668733]
345_10011	chr10	14436253	14436653	+	1000	118.0	[4.611834, 4.611834]	[117, 146]	[4.611834, 4.611834]	[117, 146]	[14436466, 14436495]	[14436466, 14436495]
345_10018	chr12	72465927	72466327	+	1000	118.0	[11.270045]	[75]	[11.270045]	[75]	[72466097]	[72466097]
345_1002	chr2	85500103	85500503	+	1000	545.0	[4.611834, 4.611834]	[79, 97]	[4.611834, 4.611834]	[79, 97]	[85500279, 85500297]	[85500279, 85500297]
345_10025	chr17	21295284	21295684	+	1000	118.0	[4.611834, 4.611834, 4.611834]	[120, 126, 153]	[4.611834, 5.088419, 9.465482]	[120, 126, 153]	[21295495, 21295501, 21295528]	[21295495, 21295501, 21295528]
345_10028	chr17	77542000	77542400	+	1000	118.0	[11.270045]	[107]	[11.270045]	[107]	[77542200]	[77542200]
345_10034	chr2	64751358	64751758	+	1000	118.0	[4.611834, 4.611834]	[93, 96]	[4.611834, 4.611834]	[93, 96]	[64751547, 64751550]	[64751547, 64751550]
345_10035	chr2	68878328	68878728	+	1000	118.0	[4.611834, 11.270045]	[78, 89]	[4.611834, 11.270045]	[78, 89]	[68878502, 68878513]	[68878502, 68878513]
345_10046	chr20	45071316	45071716	+	1000	118.0	[9.465482]	[73]	[4.611834]	[73]	[45071489]	[45071489]
345_10049	chr3	126355878	126356278	+	1000	118.0	[4.611834, 4.611834, 4.611834]	[82, 106, 109]	[4.611834, 4.611834, 4.611834]	[82, 106, 109]	[126356051, 126356075, 126356078]	[126356051, 126356075, 126356078]
345_10068	chr7	51233370	51233770	+	1000	118.0	[4.611834, 4.611834]	[71, 107]	[4.611834, 4.611834]	[71, 107]	[51233534, 51233570]	[51233534, 51233570]
345_10073	chr8	16511532	16511932	+	1000	118.0	[11.270045]	[124]	[11.270045]	[124]	[16511754]	[16511754]
345_10077	chr9	111964082	111964482	+	1000	118.0	[11.270045, 4.611834]	[148, 187]	[11.270045, 4.611834]	[148, 187]	[111964291, 111964330]	[111964291, 111964330]
345_10079	chrX	110321063	110321463	+	1000	118.0	[4.611834]	[94]	[4.611834]	[94]	[110321252]	[110321252]
345_10085	chr1	44830967	44831367	+	1000	117.0	[4.611834]	[115]	[4.611834]	[115]	[44831179]	[44831179]
345_10088	chr1	178506637	178507037	+	1000	117.0	[4.611834]	[103]	[4.611834]	[103]	[178506829]	[178506829]
345_10091	chr1	222240526	222240926	+	1000	117.0	[4.611834, 11.270045, 4.611834]	[62, 78, 116]	[4.611834, 11.270045, 4.611834]	[62, 78, 116]	[222240686, 222240702, 222240740]	[222240686, 222240702, 222240740]
345_10092	chr10	35605284	35605684	+	1000	117.0	[4.611834]	[81]	[4.611834]	[81]	[35605459]	[35605459]
345_10094	chr10	111127445	111127845	+	1000	117.0	[4.611834, 8.356634]	[103, 152]	[9.465482, 4.611834]	[103, 152]	[111127636, 111127685]	[111127636, 111127685]
345_10098	chr11	60078739	60079139	+	1000	117.0	[11.270045]	[145]	[11.270045]	[145]	[60078983]	[60078983]
