#PeakID(python identify_motif.py ./ENCODE_processed_files/ZEB2_idr.fa ZEB2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
466_0	chrM	-10	390	+	1000	2013.5	[6.53501]	[74]	[]	[]	[164]	[]
466_10007	chr19	46850347	46850747	+	1000	54.0	[11.465191]	[162]	[]	[]	[46850511]	[]
466_10009	chr19	51338677	51339077	+	1000	54.0	[6.672127]	[123]	[6.975399, 11.465191]	[140, 157]	[51338885]	[51338902, 51338919]
466_10011	chr2	3379703	3380103	+	1000	54.0	[]	[]	[6.672127, 11.465191]	[67, 74]	[]	[3379867, 3379874]
466_10018	chr2	88754243	88754643	+	1000	54.0	[11.465191]	[75]	[]	[]	[88754410]	[]
466_10021	chr2	170930265	170930665	+	1000	54.0	[]	[]	[6.53501]	[173]	[]	[170930504]
466_10023	chr2	177262216	177262616	+	1000	54.0	[11.465191]	[228]	[]	[]	[177262456]	[]
466_10026	chr20	45891135	45891535	+	1000	54.0	[6.9489045, 6.9489045]	[59, 76]	[6.9489045, 6.9489045]	[59, 76]	[45891293, 45891310]	[45891293, 45891310]
466_1003	chr4	38621241	38621641	+	1000	140.5	[]	[]	[6.975399]	[108]	[]	[38621448]
466_10033	chr21	36155969	36156369	+	1000	54.0	[11.465191]	[155]	[11.465191]	[128]	[36156214]	[36156187]
466_10040	chr22	22742733	22743133	+	1000	54.0	[]	[]	[6.975399]	[97]	[]	[22742916]
466_1005	chr9	132978623	132979023	+	1000	140.5	[]	[]	[11.465191]	[124]	[]	[132978839]
466_10052	chr3	172306987	172307387	+	1000	54.0	[6.975399]	[102]	[]	[]	[172307168]	[]
466_10063	chr5	1067693	1068093	+	1000	54.0	[11.465191]	[164]	[]	[]	[1067925]	[]
466_10067	chr5	160008920	160009320	+	1000	54.0	[11.465191]	[134]	[]	[]	[160009126]	[]
466_10069	chr5	177086871	177087271	+	1000	54.0	[]	[]	[11.465191]	[66]	[]	[177087031]
466_10072	chr6	3406866	3407266	+	1000	54.0	[11.465191]	[66]	[]	[]	[3407017]	[]
466_10073	chr6	14797517	14797917	+	1000	54.0	[]	[]	[11.465191]	[178]	[]	[14797726]
466_10078	chr6	30722476	30722876	+	1000	54.0	[]	[]	[6.975399]	[68]	[]	[30722643]
466_10092	chr7	5592955	5593355	+	1000	54.0	[11.465191, 6.975399]	[139, 151]	[]	[]	[5593129, 5593141]	[]
466_10103	chr7	143380641	143381041	+	1000	54.0	[]	[]	[6.672127]	[201]	[]	[143380851]
466_10114	chr9	75028363	75028763	+	1000	54.0	[6.975399]	[158]	[6.53501]	[131]	[75028606]	[75028579]
466_10117	chr9	124771377	124771777	+	1000	54.0	[6.975399]	[83]	[]	[]	[124771554]	[]
466_10122	chr1	23167339	23167739	+	1000	53.5	[6.672127]	[124]	[]	[]	[23167562]	[]
466_10128	chr1	40531453	40531853	+	1000	53.5	[]	[]	[6.53501, 6.672127]	[64, 147]	[]	[40531616, 40531699]
466_1014	chr21	38787515	38787915	+	1000	140.0	[11.465191]	[130]	[]	[]	[38787735]	[]
466_10144	chr1	228838359	228838759	+	1000	53.5	[6.975399]	[104]	[]	[]	[228838549]	[]
466_10146	chr10	5466562	5466962	+	1000	53.5	[]	[]	[11.465191]	[216]	[]	[5466813]
466_10152	chr10	77926090	77926490	+	1000	53.5	[]	[]	[6.975399, 11.465191]	[80, 98]	[]	[77926257, 77926275]
466_10171	chr12	51238414	51238814	+	1000	53.5	[6.975399]	[140]	[]	[]	[51238625]	[]
466_1018	chr6	28616005	28616405	+	1000	140.0	[]	[]	[6.975399]	[152]	[]	[28616248]
466_10180	chr15	65791428	65791828	+	1000	53.5	[]	[]	[11.465191]	[114]	[]	[65791623]
466_10182	chr15	81324586	81324986	+	1000	53.5	[11.465191, 6.975399]	[104, 116]	[]	[]	[81324777, 81324789]	[]
466_10194	chr16	75148458	75148858	+	1000	53.5	[]	[]	[6.975399, 6.975399]	[128, 147]	[]	[75148641, 75148660]
466_10198	chr17	7836685	7837085	+	1000	53.5	[6.9489045]	[103]	[6.9489045]	[103]	[7836876]	[7836876]
466_1021	chr16	66617767	66618167	+	1000	139.5	[]	[]	[11.465191]	[140]	[]	[66617983]
466_10219	chr19	10653837	10654237	+	1000	53.5	[6.9489045]	[97]	[6.9489045]	[97]	[10653995]	[10653995]
466_10235	chr2	170815674	170816074	+	1000	53.5	[]	[]	[11.465191]	[60]	[]	[170815829]
466_10237	chr2	175168467	175168867	+	1000	53.5	[]	[]	[6.672127]	[155]	[]	[175168658]
466_10246	chr22	20937299	20937699	+	1000	53.5	[]	[]	[6.975399]	[179]	[]	[20937526]
466_10259	chr3	136862106	136862506	+	1000	53.5	[]	[]	[11.465191]	[116]	[]	[136862317]
466_10267	chr3	197394597	197394997	+	1000	53.5	[6.672127]	[119]	[]	[]	[197394797]	[]
466_10272	chr4	99946928	99947328	+	1000	53.5	[]	[]	[11.465191]	[87]	[]	[99947115]
466_1028	chr16	14974782	14975182	+	1000	139.0	[11.465191]	[66]	[6.975399]	[101]	[14974936]	[14974971]
466_10300	chr6	78867688	78868088	+	1000	53.5	[]	[]	[11.465191]	[102]	[]	[78867889]
466_10307	chr6	160991221	160991621	+	1000	53.5	[]	[]	[6.672127]	[101]	[]	[160991409]
466_10308	chr7	5598749	5599149	+	1000	53.5	[]	[]	[6.672127]	[117]	[]	[5598958]
466_10318	chr7	127629204	127629604	+	1000	53.5	[6.975399, 11.465191]	[81, 94]	[]	[]	[127629380, 127629393]	[]
466_1032	chr4	37000235	37000635	+	1000	139.0	[]	[]	[6.975399]	[83]	[]	[37000405]
466_10320	chr7	140009673	140010073	+	1000	53.5	[11.465191, 11.465191, 11.465191, 11.465191, 11.465191]	[69, 102, 132, 151, 162]	[]	[]	[140009828, 140009861, 140009891, 140009910, 140009921]	[]
466_10322	chr7	143345365	143345765	+	1000	53.5	[11.465191]	[120]	[]	[]	[143345580]	[]
466_10331	chr8	27325455	27325855	+	1000	53.5	[6.975399, 11.465191]	[77, 103]	[]	[]	[27325608, 27325634]	[]
466_10335	chr8	101137066	101137466	+	1000	53.5	[]	[]	[11.465191]	[114]	[]	[101137278]
466_10343	chr9	91907900	91908300	+	1000	53.5	[]	[]	[11.465191]	[128]	[]	[91908114]
466_10358	chr1	5992561	5992961	+	1000	53.0	[]	[]	[11.465191]	[160]	[]	[5992786]
466_10379	chr1	156767149	156767549	+	1000	53.0	[]	[]	[11.465191]	[143]	[]	[156767341]
466_10384	chr1	201020192	201020592	+	1000	53.0	[]	[]	[11.465191]	[144]	[]	[201020403]
