#PeakID(python identify_motif.py ./ENCODE_processed_files/PBX2_idr.fa PBX2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
919_10006	chr1	65062979	65063379	+	875	27.0	[13.767965]	[121]	[]	[]	[65063193]	[]
919_10017	chr1	113140900	113141300	+	907	27.0	[]	[]	[7.94979]	[190]	[]	[113141145]
919_10019	chr1	114453507	114453907	+	889	27.0	[10.668542]	[104]	[7.392598]	[93]	[114453671]	[114453660]
919_10020	chr1	117758829	117759229	+	616	27.0	[]	[]	[8.270616]	[85]	[]	[117758984]
919_10024	chr1	146934300	146934700	+	858	27.0	[9.905027]	[132]	[]	[]	[146934520]	[]
919_10030	chr1	180117196	180117596	+	921	27.0	[8.978065]	[134]	[]	[]	[180117348]	[]
919_10034	chr1	197790146	197790546	+	858	27.0	[]	[]	[13.547267]	[115]	[]	[197790348]
919_10035	chr1	201571092	201571492	+	574	27.0	[10.25316, 8.290325]	[118, 170]	[]	[]	[201571276, 201571328]	[]
919_10038	chr1	204711230	204711630	+	884	27.0	[]	[]	[10.914621]	[140]	[]	[204711385]
919_10039	chr1	205657513	205657913	+	592	27.0	[9.155567]	[92]	[]	[]	[205657699]	[]
919_10041	chr1	206507222	206507622	+	779	27.0	[]	[]	[7.94979]	[131]	[]	[206507449]
919_10044	chr1	223260663	223261063	+	794	27.0	[7.392598, 6.798939]	[134, 147]	[7.983867]	[143]	[223260895, 223260908]	[223260904]
919_1005	chr12	76402299	76402699	+	1000	105.0	[]	[]	[7.781394]	[91]	[]	[76402486]
919_10057	chr10	35391591	35391991	+	875	27.0	[]	[]	[7.483721, 8.833028]	[64, 87]	[]	[35391754, 35391777]
919_10059	chr10	44913219	44913619	+	690	27.0	[]	[]	[7.483721]	[137]	[]	[44913405]
919_10066	chr10	69861511	69861911	+	855	27.0	[9.905027]	[113]	[7.060389]	[100]	[69861711]	[69861698]
919_10068	chr10	71855552	71855952	+	926	27.0	[]	[]	[13.767965]	[122]	[]	[71855769]
919_10081	chr10	96664594	96664994	+	870	27.0	[15.3284025]	[134]	[12.034296]	[100]	[96664807]	[96664773]
919_10082	chr10	103980230	103980630	+	869	27.0	[]	[]	[11.295278]	[114]	[]	[103980430]
919_10087	chr11	17273937	17274337	+	850	27.0	[]	[]	[8.161369]	[98]	[]	[17274128]
