#PeakID	chr	start	end	strand	idrScore	count
322_0	chrM	15636	15875	+	1000	813.0
322_1	chrM	432	639	+	1000	812.0
322_2	chrM	3225	3427	+	1000	812.0
322_3	chrM	9860	10064	+	1000	810.0
322_4	chrM	15112	15325	+	1000	810.0
322_5	chrM	13702	13902	+	1000	807.0
322_6	chrM	11183	11391	+	1000	806.0
322_7	chr22	22559200	22559402	+	1000	800.0
322_8	chrX	10119529	10119738	+	1000	797.0
322_9	chr2	30711691	30711893	+	1000	792.0
322_10	chrM	10565	10765	+	1000	786.0
322_11	chr22	21938603	21938805	+	1000	785.0
322_12	chr9	130866470	130866680	+	1000	783.0
322_13	chr22	22959267	22959468	+	1000	780.0
322_14	chr22	20564380	20564586	+	1000	777.0
322_15	chr6	33280055	33280259	+	1000	768.0
322_16	chr10	6088779	6088979	+	1000	754.0
322_17	chr22	23281881	23282084	+	1000	751.0
322_18	chr17	45135347	45135548	+	1000	746.0
322_19	chr1	114346588	114346797	+	1000	740.0
322_20	chrM	11787	12014	+	1000	740.0
322_21	chr19	33778071	33778286	+	1000	738.0
322_22	chr2	44479485	44479689	+	1000	738.0
322_23	chr22	21938100	21938301	+	1000	734.0
322_24	chr3	93470496	93470696	+	1000	734.0
322_25	chr7	151172624	151172827	+	1000	732.0
322_26	chr11	72434170	72434380	+	1000	729.0
322_27	chr10	75235991	75236193	+	1000	728.0
322_28	chr1	16624987	16625188	+	1000	724.0
322_29	chr7	76314334	76314551	+	1000	724.0
322_30	chr12	53676116	53676318	+	1000	722.0
322_31	chr16	57649112	57649312	+	1000	722.0
322_32	chr1	225475013	225475215	+	1000	719.0
322_33	chr7	143215160	143215362	+	1000	719.0
322_34	chr22	21713254	21713454	+	1000	716.0
322_35	chr3	46488767	46488972	+	1000	716.0
322_36	chr12	57239153	57239358	+	1000	715.0
322_37	chr3	46078919	46079122	+	1000	715.0
322_38	chr17	28750149	28750351	+	1000	713.0
322_39	chr5	43105768	43105969	+	1000	712.0
322_40	chr17	43483657	43483864	+	1000	711.0
322_41	chr6	53171946	53172152	+	1000	711.0
322_42	chr9	133022438	133022639	+	1000	710.0
322_43	chr7	135281559	135281765	+	1000	709.0
322_44	chr10	71896502	71896707	+	1000	708.0
322_45	chr3	195850952	195851153	+	1000	708.0
322_46	chr12	121794272	121794486	+	1000	707.0
322_47	chr1	32712273	32712474	+	1000	706.0
322_48	chr11	75248732	75248932	+	1000	706.0
322_49	chr22	23178521	23178734	+	1000	705.0
322_50	chr1	150979559	150979759	+	1000	703.0
322_51	chr19	55653692	55653893	+	1000	701.0
322_52	chr20	31612933	31613142	+	1000	701.0
