#PeakID(python scan_motif.py ./ENCODE_processed_files/TEAD4_idr.fa TEAD4 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
171_0	chrM	15905	16305	+	1000	805.0	[6.8758135]	[103]	[]	[]	[16098]	[]
171_100	chr9	129863057	129863457	+	1000	708.0	[]	[]	[9.043116]	[56]	[]	[129863209]
171_10000	chr11	448208	448608	+	1000	143.0	[]	[]	[14.352782]	[113]	[]	[448414]
171_10003	chr11	43393974	43394374	+	1000	143.0	[]	[]	[7.3263307, 7.9874573]	[90, 152]	[]	[43394159, 43394221]
171_10006	chr11	72079030	72079430	+	1000	143.0	[6.9442596]	[116]	[]	[]	[72079245]	[]
171_10010	chr12	92416281	92416681	+	1000	143.0	[11.970033]	[98]	[]	[]	[92416478]	[]
171_10013	chr14	73662421	73662821	+	1000	143.0	[9.605281]	[106]	[]	[]	[73662625]	[]
171_10017	chr16	24217456	24217856	+	1000	143.0	[6.938982]	[123]	[]	[]	[24217675]	[]
171_10018	chr16	29790560	29790960	+	1000	143.0	[]	[]	[10.0733185]	[118]	[]	[29790756]
171_10019	chr16	56764895	56765295	+	1000	143.0	[6.7503724]	[78]	[]	[]	[56765063]	[]
171_10021	chr17	28719805	28720205	+	1000	143.0	[]	[]	[6.729318]	[139]	[]	[28720025]
171_10023	chr17	45146772	45147172	+	1000	143.0	[]	[]	[14.352782]	[125]	[]	[45146992]
171_10026	chr17	48871685	48872085	+	1000	143.0	[]	[]	[9.133122]	[130]	[]	[48871907]
171_10030	chr17	81683552	81683952	+	1000	143.0	[9.364644]	[99]	[]	[]	[81683750]	[]
171_10034	chr19	2783333	2783733	+	1000	143.0	[]	[]	[6.621249]	[71]	[]	[2783493]
171_10036	chr19	38819245	38819645	+	1000	143.0	[]	[]	[9.293543]	[155]	[]	[38819493]
171_10037	chr19	49987108	49987508	+	1000	143.0	[6.7503724]	[112]	[]	[]	[49987305]	[]
171_10044	chr2	189210165	189210565	+	1000	143.0	[]	[]	[10.370207]	[74]	[]	[189210337]
171_10048	chr22	17359449	17359849	+	1000	143.0	[9.174619]	[151]	[]	[]	[17359697]	[]
171_10053	chr3	20352735	20353135	+	1000	143.0	[]	[]	[8.962336]	[115]	[]	[20352933]
171_10055	chr3	45269998	45270398	+	1000	143.0	[6.678365]	[120]	[7.5700417]	[107]	[45270216]	[45270203]
171_10063	chr4	87058692	87059092	+	1000	143.0	[]	[]	[8.962336, 9.605281]	[110, 132]	[]	[87058883, 87058905]
171_10065	chr4	143856120	143856520	+	1000	143.0	[8.9615]	[174]	[]	[]	[143856351]	[]
171_10066	chr4	154205542	154205942	+	1000	143.0	[]	[]	[10.603825]	[148]	[]	[154205789]
171_1007	chr2	177693950	177694350	+	1000	489.0	[7.3263307]	[147]	[]	[]	[177694197]	[]
171_10076	chr6	51166899	51167299	+	1000	143.0	[]	[]	[9.303733]	[137]	[]	[51167127]
171_10077	chr6	116511339	116511739	+	1000	143.0	[7.9874573]	[112]	[7.9874573]	[121]	[116511542]	[116511551]
171_10086	chr8	124637468	124637868	+	1000	143.0	[]	[]	[11.344251]	[107]	[]	[124637675]
171_10087	chr9	37337271	37337671	+	1000	143.0	[6.8938127]	[130]	[]	[]	[37337499]	[]
171_1009	chr5	176994808	176995208	+	1000	489.0	[7.9874573]	[91]	[]	[]	[176994995]	[]
171_10097	chr1	23980396	23980796	+	1000	142.0	[9.043116]	[108]	[]	[]	[23980598]	[]
171_10098	chr1	33036114	33036514	+	1000	142.0	[]	[]	[14.352782]	[121]	[]	[33036325]
171_1010	chr6	152232797	152233197	+	1000	489.0	[]	[]	[7.3083315]	[84]	[]	[152232962]
