#PeakID(python identify_motif.py ./ENCODE_processed_files/NFIC_idr.fa NFIC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
366_10000	chr22	39918105	39918505	+	1000	206.0	[7.275311, 7.275311]	[65, 78]	[]	[]	[39918258, 39918271]	[]
366_10002	chr3	184241786	184242186	+	1000	206.0	[]	[]	[7.275311]	[168]	[]	[184241980]
366_10003	chr3	197950069	197950469	+	1000	206.0	[7.275311]	[351]	[7.275311]	[382]	[197950287]	[197950318]
366_10004	chr4	179750428	179750828	+	1000	206.0	[7.275311]	[88]	[]	[]	[179750607]	[]
366_10013	chrX	136097518	136097918	+	1000	206.0	[7.275311]	[207]	[]	[]	[136097746]	[]
366_10014	chr1	6517517	6517917	+	1000	205.5	[]	[]	[7.275311, 7.275311]	[102, 106]	[]	[6517708, 6517712]
366_10018	chr11	135036929	135037329	+	1000	205.5	[7.275311, 7.275311]	[84, 105]	[7.275311]	[114]	[135037113, 135037134]	[135037143]
366_1002	chr3	108104295	108104695	+	1000	1028.5	[7.275311]	[94]	[7.275311]	[103]	[108104488]	[108104497]
366_10020	chr17	40647901	40648301	+	1000	205.5	[7.275311]	[201]	[]	[]	[40648139]	[]
366_10024	chr19	52189823	52190223	+	1000	205.5	[7.275311, 7.275311]	[217, 289]	[]	[]	[52189990, 52190062]	[]
366_10027	chr20	9141077	9141477	+	1000	205.5	[7.275311]	[102]	[7.275311, 7.275311]	[88, 111]	[9141268]	[9141254, 9141277]
366_10028	chr3	170520921	170521321	+	1000	205.5	[7.275311]	[57]	[]	[]	[170521075]	[]
366_10031	chr5	88929369	88929769	+	1000	205.5	[7.275311]	[179]	[7.275311]	[158]	[88929613]	[88929592]
366_10032	chr5	124728345	124728745	+	1000	205.5	[7.275311]	[146]	[]	[]	[124728561]	[]
366_10033	chr5	134632652	134633052	+	1000	205.5	[7.275311]	[133]	[]	[]	[134632809]	[]
366_10038	chr8	123761772	123762172	+	1000	205.5	[7.275311]	[108]	[7.275311]	[117]	[123761972]	[123761981]
366_10043	chr1	93345503	93345903	+	1000	205.0	[7.275311]	[140]	[]	[]	[93345725]	[]
366_10051	chr16	57185378	57185778	+	1000	205.0	[7.275311]	[155]	[]	[]	[57185536]	[]
366_10054	chr18	778432	778832	+	1000	205.0	[7.275311, 7.275311]	[88, 104]	[]	[]	[778593, 778609]	[]
366_10056	chr2	3450610	3451010	+	1000	205.0	[7.275311]	[101]	[7.275311]	[110]	[3450796]	[3450805]
366_10058	chr2	105418069	105418469	+	1000	205.0	[]	[]	[7.275311]	[62]	[]	[105418221]
366_1006	chr1	67367657	67368057	+	1000	1026.5	[7.275311, 7.275311]	[89, 145]	[7.275311]	[98]	[67367831, 67367887]	[67367840]
366_10064	chr5	123450639	123451039	+	1000	205.0	[7.275311, 7.275311, 7.275311]	[74, 98, 105]	[7.275311]	[107]	[123450805, 123450829, 123450836]	[123450838]
366_10065	chr5	179700456	179700856	+	1000	205.0	[7.275311]	[71]	[7.275311]	[141]	[179700617]	[179700687]
366_10069	chr7	86925220	86925620	+	1000	205.0	[]	[]	[7.275311]	[91]	[]	[86925408]
366_1007	chr22	19687722	19688122	+	1000	1026.0	[7.275311]	[105]	[7.275311]	[114]	[19687922]	[19687931]
366_10073	chr1	95072696	95073096	+	1000	204.5	[]	[]	[7.275311]	[143]	[]	[95072855]
366_10078	chr15	29067920	29068320	+	1000	204.5	[]	[]	[7.275311, 7.275311]	[109, 122]	[]	[29068116, 29068129]
366_10080	chr15	95929271	95929671	+	1000	204.5	[7.275311]	[92]	[7.275311]	[86]	[95929450]	[95929444]
366_10081	chr19	8050296	8050696	+	1000	204.5	[]	[]	[7.275311]	[171]	[]	[8050464]
366_10083	chr2	127416036	127416436	+	1000	204.5	[7.275311]	[314]	[7.275311]	[305]	[127416269]	[127416260]
366_1009	chr9	92877878	92878278	+	1000	1024.5	[7.275311, 7.275311]	[80, 107]	[7.275311, 7.275311, 7.275311]	[93, 116, 153]	[92878054, 92878081]	[92878067, 92878090, 92878127]
366_10092	chr5	125198534	125198934	+	1000	204.5	[7.275311]	[101]	[7.275311, 7.275311]	[82, 110]	[125198726]	[125198707, 125198735]
366_10099	chr1	114585179	114585579	+	1000	204.0	[7.275311]	[129]	[7.275311]	[138]	[114585395]	[114585404]
366_101	chr16	66899966	66900366	+	1000	2105.5	[7.275311, 7.275311]	[95, 102]	[7.275311, 7.275311]	[97, 104]	[66900156, 66900163]	[66900158, 66900165]
366_10104	chr12	67442410	67442810	+	1000	204.0	[7.275311, 7.275311, 7.275311]	[80, 122, 143]	[7.275311, 7.275311]	[131, 145]	[67442581, 67442623, 67442644]	[67442632, 67442646]
366_10105	chr14	68295378	68295778	+	1000	204.0	[7.275311]	[130]	[]	[]	[68295599]	[]
366_10106	chr16	8032395	8032795	+	1000	204.0	[7.275311]	[102]	[7.275311]	[111]	[8032592]	[8032601]
366_10110	chr2	48134711	48135111	+	1000	204.0	[7.275311]	[105]	[]	[]	[48134880]	[]
366_10111	chr2	65081249	65081649	+	1000	204.0	[7.275311]	[174]	[]	[]	[65081482]	[]
366_10112	chr2	100281582	100281982	+	1000	204.0	[7.275311]	[150]	[]	[]	[100281789]	[]
366_10113	chr21	39451724	39452124	+	1000	204.0	[]	[]	[7.275311]	[109]	[]	[39451885]
366_10116	chr4	99950141	99950541	+	1000	204.0	[7.275311]	[233]	[7.275311]	[238]	[99950355]	[99950360]
366_10119	chr7	100538849	100539249	+	1000	204.0	[]	[]	[7.275311]	[112]	[]	[100539058]
366_10122	chr1	145891831	145892231	+	1000	203.5	[7.275311, 7.275311]	[101, 129]	[7.275311]	[85]	[145892026, 145892054]	[145892010]
366_10124	chr1	228490511	228490911	+	1000	203.5	[7.275311]	[114]	[7.275311, 7.275311]	[123, 134]	[228490683]	[228490692, 228490703]
366_10125	chr1	235161094	235161494	+	1000	203.5	[7.275311]	[179]	[7.275311, 7.275311]	[140, 181]	[235161300]	[235161261, 235161302]
366_10126	chr10	49165956	49166356	+	1000	203.5	[]	[]	[7.275311]	[152]	[]	[49166191]
366_10127	chr10	63269029	63269429	+	1000	203.5	[7.275311]	[133]	[]	[]	[63269228]	[]
366_1013	chr2	39620054	39620454	+	1000	1022.5	[7.275311, 7.275311, 7.275311]	[86, 119, 152]	[7.275311]	[95]	[39620232, 39620265, 39620298]	[39620241]
