#PeakID(python identify_motif.py ./ENCODE_processed_files/ELF4_idr.fa ELF4 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
765_10	chr6	136250129	136250529	+	1000	663.5	[]	[]	[12.054617, 12.054617]	[62, 84]	[]	[136250290, 136250312]
765_100	chr16	28491919	28492319	+	1000	386.5	[]	[]	[18.177921]	[103]	[]	[28492121]
765_10004	chr5	108728818	108729218	+	872	35.5	[6.328198]	[77]	[5.4437294]	[102]	[108728977]	[108729002]
765_10007	chr5	149730826	149731226	+	1000	35.5	[]	[]	[8.144602]	[110]	[]	[149731011]
765_1001	chr9	128067243	128067643	+	1000	153.0	[]	[]	[7.5872273]	[72]	[]	[128067412]
765_10017	chr6	144123939	144124339	+	810	35.5	[]	[]	[5.133758]	[149]	[]	[144124100]
765_10018	chr6	146881570	146881970	+	1000	35.5	[]	[]	[8.2169, 5.3917227]	[129, 135]	[]	[146881764, 146881770]
765_10019	chr6	156780040	156780440	+	1000	35.5	[]	[]	[5.084207]	[129]	[]	[156780240]
765_1002	chr1	161021291	161021691	+	1000	152.5	[7.648226]	[111]	[]	[]	[161021491]	[]
765_10021	chr7	26091942	26092342	+	1000	35.5	[12.04467]	[125]	[]	[]	[26092158]	[]
765_10022	chr7	38215731	38216131	+	878	35.5	[11.276007]	[151]	[]	[]	[38215974]	[]
765_1003	chr11	57530596	57530996	+	1000	152.5	[6.8156576]	[116]	[16.013987, 9.112072]	[72, 114]	[57530804]	[57530760, 57530802]
765_10032	chr7	155298766	155299166	+	1000	35.5	[]	[]	[8.713946]	[182]	[]	[155298999]
765_10038	chr8	143741565	143741965	+	1000	35.5	[12.052997]	[183]	[]	[]	[143741803]	[]
765_1004	chr11	83193463	83193863	+	1000	152.5	[16.005661, 5.588378, 5.2083597]	[97, 123, 143]	[]	[]	[83193654, 83193680, 83193700]	[]
765_1005	chr11	95068530	95068930	+	1000	152.5	[]	[]	[8.153599]	[110]	[]	[95068728]
765_10051	chr1	6554377	6554777	+	1000	35.0	[8.180073]	[153]	[7.124477]	[151]	[6554621]	[6554619]
765_10052	chr1	8703442	8703842	+	963	35.0	[9.3151045]	[75]	[]	[]	[8703603]	[]
765_10069	chr1	170074337	170074737	+	1000	35.0	[]	[]	[10.5791]	[96]	[]	[170074524]
765_1007	chr2	223957203	223957603	+	1000	152.5	[]	[]	[4.9825897, 8.095051, 5.7843447]	[81, 88, 95]	[]	[223957383, 223957390, 223957397]
765_10070	chr1	171753664	171754064	+	1000	35.0	[6.9453773]	[110]	[]	[]	[171753832]	[]
765_10080	chr10	22316461	22316861	+	1000	35.0	[8.93221]	[104]	[]	[]	[22316652]	[]
765_10086	chr10	74176308	74176708	+	1000	35.0	[]	[]	[5.1966815]	[205]	[]	[74176530]
765_10087	chr10	97648958	97649358	+	928	35.0	[9.042153]	[75]	[]	[]	[97649126]	[]
765_1009	chr21	36060125	36060525	+	1000	152.5	[18.177921]	[101]	[]	[]	[36060324]	[]
765_101	chr19	41859608	41860008	+	1000	385.5	[]	[]	[9.922594]	[144]	[]	[41859832]
765_10111	chr13	42259530	42259930	+	997	35.0	[8.948737]	[169]	[]	[]	[42259767]	[]
765_10113	chr14	24147055	24147455	+	820	35.0	[10.490778]	[141]	[]	[]	[24147273]	[]
765_10114	chr14	55271018	55271418	+	773	35.0	[]	[]	[5.694821]	[142]	[]	[55271253]
765_10120	chr15	81092162	81092562	+	1000	35.0	[12.052997]	[99]	[]	[]	[81092318]	[]
765_10123	chr16	970685	971085	+	982	35.0	[]	[]	[5.5368857]	[148]	[]	[970923]
765_10128	chr16	69131750	69132150	+	866	35.0	[5.9196777]	[181]	[4.703615]	[212]	[69131968]	[69131999]
765_1013	chr1	52404378	52404778	+	1000	152.0	[]	[]	[5.061463, 6.3277173]	[122, 196]	[]	[52404538, 52404612]
765_10135	chr19	2056357	2056757	+	1000	35.0	[7.541783]	[77]	[]	[]	[2056509]	[]
765_10146	chr2	64144288	64144688	+	1000	35.0	[5.1209664]	[163]	[]	[]	[64144493]	[]
765_10151	chr2	170845333	170845733	+	980	35.0	[16.013987]	[149]	[10.099592]	[146]	[170845557]	[170845554]
765_10157	chr2	242088476	242088876	+	1000	35.0	[]	[]	[12.557741]	[116]	[]	[242088684]
765_1016	chr19	52786593	52786993	+	1000	152.0	[]	[]	[14.28685]	[116]	[]	[52786764]
765_1017	chr19	58554872	58555272	+	1000	152.0	[]	[]	[6.773119]	[164]	[]	[58555095]
765_10175	chr3	52686065	52686465	+	963	35.0	[]	[]	[9.714044]	[110]	[]	[52686240]
765_10176	chr3	115658732	115659132	+	1000	35.0	[]	[]	[11.190916]	[122]	[]	[115658934]
765_10179	chr3	129120564	129120964	+	1000	35.0	[5.419707]	[104]	[11.206088]	[154]	[129120762]	[129120812]
765_10185	chr5	34838909	34839309	+	1000	35.0	[16.005661]	[81]	[]	[]	[34839086]	[]
765_10188	chr5	41925636	41926036	+	927	35.0	[]	[]	[5.929869]	[97]	[]	[41925810]
765_10195	chr5	141326141	141326541	+	837	35.0	[6.869615]	[156]	[]	[]	[141326381]	[]
765_102	chr1	25232300	25232700	+	1000	382.5	[]	[]	[12.557741, 7.383167]	[100, 122]	[]	[25232488, 25232510]
765_1020	chr1	212035206	212035606	+	1000	151.5	[]	[]	[6.6380987]	[166]	[]	[212035379]
765_10206	chr6	29965965	29966365	+	1000	35.0	[7.368371]	[150]	[]	[]	[29966179]	[]
765_1021	chr1	225444853	225445253	+	1000	151.5	[10.760686]	[96]	[]	[]	[225445035]	[]
765_1022	chr15	57706492	57706892	+	1000	151.5	[6.8156576]	[86]	[9.941657]	[132]	[57706670]	[57706716]
765_10222	chr7	24980228	24980628	+	1000	35.0	[]	[]	[5.088521]	[125]	[]	[24980399]
765_1023	chr17	33964356	33964756	+	1000	151.5	[14.216931]	[120]	[]	[]	[33964573]	[]
765_1024	chr2	86562994	86563394	+	1000	151.5	[10.5791]	[94]	[]	[]	[86563181]	[]
765_10240	chr8	8797258	8797658	+	1000	35.0	[]	[]	[6.530279]	[116]	[]	[8797461]
765_10241	chr8	23527725	23528125	+	1000	35.0	[]	[]	[5.253919]	[93]	[]	[23527909]
765_10242	chr8	27366493	27366893	+	1000	35.0	[5.9616046]	[156]	[]	[]	[27366698]	[]
765_10256	chr9	135957328	135957728	+	600	35.0	[9.112275]	[113]	[]	[]	[135957486]	[]
765_1027	chr9	125200284	125200684	+	1000	151.5	[]	[]	[12.105591]	[139]	[]	[125200490]
765_10275	chr1	86460681	86461081	+	921	34.5	[12.04467]	[83]	[]	[]	[86460863]	[]
765_1028	chr10	62804299	62804699	+	1000	151.0	[7.383167, 6.6752214]	[92, 125]	[]	[]	[62804480, 62804513]	[]
765_10283	chr1	209649275	209649675	+	642	34.5	[]	[]	[8.093627]	[189]	[]	[209649520]
765_10288	chr1	246306699	246307099	+	1000	34.5	[]	[]	[4.9192886]	[112]	[]	[246306866]
765_103	chr16	11915937	11916337	+	1000	381.5	[]	[]	[7.15117]	[112]	[]	[11916115]
765_1030	chr15	74873007	74873407	+	1000	151.0	[6.9453773]	[149]	[]	[]	[74873197]	[]
765_10301	chr11	72411609	72412009	+	1000	34.5	[]	[]	[10.66419]	[162]	[]	[72411801]
765_10305	chr12	6493956	6494356	+	846	34.5	[]	[]	[6.873575]	[106]	[]	[6494120]
765_1031	chr15	82540257	82540657	+	1000	151.0	[8.153599]	[98]	[]	[]	[82540455]	[]
765_10314	chr12	123107015	123107415	+	635	34.5	[5.9616046, 5.6916966]	[72, 108]	[4.99143]	[123]	[123107185, 123107221]	[123107236]
765_10315	chr12	124906607	124907007	+	698	34.5	[5.5148993]	[168]	[]	[]	[124906857]	[]
765_1032	chr17	8383001	8383401	+	1000	151.0	[]	[]	[12.114589]	[122]	[]	[8383205]
765_10320	chr14	75126895	75127295	+	983	34.5	[9.783962]	[100]	[]	[]	[75127064]	[]
765_10326	chr16	3305558	3305958	+	965	34.5	[]	[]	[9.487768]	[166]	[]	[3305744]
765_10349	chr17	75845422	75845822	+	1000	34.5	[9.291121, 6.9308133]	[134, 176]	[8.326844, 6.416735]	[174, 187]	[75845612, 75845654]	[75845652, 75845665]
765_10350	chr17	80832999	80833399	+	1000	34.5	[]	[]	[5.2423315]	[112]	[]	[80833183]
765_10358	chr18	22933356	22933756	+	1000	34.5	[6.8926835]	[137]	[]	[]	[22933591]	[]
765_10366	chr19	18318139	18318539	+	933	34.5	[6.869615]	[163]	[8.596752, 8.161925]	[186, 199]	[18318348]	[18318371, 18318384]
765_10373	chr2	171574124	171574524	+	1000	34.5	[]	[]	[8.093627]	[123]	[]	[171574326]
765_10378	chr20	61525465	61525865	+	796	34.5	[]	[]	[5.4400463]	[132]	[]	[61525672]
765_1038	chr19	57746546	57746946	+	1000	150.5	[6.9521675]	[68]	[11.625742]	[158]	[57746706]	[57746796]
765_10390	chr22	31630339	31630739	+	1000	34.5	[5.484291]	[134]	[7.927331, 7.927331]	[81, 99]	[31630546]	[31630493, 31630511]
765_10394	chr22	41800174	41800574	+	554	34.5	[]	[]	[5.484291]	[223]	[]	[41800424]
765_10395	chr3	4825425	4825825	+	777	34.5	[5.0576653]	[152]	[]	[]	[4825631]	[]
765_10399	chr3	43389686	43390086	+	1000	34.5	[5.044214]	[127]	[]	[]	[43389897]	[]
765_104	chr11	64269874	64270274	+	1000	378.5	[8.233427]	[106]	[5.2311134]	[87]	[64270058]	[64270039]
765_10404	chr3	179268472	179268872	+	906	34.5	[]	[]	[10.760686]	[161]	[]	[179268707]
765_10405	chr3	180989586	180989986	+	1000	34.5	[]	[]	[9.153988]	[225]	[]	[180989834]
765_1041	chr1	212242200	212242600	+	1000	150.0	[]	[]	[12.105591]	[112]	[]	[212242391]
765_10416	chr5	132496877	132497277	+	862	34.5	[]	[]	[7.620028]	[199]	[]	[132497068]
765_1042	chr11	62839403	62839803	+	1000	150.0	[]	[]	[11.625742]	[100]	[]	[62839598]
765_10424	chr6	96917065	96917465	+	788	34.5	[]	[]	[8.93221]	[124]	[]	[96917274]
