#PeakID(python identify_motif.py ./ENCODE_processed_files/ELK1_idr.fa ELK1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
120_100	chr1	20661294	20661694	+	1000	167.0	[14.663861]	[122]	[]	[]	[20661516]	[]
120_1002	chr3	141311618	141312018	+	1000	62.0	[8.601443, 7.070727]	[124, 148]	[]	[]	[141311828, 141311852]	[]
120_1003	chr5	126600681	126601081	+	1000	62.0	[14.663861]	[135]	[9.833897]	[120]	[126600910]	[126600895]
120_1004	chr5	181243731	181244131	+	1000	62.0	[7.8849635, 12.7289]	[107, 113]	[]	[]	[181243922, 181243928]	[]
120_1005	chr6	26026277	26026677	+	1000	62.0	[5.645092]	[143]	[5.450635]	[140]	[26026444]	[26026441]
120_1006	chr7	78019705	78020105	+	1000	62.0	[]	[]	[14.663861]	[129]	[]	[78019922]
120_1007	chr8	22244896	22245296	+	1000	62.0	[]	[]	[10.118435, 10.118435]	[100, 147]	[]	[22245088, 22245135]
120_1008	chr8	144413393	144413793	+	1000	62.0	[12.6155815]	[106]	[]	[]	[144413594]	[]
120_101	chr21	33380595	33380995	+	1000	167.0	[8.898363]	[91]	[6.1561913]	[121]	[33380785]	[33380815]
120_1010	chrX	14029725	14030125	+	1000	62.0	[7.221968, 14.663861]	[71, 117]	[13.681358]	[82]	[14029890, 14029936]	[14029901]
120_1011	chrX	48958172	48958572	+	1000	62.0	[]	[]	[6.2644196, 16.446117, 7.785617]	[84, 117, 145]	[]	[48958352, 48958385, 48958413]
120_1012	chr1	11797799	11798199	+	1000	61.0	[]	[]	[7.682986]	[114]	[]	[11798002]
120_1013	chr1	31938203	31938603	+	1000	61.0	[7.8849635]	[64]	[]	[]	[31938364]	[]
120_1014	chr1	42658190	42658590	+	1000	61.0	[6.0425715]	[145]	[9.8508215]	[171]	[42658404]	[42658430]
120_1015	chr1	222643962	222644362	+	1000	61.0	[]	[]	[10.118435, 6.8745704]	[107, 131]	[]	[222644153, 222644177]
120_1017	chr13	45464606	45465006	+	1000	61.0	[12.7289]	[125]	[16.446117]	[64]	[45464826]	[45464765]
120_1018	chr16	23557154	23557554	+	1000	61.0	[]	[]	[12.6155815, 5.4397116]	[135, 148]	[]	[23557382, 23557395]
120_1019	chr16	31074142	31074542	+	1000	61.0	[14.663861, 11.900691]	[93, 151]	[]	[]	[31074312, 31074370]	[]
120_102	chr1	203290478	203290878	+	1000	165.0	[6.2567697]	[100]	[]	[]	[203290667]	[]
120_1021	chr17	37609199	37609599	+	1000	61.0	[]	[]	[12.6155815]	[143]	[]	[37609423]
120_1022	chr17	75046826	75047226	+	1000	61.0	[13.550472]	[149]	[6.771575]	[146]	[75047063]	[75047060]
120_1024	chr19	6532637	6533037	+	1000	61.0	[]	[]	[16.446117]	[101]	[]	[6532833]
120_1025	chr19	8513676	8514076	+	1000	61.0	[8.499255, 12.6155815]	[64, 128]	[]	[]	[8513828, 8513892]	[]
120_1026	chr19	48255718	48256118	+	1000	61.0	[]	[]	[16.446117]	[135]	[]	[48255953]
120_1027	chr2	98608309	98608709	+	1000	61.0	[13.681358]	[99]	[14.663861]	[119]	[98608497]	[98608517]
120_103	chr19	34251649	34252049	+	1000	165.0	[5.97259]	[68]	[7.5894604]	[118]	[34251810]	[34251860]
120_1030	chr22	41468867	41469267	+	1000	61.0	[]	[]	[7.5894604]	[108]	[]	[41469060]
120_1031	chr3	3126725	3127125	+	1000	61.0	[12.6155815]	[122]	[]	[]	[3126942]	[]
120_1032	chr3	13451696	13452096	+	1000	61.0	[12.6155815, 16.446117]	[108, 139]	[]	[]	[13451875, 13451906]	[]
120_1033	chr3	170343708	170344108	+	1000	61.0	[]	[]	[10.702384]	[108]	[]	[170343895]
120_1034	chr4	67721755	67722155	+	1000	61.0	[]	[]	[7.806739]	[153]	[]	[67721964]
120_1036	chr5	1633824	1634224	+	1000	61.0	[]	[]	[12.6155815]	[117]	[]	[1634010]
120_1037	chr5	43066817	43067217	+	1000	61.0	[8.181883]	[70]	[8.6928]	[77]	[43066976]	[43066983]
120_1038	chr6	30781841	30782241	+	1000	61.0	[]	[]	[7.353675, 14.663861]	[102, 173]	[]	[30782014, 30782085]
120_1039	chr6	49463161	49463561	+	1000	61.0	[]	[]	[5.418713, 12.6155815]	[95, 116]	[]	[49463349, 49463370]
120_104	chr1	40039804	40040204	+	1000	164.0	[10.702384]	[135]	[]	[]	[40040033]	[]
120_1040	chr6	133952935	133953335	+	1000	61.0	[10.946643]	[79]	[]	[]	[133953099]	[]
120_1042	chr8	33484954	33485354	+	1000	61.0	[9.536335, 7.785617, 16.446117]	[102, 116, 148]	[]	[]	[33485130, 33485144, 33485176]	[]
120_1043	chr9	129835055	129835455	+	1000	61.0	[]	[]	[11.899101]	[161]	[]	[129835276]
120_1044	chr1	11805827	11806227	+	1000	60.0	[13.681358]	[109]	[]	[]	[11806036]	[]
120_1045	chr1	40531361	40531761	+	1000	60.0	[7.0684943]	[92]	[8.524351]	[89]	[40531536]	[40531533]
120_1046	chr1	90763497	90763897	+	1000	60.0	[]	[]	[7.806739]	[133]	[]	[90763719]
120_1047	chr1	110963704	110964104	+	1000	60.0	[11.616154]	[101]	[]	[]	[110963896]	[]
120_1048	chr1	143263250	143263650	+	1000	60.0	[5.840594]	[97]	[]	[]	[143263447]	[]
120_1049	chr1	153958548	153958948	+	1000	60.0	[7.0684943]	[107]	[]	[]	[153958746]	[]
120_105	chr7	76047836	76048236	+	1000	163.0	[12.6155815, 16.446117]	[67, 111]	[7.199311]	[64]	[76047992, 76048036]	[76047989]
120_1050	chr10	45000715	45001115	+	1000	60.0	[]	[]	[14.663861]	[134]	[]	[45000923]
120_1051	chr11	236755	237155	+	1000	60.0	[14.663861]	[132]	[10.946643]	[149]	[236963]	[236980]
120_1052	chr11	64240698	64241098	+	1000	60.0	[14.663861, 7.585262, 14.663861]	[103, 124, 165]	[5.4522247]	[154]	[64240879, 64240900, 64240941]	[64240930]
120_1053	chr13	76991847	76992247	+	1000	60.0	[13.550472]	[160]	[]	[]	[76992075]	[]
120_1054	chr15	58770750	58771150	+	1000	60.0	[6.2644196]	[176]	[]	[]	[58770994]	[]
120_1055	chr16	14630067	14630467	+	1000	60.0	[7.0684943]	[93]	[13.550472]	[90]	[14630252]	[14630249]
120_1056	chr16	72093492	72093892	+	1000	60.0	[13.681358]	[81]	[]	[]	[72093659]	[]
120_1058	chr17	46922873	46923273	+	1000	60.0	[13.681358, 8.181883, 11.616154]	[136, 143, 150]	[]	[]	[46923107, 46923114, 46923121]	[]
120_1059	chr17	59707439	59707839	+	1000	60.0	[16.446117]	[108]	[9.66722]	[127]	[59707636]	[59707655]
120_106	chr6	151229258	151229658	+	1000	162.0	[7.806739]	[69]	[]	[]	[151229426]	[]
120_1061	chr19	2950475	2950875	+	1000	60.0	[]	[]	[8.932364, 9.96414, 5.8366838]	[105, 111, 117]	[]	[2950659, 2950665, 2950671]
120_1063	chr19	43935112	43935512	+	1000	60.0	[8.070155, 8.932364, 10.118435]	[63, 124, 150]	[]	[]	[43935270, 43935331, 43935357]	[]
120_1064	chr19	44002728	44003128	+	1000	60.0	[]	[]	[16.446117]	[128]	[]	[44002948]
120_1066	chr2	9843248	9843648	+	1000	60.0	[11.899101, 9.8508215]	[127, 149]	[8.181883]	[120]	[9843456, 9843478]	[9843449]
120_1067	chr2	25878444	25878844	+	1000	60.0	[6.64452]	[164]	[11.616154]	[118]	[25878665]	[25878619]
120_1068	chr2	32165567	32165967	+	1000	60.0	[7.1501074, 5.5428443]	[110, 117]	[]	[]	[32165760, 32165767]	[]
120_1069	chr2	219543689	219544089	+	1000	60.0	[12.6155815]	[135]	[]	[]	[219543891]	[]
120_107	chr2	24076290	24076690	+	1000	160.0	[9.63774]	[81]	[12.6155815, 7.405859]	[112, 164]	[24076447]	[24076478, 24076530]
120_1070	chr20	2101998	2102398	+	1000	60.0	[12.6155815]	[95]	[]	[]	[2102150]	[]
120_1074	chr22	22692688	22693088	+	1000	60.0	[6.8718476]	[158]	[]	[]	[22692912]	[]
120_1075	chr22	23180937	23181337	+	1000	60.0	[7.710297]	[173]	[6.2402864, 11.899101]	[119, 188]	[23181172]	[23181118, 23181187]
120_1076	chr3	23916903	23917303	+	1000	60.0	[7.898935]	[89]	[]	[]	[23917084]	[]
120_1077	chr3	52287848	52288248	+	1000	60.0	[10.946643]	[135]	[14.663861]	[107]	[52288060]	[52288032]
120_1078	chr3	119498258	119498658	+	1000	60.0	[16.446117]	[115]	[12.6155815]	[69]	[119498470]	[119498424]
120_1079	chr3	157174781	157175181	+	1000	60.0	[9.63774, 5.9205213]	[133, 153]	[]	[]	[157174985, 157175005]	[]
120_108	chr7	12747802	12748202	+	1000	160.0	[]	[]	[7.806739]	[102]	[]	[12748003]
120_1080	chr5	134923698	134924098	+	1000	60.0	[5.4413013]	[153]	[]	[]	[134923947]	[]
