#PeakID(python identify_motif.py ./ENCODE_processed_files/MEF2A_idr.fa MEF2A --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
9_0	chrM	-35	365	+	1000	764.0	[]	[]	[7.448347]	[114]	[]	[154]
9_10	chr11	9613100	9613500	+	1000	597.0	[]	[]	[13.067403]	[91]	[]	[9613291]
9_1001	chr12	93115260	93115660	+	1000	94.0	[]	[]	[15.057976]	[131]	[]	[93115490]
9_1002	chr16	15489460	15489860	+	1000	94.0	[13.356004]	[101]	[5.7239566]	[111]	[15489654]	[15489664]
9_10025	chr22	36419247	36419647	+	1000	29.0	[9.326051]	[127]	[]	[]	[36419462]	[]
9_1003	chr16	70428096	70428496	+	1000	94.0	[]	[]	[5.85266]	[137]	[]	[70428287]
9_10039	chr3	23830002	23830402	+	853	29.0	[]	[]	[6.3976064]	[200]	[]	[23830216]
9_10059	chr3	138115514	138115914	+	1000	29.0	[]	[]	[17.315159]	[104]	[]	[138115697]
9_10067	chr3	171347691	171348091	+	554	29.0	[14.380129, 6.454526]	[97, 136]	[]	[]	[171347885, 171347924]	[]
9_10076	chr3	194136995	194137395	+	1000	29.0	[]	[]	[13.554542]	[103]	[]	[194137193]
9_10079	chr4	16264791	16265191	+	635	29.0	[]	[]	[10.661777]	[123]	[]	[16264974]
9_1008	chr4	174592931	174593331	+	1000	94.0	[]	[]	[15.057976]	[94]	[]	[174593111]
9_1009	chr6	6654898	6655298	+	1000	94.0	[13.469811]	[128]	[5.673355]	[128]	[6655113]	[6655113]
9_10100	chr5	38648716	38649116	+	1000	29.0	[15.811725]	[79]	[8.015269]	[79]	[38648886]	[38648886]
9_10102	chr5	43043022	43043422	+	926	29.0	[]	[]	[7.4385543]	[186]	[]	[43043247]
9_10113	chr5	128038661	128039061	+	1000	29.0	[]	[]	[13.365452]	[160]	[]	[128038894]
9_1012	chr8	131916540	131916940	+	1000	94.0	[]	[]	[15.057976]	[107]	[]	[131916746]
9_10131	chr6	13202935	13203335	+	890	29.0	[6.429423]	[89]	[13.323187]	[136]	[13203104]	[13203151]
9_10145	chr6	27890180	27890580	+	1000	29.0	[5.7632356]	[117]	[]	[]	[27890363]	[]
9_10165	chr6	42136342	42136742	+	1000	29.0	[5.6466813, 6.319079]	[63, 97]	[]	[]	[42136501, 42136535]	[]
9_10174	chr6	70241940	70242340	+	1000	29.0	[7.8419547]	[109]	[]	[]	[70242127]	[]
9_10185	chr6	125174565	125174965	+	1000	29.0	[]	[]	[7.8381796]	[106]	[]	[125174771]
9_10191	chr6	144123863	144124263	+	689	29.0	[11.830152]	[134]	[]	[]	[144124072]	[]
9_10199	chr6	169722527	169722927	+	1000	29.0	[5.939811]	[214]	[]	[]	[169722742]	[]
9_1020	chr14	69629179	69629579	+	1000	93.0	[]	[]	[11.607512]	[98]	[]	[69629372]
9_10204	chr7	7182098	7182498	+	1000	29.0	[]	[]	[6.0719905]	[88]	[]	[7182266]
9_1021	chr17	83056046	83056446	+	1000	93.0	[]	[]	[12.54541]	[112]	[]	[83056258]
9_10212	chr7	77911745	77912145	+	949	29.0	[12.91896]	[153]	[5.877043, 5.7580857]	[87, 153]	[77911973]	[77911907, 77911973]
9_10223	chr7	106659305	106659705	+	1000	29.0	[6.996926, 10.218181]	[91, 123]	[]	[]	[106659461, 106659493]	[]
9_10226	chr7	117015419	117015819	+	1000	29.0	[9.23018]	[114]	[]	[]	[117015611]	[]
9_10227	chr7	118184634	118185034	+	1000	29.0	[14.048844]	[66]	[]	[]	[118184800]	[]
9_10235	chr7	130124670	130125070	+	1000	29.0	[8.405594]	[143]	[]	[]	[130124889]	[]
9_1025	chr22	22110903	22111303	+	1000	93.0	[]	[]	[11.110511]	[111]	[]	[22111107]
9_10258	chr7	152314095	152314495	+	1000	29.0	[]	[]	[6.7696204]	[96]	[]	[152314268]
9_1026	chr3	23739515	23739915	+	1000	93.0	[17.315159]	[83]	[12.16521]	[103]	[23739668]	[23739688]
9_10266	chr8	95936412	95936812	+	879	29.0	[13.356004]	[225]	[]	[]	[95936661]	[]
9_10270	chr8	115658169	115658569	+	781	29.0	[10.363728]	[205]	[]	[]	[115658400]	[]
9_10277	chr9	35051353	35051753	+	1000	29.0	[]	[]	[7.7696743]	[75]	[]	[35051527]
9_10279	chr9	79571778	79572178	+	1000	29.0	[]	[]	[9.026804]	[77]	[]	[79571936]
9_103	chr1	25549417	25549817	+	1000	311.0	[9.37386, 14.001035]	[72, 105]	[]	[]	[25549586, 25549619]	[]
9_10315	chrX	66162297	66162697	+	686	29.0	[]	[]	[5.9134917]	[172]	[]	[66162547]
9_10326	chr1	12549715	12550115	+	1000	28.0	[6.531576]	[115]	[]	[]	[12549895]	[]
9_1033	chr1	206504077	206504477	+	1000	92.0	[11.108269]	[91]	[]	[]	[206504255]	[]
9_10336	chr1	24765381	24765781	+	1000	28.0	[5.8758316]	[178]	[]	[]	[24765600]	[]
9_1036	chr19	18700840	18701240	+	1000	92.0	[6.4813695]	[71]	[5.8403587]	[133]	[18700992]	[18701054]
9_10363	chr1	61271047	61271447	+	995	28.0	[5.7609663]	[112]	[]	[]	[61271259]	[]
9_1037	chr20	37990861	37991261	+	1000	92.0	[]	[]	[6.6937337, 13.110946]	[102, 137]	[]	[37991056, 37991091]
9_10374	chr1	101071477	101071877	+	1000	28.0	[8.177903]	[192]	[]	[]	[101071675]	[]
9_10377	chr1	111769487	111769887	+	1000	28.0	[]	[]	[7.4479613]	[132]	[]	[111769696]
9_1038	chr20	50626038	50626438	+	1000	92.0	[14.422394]	[75]	[]	[]	[50626202]	[]
9_10380	chr1	116570878	116571278	+	1000	28.0	[6.7477956]	[107]	[]	[]	[116571048]	[]
9_10389	chr1	150575794	150576194	+	981	28.0	[7.451628, 12.904769]	[153, 230]	[7.5559874]	[230]	[150575955, 150576032]	[150576032]
9_10392	chr1	151327452	151327852	+	1000	28.0	[10.430422]	[143]	[]	[]	[151327692]	[]
9_104	chr12	49663034	49663434	+	1000	307.0	[]	[]	[9.364033]	[99]	[]	[49663231]
9_10405	chr1	155979983	155980383	+	851	28.0	[7.826562, 7.770012]	[151, 157]	[7.19098]	[151]	[155980153, 155980159]	[155980153]
9_10424	chr1	192357848	192358248	+	1000	28.0	[]	[]	[17.315159]	[163]	[]	[192358089]
9_10426	chr1	198681788	198682188	+	1000	28.0	[6.3976064]	[158]	[]	[]	[198682035]	[]
9_10442	chr1	230136541	230136941	+	1000	28.0	[7.5559874]	[62]	[12.904769]	[62]	[230136701]	[230136701]
9_10446	chr1	234963488	234963888	+	1000	28.0	[]	[]	[8.069534]	[136]	[]	[234963644]
9_10452	chr10	3782716	3783116	+	987	28.0	[6.3910203]	[165]	[]	[]	[3782950]	[]
9_10458	chr10	23439178	23439578	+	977	28.0	[]	[]	[7.5978484]	[89]	[]	[23439341]
9_10459	chr10	26799319	26799719	+	737	28.0	[17.315159]	[165]	[]	[]	[26799557]	[]
9_10464	chr10	48390493	48390893	+	1000	28.0	[7.87519, 9.605837]	[130, 157]	[]	[]	[48390696, 48390723]	[]
9_1049	chr10	30431354	30431754	+	1000	91.0	[]	[]	[14.422394]	[139]	[]	[30431568]
9_10496	chr11	62671399	62671799	+	1000	28.0	[]	[]	[5.9617734]	[212]	[]	[62671626]
9_10502	chr11	72741438	72741838	+	809	28.0	[5.8403587]	[116]	[]	[]	[72741637]	[]
