#PeakID(python scan_motif.py ./ENCODE_processed_files/MAFK_idr.fa MAFK --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
420_10	chr11	6568462	6568862	+	1000	730.0	[11.476549, 11.476549]	[80, 113]	[11.476549, 11.476549]	[73, 106]	[6568642, 6568675]	[6568635, 6568668]
420_100	chr6	39206309	39206709	+	1000	559.0	[8.216044]	[97]	[11.476549]	[90]	[39206503]	[39206496]
420_1000	chr3	195824109	195824509	+	1000	303.0	[8.216044]	[113]	[11.476549]	[106]	[195824318]	[195824311]
420_10000	chr19	51158411	51158811	+	1000	85.0	[11.476549]	[134]	[]	[]	[51158626]	[]
420_10001	chr2	15122945	15123345	+	1000	85.0	[]	[]	[11.476549]	[102]	[]	[15123140]
420_10003	chr2	56077346	56077746	+	1000	85.0	[7.312882]	[150]	[11.476549]	[107]	[56077588]	[56077545]
420_10004	chr2	74584064	74584464	+	1000	85.0	[11.476549]	[102]	[]	[]	[74584253]	[]
420_10005	chr2	90383649	90384049	+	1000	85.0	[8.216044, 8.216044]	[140, 143]	[]	[]	[90383866, 90383869]	[]
420_10006	chr2	154259027	154259427	+	1000	85.0	[]	[]	[11.476549]	[103]	[]	[154259230]
420_10007	chr2	197909368	197909768	+	1000	85.0	[]	[]	[5.659805]	[86]	[]	[197909553]
420_10008	chr2	214985610	214986010	+	1000	85.0	[11.476549]	[114]	[7.2262077]	[107]	[214985820]	[214985813]
420_10009	chr2	216316206	216316606	+	1000	85.0	[]	[]	[11.476549]	[106]	[]	[216316405]
420_1001	chr5	82971026	82971426	+	1000	303.0	[11.476549]	[107]	[]	[]	[82971233]	[]
420_10010	chr20	3913971	3914371	+	1000	85.0	[]	[]	[11.476549]	[80]	[]	[3914136]
420_10011	chr20	48825229	48825629	+	1000	85.0	[11.476549]	[122]	[8.216044]	[114]	[48825448]	[48825440]
420_10012	chr20	49915660	49916060	+	1000	85.0	[]	[]	[11.476549]	[117]	[]	[49915848]
