#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF13_idr.fa KLF13 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_10018	chr1	180933070	180933470	+	618	30.5	[]	[]	[4.391116]	[163]	[]	[180933254]
92_10025	chr1	214464433	214464833	+	595	30.5	[12.923461]	[99]	[]	[]	[214464614]	[]
92_1003	chr21	36441734	36442134	+	1000	75.0	[12.531936]	[110]	[]	[]	[36441904]	[]
92_10045	chr11	46278437	46278837	+	556	30.5	[4.0391974]	[141]	[]	[]	[46278652]	[]
92_10050	chr11	75562227	75562627	+	632	30.5	[]	[]	[5.5544033]	[138]	[]	[75562394]
92_10052	chr11	119121610	119122010	+	594	30.5	[]	[]	[4.370061]	[130]	[]	[119121784]
92_10054	chr12	591422	591822	+	600	30.5	[]	[]	[3.121898]	[145]	[]	[591597]
92_10059	chr12	52051093	52051493	+	633	30.5	[3.8684895, 10.964813, 5.428102]	[136, 154, 213]	[]	[]	[52051247, 52051265, 52051324]	[]
92_10062	chr12	76031677	76032077	+	618	30.5	[]	[]	[4.134686]	[154]	[]	[76031896]
92_10066	chr12	121802697	121803097	+	555	30.5	[3.4493544]	[140]	[]	[]	[121802868]	[]
92_10086	chr14	64986891	64987291	+	628	30.5	[5.0207186]	[91]	[4.6153793]	[121]	[64987080]	[64987110]
92_10094	chr15	90598092	90598492	+	604	30.5	[]	[]	[3.8817034]	[119]	[]	[90598295]
92_1010	chr6	33204337	33204737	+	1000	75.0	[17.597673]	[110]	[]	[]	[33204516]	[]
92_10100	chr16	17138814	17139214	+	590	30.5	[]	[]	[3.2348657]	[132]	[]	[17139013]
92_10105	chr17	35764154	35764554	+	602	30.5	[]	[]	[3.3045511]	[151]	[]	[35764355]
92_10113	chr18	10414306	10414706	+	586	30.5	[12.171205]	[166]	[]	[]	[10414516]	[]
92_10117	chr19	13840297	13840697	+	644	30.5	[]	[]	[11.953688]	[163]	[]	[13840489]
92_10125	chr19	49436206	49436606	+	553	30.5	[]	[]	[18.705444]	[173]	[]	[49436442]
92_10131	chr2	96868784	96869184	+	601	30.5	[4.5175495]	[143]	[]	[]	[96868983]	[]
92_10139	chr2	218269890	218270290	+	625	30.5	[]	[]	[6.3552413]	[120]	[]	[218270041]
92_10147	chr21	41865270	41865670	+	613	30.5	[4.679624]	[179]	[]	[]	[41865496]	[]
92_10155	chr22	19732759	19733159	+	633	30.5	[]	[]	[3.1200647]	[95]	[]	[19732932]
92_1019	chr1	228139930	228140330	+	1000	74.5	[]	[]	[6.333192]	[147]	[]	[228140173]
92_1020	chr10	100346398	100346798	+	1000	74.5	[]	[]	[6.819353, 6.5604596]	[96, 155]	[]	[100346570, 100346629]
92_10201	chr5	80255379	80255779	+	645	30.5	[13.302529]	[137]	[]	[]	[80255591]	[]
92_10202	chr5	124808865	124809265	+	565	30.5	[6.711026]	[165]	[]	[]	[124809078]	[]
92_1022	chr16	8868556	8868956	+	1000	74.5	[7.404236]	[121]	[]	[]	[8868756]	[]
92_10225	chr7	91880430	91880830	+	588	30.5	[5.813036]	[137]	[]	[]	[91880595]	[]
92_10233	chr7	121083088	121083488	+	620	30.5	[]	[]	[6.4037967]	[162]	[]	[121083281]
92_10240	chr8	92965545	92965945	+	599	30.5	[13.569626]	[130]	[]	[]	[92965718]	[]
92_10241	chr8	124847800	124848200	+	606	30.5	[5.3643036, 5.051821]	[60, 83]	[]	[]	[124847960, 124847983]	[]
92_10245	chr8	142739217	142739617	+	622	30.5	[]	[]	[6.935298]	[111]	[]	[142739391]
92_10256	chr9	129173939	129174339	+	642	30.5	[4.7646165, 9.217568]	[82, 101]	[]	[]	[129174118, 129174137]	[]
92_10258	chr9	133133669	133134069	+	567	30.5	[3.5985906]	[159]	[]	[]	[133133861]	[]
92_10259	chr9	137302559	137302959	+	623	30.5	[]	[]	[7.73381]	[97]	[]	[137302745]
92_1027	chr5	132459296	132459696	+	1000	74.5	[8.614534]	[184]	[]	[]	[132459532]	[]
92_10277	chr1	32464849	32465249	+	628	30.0	[4.204776]	[104]	[17.798393]	[140]	[32465013]	[32465049]
92_1028	chr6	43369577	43369977	+	1000	74.5	[6.7078037]	[133]	[3.278843]	[189]	[43369762]	[43369818]
92_10284	chr1	85259503	85259903	+	576	30.0	[6.266394]	[175]	[]	[]	[85259701]	[]
92_10286	chr1	111140182	111140582	+	597	30.0	[]	[]	[6.063098]	[129]	[]	[111140346]
92_1029	chr6	84763452	84763852	+	1000	74.5	[]	[]	[5.2647276]	[159]	[]	[84763653]
92_10298	chr1	207805857	207806257	+	593	30.0	[5.4328723]	[169]	[]	[]	[207806045]	[]
92_1030	chr6	157488621	157489021	+	1000	74.5	[10.749043]	[120]	[6.7917714]	[92]	[157488825]	[157488797]
92_10300	chr1	226703361	226703761	+	549	30.0	[]	[]	[5.049155]	[190]	[]	[226703568]
92_10306	chr10	5545945	5546345	+	612	30.0	[]	[]	[4.449726]	[210]	[]	[5546174]
92_10307	chr10	22341163	22341563	+	571	30.0	[8.782976]	[197]	[]	[]	[22341366]	[]
92_1031	chr8	143596993	143597393	+	1000	74.5	[7.66823, 4.018433]	[77, 116]	[]	[]	[143597162, 143597201]	[]
92_1032	chr1	1069174	1069574	+	1000	74.0	[]	[]	[14.080251, 10.597269]	[92, 107]	[]	[1069358, 1069373]
92_10326	chr12	105235707	105236107	+	611	30.0	[]	[]	[6.9657416]	[138]	[]	[105235872]
92_10340	chr13	92590613	92591013	+	612	30.0	[6.360531]	[124]	[]	[]	[92590819]	[]
92_10345	chr14	35292138	35292538	+	582	30.0	[]	[]	[11.030088]	[55]	[]	[35292291]
92_10346	chr14	50003094	50003494	+	611	30.0	[]	[]	[3.6990504]	[106]	[]	[50003282]
92_10348	chr15	72375878	72376278	+	603	30.0	[5.1378093]	[100]	[]	[]	[72376030]	[]
92_10360	chr17	35930575	35930975	+	601	30.0	[3.1461642]	[122]	[3.987114]	[156]	[35930784]	[35930818]
92_10372	chr19	40576646	40577046	+	605	30.0	[]	[]	[4.225518, 3.5972617]	[108, 164]	[]	[40576836, 40576892]
92_10385	chr2	219543625	219544025	+	606	30.0	[6.4264174]	[95]	[]	[]	[219543814]	[]
92_1039	chr10	68331736	68332136	+	1000	74.0	[6.2316566]	[90]	[]	[]	[68331899]	[]
92_1040	chr18	3652681	3653081	+	1000	74.0	[7.185252]	[172]	[]	[]	[3652917]	[]
92_10402	chr22	19385177	19385577	+	610	30.0	[5.2585196, 4.7505407]	[75, 162]	[]	[]	[19385340, 19385427]	[]
92_1041	chr19	35931393	35931793	+	1000	74.0	[4.506191, 6.63819]	[63, 64]	[9.867726]	[138]	[35931552, 35931553]	[35931627]
92_10422	chr22	41446735	41447135	+	617	30.0	[3.7310314]	[140]	[]	[]	[41446928]	[]
92_10423	chr22	47091167	47091567	+	593	30.0	[]	[]	[8.67981, 4.0123453]	[128, 187]	[]	[47091349, 47091408]
92_10430	chr3	49166233	49166633	+	548	30.0	[]	[]	[4.1548424]	[97]	[]	[49166424]
92_10432	chr3	146469298	146469698	+	618	30.0	[7.1740403]	[100]	[]	[]	[146469480]	[]
92_10439	chr4	88284254	88284654	+	621	30.0	[4.87895]	[71]	[]	[]	[88284415]	[]
92_1044	chr3	10320983	10321383	+	1000	74.0	[6.2572165]	[155]	[6.9343877]	[62]	[10321229]	[10321136]
92_10443	chr4	169620129	169620529	+	583	30.0	[5.2404003, 5.02583]	[172, 179]	[]	[]	[169620366, 169620373]	[]
92_1046	chr7	75642880	75643280	+	1000	74.0	[]	[]	[16.051147]	[91]	[]	[75643043]
92_10463	chr6	42565005	42565405	+	569	30.0	[4.2594767]	[158]	[]	[]	[42565244]	[]
92_10467	chr6	44475869	44476269	+	609	30.0	[9.094141]	[167]	[]	[]	[44476069]	[]
92_10468	chr6	117675081	117675481	+	579	30.0	[4.463433]	[80]	[]	[]	[117675247]	[]
92_10487	chr8	54101485	54101885	+	594	30.0	[6.9332533, 10.13103]	[83, 94]	[]	[]	[54101664, 54101675]	[]
92_10492	chr8	144852984	144853384	+	573	30.0	[8.057519]	[88]	[]	[]	[144853144]	[]
92_10493	chr8	144900184	144900584	+	615	30.0	[4.90553]	[66]	[]	[]	[144900343]	[]
92_1050	chr1	3899666	3900066	+	1000	73.5	[]	[]	[6.9591627, 4.456533]	[101, 162]	[]	[3899853, 3899914]
92_10505	chrX	101348615	101349015	+	576	30.0	[3.4836082]	[99]	[]	[]	[101348805]	[]
92_10507	chrX	120485753	120486153	+	620	30.0	[]	[]	[3.2224054]	[146]	[]	[120485932]
92_1053	chr1	193059178	193059578	+	1000	73.5	[5.995696]	[112]	[]	[]	[193059375]	[]
92_10530	chr1	152034588	152034988	+	540	29.5	[4.5520372]	[147]	[4.3679094]	[136]	[152034771]	[152034760]
92_10542	chr10	62268730	62269130	+	601	29.5	[]	[]	[5.7034874]	[131]	[]	[62268887]
92_10545	chr11	46389515	46389915	+	594	29.5	[7.534457]	[134]	[]	[]	[46389711]	[]
92_10553	chr11	118659439	118659839	+	577	29.5	[]	[]	[9.754383]	[140]	[]	[118659642]
92_10561	chr12	98593499	98593899	+	581	29.5	[]	[]	[3.924389]	[163]	[]	[98593739]
92_10568	chr13	91135817	91136217	+	582	29.5	[]	[]	[4.0428634]	[158]	[]	[91135981]
92_10582	chr14	24195258	24195658	+	564	29.5	[]	[]	[3.938349]	[144]	[]	[24195429]
92_10584	chr14	55271113	55271513	+	546	29.5	[]	[]	[5.231842]	[119]	[]	[55271282]
92_10589	chr15	40439803	40440203	+	548	29.5	[6.2712593]	[178]	[]	[]	[40440037]	[]
92_1059	chr16	75432907	75433307	+	1000	73.5	[6.3896685]	[129]	[]	[]	[75433105]	[]
