#PeakID(python identify_motif.py ./ENCODE_processed_files/IKZF1_idr.fa IKZF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
758_1000	chr4	10173499	10173899	+	1000	340.0	[]	[]	[7.037342]	[92]	[]	[10173687]
758_10000	chr2	97712123	97712523	+	1000	106.5	[]	[]	[7.5565295]	[83]	[]	[97712291]
758_10002	chr20	49694470	49694870	+	1000	106.5	[10.7555]	[86]	[]	[]	[49694655]	[]
758_10007	chr3	43686876	43687276	+	1000	106.5	[]	[]	[6.8439474]	[111]	[]	[43687086]
758_10012	chr4	109596473	109596873	+	1000	106.5	[]	[]	[8.693299]	[85]	[]	[109596645]
758_10021	chr6	44052452	44052852	+	1000	106.5	[11.362798]	[54]	[]	[]	[44052606]	[]
758_10022	chr6	90218270	90218670	+	1000	106.5	[]	[]	[11.575829, 6.7687325]	[107, 123]	[]	[90218470, 90218486]
758_10023	chr6	90406200	90406600	+	1000	106.5	[11.575829]	[141]	[]	[]	[90406431]	[]
758_10025	chr7	36301953	36302353	+	1000	106.5	[]	[]	[11.127567, 7.25846]	[83, 136]	[]	[36302132, 36302185]
758_10028	chr7	106562849	106563249	+	1000	106.5	[11.575829]	[71]	[]	[]	[106563019]	[]
758_1003	chr3	152330963	152331363	+	1000	339.5	[]	[]	[6.6800203, 11.127567]	[64, 83]	[]	[152331119, 152331138]
758_10031	chr8	105202120	105202520	+	1000	106.5	[8.056022]	[91]	[]	[]	[105202307]	[]
758_1004	chr6	119216199	119216599	+	1000	339.5	[7.037342, 6.660896]	[115, 147]	[]	[]	[119216409, 119216441]	[]
758_10041	chr1	11700616	11701016	+	1000	106.0	[14.245327, 8.428089]	[129, 150]	[]	[]	[11700841, 11700862]	[]
758_10042	chr1	11738836	11739236	+	1000	106.0	[]	[]	[7.6377397, 7.250373]	[74, 93]	[]	[11738991, 11739010]
758_10048	chr1	54476244	54476644	+	1000	106.0	[6.8439474]	[140]	[8.693299]	[122]	[54476479]	[54476461]
758_10049	chr1	89890269	89890669	+	1000	106.0	[]	[]	[7.037342]	[174]	[]	[89890464]
758_10053	chr1	207605994	207606394	+	1000	106.0	[6.863072]	[115]	[7.280349]	[138]	[207606200]	[207606223]
758_10054	chr1	248906246	248906646	+	1000	106.0	[11.362798]	[155]	[]	[]	[248906485]	[]
758_10055	chr10	43627921	43628321	+	1000	106.0	[8.693299, 8.458068]	[77, 99]	[]	[]	[43628086, 43628108]	[]
758_10056	chr10	49183620	49184020	+	1000	106.0	[7.220394, 6.780856, 11.575829]	[104, 131, 153]	[]	[]	[49183804, 49183831, 49183853]	[]
758_10057	chr10	73956448	73956848	+	1000	106.0	[14.245327]	[126]	[]	[]	[73956673]	[]
758_10058	chr10	77937164	77937564	+	1000	106.0	[]	[]	[6.7035384, 11.575829]	[96, 102]	[]	[77937357, 77937363]
758_10064	chr15	65796555	65796955	+	1000	106.0	[7.652416]	[93]	[]	[]	[65796747]	[]
758_10066	chr15	80151604	80152004	+	1000	106.0	[]	[]	[11.362798, 7.6377397, 7.2884393, 7.87297, 7.280349]	[69, 77, 113, 127, 132]	[]	[80151772, 80151780, 80151816, 80151830, 80151835]
758_10067	chr15	85044181	85044581	+	1000	106.0	[9.919872, 8.220124]	[91, 97]	[]	[]	[85044342, 85044348]	[]
758_10068	chr16	23640262	23640662	+	1000	106.0	[7.5565295]	[78]	[]	[]	[23640426]	[]
758_10078	chr19	5433751	5434151	+	1000	106.0	[11.362798, 7.6377397, 6.8401775, 7.250373]	[67, 92, 115, 134]	[]	[]	[5433912, 5433937, 5433960, 5433979]	[]
758_10079	chr19	12982415	12982815	+	1000	106.0	[]	[]	[9.411099]	[65]	[]	[12982578]
