#PeakID(python identify_motif.py ./ENCODE_processed_files/MAFK_idr.fa MAFK --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
420_10	chr11	6568462	6568862	+	1000	730.0	[11.476549, 11.476549]	[80, 113]	[11.476549, 11.476549]	[73, 106]	[6568642, 6568675]	[6568635, 6568668]
420_1000	chr3	195824109	195824509	+	1000	303.0	[8.216044]	[113]	[11.476549]	[106]	[195824318]	[195824311]
420_10000	chr19	51158411	51158811	+	1000	85.0	[11.476549]	[134]	[]	[]	[51158626]	[]
420_10001	chr2	15122945	15123345	+	1000	85.0	[]	[]	[11.476549]	[102]	[]	[15123140]
420_10003	chr2	56077346	56077746	+	1000	85.0	[7.312882]	[150]	[11.476549]	[107]	[56077588]	[56077545]
420_10006	chr2	154259027	154259427	+	1000	85.0	[]	[]	[11.476549]	[103]	[]	[154259230]
420_10007	chr2	197909368	197909768	+	1000	85.0	[]	[]	[5.659805]	[86]	[]	[197909553]
420_10008	chr2	214985610	214986010	+	1000	85.0	[11.476549]	[114]	[7.2262077]	[107]	[214985820]	[214985813]
420_10013	chr22	22030452	22030852	+	1000	85.0	[7.2262077]	[151]	[11.476549]	[129]	[22030700]	[22030678]
420_1002	chr5	109191261	109191661	+	1000	303.0	[]	[]	[11.476549]	[105]	[]	[109191462]
420_10020	chr3	186871359	186871759	+	1000	85.0	[7.2262077]	[102]	[]	[]	[186871545]	[]
420_10023	chr4	10184111	10184511	+	1000	85.0	[11.476549]	[116]	[]	[]	[10184317]	[]
420_1003	chr5	163878483	163878883	+	1000	303.0	[11.476549]	[110]	[8.216044]	[102]	[163878691]	[163878683]
420_10032	chr4	112708755	112709155	+	1000	85.0	[]	[]	[11.476549]	[107]	[]	[112708959]
420_10037	chr5	68554968	68555368	+	1000	85.0	[11.476549]	[117]	[7.2262077]	[136]	[68555177]	[68555196]
420_1004	chr6	32177610	32178010	+	1000	303.0	[11.476549]	[112]	[7.2262077]	[128]	[32177812]	[32177828]
420_10042	chr6	7166355	7166755	+	1000	85.0	[]	[]	[7.2262077, 7.2262077]	[94, 142]	[]	[7166546, 7166594]
