#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT1_idr.fa STAT1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
315_1000	chr8	90187624	90188024	+	1000	35.0	[]	[]	[9.611048]	[72]	[]	[90187788]
315_1001	chr8	97802124	97802524	+	1000	35.0	[9.611048]	[117]	[]	[]	[97802318]	[]
315_1002	chr8	129689350	129689750	+	1000	35.0	[9.611048]	[96]	[]	[]	[129689513]	[]
315_1003	chr9	130770866	130771266	+	1000	35.0	[]	[]	[8.280003]	[185]	[]	[130771066]
315_1007	chr1	40383547	40383947	+	1000	34.0	[8.194635]	[174]	[]	[]	[40383764]	[]
315_1009	chr1	40820835	40821235	+	1000	34.0	[]	[]	[8.280003]	[141]	[]	[40821029]
315_1013	chr1	67688553	67688953	+	1000	34.0	[8.280003]	[156]	[]	[]	[67688793]	[]
315_1016	chr1	143203506	143203906	+	946	34.0	[8.259005]	[157]	[]	[]	[143203699]	[]
315_1019	chr1	186112297	186112697	+	1000	34.0	[9.611048]	[141]	[9.525681]	[159]	[186112486]	[186112504]
315_1021	chr10	42782558	42782958	+	1000	34.0	[]	[]	[9.525681]	[114]	[]	[42782747]
315_1022	chr10	73110249	73110649	+	1000	34.0	[8.194635]	[96]	[]	[]	[73110443]	[]
315_1023	chr10	86775188	86775588	+	1000	34.0	[]	[]	[9.611048]	[125]	[]	[86775399]
315_1027	chr12	54304325	54304725	+	1000	34.0	[]	[]	[8.280003]	[157]	[]	[54304539]
315_1029	chr12	120291308	120291708	+	1000	34.0	[8.280003]	[91]	[]	[]	[120291485]	[]
315_103	chr7	139044121	139044521	+	1000	102.0	[8.280003, 8.280003]	[97, 144]	[9.611048]	[79]	[139044310, 139044357]	[139044292]
315_1030	chr14	73762413	73762813	+	1000	34.0	[9.525681]	[101]	[]	[]	[73762607]	[]
315_1032	chr15	92904386	92904786	+	1000	34.0	[]	[]	[9.611048]	[71]	[]	[92904538]
315_1034	chr16	15590938	15591338	+	1000	34.0	[8.280003]	[139]	[]	[]	[15591155]	[]
315_1036	chr16	85047197	85047597	+	1000	34.0	[]	[]	[9.611048]	[92]	[]	[85047382]
315_1038	chr17	30104536	30104936	+	1000	34.0	[8.259005, 9.525681]	[108, 156]	[]	[]	[30104738, 30104786]	[]
315_104	chr1	629738	630138	+	1000	101.0	[8.259005]	[119]	[]	[]	[629957]	[]
315_1042	chr19	6603950	6604350	+	1000	34.0	[8.194635, 8.280003]	[83, 108]	[8.280003]	[97]	[6604109, 6604134]	[6604123]
315_1043	chr19	35740369	35740769	+	1000	34.0	[9.525681]	[104]	[9.525681]	[81]	[35740570]	[35740547]
315_1044	chr19	48873439	48873839	+	1000	34.0	[8.194635]	[112]	[]	[]	[48873623]	[]
315_1045	chr19	50376118	50376518	+	1000	34.0	[9.611048]	[115]	[]	[]	[50376304]	[]
315_1046	chr19	55216369	55216769	+	758	34.0	[]	[]	[8.280003]	[157]	[]	[55216600]
315_1049	chr2	58730759	58731159	+	1000	34.0	[]	[]	[9.611048]	[165]	[]	[58731002]
315_1050	chr2	73063778	73064178	+	1000	34.0	[]	[]	[9.611048, 8.259005, 9.525681]	[83, 127, 137]	[]	[73063960, 73064004, 73064014]
315_1051	chr2	157261241	157261641	+	1000	34.0	[9.611048, 9.611048]	[71, 121]	[]	[]	[157261412, 157261462]	[]
315_1053	chr2	175181664	175182064	+	1000	34.0	[8.194635]	[88]	[]	[]	[175181834]	[]
315_1055	chr2	230659177	230659577	+	1000	34.0	[8.194635]	[188]	[]	[]	[230659424]	[]
315_1056	chr20	53899510	53899910	+	1000	34.0	[9.611048]	[111]	[]	[]	[53899718]	[]
315_1058	chr21	21200118	21200518	+	1000	34.0	[9.611048, 8.259005]	[107, 166]	[]	[]	[21200307, 21200366]	[]
315_1059	chr21	38787557	38787957	+	1000	34.0	[8.194635]	[108]	[]	[]	[38787750]	[]
315_106	chr2	230415962	230416362	+	1000	100.0	[]	[]	[9.525681, 8.280003]	[94, 140]	[]	[230416149, 230416195]
315_1061	chr22	20557242	20557642	+	1000	34.0	[]	[]	[9.611048]	[85]	[]	[20557411]
315_1064	chr22	22422519	22422919	+	1000	34.0	[9.611048]	[197]	[]	[]	[22422735]	[]
315_1066	chr22	22753528	22753928	+	1000	34.0	[8.194635]	[109]	[]	[]	[22753734]	[]
315_1067	chr22	23142014	23142414	+	1000	34.0	[9.525681, 8.280003]	[77, 82]	[]	[]	[23142188, 23142193]	[]
315_1068	chr3	46509187	46509587	+	1000	34.0	[]	[]	[8.259005]	[170]	[]	[46509434]
315_1069	chr3	143001291	143001691	+	1000	34.0	[9.611048]	[80]	[]	[]	[143001458]	[]
315_107	chr1	155193216	155193616	+	1000	99.0	[]	[]	[8.194635]	[96]	[]	[155193409]
315_1071	chr3	187022317	187022717	+	1000	34.0	[8.280003, 8.259005]	[101, 105]	[]	[]	[187022477, 187022481]	[]
315_1072	chr4	83630090	83630490	+	1000	34.0	[8.194635]	[106]	[8.280003]	[76]	[83630289]	[83630259]
315_1075	chr5	86617649	86618049	+	1000	34.0	[]	[]	[9.525681]	[85]	[]	[86617820]
315_1077	chr6	13912941	13913341	+	1000	34.0	[8.280003]	[149]	[]	[]	[13913171]	[]
315_1078	chr6	26027226	26027626	+	1000	34.0	[]	[]	[9.525681]	[222]	[]	[26027463]
315_108	chr6	167840827	167841227	+	1000	98.0	[8.194635]	[131]	[8.280003]	[84]	[167841048]	[167841001]
315_1081	chr6	31547309	31547709	+	1000	34.0	[]	[]	[9.525681]	[76]	[]	[31547474]
315_1082	chr6	31737872	31738272	+	1000	34.0	[]	[]	[9.611048]	[162]	[]	[31738120]
315_1083	chr6	37083495	37083895	+	1000	34.0	[]	[]	[8.280003, 9.611048]	[104, 114]	[]	[37083690, 37083700]
315_1085	chr6	42028519	42028919	+	1000	34.0	[]	[]	[9.611048]	[156]	[]	[42028739]
315_1087	chr6	133957886	133958286	+	1000	34.0	[8.280003]	[154]	[]	[]	[133958128]	[]
315_1088	chr7	8762794	8763194	+	1000	34.0	[]	[]	[9.611048]	[127]	[]	[8762996]
315_109	chr10	70667409	70667809	+	1000	97.0	[8.280003]	[82]	[8.259005]	[142]	[70667583]	[70667643]
315_1091	chr7	105013060	105013460	+	1000	34.0	[8.194635, 9.525681, 9.525681]	[104, 125, 173]	[]	[]	[105013225, 105013246, 105013294]	[]
315_1097	chr9	129879057	129879457	+	990	34.0	[8.194635]	[130]	[]	[]	[129879283]	[]
315_1098	chr9	129910511	129910911	+	1000	34.0	[8.194635]	[136]	[]	[]	[129910741]	[]
315_1099	chr1	9593398	9593798	+	1000	33.0	[]	[]	[9.525681, 8.280003]	[100, 142]	[]	[9593590, 9593632]
315_11	chrM	5223	5623	+	1000	437.0	[]	[]	[8.259005]	[119]	[]	[5441]
315_1103	chr1	35279250	35279650	+	1000	33.0	[]	[]	[8.259005]	[81]	[]	[35279410]
315_1104	chr1	36224628	36225028	+	1000	33.0	[]	[]	[9.525681, 8.194635]	[128, 150]	[]	[36224850, 36224872]
315_1105	chr1	39167864	39168264	+	1000	33.0	[]	[]	[9.611048]	[112]	[]	[39168020]
315_1107	chr1	44213179	44213579	+	1000	33.0	[]	[]	[9.611048]	[125]	[]	[44213403]
315_1108	chr1	45500029	45500429	+	1000	33.0	[9.525681]	[178]	[9.611048]	[168]	[45500243]	[45500233]
315_1109	chr1	65224795	65225195	+	1000	33.0	[]	[]	[8.194635]	[155]	[]	[65224997]
315_111	chr6	100257987	100258387	+	1000	97.0	[9.525681, 9.611048]	[119, 130]	[]	[]	[100258173, 100258184]	[]
315_1113	chr1	143230678	143231078	+	1000	33.0	[8.259005]	[102]	[]	[]	[143230880]	[]
315_1114	chr1	151165805	151166205	+	1000	33.0	[8.280003, 9.611048]	[167, 176]	[]	[]	[151166044, 151166053]	[]
315_1115	chr1	173714702	173715102	+	1000	33.0	[]	[]	[8.280003]	[124]	[]	[173714925]
