#PeakID(python identify_motif.py ./ENCODE_processed_files/PKNOX1_idr.fa PKNOX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
36_10	chr17	75393754	75394154	+	1000	1264.0	[9.758735]	[95]	[]	[]	[75393949]	[]
36_10006	chr19	46542599	46542999	+	1000	131.5	[11.391476]	[103]	[]	[]	[46542799]	[]
36_10011	chr3	4512877	4513277	+	1000	131.5	[11.747158]	[107]	[]	[]	[4513050]	[]
36_1002	chr18	75210516	75210916	+	1000	698.0	[13.265748]	[68]	[]	[]	[75210683]	[]
36_10026	chr7	116217924	116218324	+	1000	131.5	[13.044986]	[154]	[]	[]	[116218126]	[]
36_10029	chrUn_KI270744v1	105141	105541	+	1000	131.5	[]	[]	[10.482768]	[101]	[]	[105341]
36_10034	chr1	117605669	117606069	+	1000	131.0	[]	[]	[8.50106]	[157]	[]	[117605875]
36_10038	chr12	48028556	48028956	+	1000	131.0	[8.153878]	[101]	[]	[]	[48028750]	[]
36_10044	chr16	11240666	11241066	+	1000	131.0	[11.964068]	[108]	[]	[]	[11240870]	[]
36_10051	chr2	148646018	148646418	+	1000	131.0	[7.8863187]	[93]	[]	[]	[148646205]	[]
36_10062	chrX	48919953	48920353	+	1000	131.0	[7.12374, 8.205009]	[102, 181]	[]	[]	[48920124, 48920203]	[]
36_10063	chr1	778579	778979	+	1000	130.5	[]	[]	[8.50106]	[144]	[]	[778742]
36_10067	chr1	179293367	179293767	+	1000	130.5	[]	[]	[7.6208234]	[309]	[]	[179293559]
36_10077	chr15	67579139	67579539	+	1000	130.5	[9.611549, 9.524263]	[94, 110]	[]	[]	[67579333, 67579349]	[]
36_10080	chr16	56264165	56264565	+	840	130.5	[11.903602]	[115]	[]	[]	[56264346]	[]
36_10084	chr2	80410353	80410753	+	1000	130.5	[12.269929]	[127]	[7.9990454]	[77]	[80410566]	[80410516]
36_10090	chr3	100401246	100401646	+	1000	130.5	[10.123138]	[108]	[]	[]	[100401445]	[]
36_10096	chr5	132323151	132323551	+	1000	130.5	[9.611549, 10.419522]	[135, 139]	[]	[]	[132323374, 132323378]	[]
36_101	chr5	173056981	173057381	+	1000	902.5	[8.8627205, 12.830319]	[63, 85]	[]	[]	[173057142, 173057164]	[]
36_10104	chr8	66022141	66022541	+	1000	130.5	[13.053981]	[93]	[]	[]	[66022333]	[]
36_10107	chrX	65997926	65998326	+	1000	130.5	[9.031418]	[113]	[9.912791]	[146]	[65998131]	[65998164]
36_1011	chr11	16372381	16372781	+	1000	694.0	[14.492824]	[109]	[]	[]	[16372587]	[]
36_10111	chr1	43330200	43330600	+	1000	130.0	[]	[]	[8.249451]	[107]	[]	[43330368]
36_1012	chr20	46199120	46199520	+	1000	693.5	[14.610782]	[98]	[]	[]	[46199315]	[]
36_10126	chr2	11500713	11501113	+	1000	130.0	[8.675302, 12.799472, 7.3857517]	[61, 94, 98]	[]	[]	[11500864, 11500897, 11500901]	[]
36_1013	chr6	26596757	26597157	+	1000	693.5	[]	[]	[12.290566]	[125]	[]	[26596971]
36_10132	chr3	51983011	51983411	+	1000	130.0	[10.123138]	[107]	[]	[]	[51983210]	[]
36_10133	chr3	57048090	57048490	+	1000	130.0	[8.004277]	[151]	[10.472958]	[95]	[57048339]	[57048283]
36_10138	chr5	137660235	137660635	+	1000	130.0	[12.290566]	[112]	[]	[]	[137660439]	[]
36_1014	chr7	143504649	143505049	+	1000	693.5	[]	[]	[10.831086]	[98]	[]	[143504846]
36_10141	chr6	37972986	37973386	+	1000	130.0	[10.831086]	[122]	[]	[]	[37973194]	[]
36_10157	chr11	875658	876058	+	1000	129.5	[12.082027]	[112]	[]	[]	[875851]	[]
36_10159	chr11	46543506	46543906	+	1000	129.5	[11.459053]	[126]	[8.559237]	[104]	[46543713]	[46543691]
36_10161	chr12	53675936	53676336	+	1000	129.5	[7.63498]	[169]	[]	[]	[53676158]	[]
36_10170	chr17	30104644	30105044	+	1000	129.5	[10.516231]	[197]	[]	[]	[30104868]	[]
36_10172	chr17	42315623	42316023	+	1000	129.5	[7.1685324, 9.256888, 9.374846]	[92, 103, 107]	[]	[]	[42315792, 42315803, 42315807]	[]
36_1018	chr10	118482890	118483290	+	1000	691.5	[]	[]	[7.697594]	[99]	[]	[118483085]
36_10189	chr3	37996740	37997140	+	1000	129.5	[]	[]	[7.099119]	[205]	[]	[37996950]
36_10190	chr3	42349862	42350262	+	1000	129.5	[]	[]	[12.017504, 8.099306]	[108, 122]	[]	[42350061, 42350075]
36_10194	chr5	131382528	131382928	+	1000	129.5	[]	[]	[7.730351, 10.829789]	[174, 178]	[]	[131382760, 131382764]
36_10197	chr7	156614769	156615169	+	997	129.5	[11.459053]	[106]	[]	[]	[156614969]	[]
36_102	chr12	27523853	27524253	+	1000	902.0	[10.308315]	[86]	[]	[]	[27524035]	[]
36_10203	chr10	92574786	92575186	+	1000	129.0	[14.959101, 7.609413]	[96, 100]	[]	[]	[92574972, 92574976]	[]
