#PeakID(python identify_motif.py ./ENCODE_processed_files/TEAD4_idr.fa TEAD4 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
171_0	chrM	15905	16305	+	1000	805.0	[6.8758135]	[103]	[]	[]	[16098]	[]
171_100	chr9	129863057	129863457	+	1000	708.0	[]	[]	[9.043116]	[56]	[]	[129863209]
171_10003	chr11	43393974	43394374	+	1000	143.0	[]	[]	[7.3263307, 7.9874573]	[90, 152]	[]	[43394159, 43394221]
171_10006	chr11	72079030	72079430	+	1000	143.0	[6.9442596]	[116]	[]	[]	[72079245]	[]
171_10013	chr14	73662421	73662821	+	1000	143.0	[9.605281]	[106]	[]	[]	[73662625]	[]
171_10019	chr16	56764895	56765295	+	1000	143.0	[6.7503724]	[78]	[]	[]	[56765063]	[]
171_10023	chr17	45146772	45147172	+	1000	143.0	[]	[]	[14.352782]	[125]	[]	[45146992]
171_10036	chr19	38819245	38819645	+	1000	143.0	[]	[]	[9.293543]	[155]	[]	[38819493]
171_10037	chr19	49987108	49987508	+	1000	143.0	[6.7503724]	[112]	[]	[]	[49987305]	[]
171_10048	chr22	17359449	17359849	+	1000	143.0	[9.174619]	[151]	[]	[]	[17359697]	[]
171_10053	chr3	20352735	20353135	+	1000	143.0	[]	[]	[8.962336]	[115]	[]	[20352933]
171_10055	chr3	45269998	45270398	+	1000	143.0	[6.678365]	[120]	[7.5700417]	[107]	[45270216]	[45270203]
171_10063	chr4	87058692	87059092	+	1000	143.0	[]	[]	[8.962336, 9.605281]	[110, 132]	[]	[87058883, 87058905]
171_10076	chr6	51166899	51167299	+	1000	143.0	[]	[]	[9.303733]	[137]	[]	[51167127]
171_10086	chr8	124637468	124637868	+	1000	143.0	[]	[]	[11.344251]	[107]	[]	[124637675]
171_10087	chr9	37337271	37337671	+	1000	143.0	[6.8938127]	[130]	[]	[]	[37337499]	[]
171_1009	chr5	176994808	176995208	+	1000	489.0	[7.9874573]	[91]	[]	[]	[176994995]	[]
171_10097	chr1	23980396	23980796	+	1000	142.0	[9.043116]	[108]	[]	[]	[23980598]	[]
171_1010	chr6	152232797	152233197	+	1000	489.0	[]	[]	[7.3083315]	[84]	[]	[152232962]
171_10106	chr10	104253107	104253507	+	1000	142.0	[]	[]	[8.962336]	[83]	[]	[104253290]
171_10107	chr11	12687096	12687496	+	1000	142.0	[7.9874573]	[153]	[]	[]	[12687345]	[]
171_10109	chr11	67656308	67656708	+	1000	142.0	[7.3263307]	[102]	[]	[]	[67656499]	[]
171_10112	chr11	110337759	110338159	+	1000	142.0	[]	[]	[8.239074]	[119]	[]	[110337971]
171_10113	chr11	119323492	119323892	+	1000	142.0	[]	[]	[11.344251]	[91]	[]	[119323681]
171_10125	chr15	90157872	90158272	+	1000	142.0	[]	[]	[9.605281]	[124]	[]	[90158095]
171_10126	chr15	95629756	95630156	+	1000	142.0	[8.962336, 7.3083315]	[72, 98]	[]	[]	[95629921, 95629947]	[]
171_10130	chr17	77121797	77122197	+	1000	142.0	[10.603825]	[153]	[]	[]	[77122044]	[]
171_10131	chr18	8951456	8951856	+	1000	142.0	[6.910793]	[107]	[]	[]	[8951660]	[]
171_10133	chr19	21115445	21115845	+	1000	142.0	[9.691082]	[108]	[]	[]	[21115651]	[]
171_10134	chr19	38851798	38852198	+	1000	142.0	[]	[]	[9.605281]	[114]	[]	[38852010]
171_10137	chr2	33141441	33141841	+	1000	142.0	[]	[]	[6.747317, 8.239074]	[77, 109]	[]	[33141611, 33141643]
171_10138	chr2	65382777	65383177	+	1000	142.0	[6.7683716]	[159]	[]	[]	[65382961]	[]
