#PeakID(python identify_motif.py ./ENCODE_processed_files/SRF_idr.fa SRF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
49_10000	chr6	158729863	158730263	+	1000	74.0	[9.68026]	[206]	[13.033171]	[206]	[158730111]	[158730111]
49_10001	chr6	159106564	159106964	+	1000	74.0	[13.632117]	[97]	[13.632117]	[97]	[159106740]	[159106740]
49_10006	chr7	74067825	74068225	+	1000	74.0	[12.57791]	[109]	[12.613283]	[109]	[74068027]	[74068027]
49_10009	chr7	99808819	99809219	+	1000	74.0	[13.632117, 8.668092]	[108, 176]	[13.632117, 10.9407625]	[108, 176]	[99808994, 99809062]	[99808994, 99809062]
49_1001	chr1	205376218	205376618	+	1000	260.0	[9.68026]	[102]	[13.033171]	[102]	[205376419]	[205376419]
49_10028	chr8	142615345	142615745	+	1000	74.0	[17.54071]	[108]	[14.892951]	[108]	[142615537]	[142615537]
49_10030	chr9	19409871	19410271	+	1000	74.0	[6.742007]	[121]	[3.6277652]	[121]	[19410083]	[19410083]
49_10031	chr9	83800839	83801239	+	1000	74.0	[9.68026]	[107]	[13.033171]	[107]	[83801046]	[83801046]
49_10038	chr9	131196319	131196719	+	1000	74.0	[]	[]	[2.3598723]	[153]	[]	[131196519]
49_10048	chrX	125492998	125493398	+	1000	74.0	[3.350037]	[109]	[7.3365355]	[109]	[125493206]	[125493206]
49_10051	chr1	2175983	2176383	+	1000	73.0	[6.2234435]	[161]	[2.944419]	[161]	[2176171]	[2176171]
49_10058	chr1	26286999	26287399	+	1000	73.0	[5.788348]	[154]	[6.203879]	[154]	[26287219]	[26287219]
49_10066	chr1	55232807	55233207	+	1000	73.0	[12.689945]	[97]	[13.47666]	[97]	[55233002]	[55233002]
49_1007	chr4	80424150	80424550	+	1000	260.0	[4.752501]	[128]	[2.4444578]	[128]	[80424357]	[80424357]
