#PeakID(python scan_motif.py ./ENCODE_processed_files/TAL1_idr.fa TAL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
345_1	chr22	20025365	20025765	+	1000	805.0	[5.088419, 9.465482]	[116, 150]	[4.611834, 4.611834]	[116, 150]	[20025580, 20025614]	[20025580, 20025614]
345_10	chr7	73886041	73886441	+	1000	795.0	[5.088419, 4.611834, 4.611834]	[59, 97, 117]	[4.611834, 4.611834, 4.611834]	[59, 97, 117]	[73886198, 73886236, 73886256]	[73886198, 73886236, 73886256]
345_100	chr16	88992395	88992795	+	1000	737.0	[4.611834]	[118]	[4.611834]	[118]	[88992606]	[88992606]
345_1000	chr19	12887447	12887847	+	1000	545.0	[5.088419, 4.611834]	[119, 136]	[4.611834, 4.611834]	[119, 136]	[12887663, 12887680]	[12887663, 12887680]
345_10001	chr9	121250345	121250745	+	1000	119.0	[4.611834, 4.611834, 11.270045]	[53, 82, 147]	[4.611834, 5.088419, 11.270045]	[53, 82, 147]	[121250498, 121250527, 121250592]	[121250498, 121250527, 121250592]
345_10002	chr9	124512819	124513219	+	1000	119.0	[11.270045]	[73]	[11.270045]	[73]	[124512991]	[124512991]
345_10003	chr1	19312534	19312934	+	1000	118.0	[4.611834, 11.270045, 4.611834]	[64, 67, 128]	[4.611834, 11.270045, 4.611834]	[64, 67, 128]	[19312696, 19312699, 19312760]	[19312696, 19312699, 19312760]
345_10004	chr1	21294968	21295368	+	1000	118.0	[4.611834]	[91]	[9.465482]	[91]	[21295137]	[21295137]
345_10005	chr1	28441684	28442084	+	1000	118.0	[4.611834]	[102]	[4.611834]	[102]	[28441876]	[28441876]
345_10006	chr1	109826822	109827222	+	1000	118.0	[4.611834, 11.270045, 4.611834]	[63, 97, 123]	[4.611834, 11.270045, 4.611834]	[63, 97, 123]	[109826979, 109827013, 109827039]	[109826979, 109827013, 109827039]
345_10007	chr1	115655292	115655692	+	1000	118.0	[9.465482]	[134]	[4.611834]	[134]	[115655521]	[115655521]
345_10008	chr1	116679040	116679440	+	1000	118.0	[4.611834]	[114]	[9.465482]	[114]	[116679254]	[116679254]
345_1001	chr2	53668501	53668901	+	1000	545.0	[4.611834]	[137]	[4.611834]	[137]	[53668733]	[53668733]
345_10011	chr10	14436253	14436653	+	1000	118.0	[4.611834, 4.611834]	[117, 146]	[4.611834, 4.611834]	[117, 146]	[14436466, 14436495]	[14436466, 14436495]
345_10012	chr11	4619614	4620014	+	1000	118.0	[4.611834]	[117]	[4.611834]	[117]	[4619822]	[4619822]
