#PeakID	chr	start	end	strand	idrScore	count
420_0	chrM	12437	12711	+	1000	805.0
420_1	chrM	3180	3442	+	1000	804.0
420_2	chrM	15009	15228	+	1000	803.0
420_3	chrM	11140	11410	+	1000	802.0
420_4	chrM	9755	10081	+	1000	799.0
420_5	chrM	13773	13986	+	1000	799.0
420_6	chrM	85	443	+	1000	792.0
420_7	chrM	10575	10881	+	1000	784.0
420_8	chr1	30919098	30919301	+	1000	755.0
420_9	chr4	8303678	8303883	+	1000	748.0
420_10	chr11	6568562	6568763	+	1000	730.0
420_11	chrM	11758	12011	+	1000	726.0
420_12	chr8	120084638	120084846	+	1000	712.0
420_13	chr4	74056660	74056867	+	1000	689.0
420_14	chr7	7099727	7099928	+	1000	688.0
420_15	chr19	46991285	46991487	+	1000	687.0
420_16	chr6	7919967	7920170	+	1000	687.0
420_17	chr11	44781106	44781307	+	1000	684.0
420_18	chr16	79971044	79971246	+	1000	680.0
420_19	chr19	11064815	11065023	+	1000	680.0
420_20	chr17	28834429	28834633	+	1000	677.0
420_21	chr1	183982259	183982462	+	1000	672.0
420_22	chr4	76772498	76772706	+	1000	671.0
420_23	chr4	41957810	41958011	+	1000	670.0
420_24	chr20	50338515	50338715	+	1000	669.0
420_25	chr6	87723373	87723575	+	1000	665.0
420_26	chr3	93470506	93470773	+	1000	664.0
420_27	chr6	129691335	129691535	+	1000	659.0
420_28	chr11	124608293	124608497	+	1000	658.0
420_29	chr17	81722571	81722778	+	1000	651.0
420_30	chr14	34465340	34465542	+	1000	648.0
420_31	chrM	5306	5507	+	1000	648.0
420_32	chr1	248007861	248008063	+	1000	641.0
420_33	chr14	23160909	23161118	+	1000	641.0
420_34	chr14	58171177	58171386	+	1000	641.0
420_35	chr3	133007664	133007868	+	1000	638.0
420_36	chr6	33840089	33840291	+	1000	636.0
420_37	chrM	6199	6569	+	1000	633.0
420_38	chr2	136005557	136005768	+	1000	632.0
420_39	chr12	116492952	116493157	+	1000	627.0
420_40	chr7	107025583	107025788	+	1000	625.0
420_41	chr14	76956688	76956890	+	1000	624.0
420_42	chr7	102122114	102122322	+	1000	621.0
420_43	chr6	156964144	156964347	+	1000	620.0
420_44	chr7	75937985	75938189	+	1000	619.0
420_45	chr2	177872406	177872610	+	1000	618.0
420_46	chr14	77024429	77024639	+	1000	617.0
420_47	chr19	38434771	38434977	+	1000	615.0
420_48	chr16	66458068	66458269	+	1000	613.0
420_49	chr8	11346981	11347184	+	1000	612.0
420_50	chr1	31705244	31705446	+	1000	611.0
420_51	chr17	81923509	81923712	+	1000	610.0
420_52	chrM	4850	5053	+	1000	610.0
420_53	chr1	224234108	224234311	+	1000	608.0
420_54	chr3	168058589	168058789	+	1000	605.0
420_55	chr10	15365815	15366023	+	1000	603.0
420_56	chr22	35371970	35372172	+	1000	603.0
420_57	chr8	23518774	23518983	+	1000	603.0
420_58	chr1	91591262	91591467	+	1000	601.0
420_59	chr22	24510703	24510913	+	1000	600.0
420_60	chr12	47775561	47775763	+	1000	599.0
420_61	chr12	91779032	91779235	+	1000	598.0
420_62	chr19	47891955	47892158	+	1000	598.0
420_63	chr5	37226474	37226677	+	1000	597.0
420_64	chr10	78124271	78124484	+	1000	596.0
420_65	chr22	35377022	35377225	+	1000	596.0
420_66	chr3	195921404	195921606	+	1000	596.0
420_67	chr4	76953289	76953491	+	1000	594.0
420_68	chr4	5036379	5036589	+	1000	592.0
420_69	chr9	108108817	108109020	+	1000	592.0
420_70	chr7	29558058	29558262	+	1000	590.0
420_71	chr1	40815489	40815689	+	1000	589.0
420_72	chr16	79972129	79972329	+	1000	588.0
420_73	chr3	120741430	120741633	+	1000	586.0
420_74	chr9	129954990	129955191	+	1000	585.0
420_75	chr6	41961778	41961983	+	1000	584.0
420_76	chrX	150955042	150955243	+	1000	582.0
420_77	chr14	21988037	21988246	+	1000	581.0
420_78	chr11	61651175	61651379	+	1000	580.0
420_79	chr17	27573959	27574168	+	1000	580.0
420_80	chr2	85867229	85867432	+	1000	580.0
420_81	chr12	89975672	89975886	+	1000	576.0
420_82	chr3	4264123	4264327	+	1000	575.0
420_83	chr2	188607603	188607815	+	1000	574.0
420_84	chr1	200627162	200627363	+	1000	572.0
420_85	chr5	54744438	54744651	+	1000	572.0
420_86	chr10	9331657	9331863	+	1000	570.0
420_87	chr6	17907751	17907964	+	1000	569.0
420_88	chr10	29771494	29771704	+	1000	567.0
420_89	chr10	72260770	72260972	+	1000	567.0
420_90	chr2	61700555	61700755	+	1000	567.0
420_91	chr1	167748071	167748275	+	1000	564.0
420_92	chr1	211967795	211968010	+	1000	564.0
420_93	chr2	189347616	189347818	+	1000	564.0
420_94	chr17	55683603	55683807	+	1000	563.0
420_95	chr21	33761784	33761985	+	1000	563.0
420_96	chr6	129501529	129501729	+	1000	563.0
420_97	chr7	92809780	92809980	+	1000	563.0
420_98	chr22	30615777	30615982	+	1000	561.0
420_99	chr11	111795427	111795633	+	1000	560.0
420_100	chr6	39206406	39206612	+	1000	559.0
420_101	chr6	67493777	67493982	+	1000	559.0
420_102	chr1	248065716	248065918	+	1000	558.0
420_103	chr16	79064337	79064540	+	1000	558.0
420_104	chr8	125942142	125942345	+	1000	558.0
420_105	chr16	65975179	65975388	+	1000	554.0
420_106	chr6	25898364	25898564	+	1000	554.0
420_107	chr1	42962864	42963077	+	1000	550.0
420_108	chr4	18075850	18076051	+	1000	548.0
420_109	chr20	43731514	43731721	+	1000	547.0
420_110	chr4	185730454	185730658	+	1000	546.0
420_111	chr10	17633444	17633647	+	1000	543.0
420_112	chr7	135855946	135856152	+	1000	543.0
420_113	chr2	68288030	68288239	+	1000	542.0
420_114	chr16	113547	113752	+	1000	541.0
420_115	chr6	15936525	15936727	+	1000	541.0
420_116	chr7	125010637	125010838	+	1000	540.0
420_117	chr1	232905423	232905633	+	1000	538.0
420_118	chr1	228400693	228400900	+	1000	536.0
420_119	chr18	21830621	21830839	+	1000	536.0
420_120	chr11	46963930	46964145	+	1000	535.0
420_121	chr20	50838152	50838352	+	1000	535.0
420_122	chr7	108012598	108012805	+	1000	535.0
420_123	chr5	109468322	109468525	+	1000	534.0
420_124	chr6	17703431	17703632	+	1000	534.0
420_125	chr15	37053133	37053341	+	1000	532.0
420_126	chr7	120311121	120311322	+	1000	532.0
420_127	chr10	13502417	13502620	+	1000	531.0
420_128	chr18	11661505	11661710	+	1000	531.0
420_129	chr7	117792154	117792363	+	1000	531.0
420_130	chr15	58493070	58493273	+	1000	530.0
420_131	chr4	68240712	68240931	+	1000	529.0
420_132	chr1	109792246	109792460	+	1000	528.0
420_133	chr5	1231600	1231806	+	1000	528.0
420_134	chr5	126831279	126831488	+	1000	528.0
420_135	chr1	174428084	174428297	+	1000	527.0
420_136	chr6	7057666	7057868	+	1000	527.0
420_137	chr17	53749306	53749512	+	1000	525.0
420_138	chr16	46390457	46390716	+	1000	524.0
420_139	chr2	119317650	119317866	+	1000	523.0
420_140	chr7	101100198	101100399	+	1000	523.0
420_141	chr7	108246386	108246594	+	1000	523.0
420_142	chr6	67908472	67908673	+	1000	521.0
420_143	chr6	157450233	157450433	+	1000	520.0
420_144	chr6	88370221	88370432	+	1000	517.0
420_145	chr7	130026048	130026251	+	1000	517.0
420_146	chr15	26101537	26101746	+	1000	514.0
420_147	chr18	1037036	1037241	+	1000	514.0
420_148	chr7	139916089	139916290	+	1000	513.0
420_149	chr9	72839311	72839516	+	1000	513.0
420_150	chr1	14929460	14929668	+	1000	512.0
420_151	chr11	12863195	12863401	+	1000	512.0
420_152	chr6	26427502	26427708	+	1000	512.0
420_153	chr2	74554703	74554905	+	1000	511.0
420_154	chr8	97214753	97214962	+	1000	511.0
420_155	chr16	9047877	9048079	+	1000	510.0
420_156	chr2	191038482	191038687	+	1000	510.0
420_157	chr1	9719152	9719357	+	1000	509.0
420_158	chr6	3001889	3002105	+	1000	509.0
420_159	chr9	6473243	6473445	+	1000	509.0
420_160	chr2	111698970	111699171	+	1000	508.0
420_161	chr20	46334531	46334734	+	1000	508.0
420_162	chr5	143249292	143249495	+	1000	508.0
420_163	chr6	10518970	10519172	+	1000	508.0
420_164	chr1	20630809	20631022	+	1000	507.0
420_165	chr2	45171198	45171412	+	1000	507.0
420_166	chr22	21108752	21108959	+	1000	507.0
420_167	chr3	150847519	150847723	+	1000	507.0
420_168	chr10	24921440	24921645	+	1000	506.0
420_169	chr2	168518835	168519036	+	1000	504.0
420_170	chr1	119368582	119368785	+	1000	503.0
420_171	chr12	116559820	116560033	+	1000	503.0
420_172	chr19	29691011	29691215	+	1000	503.0
420_173	chr5	80854679	80854887	+	1000	503.0
420_174	chr6	125202223	125202427	+	1000	503.0
420_175	chr7	27655273	27655492	+	1000	502.0
420_176	chr10	57303664	57303866	+	1000	501.0
420_177	chr10	5071812	5072020	+	1000	500.0
420_178	chr11	71971774	71971982	+	1000	500.0
420_179	chr2	75491513	75491716	+	1000	500.0
420_180	chr12	6133708	6133912	+	1000	499.0
420_181	chr18	11947293	11947525	+	1000	499.0
420_182	chr8	124477673	124477873	+	1000	499.0
420_183	chrM	8028	8239	+	1000	499.0
420_184	chr1	78003383	78003590	+	1000	498.0
420_185	chr8	116789741	116789944	+	1000	498.0
420_186	chr17	59705067	59705275	+	1000	497.0
420_187	chr4	74682800	74683001	+	1000	497.0
420_188	chr7	105611948	105612151	+	1000	497.0
420_189	chr1	225428762	225428966	+	1000	496.0
420_190	chr2	188326780	188326988	+	1000	496.0
420_191	chr3	50517912	50518114	+	1000	496.0
420_192	chr3	143255824	143256026	+	1000	496.0
420_193	chr18	31591185	31591396	+	1000	495.0
420_194	chr16	71803386	71803592	+	1000	494.0
420_195	chr9	100096614	100096821	+	1000	494.0
420_196	chr10	64519501	64519708	+	1000	493.0
420_197	chr13	97250179	97250400	+	1000	492.0
420_198	chr8	100830756	100830961	+	1000	492.0
420_199	chrX	43836877	43837079	+	1000	492.0
420_200	chr4	102780485	102780685	+	1000	491.0
420_201	chr1	92708481	92708690	+	1000	490.0
420_202	chr20	34744450	34744650	+	1000	489.0
420_203	chr6	42028624	42028828	+	1000	489.0
420_204	chr8	130503224	130503427	+	1000	489.0
420_205	chr1	61077797	61078008	+	1000	487.0
420_206	chr4	141244512	141244713	+	1000	486.0
420_207	chr6	4942274	4942482	+	1000	486.0
420_208	chr10	33401390	33401605	+	1000	485.0
420_209	chr10	60788644	60788854	+	1000	485.0
420_210	chr18	3723259	3723466	+	1000	485.0
420_211	chr1	25694169	25694370	+	1000	484.0
420_212	chr2	79593562	79593770	+	1000	484.0
420_213	chr12	48296547	48296755	+	1000	483.0
420_214	chr15	83503694	83503898	+	1000	483.0
420_215	chr12	27049069	27049308	+	1000	482.0
420_216	chr19	3842945	3843149	+	1000	482.0
420_217	chr7	27345256	27345468	+	1000	482.0
420_218	chr1	25723382	25723594	+	1000	481.0
420_219	chr19	47895217	47895421	+	1000	481.0
420_220	chr16	48684241	48684453	+	1000	480.0
420_221	chr2	184308802	184309004	+	1000	480.0
420_222	chr7	116231954	116232159	+	1000	480.0
420_223	chr7	143448528	143448735	+	1000	480.0
420_224	chr17	34413145	34413348	+	1000	479.0
420_225	chr8	143741632	143741836	+	1000	478.0
420_226	chr16	48959837	48960045	+	1000	477.0
420_227	chr16	55000726	55000938	+	1000	477.0
420_228	chr5	76372682	76372889	+	1000	477.0
420_229	chr17	45277315	45277523	+	1000	476.0
420_230	chr8	17940614	17940818	+	1000	476.0
420_231	chr9	33619676	33619876	+	1000	476.0
420_232	chr1	61451314	61451528	+	1000	475.0
420_233	chr1	167118216	167118429	+	1000	475.0
420_234	chr10	119595407	119595610	+	1000	474.0
420_235	chr6	90285732	90285938	+	1000	474.0
420_236	chr15	100241647	100241859	+	1000	473.0
420_237	chr22	21868664	21868875	+	1000	472.0
420_238	chr22	23270437	23270639	+	1000	472.0
420_239	chr7	100081743	100081955	+	1000	470.0
420_240	chr11	86173048	86173253	+	1000	469.0
420_241	chr11	126839544	126839745	+	1000	469.0
420_242	chr12	132538701	132538904	+	1000	469.0
420_243	chr5	42555201	42555414	+	1000	469.0
420_244	chr18	9289790	9289995	+	1000	468.0
420_245	chr1	32936114	32936333	+	1000	467.0
420_246	chr6	13668607	13668809	+	1000	467.0
420_247	chr14	68156102	68156306	+	1000	466.0
420_248	chr4	67431094	67431294	+	1000	465.0
420_249	chr11	5280659	5280860	+	1000	464.0
420_250	chr20	46563899	46564111	+	1000	463.0
420_251	chr17	55237272	55237472	+	1000	462.0
420_252	chr18	3652939	3653150	+	1000	462.0
420_253	chr16	89995940	89996147	+	1000	461.0
420_254	chr4	112247115	112247315	+	1000	461.0
420_255	chr7	50534961	50535166	+	1000	461.0
420_256	chr5	64769907	64770120	+	1000	460.0
420_257	chr14	96362050	96362254	+	1000	459.0
420_258	chr16	25048600	25048802	+	1000	459.0
420_259	chr1	91125248	91125454	+	1000	458.0
420_260	chr8	41812361	41812562	+	1000	458.0
420_261	chr11	35305888	35306091	+	1000	457.0
420_262	chr1	209796075	209796277	+	1000	455.0
420_263	chr14	90388527	90388730	+	1000	455.0
420_264	chr3	120350453	120350655	+	1000	455.0
420_265	chr5	140718739	140718952	+	1000	455.0
420_266	chr1	154479812	154480018	+	1000	454.0
420_267	chr10	28684629	28684836	+	1000	453.0
420_268	chr8	132970334	132970536	+	1000	453.0
420_269	chr1	204647611	204647817	+	1000	452.0
420_270	chr11	85804014	85804223	+	1000	452.0
420_271	chr4	10096207	10096417	+	1000	452.0
420_272	chr4	152106295	152106499	+	1000	452.0
420_273	chr17	60469796	60470006	+	1000	451.0
