#PeakID(python identify_motif.py ./ENCODE_processed_files/SOX6_idr.fa SOX6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
986_10	chrM	13875	14275	+	1000	1238.5	[]	[]	[6.5548015]	[78]	[]	[14027]
986_1000	chr1	12745312	12745712	+	1000	300.5	[]	[]	[12.026935]	[149]	[]	[12745552]
986_10002	chr6	27785314	27785714	+	1000	93.5	[13.042722]	[163]	[]	[]	[27785537]	[]
986_10008	chr6	119303159	119303559	+	1000	93.5	[]	[]	[8.496483]	[128]	[]	[119303383]
986_1001	chr10	30070051	30070451	+	1000	300.5	[6.2220955, 6.2220955, 6.3845105]	[85, 114, 143]	[6.3118367]	[103]	[30070230, 30070259, 30070288]	[30070248]
986_10011	chr7	4625808	4626208	+	1000	93.5	[]	[]	[7.2768254]	[121]	[]	[4626003]
986_10019	chr7	102748652	102749052	+	1000	93.5	[6.2220955]	[155]	[6.2220955, 12.026935]	[77, 91]	[102748882]	[102748804, 102748818]
986_10022	chr8	26385427	26385827	+	1000	93.5	[13.042722]	[126]	[]	[]	[26385643]	[]
986_10023	chr8	30052488	30052888	+	1000	93.5	[]	[]	[11.946385]	[90]	[]	[30052668]
986_10024	chr8	41604225	41604625	+	1000	93.5	[8.055507]	[142]	[]	[]	[41604450]	[]
986_10026	chr8	126322456	126322856	+	1000	93.5	[]	[]	[12.799757]	[149]	[]	[126322676]
986_10029	chr9	104791805	104792205	+	1000	93.5	[]	[]	[9.315548]	[119]	[]	[104792006]
986_1003	chr19	44590458	44590858	+	1000	300.5	[7.3200583]	[104]	[6.2220955]	[101]	[44590657]	[44590654]
986_10032	chrX	155641472	155641872	+	1000	93.5	[]	[]	[12.18935, 6.3923864]	[69, 75]	[]	[155641637, 155641643]
986_10039	chr1	181021999	181022399	+	1000	93.0	[]	[]	[12.637342]	[95]	[]	[181022189]
986_10043	chr1	230860997	230861397	+	1000	93.0	[]	[]	[8.496483, 13.042722]	[106, 118]	[]	[230861192, 230861204]
986_10044	chr1	234874504	234874904	+	1000	93.0	[]	[]	[11.78397]	[76]	[]	[234874671]
986_10046	chr10	45437692	45438092	+	1000	93.0	[12.799757, 9.153132]	[93, 156]	[]	[]	[45437876, 45437939]	[]
986_1005	chr11	34727199	34727599	+	1000	300.0	[]	[]	[9.925955, 7.8125415]	[87, 124]	[]	[34727379, 34727416]
986_10050	chr10	103829962	103830362	+	1000	93.0	[]	[]	[12.18935, 6.2220955]	[86, 128]	[]	[103830146, 103830188]
