#PeakID(python identify_motif.py ./ENCODE_processed_files/SREBF2_idr.fa SREBF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
99_10009	chr22	22153024	22153424	+	1000	45.0	[5.374046]	[203]	[7.9399495]	[203]	[22153270]	[22153270]
99_10015	chr22	22843347	22843747	+	1000	45.0	[7.4101677]	[70]	[8.181284]	[70]	[22843503]	[22843503]
99_10031	chr3	24494204	24494604	+	1000	45.0	[4.884403]	[159]	[]	[]	[24494437]	[]
99_10052	chr3	183637692	183638092	+	1000	45.0	[9.16307]	[171]	[10.27358]	[171]	[183637890]	[183637890]
99_10056	chr3	195699890	195700290	+	1000	45.0	[5.41352]	[176]	[]	[]	[195700117]	[]
99_10060	chr3	196519022	196519422	+	1000	45.0	[4.8827033]	[176]	[5.809614]	[176]	[196519237]	[196519237]
99_1010	chr9	130810167	130810567	+	1000	77.0	[5.830057]	[195]	[5.115098]	[195]	[130810408]	[130810408]
99_10136	chr6	32244915	32245315	+	830	45.0	[5.760652]	[82]	[7.3718405, 5.2472296]	[82, 123]	[32245091]	[32245091, 32245132]
99_10143	chr6	34326643	34327043	+	1000	45.0	[9.16307]	[128]	[10.27358]	[128]	[34326832]	[34326832]
99_10150	chr6	37048103	37048503	+	1000	45.0	[9.542401]	[115]	[9.642931]	[115]	[37048315]	[37048315]
99_10174	chr6	152875708	152876108	+	1000	45.0	[5.374046]	[108]	[7.9399495]	[108]	[152875859]	[152875859]
99_10198	chr7	93592607	93593007	+	1000	45.0	[4.7707453]	[96]	[5.2378263]	[96]	[93592760]	[93592760]
99_10207	chr7	105396217	105396617	+	707	45.0	[6.174386, 5.374046]	[279, 287]	[6.589189, 7.9399495]	[279, 287]	[105396415, 105396423]	[105396415, 105396423]
99_10223	chr7	117124621	117125021	+	1000	45.0	[]	[]	[4.8692756]	[99]	[]	[117124808]
99_10227	chr7	120993604	120994004	+	1000	45.0	[13.96803]	[178]	[12.337635]	[178]	[120993842]	[120993842]
99_10246	chr7	152395174	152395574	+	1000	45.0	[]	[]	[5.2537107]	[72]	[]	[152395326]
99_10263	chr8	102751074	102751474	+	1000	45.0	[9.881098]	[133]	[10.132329]	[133]	[102751257]	[102751257]
99_10273	chr9	94165713	94166113	+	1000	45.0	[11.587584]	[163]	[10.497101]	[163]	[94165943]	[94165943]
99_10280	chr9	120814551	120814951	+	1000	45.0	[9.16307]	[170]	[10.27358]	[170]	[120814728]	[120814728]
99_10303	chrX	53433918	53434318	+	1000	45.0	[9.610193]	[161]	[9.542401]	[161]	[53434086]	[53434086]
99_10315	chr1	11981458	11981858	+	990	44.0	[]	[]	[5.917151]	[74]	[]	[11981625]
99_10342	chr1	28884918	28885318	+	1000	44.0	[5.954486]	[171]	[5.954486]	[171]	[28885153]	[28885153]
99_10344	chr1	30717653	30718053	+	1000	44.0	[7.9399495]	[211]	[5.374046]	[211]	[30717876]	[30717876]
99_10370	chr1	93442302	93442702	+	1000	44.0	[7.98505]	[109]	[5.206837]	[109]	[93442454]	[93442454]
99_10375	chr1	109388935	109389335	+	1000	44.0	[8.528767]	[175]	[6.377666]	[175]	[109389127]	[109389127]
99_1038	chr17	63849331	63849731	+	1000	76.0	[5.873199]	[112]	[7.256073]	[112]	[63849504]	[63849504]
99_10384	chr1	144523841	144524241	+	1000	44.0	[]	[]	[5.1003165]	[147]	[]	[144524079]
99_10410	chr1	174204581	174204981	+	1000	44.0	[8.632918]	[205]	[7.437353]	[205]	[174204795]	[174204795]
99_10426	chr1	206925457	206925857	+	1000	44.0	[]	[]	[5.730965]	[218]	[]	[206925678]
99_10436	chr1	228086097	228086497	+	1000	44.0	[5.374046]	[194]	[7.9399495]	[194]	[228086301]	[228086301]
99_10453	chr10	11165753	11166153	+	1000	44.0	[]	[]	[7.3857613]	[155]	[]	[11165934]
99_1048	chr22	21639810	21640210	+	1000	76.0	[9.16307]	[158]	[10.27358]	[158]	[21640034]	[21640034]
99_10485	chr11	353921	354321	+	1000	44.0	[9.881098]	[150]	[10.132329]	[150]	[354106]	[354106]
99_10552	chr12	93442175	93442575	+	1000	44.0	[5.739731]	[77]	[5.330423]	[77]	[93442350]	[93442350]
99_10562	chr12	121933850	121934250	+	1000	44.0	[]	[]	[5.8035364]	[103]	[]	[121934040]
99_10563	chr12	123383382	123383782	+	987	44.0	[9.16307]	[109]	[10.27358]	[109]	[123383544]	[123383544]
99_10567	chr13	80581323	80581723	+	1000	44.0	[11.355849]	[196]	[11.104618]	[196]	[80581531]	[80581531]
99_10636	chr16	84145269	84145669	+	1000	44.0	[]	[]	[5.0077453]	[100]	[]	[84145467]
99_10638	chr16	85441117	85441517	+	1000	44.0	[5.1328235]	[123]	[6.2910986]	[123]	[85441335]	[85441335]
99_10657	chr17	42018964	42019364	+	1000	44.0	[7.0714707]	[136]	[7.691886]	[136]	[42019185]	[42019185]
99_10658	chr17	42277372	42277772	+	1000	44.0	[5.300137]	[96]	[]	[]	[42277563]	[]
99_10670	chr17	73010885	73011285	+	1000	44.0	[5.93444]	[198]	[5.662076]	[198]	[73011087]	[73011087]
99_10681	chr17	82292606	82293006	+	1000	44.0	[9.602491]	[216]	[11.42953]	[216]	[82292846]	[82292846]
99_10685	chr18	9008604	9009004	+	1000	44.0	[]	[]	[6.4171405]	[116]	[]	[9008791]
99_10735	chr19	45607118	45607518	+	1000	44.0	[5.367403]	[158]	[7.253585]	[158]	[45607357]	[45607357]
99_10741	chr19	48584139	48584539	+	1000	44.0	[5.809614]	[217]	[4.8827033]	[217]	[48584385]	[48584385]
99_10761	chr2	43609344	43609744	+	1000	44.0	[6.168754]	[112]	[5.6044965]	[112]	[43609552]	[43609552]
99_10767	chr2	64854751	64855151	+	1000	44.0	[6.244045, 4.7514]	[133, 181]	[8.123887, 5.7983303]	[133, 181]	[64854909, 64854957]	[64854909, 64854957]
99_10805	chr20	32539120	32539520	+	1000	44.0	[7.5412455]	[202]	[7.983921]	[202]	[32539368]	[32539368]
99_10811	chr20	35541490	35541890	+	1000	44.0	[5.7498374]	[156]	[7.480763]	[156]	[35541690]	[35541690]
99_10826	chr21	38804714	38805114	+	1000	44.0	[5.180429]	[120]	[]	[]	[38804885]	[]
99_1083	chr9	131162865	131163265	+	1000	76.0	[8.334932]	[205]	[7.79502]	[205]	[131163077]	[131163077]
99_10837	chr22	16654719	16655119	+	1000	44.0	[11.355849, 5.144649]	[100, 114]	[11.104618, 5.916586]	[100, 114]	[16654896, 16654910]	[16654896, 16654910]
99_10842	chr22	19148482	19148882	+	1000	44.0	[4.8048553]	[180]	[7.7311254]	[180]	[19148673]	[19148673]
99_10843	chr22	19156161	19156561	+	1000	44.0	[4.918883]	[191]	[6.626487]	[191]	[19156375]	[19156375]
99_10861	chr22	19930238	19930638	+	1000	44.0	[8.026171]	[157]	[9.6365385]	[157]	[19930428]	[19930428]
99_10869	chr22	20271532	20271932	+	957	44.0	[]	[]	[5.5897145]	[124]	[]	[20271713]
99_10884	chr22	22045058	22045458	+	1000	44.0	[10.27358]	[130]	[9.16307]	[130]	[22045272]	[22045272]
99_1091	chr1	203861355	203861755	+	1000	75.0	[6.538294, 6.487368]	[132, 182]	[5.1848216, 6.6691823]	[132, 182]	[203861517, 203861567]	[203861517, 203861567]
99_10928	chr3	36957998	36958398	+	1000	44.0	[5.1606174]	[158]	[4.986595]	[158]	[36958221]	[36958221]
99_10935	chr3	45052796	45053196	+	1000	44.0	[4.8246136]	[84]	[5.1176724]	[84]	[45052961]	[45052961]
99_10960	chr3	196941086	196941486	+	1000	44.0	[6.589189]	[148]	[6.174386]	[148]	[196941321]	[196941321]
99_10969	chr4	87058756	87059156	+	1000	44.0	[6.3137712]	[177]	[5.0314274]	[177]	[87058953]	[87058953]
99_10978	chr4	151760764	151761164	+	1000	44.0	[11.114115]	[168]	[12.74451]	[168]	[151761001]	[151761001]
99_10994	chr5	76372906	76373306	+	1000	44.0	[9.938496]	[184]	[11.298452]	[184]	[76373107]	[76373107]
99_11017	chr5	177390441	177390841	+	1000	44.0	[7.9888544]	[116]	[6.9175787]	[116]	[177390598]	[177390598]
99_11028	chr6	4175713	4176113	+	1000	44.0	[10.27358]	[75]	[9.16307]	[75]	[4175876]	[4175876]
99_11030	chr6	6851065	6851465	+	879	44.0	[5.180429]	[117]	[]	[]	[6851256]	[]
99_11042	chr6	15248843	15249243	+	1000	44.0	[6.328761]	[210]	[6.985234]	[210]	[15249094]	[15249094]
99_11051	chr6	26195430	26195830	+	1000	44.0	[4.9095244]	[107]	[]	[]	[26195582]	[]
99_11101	chr6	139826059	139826459	+	979	44.0	[4.8516054]	[209]	[5.942088]	[209]	[139826297]	[139826297]
