#PeakID	chr	start	end	strand	idrScore	count
978_0	chr16	2268042	2268250	+	1000	870.0
978_1	chr9	131125479	131125683	+	1000	844.0
978_2	chr4	119454608	119454814	+	1000	819.0
978_3	chrM	12437	12638	+	1000	818.0
978_4	chrM	16012	16249	+	1000	816.0
978_5	chr16	1420662	1420865	+	1000	813.0
978_6	chr12	132144305	132144505	+	1000	808.0
978_7	chrM	11846	12104	+	1000	808.0
978_8	chrM	9695	9909	+	1000	806.0
978_9	chr6	17706850	17707054	+	1000	805.0
978_10	chrM	10574	10774	+	1000	805.0
978_11	chrM	3563	3768	+	1000	804.0
978_12	chrM	15112	15372	+	1000	804.0
978_13	chr1	70205575	70205776	+	1000	803.0
978_14	chr12	123633663	123633874	+	1000	802.0
978_15	chrM	2912	3285	+	1000	801.0
978_16	chrM	11101	11312	+	1000	801.0
978_17	chrM	13708	14054	+	1000	801.0
978_18	chr4	152536031	152536333	+	1000	800.0
978_19	chr12	132446022	132446227	+	1000	794.0
978_20	chr11	65570336	65570545	+	1000	787.0
978_21	chrM	4855	5062	+	1000	786.0
978_22	chr12	122896107	122896310	+	1000	781.0
978_23	chr1	1724321	1724523	+	1000	779.0
978_24	chr22	19144682	19144885	+	1000	779.0
978_25	chr7	158829505	158829709	+	1000	778.0
978_26	chr1	1658913	1659115	+	1000	776.0
978_27	chr1	2180421	2180621	+	1000	776.0
978_28	chr8	143541364	143541720	+	1000	776.0
978_29	chr22	20117150	20117350	+	1000	773.0
978_30	chr1	186375682	186375892	+	1000	771.0
978_31	chr1	156728766	156728970	+	1000	767.0
978_32	chr1	31644547	31644748	+	1000	766.0
978_33	chr3	128879373	128879711	+	1000	766.0
978_34	chr16	88706372	88706577	+	1000	764.0
978_35	chr20	33811028	33811229	+	1000	764.0
978_36	chr11	65084093	65084299	+	1000	763.0
978_37	chr17	38825270	38825470	+	1000	763.0
978_38	chr17	81119714	81119926	+	1000	762.0
978_39	chr7	23181870	23182072	+	1000	762.0
978_40	chr4	39458872	39459073	+	1000	760.0
