#PeakID(python identify_motif.py ./ENCODE_processed_files/RREB1_idr.fa RREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
874_10007	chr5	177428057	177428457	+	1000	38.0	[]	[]	[7.336976]	[119]	[]	[177428214]
874_10010	chr6	14464021	14464421	+	1000	38.0	[3.4012365, 10.628754, 2.7746134, 16.94799]	[116, 123, 125, 126]	[]	[]	[14464185, 14464192, 14464194, 14464195]	[]
874_10019	chr6	31598434	31598834	+	1000	38.0	[1.7302203, 2.4813392]	[186, 191]	[]	[]	[31598624, 31598629]	[]
874_10022	chr6	33571041	33571441	+	1000	38.0	[12.094246]	[212]	[]	[]	[33571282]	[]
874_10023	chr6	35726284	35726684	+	1000	38.0	[3.3316848, 10.983465, 4.3252535]	[175, 177, 179]	[15.15118, 6.5947657, 3.956119, 2.765144]	[116, 118, 119, 121]	[35726531, 35726533, 35726535]	[35726472, 35726474, 35726475, 35726477]
874_10024	chr6	43013315	43013715	+	1000	38.0	[2.8927171, 2.6316926]	[151, 152]	[]	[]	[43013515, 43013516]	[]
874_10026	chr6	50030737	50031137	+	1000	38.0	[8.642218, 2.9568896]	[156, 157]	[]	[]	[50030941, 50030942]	[]
874_10028	chr6	83132109	83132509	+	1000	38.0	[4.1698666, 3.3316848]	[189, 191]	[]	[]	[83132358, 83132360]	[]
874_10032	chr6	136425993	136426393	+	1000	38.0	[4.086534]	[192]	[]	[]	[136426215]	[]
874_10038	chr7	36217420	36217820	+	1000	38.0	[4.55573]	[151]	[5.1836233]	[114]	[36217648]	[36217611]
874_10040	chr7	43758206	43758606	+	780	38.0	[7.2736855, 12.632442, 3.6324492, 8.39913, 6.684256, 13.764148, 3.767643, 3.5259714, 7.524204]	[179, 182, 183, 184, 185, 186, 189, 191, 193]	[]	[]	[43758419, 43758422, 43758423, 43758424, 43758425, 43758426, 43758429, 43758431, 43758433]	[]
874_10041	chr7	50450170	50450570	+	1000	38.0	[]	[]	[2.1186657, 2.1186657]	[151, 159]	[]	[50450397, 50450405]
874_1006	chr1	201578412	201578812	+	1000	69.5	[]	[]	[1.6449046]	[160]	[]	[201578649]
874_10060	chr7	151782797	151783197	+	1000	38.0	[5.6684904]	[152]	[]	[]	[151782997]	[]
874_10083	chr9	128786948	128787348	+	1000	38.0	[]	[]	[2.5230017]	[155]	[]	[128787196]
874_10084	chr9	129176888	129177288	+	1000	38.0	[6.8188224]	[163]	[]	[]	[129177087]	[]
