#PeakID	chr	start	end	strand	idrScore	count
345_0	chr1	28883947	28884152	+	1000	806.0
345_1	chr22	20025464	20025667	+	1000	805.0
345_2	chr10	61765698	61765921	+	1000	804.0
345_3	chr6	49646422	49646628	+	1000	802.0
345_4	chr5	154653969	154654185	+	1000	799.0
345_5	chr1	47181252	47181468	+	1000	798.0
345_6	chr1	228513347	228513548	+	1000	798.0
345_7	chr7	103996214	103996419	+	1000	798.0
345_8	chr11	33944805	33945027	+	1000	797.0
345_9	chr8	23494231	23494442	+	1000	796.0
345_10	chr7	73886139	73886343	+	1000	795.0
345_11	chr7	116876932	116877139	+	1000	795.0
345_12	chr10	46001341	46001558	+	1000	793.0
345_13	chr17	44266639	44266840	+	1000	793.0
345_14	chrM	16015	16223	+	1000	793.0
345_15	chr17	28865380	28865595	+	1000	792.0
345_16	chr1	179047037	179047261	+	1000	791.0
345_17	chr1	229555203	229555422	+	1000	791.0
345_18	chr6	163777341	163777545	+	1000	790.0
345_19	chr1	12448912	12449115	+	1000	789.0
345_20	chr1	225928519	225928728	+	1000	788.0
345_21	chr16	89004193	89004394	+	1000	785.0
345_22	chr4	70903303	70903508	+	1000	785.0
345_23	chr5	135134109	135134324	+	1000	785.0
345_24	chr4	78692010	78692212	+	1000	783.0
345_25	chr10	50550382	50550587	+	1000	782.0
345_26	chr7	139090970	139091176	+	1000	782.0
345_27	chr1	164712307	164712515	+	1000	780.0
345_28	chr17	42699161	42699374	+	1000	779.0
345_29	chr2	6893956	6894167	+	1000	779.0
345_30	chr9	125284954	125285162	+	1000	779.0
345_31	chr17	49739933	49740135	+	1000	778.0
345_32	chr3	143085117	143085318	+	1000	777.0
345_33	chr7	20219847	20220071	+	1000	777.0
345_34	chr1	43522860	43523060	+	1000	776.0
345_35	chr1	225999476	225999693	+	1000	775.0
345_36	chr7	155324133	155324335	+	1000	775.0
345_37	chr11	95153474	95153675	+	1000	774.0
345_38	chr3	14232479	14232695	+	1000	774.0
345_39	chr1	30768999	30769202	+	1000	773.0
345_40	chr12	54295791	54295999	+	1000	773.0
345_41	chr1	113914317	113914526	+	1000	772.0
345_42	chr1	114380093	114380307	+	1000	770.0
345_43	chr12	69624064	69624270	+	1000	770.0
345_44	chr12	119665680	119665888	+	1000	770.0
345_45	chr2	55140612	55140816	+	1000	770.0
345_46	chr3	193660760	193660991	+	1000	770.0
345_47	chr7	138257639	138257846	+	1000	770.0
345_48	chr6	135323234	135323482	+	1000	769.0
345_49	chr10	73456307	73456516	+	1000	767.0
345_50	chr17	11908808	11909038	+	1000	767.0
345_51	chr19	47891990	47892201	+	1000	767.0
345_52	chr1	44036012	44036219	+	1000	766.0
345_53	chr12	117042356	117042573	+	1000	766.0
345_54	chr7	16269065	16269269	+	1000	766.0
345_55	chrM	90	290	+	1000	766.0
345_56	chr1	185284718	185284935	+	1000	765.0
345_57	chr6	16031306	16031511	+	1000	765.0
345_58	chr6	160101542	160101758	+	1000	764.0
345_59	chr7	106978626	106978850	+	1000	764.0
345_60	chr7	129958723	129958932	+	1000	764.0
345_61	chr1	224503565	224503779	+	1000	763.0
345_62	chr7	138352723	138352933	+	1000	763.0
345_63	chr20	47360670	47360877	+	1000	762.0
345_64	chr1	160540214	160540415	+	1000	761.0
345_65	chr1	204672495	204672709	+	1000	761.0
345_66	chr21	46320486	46320696	+	1000	761.0
345_67	chr5	16418578	16418782	+	1000	761.0
345_68	chr5	76658043	76658255	+	1000	760.0
345_69	chr1	166705521	166705725	+	1000	758.0
345_70	chr6	32131628	32131831	+	1000	758.0
345_71	chr1	65293109	65293325	+	1000	757.0
345_72	chr1	27542639	27542848	+	1000	755.0
345_73	chr19	8418201	8418409	+	1000	755.0
