#PeakID	chr	start	end	strand	idrScore	count
755_0	chrM	71	289	+	1000	767.0
755_1	chr3	93470482	93470808	+	1000	752.0
755_2	chrM	12859	13079	+	1000	686.0
755_3	chr9	131125480	131125685	+	1000	676.0
755_4	chrM	10550	10778	+	1000	669.0
755_5	chrM	11166	11370	+	1000	656.0
755_6	chrM	11817	12080	+	1000	654.0
755_7	chrM	3096	3324	+	1000	645.0
755_8	chrM	9712	9930	+	1000	628.0
755_9	chrM	13859	14060	+	1000	627.0
755_10	chrM	4844	5049	+	1000	622.0
755_11	chr4	119454610	119454813	+	1000	621.0
755_12	chrM	2296	2651	+	1000	611.0
755_13	chr16	46390435	46390772	+	1000	606.0
755_14	chrM	6124	6343	+	1000	596.0
755_15	chrM	5244	5567	+	1000	585.0
755_16	chrM	7943	8251	+	1000	553.0
755_17	chr16	1971926	1972128	+	1000	539.0
755_18	chr12	132144308	132144530	+	1000	527.0
755_19	chr17	38825270	38825474	+	1000	508.0
755_20	chr6	17706848	17707051	+	1000	506.0
755_21	chr9	137188497	137188710	+	1000	500.0
755_22	chr16	46394689	46394893	+	1000	490.0
755_23	chr3	9986763	9986973	+	1000	490.0
755_24	chr1	1574811	1575020	+	1000	487.0
755_25	chr6	149546002	149546204	+	1000	486.0
755_26	chr3	10026293	10026495	+	1000	478.0
755_27	chrM	9214	9430	+	1000	477.0
755_28	chr12	120446315	120446532	+	1000	476.0
755_29	chr1	40161199	40161402	+	1000	475.0
755_30	chr1	228109209	228109410	+	1000	475.0
755_31	chr22	19171564	19171773	+	1000	471.0
755_32	chr7	66844885	66845087	+	1000	466.0
755_33	chr1	778608	778811	+	1000	457.0
755_34	chr11	60841947	60842153	+	1000	453.0
755_35	chr1	31644547	31644752	+	1000	449.0
755_36	chr19	35628929	35629139	+	1000	449.0
755_37	chr4	118591612	118591816	+	1000	436.0
755_38	chrM	7141	7346	+	1000	435.0
755_39	chr1	9428884	9429087	+	1000	434.0
755_40	chr2	28870213	28870414	+	1000	429.0
755_41	chr16	88706372	88706575	+	1000	424.0
755_42	chr12	123633666	123633867	+	1000	423.0
755_43	chr4	8440669	8440878	+	1000	422.0
755_44	chr18	2571363	2571588	+	1000	419.0
755_45	chr3	16264896	16265110	+	1000	418.0
755_46	chr1	223992561	223992770	+	1000	415.0
755_47	chr7	45768950	45769158	+	1000	412.0
755_48	chrUn_KI270438v1	109505	109705	+	1000	409.0
755_49	chrM	1624	1827	+	1000	406.0
755_50	chr4	39458868	39459074	+	1000	400.0
755_51	chr1	243101648	243101862	+	1000	396.0
755_52	chr1	2180406	2180606	+	1000	390.0
755_53	chr12	132446015	132446273	+	1000	385.0
755_54	chr17	35587146	35587350	+	1000	385.0
755_55	chr16	34586725	34586950	+	1000	383.0
755_56	chrUn_KI270467v1	2229	2456	+	1000	381.0
755_57	chr11	4094687	4094901	+	1000	379.0
755_58	chr2	108719318	108719519	+	1000	377.0
755_59	chr4	56387412	56387614	+	1000	377.0
755_60	chr9	92115316	92115524	+	1000	377.0
755_61	chr19	35612625	35612832	+	1000	374.0
755_62	chr16	2268038	2268249	+	1000	373.0
755_63	chr19	54115644	54115846	+	1000	373.0
755_64	chr1	19210254	19210459	+	1000	371.0
755_65	chr16	67227005	67227223	+	1000	371.0
755_66	chr21	44339329	44339533	+	1000	367.0
755_67	chr1	70205521	70205791	+	1000	366.0
755_68	chr4	499089	499299	+	1000	365.0
755_69	chr16	46388662	46388863	+	1000	363.0
755_70	chr6	43059338	43059542	+	1000	363.0
755_71	chr15	72783681	72783882	+	1000	362.0
755_72	chr1	53238420	53238640	+	1000	360.0
755_73	chr10	73167972	73168181	+	1000	356.0
755_74	chr3	52409925	52410127	+	1000	356.0
755_75	chr12	82358313	82358518	+	1000	355.0
755_76	chr16	71845853	71846055	+	1000	355.0
755_77	chr5	71455488	71455697	+	1000	354.0
755_78	chr19	16572399	16572602	+	1000	352.0
755_79	chr1	11980341	11980546	+	1000	351.0
755_80	chr6	37433102	37433310	+	1000	351.0
