#PeakID	chr	start	end	strand	idrScore	count
771_0	chrX	2457305	2457515	+	1000	812.0
771_1	chrM	15023	15231	+	1000	808.0
771_2	chrX	2464625	2464858	+	1000	805.0
771_3	chrM	20	237	+	1000	804.0
771_4	chrM	13854	14056	+	1000	803.0
771_5	chrM	4842	5055	+	1000	802.0
771_6	chrM	10577	10798	+	1000	802.0
771_7	chrM	9721	10023	+	1000	801.0
771_8	chrM	11161	11370	+	1000	799.0
771_9	chrM	5255	5479	+	1000	783.0
771_10	chrX	2475485	2475699	+	1000	781.0
771_11	chrX	2464026	2464350	+	1000	778.0
771_12	chr3	93470457	93470677	+	1000	738.0
771_13	chrM	7936	8264	+	1000	706.0
771_14	chr15	40108985	40109188	+	1000	682.0
771_15	chr1	1307923	1308133	+	1000	658.0
771_16	chr17	78975057	78975277	+	1000	641.0
771_17	chr19	45717497	45717708	+	1000	624.0
771_18	chr7	91264244	91264449	+	1000	603.0
771_19	chrM	1636	1861	+	1000	602.0
771_20	chr19	55647893	55648094	+	1000	599.0
771_21	chrM	7145	7348	+	1000	596.0
771_22	chr16	67191957	67192163	+	1000	589.0
771_23	chr16	46390433	46390799	+	1000	578.0
771_24	chr6	15245806	15246012	+	1000	564.0
771_25	chr12	45727572	45727776	+	1000	557.0
771_26	chrM	9068	9419	+	1000	557.0
771_27	chr11	71928652	71928977	+	1000	554.0
771_28	chr7	102363550	102363764	+	1000	533.0
771_29	chr10	73496002	73496211	+	1000	530.0
771_30	chr12	132687431	132687632	+	1000	528.0
771_31	chr1	151716809	151717017	+	1000	507.0
771_32	chr6	73521198	73521398	+	1000	505.0
771_33	chr20	49713903	49714127	+	1000	501.0
771_34	chr7	151277096	151277307	+	1000	501.0
771_35	chr16	370541	370759	+	1000	484.0
771_36	chr12	45728781	45729002	+	1000	479.0
771_37	chr8	143597108	143597316	+	1000	474.0
771_38	chr11	65027258	65027468	+	1000	457.0
771_39	chr12	31728982	31729193	+	1000	457.0
771_40	chr16	46394687	46394891	+	1000	452.0
771_41	chr2	46500331	46500538	+	1000	450.0
771_42	chr10	103193280	103193488	+	1000	439.0
771_43	chr7	72879053	72879285	+	1000	435.0
