#PeakID	chr	start	end	strand	idrScore	count
368_0	chrM	463	805	+	1000	1719.5
368_1	chrM	6277	6968	+	1000	1570.5
368_2	chr3	93470603	93470803	+	1000	1088.5
368_3	chr21	46320507	46320707	+	1000	1084.0
368_4	chr8	18122765	18122971	+	1000	1033.5
368_5	chrM	12439	12691	+	1000	998.0
368_6	chrM	11967	12169	+	1000	985.5
368_7	chr1	108533913	108534115	+	1000	954.5
368_8	chr1	12448885	12449112	+	1000	883.5
368_9	chr1	241696105	241696313	+	1000	860.5
368_10	chr16	46390586	46390797	+	1000	858.0
368_11	chr22	19419634	19420026	+	1000	856.5
368_12	chr3	45137733	45137950	+	1000	853.5
368_13	chr10	46001329	46001548	+	1000	844.5
368_14	chrM	14015	14237	+	1000	840.0
368_15	chr1	228513325	228513526	+	1000	839.0
368_16	chr5	135134126	135134327	+	1000	836.0
368_17	chrM	3254	3564	+	1000	836.0
368_18	chr19	47891993	47892203	+	1000	833.5
368_19	chr1	160540219	160540421	+	1000	832.5
368_20	chr6	16031301	16031529	+	1000	832.0
368_21	chrM	10559	10869	+	1000	832.0
368_22	chrM	11090	11307	+	1000	830.5
368_23	chr1	225928521	225928753	+	1000	828.5
368_24	chrM	1782	2143	+	1000	828.0
368_25	chr15	90901832	90902039	+	1000	822.0
368_26	chr5	160261015	160261252	+	1000	819.5
368_27	chr2	6893960	6894201	+	1000	819.0
368_28	chrM	5237	5449	+	1000	819.0
368_29	chrM	8098	8364	+	1000	817.5
368_30	chr14	31059495	31059858	+	1000	816.5
368_31	chr17	11908824	11909033	+	1000	815.5
368_32	chr10	43418047	43418266	+	1000	812.5
368_33	chr4	110248890	110249105	+	1000	810.5
368_34	chr1	207520192	207520405	+	1000	808.5
368_35	chrM	8605	8825	+	1000	808.5
368_36	chr7	107836415	107836624	+	1000	807.5
368_37	chr6	70337549	70337754	+	1000	805.5
368_38	chr4	5003565	5003774	+	1000	800.5
368_39	chr6	161254924	161255125	+	1000	800.5
368_40	chr5	56123815	56124028	+	1000	800.0
368_41	chr3	125433176	125433376	+	1000	799.5
368_42	chr1	164712329	164712529	+	1000	793.0
368_43	chr16	85535453	85535673	+	1000	791.5
368_44	chr18	6676002	6676404	+	1000	791.0
368_45	chr17	64923016	64923276	+	1000	790.5
368_46	chr21	44854856	44855058	+	1000	790.5
368_47	chr6	14734564	14734903	+	1000	790.0
368_48	chr17	33905408	33905633	+	1000	788.0
368_49	chr11	76700538	76700776	+	1000	787.0
368_50	chr3	98583820	98584031	+	1000	786.5
368_51	chrM	7604	7968	+	1000	786.5
368_52	chr15	68991797	68992028	+	1000	784.5
368_53	chr2	6847383	6847592	+	1000	783.5
368_54	chr6	32131640	32131855	+	1000	780.5
368_55	chr10	92756312	92756515	+	1000	779.5
368_56	chr20	29781969	29782169	+	1000	778.5
368_57	chr2	85934223	85934470	+	1000	778.0
368_58	chr6	28335138	28335354	+	1000	777.5
368_59	chrX	38653211	38653412	+	1000	777.0
368_60	chr10	29009545	29009751	+	1000	775.5
368_61	chr19	52936419	52936630	+	1000	775.5
368_62	chr5	126884472	126884696	+	1000	773.0
368_63	chr3	5108395	5108609	+	1000	772.5
368_64	chr11	62042080	62042281	+	1000	772.0
368_65	chr2	237965092	237965312	+	1000	772.0
368_66	chr7	99835270	99835481	+	1000	772.0
368_67	chr12	116197254	116197457	+	1000	769.5
368_68	chr5	86526944	86527186	+	1000	768.5
368_69	chr9	131331382	131331584	+	1000	768.5
368_70	chr3	196512100	196512333	+	1000	767.0
368_71	chr11	5280626	5280836	+	1000	766.5
368_72	chr7	129720436	129720644	+	1000	766.5
368_73	chr7	6451361	6451586	+	1000	765.0
368_74	chrX	153898001	153898211	+	1000	764.0
368_75	chr17	76406007	76406218	+	1000	760.5
368_76	chr22	21947704	21947934	+	1000	759.5
368_77	chr10	17425883	17426106	+	1000	758.5
368_78	chr17	28527347	28527557	+	1000	758.0
368_79	chr10	15451234	15451464	+	1000	757.5
368_80	chr8	26391114	26391314	+	1000	755.5
368_81	chr10	95531988	95532315	+	1000	755.0
368_82	chr3	44518231	44518442	+	1000	755.0
368_83	chr8	38091770	38091972	+	1000	754.5
368_84	chr1	211222489	211222734	+	1000	751.5
368_85	chr1	44036044	44036349	+	1000	750.5
368_86	chr22	36368561	36368817	+	1000	750.5
368_87	chr7	121038762	121038988	+	1000	749.5
368_88	chr4	123349480	123349704	+	1000	749.0
368_89	chr3	141849098	141849298	+	1000	747.0
368_90	chr10	17662818	17663029	+	1000	746.0
368_91	chr2	102069389	102069600	+	1000	746.0
368_92	chr3	37987013	37987219	+	1000	746.0
368_93	chr5	10588948	10589173	+	1000	745.5
368_94	chr7	102441678	102441879	+	1000	745.5
368_95	chr8	123922149	123922375	+	1000	744.5
368_96	chr14	20177506	20177709	+	1000	743.0
368_97	chr1	26070495	26070700	+	1000	742.0
368_98	chr19	48878740	48878977	+	1000	742.0
368_99	chr22	23177252	23177466	+	1000	741.5
368_100	chr5	154834971	154835183	+	1000	740.5
368_101	chr8	127898841	127899065	+	1000	740.5
368_102	chr2	157221487	157221687	+	1000	739.5
368_103	chr1	40820964	40821179	+	1000	738.5
368_104	chr11	64335116	64335327	+	1000	738.5
368_105	chr2	68121106	68121310	+	1000	738.5
