#PeakID(python identify_motif.py ./ENCODE_processed_files/CUX1_idr.fa CUX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
152_1	chrM	9776	10176	+	1000	793.0	[6.0151424]	[128]	[10.203943]	[128]	[9976]	[9976]
152_1000	chr11	46277371	46277771	+	1000	89.0	[6.0151424]	[133]	[10.203943]	[133]	[46277599]	[46277599]
152_1001	chr12	46661326	46661726	+	1000	89.0	[]	[]	[5.975493]	[121]	[]	[46661523]
152_10037	chr17	45487726	45488126	+	986	37.0	[6.0151424]	[93]	[10.203943]	[93]	[45487912]	[45487912]
152_10039	chr17	48293795	48294195	+	983	37.0	[10.203943, 10.203943]	[97, 145]	[6.0151424, 6.0151424]	[97, 145]	[48293975, 48294023]	[48293975, 48294023]
152_10052	chr17	82457791	82458191	+	1000	37.0	[10.203943, 10.203943]	[89, 111]	[6.0151424, 6.0151424]	[89, 111]	[82457977, 82457999]	[82457977, 82457999]
152_10062	chr18	35118169	35118569	+	1000	37.0	[10.203943, 6.0151424]	[131, 147]	[6.0151424, 10.203943]	[131, 147]	[35118376, 35118392]	[35118376, 35118392]
152_10068	chr18	75218153	75218553	+	1000	37.0	[10.935475]	[164]	[10.935475]	[164]	[75218391]	[75218391]
152_10083	chr19	45499463	45499863	+	1000	37.0	[6.0151424]	[184]	[10.203943]	[184]	[45499696]	[45499696]
152_10095	chr2	20438469	20438869	+	737	37.0	[10.203943]	[99]	[6.0151424]	[99]	[20438655]	[20438655]
152_10101	chr2	42196318	42196718	+	1000	37.0	[]	[]	[5.975493]	[87]	[]	[42196479]
152_10104	chr2	54597147	54597547	+	652	37.0	[5.975493, 10.203943]	[80, 101]	[6.0151424]	[101]	[54597317, 54597338]	[54597338]
152_10109	chr2	90400968	90401368	+	1000	37.0	[10.935475]	[76]	[10.935475]	[76]	[90401143]	[90401143]
152_10124	chr2	172501645	172502045	+	1000	37.0	[5.975493, 6.0151424]	[96, 145]	[10.203943]	[145]	[172501832, 172501881]	[172501881]
152_10128	chr2	219498978	219499378	+	1000	37.0	[10.203943]	[87]	[6.0151424]	[87]	[219499130]	[219499130]
152_10159	chr22	20488170	20488570	+	956	37.0	[6.0151424]	[120]	[10.203943]	[120]	[20488374]	[20488374]
152_1017	chr3	8663471	8663871	+	1000	89.0	[6.0151424]	[107]	[10.203943]	[107]	[8663676]	[8663676]
152_1018	chr5	72256648	72257048	+	1000	89.0	[6.0151424]	[114]	[10.203943]	[114]	[72256861]	[72256861]
152_10200	chr3	24370396	24370796	+	1000	37.0	[10.203943]	[142]	[6.0151424]	[142]	[24370578]	[24370578]
152_10201	chr3	32733603	32734003	+	1000	37.0	[6.0151424]	[85]	[10.203943]	[85]	[32733763]	[32733763]
152_10228	chr3	196142442	196142842	+	1000	37.0	[]	[]	[5.975493]	[188]	[]	[196142663]
152_1023	chrX	134548346	134548746	+	1000	89.0	[10.935475]	[103]	[10.935475]	[103]	[134548545]	[134548545]
152_10237	chr4	40212038	40212438	+	1000	37.0	[10.203943, 5.975493]	[83, 111]	[6.0151424, 5.975493]	[83, 139]	[40212206, 40212234]	[40212206, 40212262]
152_10262	chr5	39117424	39117824	+	568	37.0	[5.975493]	[104]	[]	[]	[39117621]	[]
152_10263	chr5	39376418	39376818	+	1000	37.0	[6.0151424]	[150]	[10.203943]	[150]	[39376651]	[39376651]
152_10266	chr5	44810858	44811258	+	1000	37.0	[6.0151424]	[164]	[10.203943]	[164]	[44811083]	[44811083]
152_10268	chr5	56983950	56984350	+	871	37.0	[5.975493]	[116]	[]	[]	[56984163]	[]
152_10272	chr5	78646919	78647319	+	1000	37.0	[10.203943]	[160]	[6.0151424]	[160]	[78647127]	[78647127]
152_10278	chr5	115634680	115635080	+	974	37.0	[]	[]	[5.975493]	[158]	[]	[115634926]
152_10293	chr6	4732803	4733203	+	1000	37.0	[5.975493]	[160]	[]	[]	[4732975]	[]
152_10359	chr6	155313777	155314177	+	1000	37.0	[6.0151424]	[126]	[10.203943]	[126]	[155313969]	[155313969]
152_10363	chr6	158605266	158605666	+	1000	37.0	[6.0151424]	[89]	[10.203943]	[89]	[158605440]	[158605440]
152_10370	chr7	24911161	24911561	+	1000	37.0	[10.203943]	[143]	[6.0151424]	[143]	[24911379]	[24911379]
152_10423	chr7	140054028	140054428	+	1000	37.0	[10.203943]	[95]	[6.0151424]	[95]	[140054201]	[140054201]
152_10431	chr7	152760323	152760723	+	873	37.0	[10.935475]	[76]	[10.935475]	[76]	[152760480]	[152760480]
152_10436	chr8	28887241	28887641	+	1000	37.0	[10.203943]	[158]	[6.0151424]	[158]	[28887459]	[28887459]
152_10467	chr9	112379218	112379618	+	1000	37.0	[6.0151424]	[113]	[10.203943]	[113]	[112379407]	[112379407]
152_10468	chr9	113737416	113737816	+	1000	37.0	[10.935475]	[140]	[10.935475]	[140]	[113737644]	[113737644]
152_10496	chrX	44245819	44246219	+	1000	37.0	[6.0151424]	[150]	[10.203943]	[150]	[44246062]	[44246062]
152_105	chr12	113649324	113649724	+	1000	220.0	[10.203943]	[102]	[6.0151424]	[102]	[113649510]	[113649510]
152_10510	chr1	23691665	23692065	+	1000	36.0	[5.975493]	[121]	[]	[]	[23691873]	[]
152_1052	chr6	111591455	111591855	+	1000	88.0	[6.0151424]	[115]	[10.203943]	[115]	[111591669]	[111591669]
152_10521	chr1	28126671	28127071	+	1000	36.0	[6.0151424]	[89]	[10.203943]	[89]	[28126846]	[28126846]
152_1053	chr7	27071634	27072034	+	1000	88.0	[6.0151424]	[147]	[10.203943]	[147]	[27071880]	[27071880]
152_1054	chr7	131111192	131111592	+	1000	88.0	[10.935475]	[75]	[10.935475]	[75]	[131111354]	[131111354]
152_10551	chr1	70674516	70674916	+	1000	36.0	[10.935475]	[111]	[10.935475]	[111]	[70674706]	[70674706]
152_10552	chr1	75423145	75423545	+	1000	36.0	[6.0151424]	[153]	[10.203943]	[153]	[75423392]	[75423392]
152_10563	chr1	108701188	108701588	+	955	36.0	[10.203943]	[115]	[6.0151424]	[115]	[108701353]	[108701353]
152_10588	chr1	181142351	181142751	+	1000	36.0	[]	[]	[5.975493]	[171]	[]	[181142544]
152_106	chr9	72557602	72558002	+	1000	219.0	[6.0151424]	[86]	[10.203943]	[86]	[72557780]	[72557780]
152_1060	chr1	21687003	21687403	+	1000	87.0	[5.975493]	[105]	[]	[]	[21687204]	[]
152_10622	chr1	234603454	234603854	+	1000	36.0	[10.203943]	[110]	[6.0151424]	[110]	[234603653]	[234603653]
152_10627	chr1	246137518	246137918	+	1000	36.0	[10.935475]	[116]	[10.935475]	[116]	[246137688]	[246137688]
152_10629	chr10	3784514	3784914	+	946	36.0	[10.935475]	[187]	[10.935475]	[187]	[3784763]	[3784763]
152_1063	chr1	110341272	110341672	+	1000	87.0	[10.935475]	[100]	[10.935475]	[100]	[110341471]	[110341471]
152_10634	chr10	17003019	17003419	+	708	36.0	[]	[]	[5.975493]	[128]	[]	[17003228]
152_10636	chr10	21044575	21044975	+	1000	36.0	[5.975493]	[140]	[]	[]	[21044814]	[]
152_10642	chr10	42099935	42100335	+	1000	36.0	[10.203943]	[120]	[6.0151424]	[120]	[42100155]	[42100155]
152_10659	chr10	77641696	77642096	+	1000	36.0	[10.203943]	[169]	[5.975493, 6.0151424]	[122, 169]	[77641936]	[77641889, 77641936]
152_10662	chr10	91629727	91630127	+	1000	36.0	[10.935475]	[116]	[10.935475]	[116]	[91629929]	[91629929]
152_10664	chr10	95501860	95502260	+	1000	36.0	[10.935475]	[100]	[10.935475]	[100]	[95502025]	[95502025]
152_10673	chr11	8988716	8989116	+	1000	36.0	[10.935475]	[187]	[10.935475]	[187]	[8988943]	[8988943]
152_1069	chr11	118415874	118416274	+	1000	87.0	[6.0151424]	[149]	[10.203943]	[149]	[118416112]	[118416112]
152_10727	chr12	94107896	94108296	+	1000	36.0	[6.0151424]	[104]	[10.203943]	[104]	[94108080]	[94108080]
152_10730	chr12	104136838	104137238	+	1000	36.0	[6.0151424]	[141]	[10.203943]	[141]	[104137053]	[104137053]
152_10738	chr12	118345566	118345966	+	1000	36.0	[6.0151424]	[159]	[10.203943]	[159]	[118345802]	[118345802]
152_10745	chr13	28410158	28410558	+	1000	36.0	[10.935475]	[111]	[10.935475]	[111]	[28410362]	[28410362]
152_10755	chr13	94617472	94617872	+	902	36.0	[6.0151424]	[118]	[10.203943]	[118]	[94617649]	[94617649]
152_10761	chr13	109698679	109699079	+	690	36.0	[10.203943]	[75]	[6.0151424]	[75]	[109698840]	[109698840]
152_10770	chr15	34061842	34062242	+	1000	36.0	[5.975493]	[119]	[]	[]	[34062046]	[]
152_10777	chr15	50798524	50798924	+	1000	36.0	[6.0151424]	[123]	[10.203943]	[123]	[50798730]	[50798730]
152_10780	chr15	52651764	52652164	+	1000	36.0	[10.203943]	[83]	[6.0151424]	[83]	[52651944]	[52651944]
152_10781	chr15	57214799	57215199	+	1000	36.0	[6.0151424, 10.203943]	[101, 112]	[10.203943, 6.0151424]	[101, 112]	[57214951, 57214962]	[57214951, 57214962]
152_10785	chr15	63288615	63289015	+	1000	36.0	[6.0151424]	[145]	[10.203943]	[145]	[63288774]	[63288774]
152_1079	chr22	20522878	20523278	+	1000	87.0	[6.0151424]	[124]	[10.203943]	[124]	[20523083]	[20523083]
152_108	chr1	202553470	202553870	+	1000	217.0	[10.935475]	[126]	[10.935475]	[126]	[202553693]	[202553693]
152_10801	chr16	71367111	71367511	+	881	36.0	[10.935475, 10.935475]	[91, 103]	[10.935475, 10.935475]	[91, 103]	[71367298, 71367310]	[71367298, 71367310]
152_10803	chr16	78437352	78437752	+	852	36.0	[10.203943]	[86]	[6.0151424]	[86]	[78437522]	[78437522]
152_10816	chr17	16398318	16398718	+	1000	36.0	[6.0151424]	[64]	[10.203943]	[64]	[16398477]	[16398477]
152_10820	chr17	32341093	32341493	+	1000	36.0	[10.203943]	[131]	[6.0151424]	[131]	[32341311]	[32341311]
152_10840	chr17	68955262	68955662	+	1000	36.0	[6.0151424]	[125]	[10.203943]	[125]	[68955461]	[68955461]
152_10859	chr18	46072294	46072694	+	990	36.0	[10.203943]	[116]	[6.0151424]	[116]	[46072473]	[46072473]
152_10884	chr1_KI270709v1_random	19187	19587	+	1000	36.0	[10.935475]	[122]	[10.935475]	[122]	[19408]	[19408]
152_109	chr6	149119127	149119527	+	1000	217.0	[10.203943]	[107]	[6.0151424]	[107]	[149119330]	[149119330]
152_10918	chr2	181742766	181743166	+	1000	36.0	[5.975493]	[141]	[]	[]	[181742919]	[]
152_10920	chr2	183094353	183094753	+	1000	36.0	[10.203943]	[74]	[6.0151424]	[74]	[183094523]	[183094523]
152_10922	chr2	190895842	190896242	+	957	36.0	[6.0151424]	[95]	[10.203943]	[95]	[190896024]	[190896024]
152_10939	chr21	34074631	34075031	+	1000	36.0	[6.0151424]	[180]	[10.203943]	[180]	[34074842]	[34074842]
152_10941	chr21	35028571	35028971	+	1000	36.0	[]	[]	[5.975493]	[126]	[]	[35028749]
152_10999	chr22	23075407	23075807	+	1000	36.0	[5.975493]	[157]	[]	[]	[23075602]	[]
152_11	chrM	6187	6587	+	1000	626.0	[10.203943, 10.203943]	[122, 143]	[6.0151424, 6.0151424]	[122, 143]	[6387, 6408]	[6387, 6408]
152_11010	chr22	37198394	37198794	+	1000	36.0	[10.203943]	[112]	[6.0151424]	[112]	[37198605]	[37198605]
152_11012	chr22_KI270738v1_random	60180	60580	+	894	36.0	[]	[]	[5.975493]	[147]	[]	[60394]
152_11033	chr3	136839033	136839433	+	1000	36.0	[6.0151424]	[84]	[10.203943]	[84]	[136839193]	[136839193]
152_11038	chr3	152314771	152315171	+	1000	36.0	[6.0151424, 6.0151424]	[118, 152]	[10.203943, 10.203943]	[118, 152]	[152314971, 152315005]	[152314971, 152315005]
152_1105	chr10	22666297	22666697	+	1000	86.0	[10.935475]	[95]	[10.935475]	[95]	[22666491]	[22666491]
152_11055	chr4	17549094	17549494	+	1000	36.0	[10.935475]	[91]	[10.935475]	[91]	[17549275]	[17549275]
152_11072	chr5	39175171	39175571	+	1000	36.0	[6.0151424]	[76]	[10.203943]	[76]	[39175344]	[39175344]
152_111	chr1	143266226	143266626	+	1000	214.0	[10.203943]	[100]	[6.0151424]	[100]	[143266426]	[143266426]
152_11116	chr6	27617055	27617455	+	1000	36.0	[6.0151424]	[95]	[10.203943]	[95]	[27617209]	[27617209]
152_1114	chr17	76659894	76660294	+	1000	86.0	[10.203943]	[149]	[6.0151424]	[149]	[76660125]	[76660125]
152_11141	chr6	36073593	36073993	+	1000	36.0	[6.0151424]	[154]	[10.203943]	[154]	[36073826]	[36073826]
152_11151	chr6	87066675	87067075	+	1000	36.0	[10.203943]	[100]	[6.0151424]	[100]	[87066866]	[87066866]
152_11164	chr6	121334722	121335122	+	1000	36.0	[10.203943]	[128]	[6.0151424]	[128]	[121334914]	[121334914]
152_11168	chr6	130975323	130975723	+	1000	36.0	[10.203943]	[137]	[6.0151424]	[137]	[130975553]	[130975553]
152_11172	chr6	135506257	135506657	+	1000	36.0	[10.203943]	[129]	[6.0151424]	[129]	[135506462]	[135506462]
152_112	chr17	55816530	55816930	+	1000	214.0	[10.935475]	[111]	[10.935475]	[111]	[55816709]	[55816709]
152_11242	chr7	143288778	143289178	+	1000	36.0	[10.935475]	[117]	[10.935475]	[117]	[143288960]	[143288960]
152_11254	chr8	12586267	12586667	+	1000	36.0	[10.203943]	[121]	[6.0151424]	[121]	[12586461]	[12586461]
152_11255	chr8	13116100	13116500	+	1000	36.0	[10.935475]	[135]	[10.935475]	[135]	[13116321]	[13116321]
152_11284	chr9	108934357	108934757	+	1000	36.0	[10.935475]	[133]	[10.935475]	[133]	[108934536]	[108934536]
