#PeakID	chr	start	end	strand	idrScore	count
314_0	chrM	2590	2805	+	1000	787.0
314_1	chrM	11168	11375	+	1000	787.0
314_2	chrM	3030	3308	+	1000	784.0
314_3	chrM	10560	10908	+	1000	783.0
314_4	chrM	13856	14095	+	1000	770.0
314_5	chrM	9717	9953	+	1000	756.0
314_6	chrM	4820	5071	+	1000	718.0
314_7	chr4	8303681	8303883	+	1000	705.0
314_8	chrM	5265	5488	+	1000	696.0
314_9	chr7	108246387	108246588	+	1000	692.0
314_10	chr6	17907774	17907980	+	1000	691.0
314_11	chrM	6164	6398	+	1000	678.0
314_12	chr7	101100190	101100401	+	1000	664.0
314_13	chr16	89995941	89996142	+	1000	653.0
314_14	chr7	126701078	126701289	+	1000	643.0
314_15	chr3	93470437	93470775	+	1000	637.0
314_16	chrM	7965	8239	+	1000	629.0
314_17	chr1	32725245	32725446	+	1000	601.0
314_18	chr3	186700367	186700569	+	1000	595.0
314_19	chr7	130026048	130026249	+	1000	594.0
314_20	chr17	28173144	28173356	+	1000	593.0
314_21	chr3	9977063	9977273	+	1000	587.0
314_22	chr6	3023874	3024077	+	1000	587.0
314_23	chr3	5428916	5429117	+	1000	586.0
314_24	chr1	204647608	204647821	+	1000	585.0
314_25	chr2	113012939	113013146	+	1000	584.0
314_26	chr1	211613401	211613615	+	1000	582.0
314_27	chr3	4814398	4814601	+	1000	580.0
314_28	chr1	45521923	45522124	+	1000	579.0
314_29	chr7	106569113	106569318	+	1000	579.0
314_30	chr6	42028620	42028827	+	1000	575.0
314_31	chr15	36428466	36428682	+	1000	574.0
314_32	chr6	31822120	31822326	+	1000	572.0
314_33	chr16	113536	113742	+	1000	570.0
314_34	chr4	74682792	74682997	+	1000	566.0
314_35	chr10	72637506	72637712	+	1000	564.0
314_36	chr1	31170891	31171093	+	1000	561.0
314_37	chr7	76389078	76389280	+	1000	558.0
314_38	chr1	181129871	181130074	+	1000	557.0
314_39	chr1	8197794	8197994	+	1000	556.0
314_40	chr1	246306735	246306938	+	1000	554.0
314_41	chr10	71860524	71860726	+	1000	554.0
314_42	chr2	111698945	111699150	+	1000	550.0
314_43	chr18	3652937	3653152	+	1000	541.0
314_44	chr3	15269629	15269829	+	1000	541.0
314_45	chr1	28471567	28471767	+	1000	538.0
314_46	chr1	58881613	58881816	+	1000	538.0
314_47	chr16	46390588	46390789	+	1000	538.0
314_48	chr1	110916950	110917153	+	1000	537.0
314_49	chr1	16621009	16621219	+	1000	536.0
314_50	chr1	227357481	227357682	+	1000	535.0
314_51	chr10	24921449	24921655	+	1000	532.0
314_52	chr7	93046692	93046892	+	1000	532.0
314_53	chr1	10415501	10415709	+	1000	531.0
314_54	chr6	137910626	137910832	+	1000	531.0
314_55	chr16	89995270	89995500	+	1000	530.0
314_56	chr1	27428367	27428575	+	1000	529.0
314_57	chr1	44532198	44532412	+	1000	528.0
314_58	chr6	14734644	14734845	+	1000	528.0
314_59	chrM	7134	7354	+	1000	528.0
314_60	chr6	15079338	15079545	+	1000	526.0
314_61	chr7	129720410	129720615	+	1000	526.0
314_62	chr11	9364294	9364500	+	1000	525.0
314_63	chr1	28885000	28885209	+	1000	522.0
314_64	chr6	37059370	37059570	+	1000	520.0
314_65	chr3	17771307	17771515	+	1000	518.0
314_66	chr7	92809782	92809984	+	1000	518.0
314_67	chr22	20320189	20320426	+	1000	517.0
314_68	chr3	40299946	40300150	+	1000	517.0
314_69	chr1	200640018	200640230	+	1000	516.0
314_70	chr7	129401539	129401748	+	1000	516.0
314_71	chr18	9869833	9870037	+	1000	514.0
314_72	chr4	170007204	170007409	+	1000	513.0
314_73	chr16	16022120	16022329	+	1000	512.0
314_74	chr19	35305982	35306183	+	1000	512.0
314_75	chr20	31560187	31560389	+	1000	510.0
314_76	chr5	10504265	10504476	+	1000	510.0
314_77	chr10	49166072	49166275	+	1000	509.0
314_78	chr19	29691003	29691209	+	1000	509.0
314_79	chr16	65975187	65975390	+	1000	508.0
314_80	chr17	81923517	81923721	+	1000	508.0
314_81	chr20	50292650	50292853	+	1000	508.0
314_82	chr11	48061390	48061601	+	1000	507.0
314_83	chr6	10518973	10519181	+	1000	507.0
