#PeakID(python identify_motif.py ./ENCODE_processed_files/GABPA_idr.fa GABPA --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
0_1	chr11	47408248	47408648	+	1000	854.0	[]	[]	[10.101244]	[59]	[]	[47408407]
0_100	chr12	105236065	105236465	+	1000	782.0	[]	[]	[13.315012, 10.381482]	[78, 108]	[]	[105236238, 105236268]
0_10003	chr17	45345544	45345944	+	1000	79.0	[10.951742]	[141]	[]	[]	[45345778]	[]
0_10009	chr18	50775209	50775609	+	1000	79.0	[13.397782]	[110]	[11.680546, 8.704684]	[65, 146]	[50775419]	[50775374, 50775455]
0_10011	chr19	7920022	7920422	+	1000	79.0	[8.9971, 8.967373]	[101, 125]	[]	[]	[7920191, 7920215]	[]
0_1002	chr19	40285230	40285630	+	1000	632.0	[]	[]	[16.797768]	[105]	[]	[40285432]
0_10021	chr20	769834	770234	+	1000	79.0	[10.605342]	[133]	[]	[]	[770054]	[]
0_10022	chr20	3820546	3820946	+	1000	79.0	[]	[]	[7.41805]	[131]	[]	[3820747]
0_10027	chr21	42188291	42188691	+	1000	79.0	[]	[]	[11.10404, 7.9426746]	[82, 122]	[]	[42188466, 42188506]
0_10033	chr22	47631581	47631981	+	1000	79.0	[]	[]	[8.561428]	[90]	[]	[47631753]
0_10034	chr3	33054178	33054578	+	1000	79.0	[8.569641, 10.353631]	[101, 129]	[]	[]	[33054371, 33054399]	[]
0_10037	chr3	132722566	132722966	+	1000	79.0	[]	[]	[6.891909]	[77]	[]	[132722731]
0_10040	chr3	196140171	196140571	+	1000	79.0	[11.482137, 7.2705154]	[144, 167]	[]	[]	[196140386, 196140409]	[]
0_10041	chr3	196318164	196318564	+	1000	79.0	[]	[]	[7.1961875, 7.197509]	[125, 152]	[]	[196318371, 196318398]
0_10045	chr5	1199827	1200227	+	1000	79.0	[10.020014]	[109]	[]	[]	[1199997]	[]
0_10046	chr5	14011699	14012099	+	1000	79.0	[6.6285024]	[85]	[]	[]	[14011881]	[]
0_10048	chr5	88827166	88827566	+	1000	79.0	[6.5708704]	[149]	[6.8511086]	[75]	[88827398]	[88827324]
0_10050	chr5	126686415	126686815	+	1000	79.0	[]	[]	[15.100268]	[114]	[]	[126686624]
0_10052	chr6	849055	849455	+	1000	79.0	[10.827319]	[104]	[]	[]	[849245]	[]
0_10054	chr6	13836924	13837324	+	1000	79.0	[]	[]	[8.309912]	[154]	[]	[13837153]
0_10056	chr6	28776275	28776675	+	1000	79.0	[9.560779]	[107]	[7.408891]	[126]	[28776448]	[28776467]
0_10057	chr6	31576796	31577196	+	1000	79.0	[]	[]	[9.22096, 9.59458]	[118, 124]	[]	[31577014, 31577020]
0_10058	chr6	41460929	41461329	+	1000	79.0	[16.797768]	[114]	[7.3694577]	[77]	[41461140]	[41461103]
0_10059	chr6	42198034	42198434	+	1000	79.0	[9.804404]	[146]	[]	[]	[42198258]	[]
0_10061	chr6	135321348	135321748	+	1000	79.0	[]	[]	[6.6108727]	[136]	[]	[135321582]
0_10062	chr6	150167889	150168289	+	1000	79.0	[9.155027]	[159]	[]	[]	[150168094]	[]
0_10064	chr7	45140810	45141210	+	1000	79.0	[]	[]	[9.804404, 9.155027]	[121, 127]	[]	[45141011, 45141017]
0_10065	chr7	142352575	142352975	+	1000	79.0	[]	[]	[13.885272]	[100]	[]	[142352750]
0_10066	chr8	26267305	26267705	+	1000	79.0	[10.972914]	[122]	[]	[]	[26267525]	[]
0_1007	chr19	12945645	12946045	+	1000	631.0	[7.397016]	[92]	[11.02127]	[102]	[12945829]	[12945839]
0_10073	chr9	108994709	108995109	+	1000	79.0	[]	[]	[13.885272, 11.290258]	[86, 117]	[]	[108994888, 108994919]
0_10074	chr9	124242766	124243166	+	1000	79.0	[10.325104, 10.485287]	[126, 136]	[12.640427]	[85]	[124242980, 124242990]	[124242939]
0_10079	chrX	151984294	151984694	+	1000	79.0	[]	[]	[14.337926]	[110]	[]	[151984488]
0_10080	chr1	1004967	1005367	+	1000	78.0	[11.230427]	[119]	[]	[]	[1005165]	[]
0_10082	chr1	19533655	19534055	+	1000	78.0	[]	[]	[11.841372, 11.8865]	[128, 149]	[]	[19533866, 19533887]
0_10087	chr1	110328223	110328623	+	1000	78.0	[9.887399, 8.296897]	[83, 134]	[9.14137, 7.9830055]	[88, 103]	[110328390, 110328441]	[110328395, 110328410]
0_10088	chr1	144560808	144561208	+	1000	78.0	[]	[]	[6.674152]	[86]	[]	[144560989]
0_1009	chr1	230978815	230979215	+	1000	630.0	[7.455185]	[121]	[]	[]	[230979036]	[]
0_10090	chr1	155940631	155941031	+	1000	78.0	[11.42543, 6.540387]	[135, 152]	[11.196773]	[123]	[155940855, 155940872]	[155940843]
0_10095	chr1	244264159	244264559	+	1000	78.0	[]	[]	[6.9136844, 11.8865]	[80, 98]	[]	[244264333, 244264351]
0_10106	chr12	3544511	3544911	+	1000	78.0	[]	[]	[8.919994]	[95]	[]	[3544696]
0_10112	chr13	64274528	64274928	+	1000	78.0	[]	[]	[8.480525]	[107]	[]	[64274710]
0_10114	chr14	55790749	55791149	+	1000	78.0	[13.864238]	[141]	[8.176619]	[176]	[55790943]	[55790978]
0_10115	chr14	73753546	73753946	+	1000	78.0	[]	[]	[7.2352076]	[156]	[]	[73753792]
0_10116	chr15	63436860	63437260	+	1000	78.0	[]	[]	[8.217527]	[93]	[]	[63437029]
0_10117	chr15	68229445	68229845	+	1000	78.0	[]	[]	[8.191545]	[86]	[]	[68229618]
0_10122	chr16	9135766	9136166	+	1000	78.0	[]	[]	[13.077335]	[123]	[]	[9135948]
0_10125	chr17	29292794	29293194	+	1000	78.0	[]	[]	[8.386707]	[209]	[]	[29293038]
0_10129	chr17	62172697	62173097	+	1000	78.0	[7.9491935, 10.485287, 8.895008]	[68, 96, 150]	[7.8419166]	[112]	[62172849, 62172877, 62172931]	[62172893]
0_10131	chr17	78341637	78342037	+	1000	78.0	[7.5106626]	[81]	[]	[]	[78341792]	[]
