#PeakID	chr	start	end	strand	idrScore	count
593_0	chrM	99	371	+	1000	815.0
593_1	chr4	8303668	8303877	+	1000	782.0
593_2	chrM	14966	15166	+	1000	760.0
593_3	chrM	12450	12703	+	1000	759.0
593_4	chrM	13740	13946	+	1000	750.0
593_5	chr22	35371971	35372173	+	1000	744.0
593_6	chrM	11254	11455	+	1000	731.0
593_7	chrM	2997	3295	+	1000	726.0
593_8	chrM	10630	10870	+	1000	716.0
593_9	chrM	11666	11924	+	1000	706.0
593_10	chr22	35377019	35377222	+	1000	692.0
593_11	chr16	89995921	89996127	+	1000	676.0
593_12	chr11	6568547	6568754	+	1000	664.0
593_13	chr6	3001910	3002111	+	1000	654.0
593_14	chr15	100241642	100241854	+	1000	651.0
593_15	chr16	113538	113745	+	1000	638.0
593_16	chr12	47775556	47775776	+	1000	633.0
593_17	chr3	93470497	93470706	+	1000	625.0
593_18	chr1	30919082	30919293	+	1000	604.0
593_19	chr12	116492952	116493153	+	1000	604.0
593_20	chr16	79971032	79971232	+	1000	602.0
593_21	chr7	108012602	108012814	+	1000	602.0
593_22	chr1	9719166	9719369	+	1000	584.0
593_23	chr7	101100205	101100412	+	1000	576.0
593_24	chrM	5380	5590	+	1000	565.0
593_25	chr8	130503234	130503443	+	1000	552.0
593_26	chrM	4851	5056	+	1000	548.0
593_27	chr6	87723344	87723565	+	1000	534.0
593_28	chrM	6196	6399	+	1000	534.0
593_29	chr16	65975172	65975398	+	1000	519.0
593_30	chr22	21108753	21108966	+	1000	501.0
593_31	chr1	204647606	204647818	+	1000	493.0
593_32	chr16	46390458	46390748	+	1000	490.0
593_33	chr7	108246370	108246574	+	1000	489.0
593_34	chr17	81722574	81722787	+	1000	487.0
593_35	chr6	41961768	41961981	+	1000	481.0
593_36	chr11	61971947	61972152	+	1000	480.0
593_37	chr17	33871761	33871965	+	1000	463.0
593_38	chr11	5280659	5280862	+	1000	458.0
593_39	chrM	8043	8253	+	1000	455.0
593_40	chr7	116465840	116466046	+	1000	454.0
593_41	chr2	102064300	102064521	+	1000	451.0
593_42	chr5	140718786	140718988	+	1000	448.0
