#PeakID(python identify_motif.py ./ENCODE_processed_files/SREBF2_idr.fa SREBF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
99_10020	chr22	41946185	41946585	+	1000	45.0	[]	[]	[5.2188683]	[108]	[]	[41946381]
99_10024	chr3	4985856	4986256	+	1000	45.0	[6.328761]	[150]	[6.985234]	[150]	[4986070]	[4986070]
99_10045	chr3	49786502	49786902	+	948	45.0	[9.761483, 10.012176]	[87, 137]	[9.013285, 9.796326]	[87, 137]	[49786673, 49786723]	[49786673, 49786723]
99_10083	chr5	10452830	10453230	+	994	45.0	[6.522595]	[143]	[5.5678797]	[143]	[10453041]	[10453041]
99_10110	chr6	7170191	7170591	+	1000	45.0	[6.410637]	[82]	[4.996092]	[82]	[7170365]	[7170365]
99_10113	chr6	13355632	13356032	+	1000	45.0	[]	[]	[4.764523]	[125]	[]	[13355806]
99_10114	chr6	13483238	13483638	+	1000	45.0	[5.4316607]	[235]	[]	[]	[13483489]	[]
99_10128	chr6	28543437	28543837	+	1000	45.0	[5.528985]	[82]	[]	[]	[28543613]	[]
99_1017	chr1	15526643	15527043	+	1000	76.0	[16.1302]	[118]	[16.1302]	[118]	[15526817]	[15526817]
99_10176	chr6	156686988	156687388	+	1000	45.0	[4.857907]	[133]	[]	[]	[156687207]	[]
99_10214	chr7	107007862	107008262	+	1000	45.0	[]	[]	[5.2761946]	[136]	[]	[107008087]
99_10225	chr7	117791841	117792241	+	1000	45.0	[]	[]	[5.1931653]	[171]	[]	[117792017]
99_1024	chr1	89524160	89524560	+	1000	76.0	[7.256073]	[142]	[5.873199]	[142]	[89524337]	[89524337]
99_10253	chr8	37864326	37864726	+	1000	45.0	[]	[]	[5.10322]	[116]	[]	[37864530]
99_10267	chr8	143334936	143335336	+	1000	45.0	[6.304411]	[157]	[4.7808824]	[157]	[143335164]	[143335164]
99_10294	chr9	136727559	136727959	+	1000	45.0	[9.619249]	[150]	[5.2871833]	[150]	[136727724]	[136727724]
99_1030	chr10	71851047	71851447	+	1000	76.0	[7.534592]	[158]	[9.145781]	[158]	[71851257]	[71851257]
99_10352	chr1	40709039	40709439	+	1000	44.0	[6.299832]	[137]	[5.407133]	[137]	[40709217]	[40709217]
99_10376	chr1	110060253	110060653	+	1000	44.0	[]	[]	[5.8576007]	[194]	[]	[110060489]
99_10386	chr1	150363540	150363940	+	1000	44.0	[]	[]	[5.390789]	[101]	[]	[150363726]
99_10444	chr1	235113200	235113600	+	1000	44.0	[7.674597]	[163]	[]	[]	[235113424]	[]
99_10455	chr10	11538831	11539231	+	1000	44.0	[5.367403]	[79]	[7.253585]	[79]	[11539003]	[11539003]
99_10483	chr10	80201713	80202113	+	1000	44.0	[9.515881]	[215]	[6.5026107]	[215]	[80201937]	[80201937]
99_10500	chr11	46701060	46701460	+	877	44.0	[6.375795]	[139]	[]	[]	[46701284]	[]
99_10535	chr11	96340298	96340698	+	983	44.0	[12.74451]	[73]	[11.114115]	[73]	[96340462]	[96340462]
99_1055	chr22	23192155	23192555	+	1000	76.0	[7.6613994]	[95]	[7.9300528]	[95]	[23192331]	[23192331]
99_10629	chr16	57736050	57736450	+	1000	44.0	[7.6992993]	[103]	[8.73989]	[103]	[57736213]	[57736213]
99_10651	chr17	39754503	39754903	+	1000	44.0	[12.30228]	[184]	[11.029983]	[184]	[39754731]	[39754731]
99_1066	chr7	56106140	56106540	+	1000	76.0	[5.3542013]	[145]	[]	[]	[56106359]	[]
99_10710	chr19	14529544	14529944	+	1000	44.0	[6.4171405]	[133]	[]	[]	[14529776]	[]
99_10711	chr19	15125476	15125876	+	1000	44.0	[16.1302]	[203]	[16.1302]	[203]	[15125707]	[15125707]
99_10731	chr19	45039779	45040179	+	1000	44.0	[10.27358]	[135]	[9.16307]	[135]	[45039964]	[45039964]
99_10832	chr21	45555798	45556198	+	1000	44.0	[6.4171405]	[113]	[]	[]	[45555970]	[]
99_10930	chr3	39291944	39292344	+	1000	44.0	[5.4843426]	[163]	[6.0839815]	[163]	[39292156]	[39292156]
99_10944	chr3	50612162	50612562	+	1000	44.0	[]	[]	[5.6879616]	[131]	[]	[50612388]
99_10975	chr4	143184351	143184751	+	1000	44.0	[6.381235]	[122]	[4.780242]	[122]	[143184571]	[143184571]
99_1099	chr15	44663576	44663976	+	1000	75.0	[5.365669]	[148]	[4.9508657]	[148]	[44663734]	[44663734]
99_11019	chr5	180861366	180861766	+	1000	44.0	[14.125089]	[120]	[12.742215]	[120]	[180861550]	[180861550]
99_1102	chr2	171687693	171688093	+	1000	75.0	[12.74451]	[111]	[11.114115]	[111]	[171687862]	[171687862]
99_11031	chr6	7042695	7043095	+	1000	44.0	[]	[]	[5.095657]	[202]	[]	[7042904]
99_11065	chr6	30131002	30131402	+	1000	44.0	[5.51405]	[132]	[]	[]	[30131226]	[]
99_11069	chr6	31707137	31707537	+	1000	44.0	[5.6541166]	[157]	[7.88572]	[157]	[31707322]	[31707322]
99_11074	chr6	33901730	33902130	+	1000	44.0	[7.5412455]	[118]	[7.983921]	[118]	[33901938]	[33901938]
99_11089	chr6	44072482	44072882	+	1000	44.0	[5.5678797]	[137]	[6.522595]	[137]	[44072715]	[44072715]
99_11103	chr6	146876256	146876656	+	1000	44.0	[9.881098]	[156]	[10.132329]	[156]	[146876436]	[146876436]
99_11113	chr6	161153156	161153556	+	1000	44.0	[9.109005]	[193]	[9.356526]	[193]	[161153396]	[161153396]
99_11130	chr7	44146472	44146872	+	1000	44.0	[4.9508657]	[160]	[5.365669]	[160]	[44146714]	[44146714]
99_11138	chr7	78018996	78019396	+	1000	44.0	[]	[]	[5.2188683]	[74]	[]	[78019166]
99_11177	chr7	130913212	130913612	+	1000	44.0	[5.2537107]	[86]	[]	[]	[130913385]	[]
99_11180	chr7	132318711	132319111	+	1000	44.0	[6.0138993]	[159]	[8.916592]	[159]	[132318944]	[132318944]
99_11181	chr7	133253427	133253827	+	1000	44.0	[5.7786255]	[101]	[8.097008]	[101]	[133253611]	[133253611]
99_1121	chr5	36242215	36242615	+	1000	75.0	[6.671065]	[112]	[]	[]	[36242408]	[]
99_11253	chr9	128927869	128928269	+	1000	44.0	[]	[]	[5.3542013]	[105]	[]	[128928067]
99_11270	chr1	1309650	1310050	+	1000	43.0	[9.602491]	[227]	[11.42953]	[227]	[1309889]	[1309889]
99_11280	chr1	6475435	6475835	+	1000	43.0	[4.8142886]	[100]	[]	[]	[6475619]	[]
99_11342	chr1	86913435	86913835	+	1000	43.0	[]	[]	[5.8832946]	[171]	[]	[86913668]
99_11345	chr1	109248692	109249092	+	1000	43.0	[6.309554]	[227]	[7.004441]	[227]	[109248925]	[109248925]
99_11381	chr1	165601482	165601882	+	1000	43.0	[7.88572]	[168]	[5.6541166]	[168]	[165601705]	[165601705]
99_11420	chr1	207805803	207806203	+	1000	43.0	[7.819484]	[150]	[5.754647]	[150]	[207806000]	[207806000]
99_11442	chr1	246699149	246699549	+	883	43.0	[4.8383703]	[154]	[]	[]	[246699347]	[]
99_11450	chr10	47326851	47327251	+	1000	43.0	[]	[]	[5.6781764]	[152]	[]	[47327062]
99_11451	chr10	49298264	49298664	+	1000	43.0	[6.413446]	[206]	[6.216803]	[206]	[49298497]	[49298497]
99_11486	chr10	94362736	94363136	+	1000	43.0	[4.8104844]	[120]	[]	[]	[94362913]	[]
99_11488	chr11	537107	537507	+	1000	43.0	[6.626487]	[84]	[4.780242]	[84]	[537270]	[537270]
99_11501	chr11	60830812	60831212	+	642	43.0	[10.132329]	[95]	[9.881098]	[95]	[60830990]	[60830990]
99_1153	chr1	32394520	32394920	+	1000	74.0	[5.317862]	[129]	[]	[]	[32394725]	[]
99_11543	chr12	63780226	63780626	+	1000	43.0	[9.513585]	[61]	[9.513585]	[61]	[63780380]	[63780380]
99_11584	chr13	93290537	93290937	+	1000	43.0	[5.1339345]	[185]	[5.558383]	[185]	[93290762]	[93290762]
99_11592	chr14	54773377	54773777	+	1000	43.0	[5.4843426]	[122]	[6.0839815]	[122]	[54773597]	[54773597]
99_11594	chr14	67360273	67360673	+	1000	43.0	[9.356904]	[82]	[8.856226]	[82]	[67360452]	[67360452]
99_11636	chr16	67245895	67246295	+	1000	43.0	[6.5676956]	[181]	[5.4006715]	[181]	[67246079]	[67246079]
99_11649	chr16	85027336	85027736	+	1000	43.0	[6.1819606]	[70]	[5.414555]	[70]	[85027493]	[85027493]
99_11653	chr16	87387981	87388381	+	1000	43.0	[11.029983]	[101]	[12.30228]	[101]	[87388155]	[87388155]
99_11660	chr17	19977719	19978119	+	945	43.0	[9.830373]	[145]	[6.6088166]	[145]	[19977929]	[19977929]
99_11717	chr19	8304909	8305309	+	923	43.0	[]	[]	[5.3542013]	[141]	[]	[8305082]
99_11756	chr19	39356659	39357059	+	1000	43.0	[6.7558374]	[99]	[]	[]	[39356831]	[]
99_11759	chr19	42252659	42253059	+	1000	43.0	[5.3869996]	[145]	[]	[]	[42252871]	[]
99_11823	chr2	207625460	207625860	+	1000	43.0	[4.7707453]	[199]	[5.2378263]	[199]	[207625708]	[207625708]
99_11843	chr21	37338557	37338957	+	1000	43.0	[]	[]	[5.7233167]	[166]	[]	[37338781]
99_11851	chr21	45439208	45439608	+	1000	43.0	[]	[]	[4.9095244]	[125]	[]	[45439386]
99_11855	chr22	16649792	16650192	+	1000	43.0	[6.5715]	[133]	[7.1114125]	[133]	[16649957]	[16649957]
99_11877	chr22	19559372	19559772	+	1000	43.0	[5.0598764]	[119]	[5.796432]	[119]	[19559590]	[19559590]
99_1188	chr5	32174345	32174745	+	1000	74.0	[7.852982]	[64]	[5.6541166]	[64]	[32174502]	[32174502]
99_11891	chr22	20139691	20140091	+	1000	43.0	[6.4487815]	[144]	[6.1542315]	[144]	[20139888]	[20139888]
