#PeakID	chr	start	end	strand	idrScore	count
596_0	chrM	432	671	+	1000	2036.5
596_1	chr3	93470601	93470802	+	1000	1969.5
596_2	chr16	46390552	46390795	+	1000	1824.0
596_3	chrUn_KI270438v1	109331	109711	+	1000	1748.5
596_4	chrM	12501	12779	+	1000	1742.5
596_5	chr2	172046207	172046443	+	1000	1728.0
596_6	chrM	12181	12446	+	1000	1727.0
596_7	chrM	16016	16216	+	1000	1717.0
596_8	chr6	2932408	2932621	+	1000	1708.5
596_9	chrUn_KI270438v1	103957	104197	+	1000	1694.0
596_10	chr5	90983210	90983428	+	1000	1654.0
596_11	chr11	16280383	16280583	+	1000	1636.0
596_12	chrM	9931	10205	+	1000	1632.5
596_13	chr5	132098302	132098505	+	1000	1630.5
596_14	chr1	110881051	110881254	+	1000	1619.5
596_15	chr7	99679906	99680121	+	1000	1617.5
596_16	chr1	22019105	22019338	+	1000	1614.5
596_17	chr9	130825425	130825645	+	1000	1614.0
596_18	chrM	8105	8367	+	1000	1613.5
596_19	chr1	168466242	168466458	+	1000	1613.0
596_20	chrM	8843	9160	+	1000	1606.0
596_21	chr1	231337808	231338009	+	1000	1603.5
596_22	chr10	48470196	48470404	+	1000	1602.5
596_23	chr21	29656821	29657037	+	1000	1600.0
596_24	chr7	64999470	64999670	+	1000	1596.5
596_25	chr5	124652020	124652232	+	1000	1595.0
596_26	chr17	45345581	45345792	+	1000	1593.5
596_27	chr19	38862681	38862891	+	1000	1588.5
596_28	chr16	15591101	15591303	+	1000	1586.5
596_29	chr6	6712638	6712855	+	1000	1577.0
596_30	chr4	86961723	86961945	+	1000	1576.0
596_31	chr11	12843028	12843228	+	1000	1573.5
596_32	chr19	29893707	29893913	+	1000	1573.5
596_33	chr16	8182678	8183093	+	1000	1568.5
596_34	chr7	10707648	10707848	+	1000	1568.0
596_35	chr3	37765718	37765927	+	1000	1566.0
596_36	chr1	117181734	117181938	+	1000	1565.0
596_37	chr7	121038711	121038930	+	1000	1562.5
596_38	chr8	124956201	124956404	+	1000	1560.5
596_39	chr6	37314972	37315201	+	1000	1556.5
596_40	chr7	87140390	87140599	+	1000	1556.0
596_41	chr10	44978762	44978970	+	1000	1554.0
596_42	chr1	15543659	15543883	+	1000	1553.5
596_43	chr1	65412585	65412801	+	1000	1552.0
596_44	chr18	23422816	23423019	+	1000	1549.5
596_45	chr8	105329028	105329242	+	1000	1549.0
596_46	chr16	70771217	70771420	+	1000	1548.0
596_47	chr11	45826602	45826817	+	1000	1540.5
596_48	chr7	2023057	2023267	+	1000	1540.5
596_49	chrM	6245	6606	+	1000	1538.0
596_50	chr12	122196951	122197153	+	1000	1537.5
596_51	chr3	46509330	46509549	+	1000	1534.0
596_52	chr3	38724191	38724392	+	1000	1533.5
596_53	chr1	173269532	173269732	+	1000	1532.0
596_54	chr1	150545728	150545935	+	1000	1531.5
596_55	chr1	192977462	192977682	+	1000	1531.0
596_56	chr15	58332182	58332390	+	1000	1530.0
596_57	chr1	39892749	39892952	+	1000	1528.5
596_58	chr1	116420437	116420656	+	1000	1528.0
596_59	chr20	22414326	22414540	+	1000	1525.5
596_60	chr1	51430032	51430237	+	1000	1519.5
596_61	chr3	141558080	141558283	+	1000	1518.5
596_62	chr5	112931570	112931800	+	1000	1515.5
596_63	chr20	23147920	23148121	+	1000	1514.5
596_64	chr7	70568873	70569085	+	1000	1514.0
596_65	chr12	83173320	83173533	+	1000	1513.0
596_66	chr7	87107291	87107502	+	1000	1510.0
596_67	chr7	120951065	120951272	+	1000	1504.5
596_68	chr22	19854836	19855065	+	1000	1503.5
596_69	chr5	10507634	10507839	+	1000	1503.0
596_70	chr19	11922201	11922403	+	1000	1501.5
596_71	chr7	101882906	101883109	+	1000	1501.0
596_72	chr2	157930039	157930248	+	1000	1499.0
596_73	chr10	72098857	72099079	+	1000	1498.0
596_74	chr7	150955908	150956110	+	1000	1496.5
596_75	chr6	136403193	136403403	+	1000	1495.0
596_76	chr10	61588791	61588994	+	1000	1489.0
596_77	chr8	2733861	2734068	+	1000	1487.5
596_78	chr17	4002302	4002519	+	1000	1485.5
596_79	chr17	50208727	50208938	+	1000	1485.0
596_80	chr5	135134171	135134371	+	1000	1483.5
596_81	chr1	35279326	35279534	+	1000	1483.0
596_82	chr3	49238507	49238709	+	1000	1477.0
596_83	chr10	27100444	27100648	+	1000	1476.0
596_84	chr14	103122105	103122311	+	1000	1475.5
596_85	chr6	135084561	135084763	+	1000	1474.5
596_86	chr1	220119198	220119401	+	1000	1473.0
596_87	chr12	56437789	56438003	+	1000	1473.0
596_88	chr7	24763390	24763593	+	1000	1470.5
596_89	chr6	15482073	15482281	+	1000	1462.0
596_90	chrM	7477	7749	+	1000	1459.0
596_91	chrX	13647672	13647888	+	1000	1458.0
596_92	chr20	32285803	32286011	+	1000	1457.5
596_93	chr21	42974542	42974754	+	1000	1457.5
596_94	chr17	69047654	69047859	+	1000	1454.5
596_95	chr10	22683393	22683595	+	1000	1453.5
596_96	chr1	15795293	15795520	+	1000	1451.5
596_97	chr18	50425290	50425495	+	1000	1447.5
596_98	chr22	20777894	20778108	+	1000	1447.0
596_99	chr5	68549300	68549500	+	1000	1447.0
596_100	chr19	15452188	15452392	+	1000	1445.5
596_101	chrM	6754	6967	+	1000	1440.0
596_102	chr7	107836401	107836610	+	1000	1438.5
596_103	chr15	82849679	82849880	+	1000	1438.0
596_104	chr5	42876494	42876701	+	1000	1437.5
596_105	chr12	89678263	89678466	+	1000	1434.5
596_106	chr2	11968182	11968396	+	1000	1433.0
596_107	chr1	59427238	59427451	+	1000	1429.0
596_108	chr4	78691957	78692185	+	1000	1429.0
596_109	chr1	54273095	54273318	+	1000	1425.5
596_110	chr1	11882949	11883156	+	1000	1425.0
596_111	chr5	90657876	90658123	+	1000	1424.0
596_112	chr1	28416632	28416840	+	1000	1421.0
596_113	chr1	233113034	233113234	+	1000	1419.5
596_114	chr22	22002034	22002239	+	1000	1418.5
596_115	chr1	24419285	24419497	+	1000	1416.0
596_116	chr2	138023395	138023606	+	1000	1415.5
596_117	chr8	85127879	85128084	+	1000	1415.5
596_118	chr18	9743575	9743775	+	1000	1414.0
596_119	chr5	98929566	98929795	+	1000	1414.0
596_120	chr9	97943358	97943573	+	1000	1410.5
596_121	chr4	126850315	126850525	+	1000	1410.0
596_122	chr18	9869922	9870132	+	1000	1408.5
596_123	chr2	176931916	176932131	+	1000	1406.0
596_124	chr3	194476885	194477098	+	1000	1406.0
596_125	chr2	131668914	131669122	+	1000	1404.0
596_126	chr1	234554954	234555173	+	1000	1403.5
596_127	chr9	127771390	127771594	+	1000	1401.5
596_128	chrX	14039463	14039678	+	1000	1401.5
596_129	chr1	206673274	206673492	+	1000	1399.0
596_130	chr1	12038812	12039025	+	1000	1396.5
596_131	chr1	143720138	143720339	+	1000	1395.0
596_132	chr14	77923691	77923915	+	1000	1393.5
596_133	chr1	75423617	75423832	+	1000	1393.0
596_134	chr11	96817633	96817848	+	1000	1391.5
596_135	chr1	26378545	26378746	+	1000	1388.5
596_136	chr17	42087297	42087506	+	1000	1386.0
596_137	chr18	1002753	1002959	+	1000	1386.0
596_138	chr14	20177435	20177637	+	1000	1384.5
596_139	chr3	171447396	171447622	+	1000	1382.0
596_140	chr7	108586262	108586468	+	1000	1376.0
596_141	chrX	39693387	39693594	+	1000	1375.0
596_142	chr15	56923241	56923445	+	1000	1374.5
596_143	chr4	71406396	71406649	+	1000	1373.0
596_144	chr20	41149777	41150000	+	1000	1368.0
596_145	chr1	167220474	167220676	+	1000	1367.0
596_146	chr10	60313417	60313654	+	1000	1366.5
596_147	chr16	28925774	28925981	+	1000	1366.0
596_148	chr3	45104425	45104633	+	1000	1363.5
596_149	chr9	131125351	131125552	+	1000	1363.5
596_150	chr17	33942494	33942697	+	1000	1363.0
596_151	chr9	127969624	127969844	+	1000	1363.0
