#PeakID(python identify_motif.py ./ENCODE_processed_files/TFDP1_idr.fa TFDP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
964_100	chr5	40755874	40756274	+	1000	500.0	[12.889068]	[104]	[]	[]	[40756077]	[]
964_10004	chr19	40811066	40811466	+	1000	66.0	[]	[]	[9.758087]	[204]	[]	[40811304]
964_10010	chr19	55675012	55675412	+	1000	66.0	[8.8998375, 7.6702986]	[128, 137]	[8.09991]	[178]	[55675183, 55675192]	[55675233]
964_10012	chr2	15561580	15561980	+	1000	66.0	[12.889068]	[167]	[]	[]	[15561818]	[]
964_10019	chr2	97995975	97996375	+	1000	66.0	[]	[]	[7.5846877]	[117]	[]	[97996134]
964_10028	chr20	33674262	33674662	+	1000	66.0	[]	[]	[7.5797467]	[167]	[]	[33674500]
964_10030	chr20	51033611	51034011	+	1000	66.0	[8.501586]	[193]	[]	[]	[51033859]	[]
964_10039	chr22	23787081	23787481	+	1000	66.0	[9.4829645]	[147]	[7.817822]	[121]	[23787304]	[23787278]
964_1004	chr17	76726783	76727183	+	1000	211.0	[]	[]	[12.889068]	[138]	[]	[76726995]
964_10043	chr22	41367085	41367485	+	1000	66.0	[12.889068]	[137]	[]	[]	[41367304]	[]
964_10050	chr3	139677364	139677764	+	1000	66.0	[8.8998375]	[172]	[8.653531]	[123]	[139677599]	[139677550]
964_10053	chr3	195747880	195748280	+	1000	66.0	[8.417865]	[117]	[]	[]	[195748049]	[]
964_10056	chr4	37976976	37977376	+	1000	66.0	[]	[]	[12.889068]	[144]	[]	[37977184]
964_1008	chr5	126778225	126778625	+	1000	211.0	[]	[]	[12.889068, 9.758087]	[105, 136]	[]	[126778394, 126778425]
964_10084	chr6	68575985	68576385	+	1000	66.0	[9.758087]	[130]	[7.5846877]	[98]	[68576176]	[68576144]
964_10091	chr7	1462650	1463050	+	1000	66.0	[9.4829645]	[154]	[]	[]	[1462883]	[]
964_10092	chr7	6447169	6447569	+	1000	66.0	[7.5846877]	[177]	[9.4829645]	[133]	[6447418]	[6447374]
964_10106	chr7	157525674	157526074	+	1000	66.0	[7.5797467, 7.5797467]	[76, 105]	[]	[]	[157525837, 157525866]	[]
964_10116	chr8	95090369	95090769	+	1000	66.0	[]	[]	[8.8998375]	[139]	[]	[95090582]
