#PeakID	chr	start	end	strand	idrScore	count
686_0	chrM	13902	14131	+	1000	826.5
686_1	chrM	2023	2420	+	1000	817.5
686_2	chrM	7933	8172	+	1000	817.0
686_3	chr1	125180095	125180308	+	1000	814.0
686_4	chrM	6366	6596	+	1000	804.5
686_5	chr16	46390433	46390777	+	1000	715.0
686_6	chrX	2630583	2630871	+	1000	713.0
686_7	chr22	19479386	19479644	+	1000	705.0
686_8	chr17	75456396	75456642	+	1000	685.5
686_9	chrUn_KI270438v1	109330	109556	+	1000	669.5
686_10	chrUn_KI270438v1	103964	104208	+	1000	653.5
686_11	chr1	151165902	151166139	+	1000	619.0
686_12	chr16	34588120	34588365	+	1000	593.0
686_13	chrUn_KI270467v1	2983	3268	+	1000	590.5
686_14	chr22	20507482	20507683	+	1000	577.5
686_15	chr22	21629355	21629570	+	1000	575.5
686_16	chr19	19516069	19516284	+	1000	572.0
686_17	chr6	31958982	31959192	+	1000	560.5
686_18	chr5	177351602	177351814	+	1000	549.0
686_19	chr15	34101903	34102112	+	1000	547.0
686_20	chr20	35147264	35147488	+	1000	542.0
686_21	chr16	30355225	30355447	+	1000	540.5
686_22	chr3	12841649	12841887	+	1000	535.5
686_23	chr17	81238973	81239225	+	1000	530.0
686_24	chr8	11284293	11284536	+	1000	525.0
686_25	chr1	113929397	113929629	+	1000	514.5
686_26	chr12	6663212	6663443	+	1000	514.0
686_27	chr3	15099056	15099259	+	1000	514.0
686_28	chr6	30067074	30067276	+	1000	510.0
686_29	chr6	136250224	136250432	+	1000	503.5
686_30	chr1	222712656	222712879	+	1000	502.5
686_31	chr3	156555184	156555412	+	1000	500.0
686_32	chr19	40576711	40576939	+	1000	498.5
686_33	chr19	4246880	4247156	+	1000	495.0
686_34	chr9	131125447	131125668	+	1000	488.5
686_35	chr19	12669386	12669770	+	1000	485.0
686_36	chr16	740966	741176	+	1000	480.5
686_37	chr12	118376371	118376583	+	1000	475.0
686_38	chr3	47282524	47282765	+	1000	474.5
686_39	chr1	15975966	15976213	+	1000	474.0
686_40	chr3	14651413	14651640	+	1000	473.0
686_41	chr7	112206389	112206639	+	1000	470.5
686_42	chr6	144095532	144095826	+	1000	468.5
686_43	chrX	65534861	65535080	+	1000	467.5
686_44	chr1	231337801	231338092	+	1000	466.0
686_45	chr9	127715636	127715861	+	1000	463.5
686_46	chr9	40992131	40992343	+	1000	460.5
686_47	chr1	169894001	169894315	+	1000	459.5
686_48	chr1	25232406	25232608	+	1000	458.5
686_49	chr8	17922515	17922730	+	1000	451.0
686_50	chr19	41859646	41859875	+	1000	449.5
686_51	chr5	94111581	94111787	+	1000	448.5
686_52	chr6	159790333	159790537	+	1000	447.5
686_53	chr16	67227003	67227209	+	1000	443.0
686_54	chr17	40219133	40219388	+	1000	442.0
686_55	chr3	9986752	9986953	+	1000	436.0
686_56	chr6	151452113	151452362	+	1000	434.5
686_57	chr3	129399553	129399774	+	1000	429.5
686_58	chr7	30594642	30594866	+	1000	414.0
686_59	chr1	53838503	53838707	+	1000	413.0
686_60	chr13	113449099	113449384	+	1000	405.5
686_61	chr19	44500434	44500639	+	1000	405.5
686_62	chr19	45178410	45178612	+	1000	404.5
686_63	chr1	231241066	231241283	+	1000	404.0
686_64	chr19	4328355	4328669	+	1000	403.5
686_65	chr3	196942336	196942608	+	1000	403.5
686_66	chr6	8064422	8064682	+	1000	403.5
686_67	chr11	64270025	64270236	+	1000	402.5
686_68	chr16	28491995	28492231	+	1000	402.5
686_69	chr10	102743554	102743758	+	1000	399.0
686_70	chr19	16185202	16185474	+	1000	399.0
686_71	chr1	235161168	235161382	+	1000	397.5
686_72	chr18	63422463	63422722	+	1000	395.0
686_73	chr14	81221099	81221322	+	1000	393.5
686_74	chr19	19385655	19385884	+	1000	391.5
686_75	chr17	42998162	42998427	+	1000	391.0
686_76	chr4	139082868	139083090	+	1000	388.5
686_77	chr19	42244718	42244999	+	1000	388.0
686_78	chr19	45730813	45731032	+	1000	387.0
686_79	chr20	56392282	56392488	+	1000	387.0
686_80	chr21	44339351	44339554	+	1000	383.0
686_81	chr17	1324233	1324515	+	1000	379.0
686_82	chr19	45995064	45995277	+	1000	379.0
686_83	chr20	2102202	2102416	+	1000	378.0
686_84	chr12	122266379	122266612	+	1000	377.5
686_85	chr4	189940702	189940922	+	1000	377.5
686_86	chr11	114400499	114400714	+	1000	375.0
686_87	chr22	22753596	22753799	+	1000	375.0
686_88	chr5	86617739	86617960	+	1000	373.5
686_89	chr2	112584331	112584543	+	1000	371.0
686_90	chr1	22428677	22428911	+	1000	370.0
686_91	chr7	107743982	107744200	+	1000	369.5
686_92	chr2	130342740	130342946	+	1000	368.0
686_93	chr9	125261588	125261788	+	1000	367.5
686_94	chr3	141311714	141311925	+	1000	367.0
686_95	chr19	9140259	9140460	+	1000	366.5
686_96	chr8	66667270	66667504	+	1000	365.0
686_97	chr10	73110353	73110559	+	1000	364.0
