#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2C2_idr.fa NR2C2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
151_10	chr11	71928418	71928818	+	1000	1318.0	[9.164563]	[159]	[]	[]	[71928657]	[]
151_100	chr11	58578072	58578472	+	1000	1193.0	[]	[]	[7.9852743]	[72]	[]	[58578234]
151_1000	chr6	109307969	109308369	+	1000	517.0	[9.443364]	[97]	[]	[]	[109308151]	[]
151_10005	chr2	63712620	63713020	+	1000	106.0	[]	[]	[9.443364]	[138]	[]	[63712849]
151_10009	chr2	111320968	111321368	+	1000	106.0	[9.443364]	[89]	[]	[]	[111321156]	[]
151_10010	chr2	169694386	169694786	+	1000	106.0	[9.164563]	[210]	[]	[]	[169694621]	[]
151_10012	chr2	231675082	231675482	+	1000	106.0	[9.164563]	[113]	[]	[]	[231675291]	[]
151_10013	chr20	266644	267044	+	1000	106.0	[]	[]	[9.164563]	[89]	[]	[266812]
151_10015	chr20	57274897	57275297	+	1000	106.0	[9.164563]	[115]	[]	[]	[57275100]	[]
151_10020	chr22	21652989	21653389	+	1000	106.0	[9.164563]	[135]	[]	[]	[21653202]	[]
151_10021	chr22	21700868	21701268	+	1000	106.0	[9.443364]	[105]	[]	[]	[21701024]	[]
151_10024	chr22	29603416	29603816	+	1000	106.0	[]	[]	[9.164563]	[151]	[]	[29603634]
151_10025	chr3	9398723	9399123	+	1000	106.0	[9.164563]	[105]	[9.443364]	[123]	[9398924]	[9398942]
151_10026	chr3	9642754	9643154	+	1000	106.0	[9.443364]	[91]	[]	[]	[9642938]	[]
151_10028	chr3	38317119	38317519	+	1000	106.0	[9.443364, 9.443364]	[110, 117]	[]	[]	[38317328, 38317335]	[]
151_10033	chr3	101938416	101938816	+	1000	106.0	[]	[]	[9.164563]	[99]	[]	[101938590]
151_10036	chr4	10458181	10458581	+	1000	106.0	[7.9852743]	[117]	[]	[]	[10458392]	[]
151_10040	chr4	74544951	74545351	+	1000	106.0	[9.443364, 9.443364]	[78, 127]	[]	[]	[74545128, 74545177]	[]
151_10043	chr4	84126815	84127215	+	1000	106.0	[9.164563, 9.164563]	[86, 146]	[]	[]	[84126996, 84127056]	[]
