#PeakID(python identify_motif.py ./ENCODE_processed_files/TFDP1_idr.fa TFDP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
964_1000	chr1	31938476	31938876	+	1000	211.0	[]	[]	[7.817822]	[164]	[]	[31938721]
964_1001	chr13	21176353	21176753	+	1000	211.0	[]	[]	[9.4829645]	[90]	[]	[21176537]
964_10015	chr2	43224359	43224759	+	1000	66.0	[8.8998375]	[146]	[]	[]	[43224548]	[]
964_10016	chr2	63840531	63840931	+	1000	66.0	[12.889068]	[82]	[]	[]	[63840687]	[]
964_10026	chr20	1466759	1467159	+	1000	66.0	[12.889068]	[197]	[]	[]	[1466990]	[]
964_1003	chr17	48047657	48048057	+	1000	211.0	[]	[]	[9.758087]	[133]	[]	[48047863]
964_10033	chr21	39451734	39452134	+	1000	66.0	[9.758087]	[207]	[]	[]	[39451952]	[]
964_10048	chr3	138935948	138936348	+	1000	66.0	[8.417865]	[128]	[]	[]	[138936138]	[]
964_1005	chr2	74198408	74198808	+	1000	211.0	[]	[]	[7.5797467]	[103]	[]	[74198611]
964_10052	chr3	155806115	155806515	+	1000	66.0	[7.5367184]	[131]	[8.8998375]	[154]	[155806316]	[155806339]
964_10054	chr3	196207133	196207533	+	1000	66.0	[12.889068]	[118]	[]	[]	[196207343]	[]
964_10055	chr4	3073675	3074075	+	1000	66.0	[9.4829645]	[179]	[8.8998375]	[129]	[3073887]	[3073837]
964_1006	chr2	152718437	152718837	+	1000	211.0	[]	[]	[8.653531]	[82]	[]	[152718617]
964_10065	chr5	76403988	76404388	+	1000	66.0	[9.4829645]	[123]	[]	[]	[76404200]	[]
964_10066	chr5	139696888	139697288	+	1000	66.0	[]	[]	[8.501586, 8.8998375, 9.4829645, 8.501586]	[104, 123, 155, 187]	[]	[139697053, 139697072, 139697104, 139697136]
964_1007	chr3	39406684	39407084	+	1000	211.0	[]	[]	[9.4829645]	[98]	[]	[39406876]
964_10071	chr6	7106687	7107087	+	1000	66.0	[]	[]	[8.8998375]	[162]	[]	[7106935]
964_1009	chr5	177367340	177367740	+	1000	211.0	[12.889068]	[81]	[]	[]	[177367509]	[]
964_10093	chr7	26864182	26864582	+	1000	66.0	[]	[]	[12.889068]	[96]	[]	[26864349]
964_101	chr5	177312248	177312648	+	1000	500.0	[12.889068]	[94]	[9.4829645]	[68]	[177312441]	[177312415]
964_1011	chr7	25125142	25125542	+	1000	211.0	[]	[]	[9.4829645]	[95]	[]	[25125325]
964_10112	chr8	41798693	41799093	+	1000	66.0	[]	[]	[12.889068]	[181]	[]	[41798898]
964_10119	chr8	100212888	100213288	+	1000	66.0	[9.4829645]	[141]	[12.889068]	[104]	[100213104]	[100213067]
964_10128	chr9	127451212	127451612	+	1000	66.0	[8.169096, 7.817822]	[96, 146]	[]	[]	[127451406, 127451456]	[]
964_10129	chr9	132355043	132355443	+	1000	66.0	[]	[]	[7.6702986]	[110]	[]	[132355225]
964_10133	chr1	2212670	2213070	+	1000	65.0	[]	[]	[8.8998375]	[121]	[]	[2212839]
964_10148	chr1	151057912	151058312	+	1000	65.0	[7.5797467, 7.5797467]	[159, 192]	[]	[]	[151058108, 151058141]	[]
964_1015	chr11	65858115	65858515	+	1000	210.0	[]	[]	[12.889068]	[125]	[]	[65858322]
964_10162	chr10	45972233	45972633	+	1000	65.0	[]	[]	[8.501586, 7.6702986]	[74, 126]	[]	[45972404, 45972456]
964_10175	chr11	65112532	65112932	+	1000	65.0	[7.5797467, 7.5797467]	[163, 185]	[]	[]	[65112741, 65112763]	[]
964_10181	chr12	3551435	3551835	+	1000	65.0	[]	[]	[9.4829645]	[137]	[]	[3551644]
964_10185	chr12	57111624	57112024	+	1000	65.0	[]	[]	[8.169096]	[131]	[]	[57111819]
964_10186	chr12	95073351	95073751	+	1000	65.0	[]	[]	[8.417865]	[184]	[]	[95073591]
964_10191	chr13	33679215	33679615	+	1000	65.0	[12.889068]	[158]	[]	[]	[33679447]	[]
964_10197	chr14	75126983	75127383	+	1000	65.0	[8.501586]	[146]	[12.889068]	[86]	[75127209]	[75127149]
964_10199	chr14	105528249	105528649	+	1000	65.0	[8.519867, 12.889068]	[114, 168]	[]	[]	[105528443, 105528497]	[]
964_10209	chr17	3668193	3668593	+	1000	65.0	[8.8998375]	[108]	[7.6702986, 12.889068]	[124, 185]	[3668350]	[3668366, 3668427]
964_1022	chr19	6280000	6280400	+	1000	209.0	[9.4829645, 9.758087]	[57, 141]	[]	[]	[6280152, 6280236]	[]
964_10229	chr19	13164494	13164894	+	1000	65.0	[8.501586]	[168]	[9.758087]	[158]	[13164743]	[13164733]
964_1023	chr2	17753894	17754294	+	1000	209.0	[]	[]	[8.519867]	[122]	[]	[17754105]
964_10230	chr19	14381902	14382302	+	1000	65.0	[]	[]	[12.889068]	[139]	[]	[14382128]
964_10231	chr19	18202927	18203327	+	1000	65.0	[]	[]	[8.8998375]	[149]	[]	[18203164]
964_10234	chr19	35900315	35900715	+	1000	65.0	[]	[]	[7.6622133]	[156]	[]	[35900555]
964_10239	chr19	47256179	47256579	+	1000	65.0	[]	[]	[9.4829645]	[198]	[]	[47256421]
964_10245	chr19	58499428	58499828	+	1000	65.0	[]	[]	[7.6702986]	[79]	[]	[58499584]
964_10250	chr2	74421326	74421726	+	1000	65.0	[]	[]	[7.5367184]	[95]	[]	[74421478]
964_10251	chr2	84290547	84290947	+	1000	65.0	[8.501586]	[63]	[]	[]	[84290698]	[]
964_10259	chr2	191836988	191837388	+	1000	65.0	[]	[]	[7.5797467]	[155]	[]	[191837219]
964_10261	chr2	219206597	219206997	+	1000	65.0	[8.417865]	[84]	[]	[]	[219206772]	[]
964_10265	chr20	2509056	2509456	+	1000	65.0	[9.4829645]	[71]	[]	[]	[2509220]	[]
964_10272	chr21	32727881	32728281	+	1000	65.0	[7.5797467]	[96]	[]	[]	[32728077]	[]
964_10274	chr22	20606225	20606625	+	1000	65.0	[]	[]	[8.519867]	[218]	[]	[20606468]
