#PeakID(python identify_motif.py ./ENCODE_processed_files/CUX1_idr.fa CUX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
152_1	chrM	9776	10176	+	1000	793.0	[6.0151424]	[128]	[10.203943]	[128]	[9976]	[9976]
152_100	chr19	3700515	3700915	+	1000	223.0	[10.203943]	[82]	[6.0151424, 5.975493, 5.975493]	[82, 119, 147]	[3700694]	[3700694, 3700731, 3700759]
152_1000	chr11	46277371	46277771	+	1000	89.0	[6.0151424]	[133]	[10.203943]	[133]	[46277599]	[46277599]
152_10003	chr15	92799813	92800213	+	1000	37.0	[6.0151424]	[100]	[10.203943]	[100]	[92799994]	[92799994]
152_10007	chr16	15573426	15573826	+	1000	37.0	[6.0151424]	[127]	[10.203943]	[127]	[15573616]	[15573616]
152_1001	chr12	46661326	46661726	+	1000	89.0	[]	[]	[5.975493]	[121]	[]	[46661523]
152_10011	chr16	23814789	23815189	+	1000	37.0	[6.0151424, 6.0151424, 6.0151424]	[100, 104, 108]	[10.203943, 10.203943, 10.203943]	[100, 104, 108]	[23814989, 23814993, 23814997]	[23814989, 23814993, 23814997]
152_10012	chr16	24273362	24273762	+	1000	37.0	[10.935475]	[123]	[10.935475]	[123]	[24273578]	[24273578]
152_10021	chr16	81080993	81081393	+	1000	37.0	[10.203943]	[105]	[6.0151424]	[105]	[81081195]	[81081195]
152_10037	chr17	45487726	45488126	+	986	37.0	[6.0151424]	[93]	[10.203943]	[93]	[45487912]	[45487912]
152_10039	chr17	48293795	48294195	+	983	37.0	[10.203943, 10.203943]	[97, 145]	[6.0151424, 6.0151424]	[97, 145]	[48293975, 48294023]	[48293975, 48294023]
152_1005	chr16	66899889	66900289	+	1000	89.0	[6.0151424]	[81]	[10.203943]	[81]	[66900056]	[66900056]
152_10052	chr17	82457791	82458191	+	1000	37.0	[10.203943, 10.203943]	[89, 111]	[6.0151424, 6.0151424]	[89, 111]	[82457977, 82457999]	[82457977, 82457999]
152_10055	chr18	3869828	3870228	+	1000	37.0	[10.203943]	[112]	[6.0151424]	[112]	[3870001]	[3870001]
152_10056	chr18	8994586	8994986	+	1000	37.0	[5.975493]	[52]	[]	[]	[8994737]	[]
152_10057	chr18	9908291	9908691	+	1000	37.0	[6.0151424]	[114]	[10.203943]	[114]	[9908481]	[9908481]
152_10061	chr18	32018124	32018524	+	1000	37.0	[6.0151424]	[91]	[10.203943]	[91]	[32018312]	[32018312]
152_10062	chr18	35118169	35118569	+	1000	37.0	[10.203943, 6.0151424]	[131, 147]	[6.0151424, 10.203943]	[131, 147]	[35118376, 35118392]	[35118376, 35118392]
152_10066	chr18	55547270	55547670	+	1000	37.0	[10.203943]	[105]	[6.0151424]	[105]	[55547469]	[55547469]
152_10067	chr18	70025613	70026013	+	1000	37.0	[5.975493, 6.0151424, 5.975493]	[89, 154, 162]	[10.203943]	[154]	[70025780, 70025845, 70025853]	[70025845]
152_10068	chr18	75218153	75218553	+	1000	37.0	[10.935475]	[164]	[10.935475]	[164]	[75218391]	[75218391]
152_1007	chr17	82494533	82494933	+	1000	89.0	[5.975493]	[115]	[]	[]	[82494739]	[]
152_10070	chr19	965152	965552	+	612	37.0	[6.0151424]	[152]	[10.203943]	[152]	[965345]	[965345]
152_10072	chr19	2507112	2507512	+	1000	37.0	[10.203943]	[111]	[6.0151424]	[111]	[2507299]	[2507299]
152_10083	chr19	45499463	45499863	+	1000	37.0	[6.0151424]	[184]	[10.203943]	[184]	[45499696]	[45499696]
152_10095	chr2	20438469	20438869	+	737	37.0	[10.203943]	[99]	[6.0151424]	[99]	[20438655]	[20438655]
152_10097	chr2	26397018	26397418	+	917	37.0	[10.203943]	[149]	[6.0151424]	[149]	[26397221]	[26397221]
152_10098	chr2	27191458	27191858	+	999	37.0	[5.975493]	[186]	[]	[]	[27191689]	[]
152_1010	chr19	3036213	3036613	+	1000	89.0	[6.0151424]	[115]	[10.203943]	[115]	[3036422]	[3036422]
152_10101	chr2	42196318	42196718	+	1000	37.0	[]	[]	[5.975493]	[87]	[]	[42196479]
152_10102	chr2	46020502	46020902	+	1000	37.0	[6.0151424]	[115]	[10.203943]	[115]	[46020711]	[46020711]
152_10104	chr2	54597147	54597547	+	652	37.0	[5.975493, 10.203943]	[80, 101]	[6.0151424]	[101]	[54597317, 54597338]	[54597338]
152_10109	chr2	90400968	90401368	+	1000	37.0	[10.935475]	[76]	[10.935475]	[76]	[90401143]	[90401143]
152_1011	chr19	16197248	16197648	+	1000	89.0	[6.0151424]	[109]	[10.203943]	[109]	[16197444]	[16197444]
152_10110	chr2	96890133	96890533	+	1000	37.0	[10.203943, 10.203943]	[102, 106]	[6.0151424, 6.0151424]	[102, 106]	[96890284, 96890288]	[96890284, 96890288]
152_10111	chr2	112989598	112989998	+	850	37.0	[6.0151424]	[90]	[10.203943]	[90]	[112989772]	[112989772]
152_10116	chr2	157670534	157670934	+	1000	37.0	[5.975493]	[120]	[]	[]	[157670745]	[]
152_1012	chr21	33544382	33544782	+	1000	89.0	[6.0151424]	[120]	[10.203943]	[120]	[33544588]	[33544588]
152_10123	chr2	171144057	171144457	+	1000	37.0	[10.203943]	[189]	[6.0151424]	[189]	[171144281]	[171144281]
152_10124	chr2	172501645	172502045	+	1000	37.0	[5.975493, 6.0151424]	[96, 145]	[10.203943]	[145]	[172501832, 172501881]	[172501881]
152_10128	chr2	219498978	219499378	+	1000	37.0	[10.203943]	[87]	[6.0151424]	[87]	[219499130]	[219499130]
152_10133	chr21	21179616	21180016	+	1000	37.0	[6.0151424]	[155]	[10.203943]	[155]	[21179862]	[21179862]
152_10149	chr22	19121172	19121572	+	1000	37.0	[]	[]	[5.975493]	[119]	[]	[19121377]
152_10155	chr22	19697136	19697536	+	961	37.0	[6.0151424]	[100]	[10.203943]	[100]	[19697323]	[19697323]
152_10159	chr22	20488170	20488570	+	956	37.0	[6.0151424]	[120]	[10.203943]	[120]	[20488374]	[20488374]
152_1016	chr3	4963774	4964174	+	1000	89.0	[6.0151424]	[143]	[10.203943]	[143]	[4964005]	[4964005]
152_1017	chr3	8663471	8663871	+	1000	89.0	[6.0151424]	[107]	[10.203943]	[107]	[8663676]	[8663676]
152_1018	chr5	72256648	72257048	+	1000	89.0	[6.0151424]	[114]	[10.203943]	[114]	[72256861]	[72256861]
152_10182	chr22	22843124	22843524	+	1000	37.0	[10.203943, 6.0151424]	[91, 143]	[6.0151424, 10.203943]	[91, 143]	[22843307, 22843359]	[22843307, 22843359]
152_10185	chr22	22944987	22945387	+	1000	37.0	[5.975493]	[154]	[5.975493]	[110]	[22945196]	[22945152]
152_1019	chr6	33384549	33384949	+	1000	89.0	[6.0151424]	[87]	[10.203943, 5.975493]	[87, 106]	[33384734]	[33384734, 33384753]
152_10191	chr22	31217454	31217854	+	625	37.0	[10.203943]	[104]	[6.0151424]	[104]	[31217653]	[31217653]
152_10192	chr22	38012688	38013088	+	1000	37.0	[6.0151424]	[94]	[10.203943]	[94]	[38012872]	[38012872]
152_102	chr22	21651274	21651674	+	1000	221.0	[10.203943]	[102]	[6.0151424]	[102]	[21651467]	[21651467]
152_1020	chr7	30941590	30941990	+	1000	89.0	[6.0151424, 10.203943, 10.935475, 10.203943, 6.0151424, 5.975493]	[82, 86, 90, 94, 110, 114]	[10.203943, 6.0151424, 10.935475, 6.0151424, 10.203943]	[82, 86, 90, 94, 110]	[30941758, 30941762, 30941766, 30941770, 30941786, 30941790]	[30941758, 30941762, 30941766, 30941770, 30941786]
152_10200	chr3	24370396	24370796	+	1000	37.0	[10.203943]	[142]	[6.0151424]	[142]	[24370578]	[24370578]
152_10201	chr3	32733603	32734003	+	1000	37.0	[6.0151424]	[85]	[10.203943]	[85]	[32733763]	[32733763]
152_10205	chr3	33883391	33883791	+	1000	37.0	[6.0151424]	[130]	[10.203943]	[130]	[33883567]	[33883567]
152_10209	chr3	45060173	45060573	+	1000	37.0	[6.0151424]	[119]	[10.203943]	[119]	[45060379]	[45060379]
152_10214	chr3	48087763	48088163	+	1000	37.0	[10.203943]	[116]	[6.0151424]	[116]	[48087969]	[48087969]
152_10215	chr3	50595912	50596312	+	1000	37.0	[10.203943, 6.0151424]	[143, 158]	[6.0151424, 10.203943]	[143, 158]	[50596139, 50596154]	[50596139, 50596154]
152_10216	chr3	71874478	71874878	+	997	37.0	[10.203943]	[189]	[6.0151424]	[189]	[71874724]	[71874724]
152_10219	chr3	141409572	141409972	+	1000	37.0	[10.203943, 10.203943]	[94, 98]	[6.0151424, 6.0151424]	[94, 98]	[141409735, 141409739]	[141409735, 141409739]
152_1022	chr7	137949719	137950119	+	1000	89.0	[6.0151424]	[108]	[10.203943]	[108]	[137949920]	[137949920]
152_10220	chr3	142636678	142637078	+	1000	37.0	[10.935475]	[130]	[10.935475]	[130]	[142636902]	[142636902]
