#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF16_idr.fa KLF16 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
805_10001	chr2	96174500	96174900	+	1000	56.0	[8.502228]	[114]	[]	[]	[96174704]	[]
805_10008	chr2	218270300	218270700	+	1000	56.0	[]	[]	[7.1464634, 12.29139]	[134, 136]	[]	[218270517, 218270519]
805_10009	chr2	219229613	219230013	+	1000	56.0	[]	[]	[8.933888]	[72]	[]	[219229770]
805_1001	chr17	64974719	64975119	+	1000	190.0	[8.074149]	[60]	[]	[]	[64974870]	[]
805_10013	chr20	23361978	23362378	+	1000	56.0	[8.544636]	[92]	[]	[]	[23362162]	[]
805_10014	chr20	31951967	31952367	+	1000	56.0	[]	[]	[8.061128, 13.953096]	[56, 75]	[]	[31952120, 31952139]
805_10015	chr20	34127765	34128165	+	1000	56.0	[6.6167054]	[70]	[]	[]	[34127934]	[]
805_10016	chr20	41023550	41023950	+	1000	56.0	[7.313411]	[116]	[]	[]	[41023752]	[]
805_10018	chr20	63980783	63981183	+	1000	56.0	[6.6075435, 7.2131524, 8.502228]	[139, 145, 162]	[]	[]	[63980985, 63980991, 63981008]	[]
805_1002	chr2	111642880	111643280	+	1000	190.0	[8.557642]	[169]	[]	[]	[111643125]	[]
805_10021	chr21	33510852	33511252	+	659	56.0	[]	[]	[8.557642, 7.2721825]	[104, 171]	[]	[33511029, 33511096]
805_10028	chr22	21876507	21876907	+	1000	56.0	[]	[]	[6.719461]	[141]	[]	[21876698]
805_10032	chr3	5057782	5058182	+	1000	56.0	[8.00492, 7.1509056]	[110, 146]	[]	[]	[5057968, 5058004]	[]
805_10033	chr3	9362790	9363190	+	1000	56.0	[7.693098]	[138]	[]	[]	[9362998]	[]
805_10034	chr3	9982917	9983317	+	1000	56.0	[]	[]	[8.687048, 9.232781, 10.551159]	[113, 115, 135]	[]	[9983103, 9983105, 9983125]
805_10037	chr3	14791276	14791676	+	1000	56.0	[]	[]	[9.168893]	[133]	[]	[14791504]
805_10038	chr3	23945935	23946335	+	1000	56.0	[8.178812, 7.313411]	[103, 106]	[6.8069506]	[80]	[23946121, 23946124]	[23946098]
805_10041	chr3	39126549	39126949	+	1000	56.0	[6.5923476]	[53]	[]	[]	[39126702]	[]
805_10045	chr3	52240512	52240912	+	754	56.0	[12.186728]	[145]	[]	[]	[52240743]	[]
805_1005	chr4	173334418	173334818	+	1000	190.0	[]	[]	[7.693098]	[125]	[]	[173334643]
805_10050	chr3	141441336	141441736	+	1000	56.0	[]	[]	[8.061128, 7.1464634]	[123, 127]	[]	[141441550, 141441554]
805_10052	chr3	150733426	150733826	+	1000	56.0	[]	[]	[12.186728, 7.2473845]	[138, 140]	[]	[150733658, 150733660]
805_10053	chr3	152259009	152259409	+	1000	56.0	[]	[]	[10.901268, 7.5520773]	[138, 142]	[]	[152259244, 152259248]
805_1006	chr5	76849902	76850302	+	1000	190.0	[8.544636]	[117]	[]	[]	[76850093]	[]
805_10070	chr5	31532180	31532580	+	1000	56.0	[]	[]	[7.0001297]	[160]	[]	[31532405]
805_10073	chr5	75336688	75337088	+	1000	56.0	[7.714338]	[164]	[]	[]	[75336909]	[]
805_10075	chr5	77030121	77030521	+	1000	56.0	[10.882585, 8.824514]	[126, 139]	[]	[]	[77030294, 77030307]	[]
805_10078	chr5	141960678	141961078	+	1000	56.0	[]	[]	[7.644837]	[64]	[]	[141960834]
805_10081	chr5	148806374	148806774	+	1000	56.0	[]	[]	[8.930296]	[130]	[]	[148806544]
805_10085	chr5	159515829	159516229	+	1000	56.0	[7.693098]	[93]	[]	[]	[159516012]	[]
805_10086	chr5	172959172	172959572	+	1000	56.0	[7.2721825]	[67]	[]	[]	[172959333]	[]
805_10088	chr5	179623954	179624354	+	1000	56.0	[7.9824696]	[102]	[8.630112]	[78]	[179624148]	[179624124]
805_10093	chr6	26031782	26032182	+	1000	56.0	[8.978558]	[133]	[]	[]	[26031953]	[]
805_10095	chr6	31087503	31087903	+	1000	56.0	[]	[]	[10.610686]	[77]	[]	[31087675]
805_10098	chr6	34154722	34155122	+	1000	56.0	[6.538516]	[119]	[8.933888]	[149]	[34154940]	[34154970]
