#PeakID	chr	start	end	strand	idrScore	count
36_0	chrM	605	843	+	1000	2034.5
36_1	chrM	15770	16255	+	1000	1837.0
36_2	chr10	78029486	78029690	+	1000	1754.0
36_3	chr19	54463958	54464230	+	1000	1662.0
36_4	chr12	121590192	121590409	+	1000	1563.0
36_5	chr16	74666986	74667189	+	1000	1473.0
36_6	chr2	97663949	97664197	+	1000	1456.0
36_7	chr17	28041408	28041631	+	1000	1431.5
36_8	chr7	56106497	56106819	+	1000	1411.5
36_9	chr5	136466511	136466719	+	1000	1272.0
36_10	chr17	75393854	75394055	+	1000	1264.0
36_11	chr7	25856973	25857187	+	1000	1246.5
36_12	chrM	3758	3967	+	1000	1217.5
36_13	chr17	38752578	38752781	+	1000	1214.5
36_14	chr15	84631303	84631506	+	1000	1196.5
36_15	chr7	66996503	66996703	+	1000	1186.0
36_16	chr9	94166063	94166281	+	1000	1145.5
36_17	chr1	33036831	33037069	+	1000	1142.5
36_18	chr11	83156657	83156857	+	1000	1136.5
36_19	chr15	92900176	92900391	+	1000	1132.5
36_20	chr7	139360259	139360613	+	1000	1123.5
36_21	chr1	150487233	150487440	+	1000	1121.0
36_22	chr1	23344290	23344495	+	1000	1118.0
36_23	chr3	93470435	93470801	+	1000	1114.5
36_24	chr16	19067373	19067584	+	1000	1110.5
36_25	chr1	153967688	153967888	+	1000	1098.0
36_26	chr19	58572795	58573005	+	1000	1088.0
36_27	chr11	77299531	77299801	+	1000	1087.5
36_28	chr1	24415629	24415925	+	1000	1082.5
36_29	chr11	46249741	46249942	+	1000	1082.5
36_30	chr6	137955241	137955453	+	1000	1079.0
36_31	chr2	152717467	152717669	+	1000	1074.5
36_32	chr17	66346027	66346231	+	1000	1073.5
36_33	chr6	116616246	116616446	+	1000	1061.0
36_34	chr22	20020827	20021106	+	1000	1051.0
36_35	chr17	81394042	81394244	+	1000	1047.5
36_36	chr8	144104276	144104476	+	1000	1047.0
36_37	chr2	62705481	62705683	+	1000	1044.5
36_38	chr6	109009515	109009734	+	1000	1042.0
36_39	chr19	12365530	12365870	+	1000	1038.5
36_40	chr17	49788907	49789259	+	1000	1035.5
36_41	chr19	42268887	42269097	+	1000	1032.0
36_42	chr5	96808324	96808726	+	1000	1027.0
36_43	chr22	19447468	19447881	+	1000	1024.0
36_44	chr1	42682215	42682415	+	1000	1017.0
36_45	chr19	40576679	40576879	+	1000	1014.5
36_46	chr11	57667381	57667581	+	1000	1013.5
36_47	chr3	43686926	43687135	+	1000	1010.5
36_48	chr15	75451683	75451895	+	1000	1003.5
36_49	chr5	65966626	65966831	+	1000	998.5
36_50	chr10	102502137	102502337	+	1000	997.5
36_51	chr2	231706951	231707242	+	1000	996.0
36_52	chr7	151028287	151028487	+	1000	995.5
36_53	chr12	6851294	6851497	+	1000	995.0
36_54	chr3	9396972	9397172	+	1000	985.0
36_55	chr7	107168776	107168976	+	1000	975.5
36_56	chr1	154983185	154983385	+	1000	971.0
36_57	chr1	247008067	247008277	+	1000	970.0
36_58	chr16	89171563	89171763	+	1000	968.0
36_59	chr19	14136927	14137137	+	1000	966.5
36_60	chr11	57712322	57712533	+	1000	964.5
36_61	chr2	71227194	71227397	+	1000	963.0
36_62	chr19	11597240	11597459	+	1000	960.0
36_63	chr21	42974547	42974754	+	1000	959.5
36_64	chr19	47048585	47048786	+	1000	959.0
36_65	chr19	51394216	51394486	+	1000	955.5
36_66	chrX	81121672	81121873	+	1000	954.0
36_67	chr12	122064897	122065097	+	1000	952.5
36_68	chr11	62754221	62754423	+	1000	946.5
36_69	chr22	20016860	20017070	+	1000	946.5
36_70	chr2	219229453	219229743	+	1000	946.0
36_71	chr1	207519771	207519980	+	1000	942.5
36_72	chr2	173965357	173965562	+	1000	939.5
36_73	chr15	68820838	68821041	+	1000	936.0
36_74	chr19	4968719	4968925	+	1000	934.0
36_75	chr2	38603031	38603235	+	1000	932.0
36_76	chr4	88284523	88284731	+	1000	930.5
36_77	chr7	44848246	44848446	+	1000	930.5
36_78	chr2	24971652	24971856	+	1000	930.0
36_79	chrM	12090	12305	+	1000	930.0
36_80	chr20	45857397	45857597	+	1000	926.5
36_81	chr17	42154960	42155160	+	1000	921.5
36_82	chr19	49766786	49766989	+	1000	920.5
36_83	chrM	12574	12791	+	1000	920.5
36_84	chr22	21014785	21014995	+	1000	920.0
36_85	chr19	11814072	11814398	+	1000	917.0
36_86	chr19	13795176	13795588	+	1000	916.0
36_87	chr2	20051686	20051952	+	1000	915.5
36_88	chr7	134646670	134646870	+	1000	915.5
36_89	chr1	1399355	1399571	+	1000	912.0
36_90	chr14	23321175	23321420	+	1000	910.0
36_91	chr10	5890028	5890261	+	1000	909.5
36_92	chr12	121399945	121400145	+	1000	908.5
36_93	chr1	156500636	156501036	+	1000	907.5
36_94	chr15	43493111	43493319	+	1000	907.5
36_95	chr16	589743	590106	+	1000	907.0
36_96	chr1	8878698	8878900	+	1000	906.5
36_97	chr19	18204221	18204428	+	1000	905.5
36_98	chr7	27662896	27663096	+	1000	904.5
36_99	chr7	138002257	138002471	+	1000	904.5
36_100	chr19	35702339	35702539	+	1000	902.5
36_101	chr5	173057079	173057283	+	1000	902.5
36_102	chr12	27523949	27524157	+	1000	902.0
36_103	chr19	4472033	4472233	+	1000	902.0
36_104	chr12	57455101	57455305	+	1000	901.5
36_105	chr12	56645979	56646192	+	1000	901.0
36_106	chr1	23368288	23368490	+	1000	900.5
36_107	chr22	23070051	23070256	+	1000	900.5
36_108	chr1	155227366	155227735	+	1000	899.5
36_109	chr11	62123796	62124162	+	1000	899.5
36_110	chr19	12551503	12551710	+	1000	899.5
36_111	chr2	26785814	26786014	+	1000	899.5
36_112	chr9	136886225	136886524	+	1000	899.0
36_113	chr1	167721796	167721998	+	1000	898.0
36_114	chr22	22520285	22520523	+	1000	898.0
36_115	chr7	77798556	77798756	+	1000	897.5
36_116	chr17	50208729	50208940	+	1000	897.0
36_117	chr11	67483358	67483581	+	1000	896.5
36_118	chr19	45995136	45995337	+	1000	896.5
36_119	chr5	146203439	146203639	+	1000	896.0
36_120	chr1	10210358	10210559	+	1000	895.0
36_121	chr12	31074054	31074257	+	1000	894.5
36_122	chr14	21269534	21269749	+	1000	894.5
36_123	chr20	46406614	46406814	+	1000	894.5
36_124	chr1	112396053	112396258	+	1000	893.5
36_125	chr20	37178884	37179086	+	1000	893.5
36_126	chr7	66628742	66628944	+	1000	893.5
36_127	chr3	25664859	25665063	+	1000	892.5
36_128	chr11	125592658	125592862	+	1000	892.0
36_129	chr20	31723590	31723805	+	1000	892.0
36_130	chr19	15418990	15419193	+	1000	891.5
36_131	chr17	76671701	76671913	+	1000	891.0
36_132	chr9	131373421	131373621	+	1000	891.0
36_133	chr3	100492413	100492613	+	1000	890.5
36_134	chr4	139083023	139083224	+	1000	890.0
36_135	chr12	54359144	54359427	+	1000	888.0
36_136	chr7	100101411	100101611	+	1000	888.0
36_137	chrX	48958370	48958759	+	1000	888.0
36_138	chr17	81666531	81666924	+	1000	887.0
36_139	chr19	4246879	4247079	+	1000	887.0
36_140	chr19	45370567	45370767	+	1000	887.0
36_141	chr22	37844407	37844610	+	1000	887.0
36_142	chr4	48780175	48780510	+	1000	887.0
36_143	chr15	41283781	41283981	+	1000	886.5
36_144	chr19	21081974	21082419	+	1000	886.0
36_145	chr6	159790290	159790503	+	1000	886.0
36_146	chr14	73458691	73458891	+	1000	885.5
36_147	chr1	25430718	25430927	+	1000	885.0
36_148	chr1	54200037	54200241	+	1000	885.0
36_149	chr19	4867625	4867830	+	1000	885.0
36_150	chr7	75739091	75739436	+	1000	885.0
36_151	chr15	89088204	89088412	+	1000	884.5
36_152	chr19	19385497	19385712	+	1000	884.0
36_153	chr21	29024844	29025209	+	1000	884.0
36_154	chr12	123383964	123384169	+	1000	882.5
36_155	chr7	150379164	150379366	+	1000	882.0
36_156	chr9	137241072	137241274	+	1000	882.0
36_157	chr17	40418025	40418227	+	1000	881.0
36_158	chr17	63550143	63550365	+	1000	881.0
36_159	chr19	6737655	6737855	+	1000	881.0
36_160	chr16	89490637	89490964	+	1000	880.5
36_161	chr17	48048143	48048349	+	1000	880.5
36_162	chr15	92882341	92882545	+	1000	880.0
36_163	chr20	17682261	17682481	+	1000	880.0
36_164	chr17	17972603	17972803	+	1000	879.5
36_165	chr1	31644871	31645071	+	1000	879.0
36_166	chr16	84504599	84504803	+	1000	879.0
36_167	chr3	195443078	195443280	+	1000	879.0
36_168	chr16	3264543	3264748	+	1000	878.5
36_169	chr16	70289542	70289745	+	1000	878.5
36_170	chr1	39899074	39899274	+	1000	878.0
36_171	chr1	247078772	247079181	+	1000	878.0
36_172	chr19	13952272	13952485	+	1000	878.0
36_173	chr6	154593120	154593321	+	1000	878.0
36_174	chr1	156338250	156338452	+	1000	877.5
36_175	chr17	28812453	28812656	+	1000	877.5
36_176	chr19	3970984	3971301	+	1000	877.0
36_177	chr9	125241512	125241712	+	1000	877.0
36_178	chr19	48469080	48469280	+	1000	876.5
36_179	chr20	3889166	3889366	+	1000	876.5
36_180	chrX	318876	319078	+	1000	876.5
36_181	chr4	474171	474371	+	1000	876.0
36_182	chr6	43013711	43014089	+	1000	876.0
36_183	chr16	28950766	28950967	+	1000	875.5
36_184	chr2	112275390	112275590	+	1000	875.5
36_185	chr7	108526180	108526385	+	1000	875.5
36_186	chrX	1492085	1492292	+	1000	875.5
36_187	chrX	47129204	47129406	+	1000	875.5
36_188	chr6	30717231	30717443	+	1000	875.0
36_189	chr5	154445789	154446070	+	1000	874.5
36_190	chr1	42846371	42846585	+	1000	874.0
36_191	chr6	32176059	32176273	+	1000	873.5
36_192	chr5	150758616	150758838	+	1000	872.0
36_193	chr5	146447158	146447375	+	1000	871.5
36_194	chr17	8222300	8222664	+	1000	870.5
36_195	chr13	19958488	19958689	+	1000	870.0
36_196	chr19	55461864	55462066	+	1000	870.0
36_197	chr7	98106728	98106946	+	1000	870.0
36_198	chr12	53625984	53626190	+	1000	869.0
36_199	chr17	27529234	27529435	+	1000	869.0
36_200	chr11	66958419	66958637	+	1000	868.5
36_201	chr3	9843966	9844167	+	1000	868.5
36_202	chr5	151080980	151081184	+	1000	868.5
36_203	chr22	40636665	40636866	+	1000	867.5
36_204	chr13	19633518	19633728	+	1000	867.0
36_205	chr17	75154288	75154730	+	1000	867.0
36_206	chr19	1652850	1653074	+	1000	867.0
36_207	chr19	10717754	10717971	+	1000	866.0
36_208	chr4	10181255	10181458	+	1000	866.0
36_209	chr16	22374406	22374798	+	1000	864.0
36_210	chr16	53503412	53503612	+	1000	864.0
36_211	chr10	102245218	102245423	+	1000	863.5
36_212	chr16	66880370	66880583	+	1000	863.5
36_213	chr19	50658183	50658428	+	1000	863.5
36_214	chr16	30445823	30446023	+	1000	863.0
36_215	chr11	3797534	3797736	+	1000	862.5
36_216	chr19	49496219	49496423	+	1000	862.5
36_217	chr19	58381202	58381403	+	1000	862.5
36_218	chr22	21045749	21045949	+	1000	862.5
36_219	chr19	42397002	42397210	+	1000	862.0
36_220	chr17	4967325	4967540	+	1000	861.5
36_221	chr2	63840841	63841041	+	1000	861.5
36_222	chr4	174283146	174283351	+	1000	861.5
36_223	chr7	44606745	44606969	+	1000	861.5
36_224	chr1	227563353	227563562	+	1000	861.0
36_225	chr11	62831678	62831888	+	1000	861.0
36_226	chr20	33720230	33720434	+	1000	861.0
36_227	chr20	35742418	35742620	+	1000	860.0
36_228	chr4	51842809	51843010	+	1000	860.0
36_229	chr7	44796472	44796679	+	1000	860.0
36_230	chr11	72112341	72112541	+	1000	859.5
36_231	chr19	16111733	16111934	+	1000	859.5
36_232	chr2	8681837	8682085	+	1000	859.5
36_233	chr1	44674581	44674782	+	1000	859.0
36_234	chr7	106568755	106568985	+	1000	859.0
36_235	chr7	120951050	120951253	+	1000	859.0
36_236	chr19	11155862	11156063	+	1000	858.5
36_237	chr11	125111802	125112012	+	1000	858.0
36_238	chr7	30026678	30026880	+	1000	858.0
36_239	chr15	70099668	70099875	+	1000	857.5
36_240	chr1	151790528	151790732	+	1000	857.0
36_241	chr16	46689219	46689428	+	1000	857.0
36_242	chr1	11262500	11262702	+	1000	856.5
36_243	chr12	67269109	67269309	+	1000	856.5
36_244	chr17	14300783	14301121	+	1000	856.5
36_245	chr3	49786575	49786779	+	1000	856.5
36_246	chr6	110874600	110874803	+	1000	856.5
36_247	chr7	72828346	72828562	+	1000	856.5
36_248	chr1	153923049	153923250	+	1000	856.0
36_249	chr10	99620451	99620659	+	1000	856.0
36_250	chr16	1782848	1783048	+	1000	856.0
36_251	chr5	157142833	157143036	+	1000	856.0
36_252	chr11	65615437	65615637	+	1000	855.5
36_253	chr12	2812450	2812650	+	1000	855.5
36_254	chr2	55050517	55050743	+	1000	855.5
36_255	chr20	45881103	45881303	+	1000	855.5
36_256	chr10	5813420	5813622	+	1000	855.0
36_257	chr17	41786814	41787021	+	1000	855.0
36_258	chr17	43171034	43171234	+	1000	855.0
36_259	chr1	21906948	21907149	+	1000	854.5
36_260	chr16	2155479	2155682	+	1000	854.5
36_261	chr22	38705489	38705689	+	1000	854.5
36_262	chr5	179698736	179698943	+	1000	854.5
36_263	chr6	147202450	147202652	+	1000	854.0
36_264	chr19	2740021	2740222	+	1000	853.5
36_265	chr3	38165068	38165272	+	1000	853.5
36_266	chr17	81239109	81239333	+	1000	853.0
36_267	chr19	2950619	2950888	+	1000	853.0
36_268	chr4	124283	124483	+	1000	853.0
36_269	chr5	179732652	179732860	+	1000	853.0
36_270	chr8	143368662	143368869	+	1000	853.0
36_271	chr11	75815003	75815203	+	1000	852.5
36_272	chr11	118928568	118928770	+	1000	852.5
36_273	chr17	60602011	60602214	+	1000	852.5
36_274	chr19	7629538	7629738	+	1000	852.5
36_275	chr19	38544046	38544246	+	1000	852.5
36_276	chr19	55080666	55080870	+	1000	852.5
36_277	chr2	73071280	73071480	+	1000	852.0
36_278	chr3	149086464	149086664	+	1000	852.0
36_279	chr9	34989409	34989613	+	1000	852.0
36_280	chr1	21607913	21608151	+	1000	851.0
36_281	chr12	51239082	51239284	+	1000	851.0
36_282	chr2	26345851	26346251	+	1000	851.0
36_283	chr12	57078951	57079152	+	1000	850.5
36_284	chr14	23007164	23007364	+	1000	850.5
36_285	chr16	87493072	87493272	+	1000	850.5
36_286	chr19	6372484	6372691	+	1000	850.5
36_287	chr9	125143545	125143752	+	1000	850.5
36_288	chr11	66289196	66289396	+	1000	850.0
36_289	chr12	54279710	54279938	+	1000	850.0
36_290	chr13	19863683	19863886	+	1000	850.0
36_291	chr19	17859733	17859934	+	1000	850.0
36_292	chr19	35748409	35748613	+	1000	850.0
36_293	chr3	15601473	15601677	+	1000	850.0
36_294	chr6	108558516	108558718	+	1000	850.0
36_295	chr7	77696228	77696428	+	1000	850.0
36_296	chr8	25458406	25458606	+	1000	850.0
36_297	chr15	45402189	45402394	+	1000	849.5
36_298	chr16	67892826	67893226	+	1000	849.5
36_299	chr17	7572544	7572749	+	1000	849.5
36_300	chrX	47561013	47561214	+	1000	849.5
36_301	chr3	88058982	88059182	+	1000	849.0
36_302	chr3	186109127	186109328	+	1000	849.0
36_303	chr7	129439082	129439289	+	1000	849.0
36_304	chr10	42368011	42368214	+	1000	848.5
36_305	chr19	35757856	35758065	+	1000	848.5
36_306	chr1	200410021	200410237	+	1000	848.0
36_307	chr11	22625802	22626003	+	1000	848.0
36_308	chr15	42920825	42921029	+	1000	848.0
36_309	chr19	4153447	4153650	+	1000	848.0
36_310	chr9	83980224	83980424	+	1000	848.0
36_311	chr9	128874662	128874863	+	1000	848.0
36_312	chr1	150236129	150236334	+	1000	847.5
36_313	chr4	123396495	123396827	+	1000	847.5
36_314	chr5	32313142	32313347	+	1000	847.5
36_315	chr1	44355178	44355394	+	1000	847.0
36_316	chr12	53079375	53079578	+	1000	847.0
36_317	chr2	65227595	65227810	+	1000	847.0
36_318	chr17	41689309	41689517	+	1000	846.5
36_319	chr17	18183271	18183483	+	1000	846.0
36_320	chr19	14117714	14117914	+	1000	846.0
36_321	chr19	14529183	14529391	+	1000	846.0
36_322	chr20	41618403	41618604	+	1000	846.0
36_323	chr10	102503785	102503990	+	1000	845.5
36_324	chr17	42388400	42388608	+	1000	845.5
36_325	chr22	36388185	36388386	+	1000	845.5
36_326	chr4	7068056	7068257	+	1000	845.5
36_327	chrX	136880761	136880972	+	1000	845.5
36_328	chrX	154428436	154428654	+	1000	845.5
36_329	chr1	116827304	116827504	+	1000	845.0
36_330	chr10	102743720	102743923	+	1000	845.0
36_331	chr12	53441513	53441732	+	1000	845.0
36_332	chr4	183659154	183659369	+	1000	845.0
36_333	chr12	55817796	55818038	+	1000	844.5
36_334	chr4	609485	609693	+	1000	844.5
36_335	chr5	149960596	149960798	+	1000	844.5
36_336	chr6	36197219	36197422	+	1000	844.5
36_337	chr7	25855173	25855374	+	1000	844.5
36_338	chr19	7605725	7605958	+	1000	844.0
36_339	chr6	15245322	15245528	+	1000	844.0
36_340	chr6	35688920	35689121	+	1000	844.0
36_341	chr1	5992514	5992716	+	1000	843.5
36_342	chr16	9091315	9091516	+	1000	843.5
36_343	chr16	87388327	87388547	+	1000	843.5
36_344	chr5	177426223	177426424	+	1000	843.5
36_345	chr7	65373635	65373836	+	1000	843.5
36_346	chr1	153727781	153728143	+	1000	843.0
36_347	chr17	81222998	81223200	+	1000	843.0
36_348	chr5	140401409	140401609	+	1000	843.0
36_349	chr1	37931801	37932006	+	1000	842.5
36_350	chr17	75289362	75289568	+	1000	842.5
36_351	chr20	62238232	62238441	+	1000	842.5
36_352	chr22	29603217	29603417	+	1000	842.5
36_353	chr22	42079929	42080137	+	1000	842.5
36_354	chr14	72926113	72926478	+	1000	842.0
36_355	chr16	10744048	10744257	+	1000	842.0
36_356	chr19	19138421	19138623	+	1000	842.0
36_357	chr19	20661591	20661825	+	1000	842.0
36_358	chr7	23014028	23014253	+	1000	842.0
36_359	chr8	70402109	70402312	+	1000	842.0
36_360	chr15	90994502	90994702	+	1000	841.5
36_361	chr4	122732481	122732712	+	1000	841.5
36_362	chr7	100148671	100148879	+	1000	841.5
36_363	chr1	35193112	35193314	+	1000	841.0
36_364	chr16	2223387	2223595	+	1000	841.0
36_365	chr19	6110600	6110822	+	1000	841.0
36_366	chr19	19865602	19865822	+	1000	841.0
36_367	chr22	35300076	35300278	+	1000	841.0
36_368	chr1	10398851	10399063	+	1000	840.5
36_369	chr1	155085348	155085552	+	1000	840.5
36_370	chr11	119121266	119121661	+	1000	840.5
36_371	chr12	55829598	55829798	+	1000	840.5
36_372	chr14	23469316	23469536	+	1000	840.5
36_373	chr19	32675140	32675350	+	1000	840.5
36_374	chr21	28884978	28885186	+	1000	840.5
36_375	chr5	81751105	81751305	+	1000	840.5
36_376	chr6	146876385	146876648	+	1000	840.5
36_377	chr11	67508161	67508363	+	1000	840.0
36_378	chr12	112125336	112125536	+	1000	840.0
36_379	chr19	3036199	3036399	+	1000	840.0
36_380	chr5	141320723	141320927	+	1000	840.0
36_381	chr12	8026632	8026851	+	1000	839.5
36_382	chr19	46413573	46413780	+	1000	839.5
36_383	chr14	55191566	55192057	+	1000	839.0
36_384	chr7	12687379	12687582	+	1000	839.0
36_385	chr1	145957974	145958366	+	1000	838.5
36_386	chr16	11238676	11238876	+	1000	838.5
36_387	chr5	178204355	178204563	+	1000	838.5
36_388	chr7	10973049	10973265	+	1000	838.5
36_389	chr15	90352066	90352266	+	1000	838.0
36_390	chr16	1678070	1678331	+	1000	838.0
36_391	chr4	3074484	3074688	+	1000	838.0
36_392	chr1	150697244	150697448	+	1000	837.5
36_393	chr11	66638478	66638681	+	1000	837.5
36_394	chr16	67183589	67183815	+	1000	837.5
36_395	chr17	8630846	8631075	+	1000	837.5
36_396	chr22	37658347	37658550	+	1000	837.5
36_397	chr11	107928145	107928349	+	1000	837.0
36_398	chr19	6279923	6280127	+	1000	836.5
36_399	chr19	17303365	17303567	+	1000	836.5
36_400	chr1	28886951	28887155	+	1000	836.0
36_401	chr1	61077954	61078158	+	1000	836.0
36_402	chr14	21437211	21437414	+	1000	836.0
36_403	chr14	91060979	91061344	+	1000	836.0
36_404	chr3	115147179	115147476	+	1000	836.0
36_405	chr6	111873409	111873609	+	1000	836.0
36_406	chr7	151232365	151232567	+	1000	836.0
36_407	chr1	185316186	185316389	+	1000	835.5
36_408	chr19	12441062	12441263	+	1000	835.5
36_409	chr7	73522279	73522482	+	1000	835.5
36_410	chr1	155001949	155002304	+	1000	835.0
36_411	chr17	29294094	29294302	+	1000	835.0
36_412	chr19	1260904	1261107	+	1000	835.0
36_413	chr1	247104382	247104584	+	1000	834.5
36_414	chr21	37366652	37366863	+	1000	834.5
36_415	chr4	6269631	6269834	+	1000	834.5
36_416	chr7	1138245	1138448	+	1000	834.5
36_417	chr1	38859669	38859946	+	1000	834.0
36_418	chr2	200963647	200963853	+	1000	834.0
36_419	chr8	144147794	144148057	+	1000	833.5
36_420	chr1	228139877	228140077	+	1000	833.0
36_421	chr19	4402311	4402530	+	1000	833.0
36_422	chr19	8343208	8343416	+	1000	833.0
36_423	chr6	159106809	159107009	+	1000	833.0
36_424	chr11	10858006	10858206	+	1000	832.5
36_425	chrM	10531	10789	+	1000	832.5
36_426	chrX	71182083	71182301	+	1000	832.5
36_427	chr11	64241250	64241640	+	1000	832.0
36_428	chr12	120201158	120201372	+	1000	832.0
36_429	chr16	3401000	3401205	+	1000	832.0
36_430	chr2	43637127	43637328	+	1000	832.0
36_431	chrX	71283474	71283685	+	1000	831.5
36_432	chr1	205227787	205228016	+	1000	831.0
36_433	chr16	90077351	90077551	+	1000	831.0
36_434	chr19	21141818	21142018	+	1000	831.0
36_435	chr19	21396912	21397130	+	1000	831.0
36_436	chr19	57746639	57746841	+	1000	831.0
36_437	chr21	28992931	28993132	+	1000	831.0
36_438	chr3	14948324	14948530	+	1000	831.0
36_439	chr10	44978760	44978967	+	1000	830.5
36_440	chr19	11738949	11739158	+	1000	830.5
36_441	chr12	57744850	57745053	+	1000	830.0
36_442	chr5	31532101	31532305	+	1000	830.0
36_443	chr8	26383240	26383440	+	1000	830.0
36_444	chr19	18919336	18919539	+	1000	829.5
36_445	chr2	231781246	231781448	+	1000	829.5
36_446	chr9	96418358	96418561	+	1000	829.5
36_447	chr13	44141976	44142177	+	1000	829.0
