#PeakID(python identify_motif.py ./ENCODE_processed_files/GABPA_idr.fa GABPA --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
0_0	chr11	2400300	2400700	+	1000	874.0	[13.397782, 8.162848]	[102, 119]	[]	[]	[2400493, 2400510]	[]
0_1000	chr16	28863370	28863770	+	1000	632.0	[6.9121447]	[129]	[]	[]	[28863599]	[]
0_10000	chr17	38869418	38869818	+	1000	79.0	[]	[]	[8.217527]	[208]	[]	[38869627]
0_10005	chr17	78748623	78749023	+	1000	79.0	[13.28716, 7.7796507]	[80, 126]	[]	[]	[78748803, 78748849]	[]
0_10006	chr17	79832217	79832617	+	1000	79.0	[8.677165]	[98]	[10.808876]	[177]	[79832377]	[79832456]
0_10007	chr17	80260835	80261235	+	1000	79.0	[11.700283]	[116]	[]	[]	[80261024]	[]
0_1001	chr19	35748228	35748628	+	1000	632.0	[]	[]	[8.903031]	[76]	[]	[35748398]
0_10016	chr19	50148049	50148449	+	1000	79.0	[7.430582]	[94]	[]	[]	[50148230]	[]
0_10024	chr20	32581005	32581405	+	1000	79.0	[14.741034]	[91]	[]	[]	[32581190]	[]
0_10025	chr20	44979204	44979604	+	1000	79.0	[]	[]	[12.640427]	[112]	[]	[44979414]
0_10026	chr21	29196366	29196766	+	1000	79.0	[8.143188]	[124]	[11.527266]	[68]	[29196575]	[29196519]
0_10028	chr21	44300353	44300753	+	1000	79.0	[10.993419]	[132]	[]	[]	[44300539]	[]
0_10030	chr22	19604782	19605182	+	1000	79.0	[8.569641]	[147]	[]	[]	[19605011]	[]
0_10035	chr3	48465545	48465945	+	1000	79.0	[11.341048]	[101]	[]	[]	[48465737]	[]
0_10038	chr3	169563448	169563848	+	1000	79.0	[6.9403663]	[132]	[]	[]	[169563671]	[]
0_1004	chr5	160008922	160009322	+	1000	632.0	[]	[]	[8.403745, 8.345782]	[101, 121]	[]	[160009116, 160009136]
0_10042	chr4	2413161	2413561	+	1000	79.0	[]	[]	[7.613551]	[114]	[]	[2413346]
0_1005	chrX	2632013	2632413	+	1000	632.0	[14.504025, 14.504025, 13.885272, 7.487201]	[82, 108, 136, 165]	[]	[]	[2632179, 2632205, 2632233, 2632262]	[]
0_10051	chr5	141680940	141681340	+	1000	79.0	[11.379836]	[111]	[]	[]	[141681119]	[]
0_1006	chr16	89657502	89657902	+	1000	631.0	[8.561428, 13.315012]	[96, 116]	[]	[]	[89657693, 89657713]	[]
0_10060	chr6	90503017	90503417	+	1000	79.0	[]	[]	[6.93056]	[89]	[]	[90503198]
0_10067	chr8	38805154	38805554	+	1000	79.0	[]	[]	[11.527266, 13.864238]	[116, 153]	[]	[38805365, 38805402]
0_10069	chr8	85959095	85959495	+	1000	79.0	[7.117465]	[106]	[]	[]	[85959293]	[]
0_10071	chr9	38047745	38048145	+	1000	79.0	[16.797768]	[133]	[]	[]	[38047974]	[]
0_10072	chr9	90801570	90801970	+	1000	79.0	[]	[]	[12.187773, 8.466779, 7.710163]	[67, 99, 117]	[]	[90801736, 90801768, 90801786]
0_10075	chr9	127903404	127903804	+	1000	79.0	[11.07903, 10.763748]	[141, 171]	[6.540387]	[107]	[127903613, 127903643]	[127903579]
0_10076	chrUn_GL000218v1	97250	97650	+	1000	79.0	[10.539888]	[142]	[]	[]	[97429]	[]
0_10078	chrX	101051641	101052041	+	1000	79.0	[14.504025]	[140]	[]	[]	[101051876]	[]
0_1008	chr19	36573125	36573525	+	1000	631.0	[]	[]	[6.981497, 8.26837]	[79, 85]	[]	[36573296, 36573302]
0_10089	chr1	150562275	150562675	+	1000	78.0	[8.31793]	[110]	[]	[]	[150562480]	[]
0_10094	chr1	244224436	244224836	+	1000	78.0	[9.56736, 11.07903]	[74, 136]	[]	[]	[244224591, 244224653]	[]
0_10099	chr10	79444388	79444788	+	1000	78.0	[12.604423]	[110]	[]	[]	[79444585]	[]
0_101	chr3	128123776	128124176	+	1000	782.0	[8.403745, 11.841372]	[60, 102]	[]	[]	[128123931, 128123973]	[]
0_1010	chr16	69132369	69132769	+	1000	630.0	[10.330545, 7.4241676, 11.02127]	[98, 109, 132]	[]	[]	[69132567, 69132578, 69132601]	[]
0_10100	chr10	86520850	86521250	+	1000	78.0	[]	[]	[8.059889]	[58]	[]	[86521007]
0_10101	chr10	100186178	100186578	+	1000	78.0	[6.7834888]	[111]	[]	[]	[100186382]	[]
0_10102	chr10	110864632	110865032	+	1000	78.0	[12.044184]	[118]	[]	[]	[110864842]	[]
0_10105	chr11	65386408	65386808	+	1000	78.0	[8.928876, 6.5148845]	[112, 139]	[]	[]	[65386612, 65386639]	[]
0_10109	chr12	68560015	68560415	+	1000	78.0	[11.807504]	[205]	[]	[]	[68560250]	[]
0_10110	chr12	109098134	109098534	+	1000	78.0	[8.480525]	[70]	[]	[]	[109098290]	[]
0_10113	chr14	50003390	50003790	+	1000	78.0	[]	[]	[6.794401]	[88]	[]	[50003572]
0_10123	chr17	27323462	27323862	+	1000	78.0	[14.337926]	[119]	[]	[]	[27323643]	[]
0_10127	chr17	45317193	45317593	+	1000	78.0	[]	[]	[6.5001817, 8.375894]	[202, 206]	[]	[45317431, 45317435]
0_1013	chr10	15860376	15860776	+	1000	629.0	[]	[]	[8.561428, 11.02127]	[91, 106]	[]	[15860559, 15860574]
0_1014	chr19	38374387	38374787	+	1000	629.0	[10.972914]	[70]	[]	[]	[38374552]	[]
0_10142	chr19	18596790	18597190	+	1000	78.0	[]	[]	[8.4919]	[60]	[]	[18596945]
0_1015	chr2	176269251	176269651	+	1000	629.0	[]	[]	[9.157671]	[86]	[]	[176269435]
0_10152	chr2	110677986	110678386	+	1000	78.0	[12.067523]	[122]	[]	[]	[110678204]	[]
0_10154	chr2	172556124	172556524	+	1000	78.0	[10.186114]	[134]	[]	[]	[172556331]	[]
0_1016	chr3	28348682	28349082	+	1000	629.0	[]	[]	[6.755474]	[61]	[]	[28348837]
0_10163	chr3	114290860	114291260	+	1000	78.0	[]	[]	[7.5099945, 9.037738]	[86, 140]	[]	[114291043, 114291097]
0_10165	chr4	3740311	3740711	+	1000	78.0	[8.705017]	[124]	[8.348509]	[76]	[3740520]	[3740472]
0_10167	chr4	73740409	73740809	+	1000	78.0	[]	[]	[9.047306, 7.7476707]	[109, 122]	[]	[73740615, 73740628]
0_1017	chr3	100400980	100401380	+	1000	629.0	[11.02127]	[108]	[]	[]	[100401185]	[]
0_10170	chr5	14706479	14706879	+	1000	78.0	[11.020601]	[132]	[]	[]	[14706706]	[]
0_10174	chr6	26087667	26088067	+	1000	78.0	[]	[]	[14.455669]	[185]	[]	[26087916]
0_10178	chr6	32969800	32970200	+	1000	78.0	[]	[]	[7.41805]	[134]	[]	[32970026]
0_1018	chr3	121749775	121750175	+	1000	629.0	[]	[]	[16.797768]	[107]	[]	[121749982]
0_10185	chr7	13850140	13850540	+	1000	78.0	[7.710133]	[91]	[]	[]	[13850297]	[]
0_10188	chr7	112207015	112207415	+	1000	78.0	[6.5205355, 7.190877]	[100, 157]	[]	[]	[112207200, 112207257]	[]
0_10189	chr7	116355193	116355593	+	1000	78.0	[]	[]	[8.853755]	[105]	[]	[116355398]
0_10190	chr7	129091512	129091912	+	1000	78.0	[]	[]	[7.7140174]	[141]	[]	[129091747]
0_10193	chr8	29752257	29752657	+	1000	78.0	[8.166533]	[148]	[]	[]	[29752501]	[]
0_10194	chr8	123130099	123130499	+	1000	78.0	[]	[]	[13.864238]	[110]	[]	[123130288]
0_10197	chr9	124469387	124469787	+	1000	78.0	[]	[]	[9.784637, 15.100268]	[93, 100]	[]	[124469572, 124469579]
0_102	chr1	155934303	155934703	+	1000	781.0	[9.915027]	[55]	[]	[]	[155934457]	[]
0_1020	chr5	110738778	110739178	+	1000	629.0	[8.561428, 10.85517]	[99, 119]	[8.217527]	[68]	[110738973, 110738993]	[110738942]
0_10201	chrUn_KI270743v1	68025	68425	+	1000	78.0	[]	[]	[10.539888]	[120]	[]	[68224]
0_10203	chrX	48003763	48004163	+	1000	78.0	[10.402516]	[119]	[]	[]	[48003975]	[]
0_10206	chr1	8423968	8424368	+	1000	77.0	[8.106905]	[130]	[]	[]	[8424186]	[]
0_10207	chr1	27436503	27436903	+	1000	77.0	[16.797768]	[100]	[]	[]	[27436692]	[]
0_10213	chr1	51517940	51518340	+	1000	77.0	[]	[]	[9.532927, 7.5685887]	[114, 118]	[]	[51518147, 51518151]
0_10216	chr1	146938126	146938526	+	1000	77.0	[]	[]	[8.561428]	[97]	[]	[146938321]
0_10219	chr1	167044019	167044419	+	1000	77.0	[8.705017]	[116]	[]	[]	[167044203]	[]
0_10220	chr1	182588712	182589112	+	1000	77.0	[9.076296]	[116]	[]	[]	[182588912]	[]
0_10223	chr1	213325502	213325902	+	1000	77.0	[]	[]	[8.31793, 11.8865]	[59, 63]	[]	[213325660, 213325664]
0_10229	chr1	234772395	234772795	+	1000	77.0	[]	[]	[15.100268]	[84]	[]	[234772568]
0_1023	chr12	122225853	122226253	+	1000	628.0	[]	[]	[11.617513]	[97]	[]	[122226044]
0_10236	chr11	10899804	10900204	+	1000	77.0	[9.155027]	[85]	[]	[]	[10899988]	[]
0_10239	chr11	83194390	83194790	+	1000	77.0	[]	[]	[8.78226]	[136]	[]	[83194599]
0_10245	chr14	100677530	100677930	+	1000	77.0	[8.375894]	[91]	[6.800773, 12.187773]	[118, 147]	[100677710]	[100677737, 100677766]
0_10246	chr15	34367320	34367720	+	1000	77.0	[]	[]	[6.540387]	[143]	[]	[34367559]
0_10247	chr15	52244121	52244521	+	1000	77.0	[]	[]	[8.964536]	[210]	[]	[52244372]
0_10249	chr15	66370035	66370435	+	1000	77.0	[10.617495]	[175]	[]	[]	[66370279]	[]
0_1025	chr17	34961322	34961722	+	1000	628.0	[]	[]	[16.797768]	[82]	[]	[34961501]
