#PeakID	chr	start	end	strand	idrScore	count
466_0	chrM	90	290	+	1000	2013.5
466_1	chrM	12321	12529	+	1000	1260.0
466_2	chr3	93470446	93470650	+	1000	1139.0
466_3	chrM	3420	3620	+	1000	922.5
466_4	chrM	14302	14505	+	1000	893.0
466_5	chrM	10208	10429	+	1000	872.5
466_6	chr11	46617222	46617531	+	1000	868.0
466_7	chrM	13063	13418	+	1000	864.0
466_8	chrM	2270	2478	+	1000	857.0
466_9	chrM	5285	5487	+	1000	849.0
466_10	chrM	6392	6593	+	1000	837.0
466_11	chrM	7773	8117	+	1000	835.0
466_12	chr16	46390599	46390803	+	1000	824.5
466_13	chr1	125180104	125180309	+	1000	815.5
466_14	chrM	7132	7332	+	1000	808.5
466_15	chr3	9731590	9731792	+	1000	764.0
466_16	chr16	30957804	30958011	+	1000	754.0
466_17	chrUn_KI270438v1	103991	104194	+	1000	744.5
466_18	chr16	90032075	90032409	+	1000	740.0
466_19	chr19	45092916	45093134	+	1000	725.0
466_20	chrUn_KI270438v1	109331	109536	+	1000	668.5
466_21	chr17	40647832	40648091	+	1000	665.0
466_22	chr4	174283752	174283966	+	1000	663.0
466_23	chr11	47426190	47426399	+	1000	654.5
466_24	chr1	205750413	205750655	+	1000	651.0
466_25	chrUn_KI270467v1	2249	2452	+	1000	622.0
466_26	chr12	4538452	4538653	+	1000	618.0
466_27	chr6	28079979	28080181	+	1000	618.0
466_28	chr12	131710854	131711126	+	1000	616.5
466_29	chr7	30594687	30594894	+	1000	607.0
466_30	chr16	34588158	34588366	+	1000	605.5
466_31	chr11	68459957	68460159	+	1000	599.0
466_32	chr5	43066891	43067096	+	1000	593.5
466_33	chrUn_KI270438v1	104787	104996	+	1000	573.5
466_34	chr12	101407814	101408015	+	1000	571.0
466_35	chrUn_KI270467v1	3311	3518	+	1000	566.5
466_36	chr2	170263714	170263918	+	1000	547.5
466_37	chr20	52424374	52424589	+	1000	528.0
466_38	chr15	63395759	63395981	+	1000	524.5
466_39	chr22	21982732	21982946	+	1000	524.0
466_40	chr6	37232701	37232908	+	1000	524.0
466_41	chr12	51884711	51884919	+	1000	521.5
466_42	chr17	26603806	26604014	+	1000	515.5
466_43	chr17	996953	997165	+	1000	512.0
466_44	chr13	110965395	110965598	+	1000	503.5
466_45	chr12	123458020	123458223	+	1000	498.5
466_46	chr3	99817555	99817868	+	1000	496.5
466_47	chr16	1493362	1493610	+	1000	488.5
466_48	chr3	138187339	138187558	+	1000	486.5
466_49	chr22	19432386	19432601	+	1000	471.5
466_50	chr1	8197862	8198067	+	1000	468.0
466_51	chr3	57556056	57556265	+	1000	460.5
466_52	chr13	37000566	37000798	+	1000	458.5
466_53	chr17	36545430	36545666	+	1000	445.0
466_54	chr1	143214642	143214853	+	1000	438.5
466_55	chr1	179047042	179047267	+	1000	428.0
466_56	chr10	113854322	113854525	+	1000	426.5
466_57	chr6	27602397	27602604	+	1000	424.0
466_58	chr9	128322457	128322658	+	1000	424.0
466_59	chr2	55140640	55140864	+	1000	419.5
466_60	chr6	136550464	136550678	+	1000	417.0
466_61	chr22	20777840	20778096	+	1000	416.0
466_62	chr7	72805771	72805988	+	1000	416.0
466_63	chr5	135134128	135134343	+	1000	414.0
466_64	chrUn_KI270466v1	904	1111	+	1000	413.0
466_65	chr16	46394708	46394926	+	1000	412.0
466_66	chr14	58427210	58427459	+	1000	410.5
466_67	chr8	2733856	2734059	+	1000	410.5
466_68	chr11	102341981	102342335	+	1000	409.5
466_69	chr22	20916849	20917068	+	1000	408.0
466_70	chr7	129054848	129055073	+	1000	408.0
466_71	chr22	21784801	21785013	+	1000	403.0
466_72	chr8	143454203	143454405	+	1000	402.5
466_73	chr10	35391273	35391504	+	1000	401.5
466_74	chr5	54325625	54325834	+	1000	399.0
466_75	chr1	113914310	113914554	+	1000	395.0
466_76	chr11	47578867	47579079	+	1000	389.0
466_77	chr16	46386335	46386562	+	1000	389.0
466_78	chr10	72276530	72276739	+	1000	386.0
466_79	chr17	29294295	29294505	+	1000	382.0
466_80	chr16	46398817	46399021	+	1000	380.5
466_81	chr15	58111296	58111513	+	1000	378.0
466_82	chr9	120897255	120897473	+	1000	378.0
466_83	chr17	26881301	26881506	+	1000	369.0
466_84	chr6	16270354	16270581	+	1000	365.0
466_85	chr1	183471923	183472126	+	1000	364.0
466_86	chrUn_KI270438v1	112033	112234	+	1000	361.0
466_87	chr22	22195393	22195606	+	1000	358.5
466_88	chr22	19419232	19419449	+	1000	358.0
466_89	chr18	3603092	3603308	+	1000	354.5
466_90	chr7	149690964	149691181	+	1000	352.0
466_91	chr16	88688121	88688348	+	1000	350.0
466_92	chr22	19891625	19891846	+	1000	350.0
466_93	chr7	127838049	127838286	+	1000	346.0
466_94	chr11	73784333	73784535	+	1000	342.0
466_95	chr3	197444318	197444556	+	1000	340.5
466_96	chr1	1123629	1123835	+	1000	338.5
466_97	chr7	140488343	140488545	+	1000	337.0
466_98	chr19	17337260	17337470	+	1000	333.0
466_99	chr2	27663753	27663962	+	1000	332.0
466_100	chr5	95712520	95712728	+	1000	331.0
466_101	chr1	16644852	16645052	+	1000	330.5
466_102	chr1	43522902	43523132	+	1000	330.5
466_103	chr22	19168345	19168549	+	1000	330.0
466_104	chr1	40258031	40258236	+	1000	329.5
466_105	chr17	8173425	8173634	+	1000	329.5
466_106	chr6	30907919	30908128	+	1000	329.0
466_107	chr1	179882623	179882834	+	1000	327.0
466_108	chr22	23177245	23177446	+	1000	324.0
466_109	chr1	30768972	30769247	+	1000	323.0
466_110	chr6	106312973	106313189	+	1000	320.0
466_111	chr6	87213520	87213725	+	1000	319.0
466_112	chr1	27542527	27542770	+	1000	317.5
466_113	chr2	235444328	235444544	+	1000	315.0
