#PeakID	chr	start	end	strand	idrScore	count
315_0	chrM	9763	10126	+	1000	726.0
315_1	chrM	15006	15214	+	1000	714.0
315_2	chrM	11176	11413	+	1000	697.0
315_3	chrM	3	208	+	1000	687.0
315_4	chrM	13719	13970	+	1000	654.0
315_5	chrM	11738	11940	+	1000	600.0
315_6	chr14	24161107	24161309	+	1000	539.0
315_7	chrM	2262	2513	+	1000	524.0
315_8	chr15	44728712	44728932	+	1000	514.0
315_9	chrM	4854	5090	+	1000	458.0
315_10	chrM	6304	6549	+	1000	440.0
315_11	chrM	5322	5525	+	1000	437.0
315_12	chr2	191020297	191020502	+	1000	409.0
315_13	chr12	56360338	56360549	+	1000	406.0
315_14	chr3	93470443	93470762	+	1000	395.0
315_15	chrM	8039	8241	+	1000	395.0
315_16	chr1	1013264	1013477	+	1000	359.0
315_17	chr1	27672216	27672425	+	1000	355.0
315_18	chr19	47515453	47515662	+	1000	351.0
315_19	chrM	8568	8774	+	1000	345.0
315_20	chr2	55693822	55694025	+	1000	297.0
315_21	chr6	30489254	30489464	+	1000	295.0
315_22	chr22	50539633	50539844	+	1000	293.0
315_23	chr1	25355962	25356175	+	1000	270.0
315_24	chr3	146544565	146544766	+	1000	266.0
315_25	chr3	122564200	122564405	+	1000	256.0
315_26	chr16	46390371	46390632	+	1000	248.0
315_27	chr19	17405650	17405860	+	1000	239.0
315_28	chr6	10838509	10838728	+	1000	229.0
315_29	chr5	132496949	132497151	+	1000	228.0
315_30	chr20	38122977	38123177	+	1000	226.0
315_31	chr5	132490786	132490987	+	1000	217.0
315_32	chr11	313912	314119	+	1000	216.0
315_33	chrM	7045	7317	+	1000	213.0
315_34	chr3	33901124	33901326	+	1000	202.0
315_35	chr17	59786532	59786735	+	1000	200.0
315_36	chr3	157174843	157175072	+	1000	189.0
315_37	chr2	6865691	6865906	+	1000	182.0
315_38	chr14	94110526	94110740	+	1000	181.0
315_39	chr4	17576913	17577118	+	1000	179.0
315_40	chr12	112938221	112938435	+	1000	178.0
315_41	chr11	57566175	57566405	+	1000	176.0
315_42	chr16	34586764	34587098	+	1000	170.0
315_43	chr7	135147906	135148115	+	1000	167.0
315_44	chr11	5624820	5625029	+	1000	162.0
315_45	chr16	46394708	46394984	+	1000	162.0
315_46	chr1	173671028	173671252	+	1000	161.0
315_47	chr11	64996956	64997163	+	1000	159.0
315_48	chr17	42388704	42388910	+	1000	159.0
315_49	chr1	154608130	154608337	+	1000	158.0
315_50	chr16	23557421	23557641	+	1000	155.0
315_51	chr5	39077045	39077250	+	1000	154.0
