#PeakID(python identify_motif.py ./ENCODE_processed_files/IKZF1_idr.fa IKZF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
758_100	chr19	40464399	40464799	+	1000	650.5	[]	[]	[7.6377397]	[107]	[]	[40464596]
758_10003	chr20	49989621	49990021	+	1000	106.5	[10.7555]	[87]	[]	[]	[49989803]	[]
758_10009	chr4	26857621	26858021	+	1000	106.5	[6.8930507]	[73]	[]	[]	[26857794]	[]
758_1001	chr12	54279455	54279855	+	1000	339.5	[]	[]	[11.127567]	[131]	[]	[54279682]
758_10010	chr4	38673001	38673401	+	1000	106.5	[6.780856]	[180]	[7.6377397, 9.56255]	[129, 160]	[38673225]	[38673174, 38673205]
758_10013	chr5	96935779	96936179	+	1000	106.5	[]	[]	[6.8930507]	[91]	[]	[96935964]
758_10027	chr7	88586175	88586575	+	1000	106.5	[]	[]	[9.081597, 6.780856, 10.770176]	[64, 76, 129]	[]	[88586337, 88586349, 88586402]
758_10029	chr7	151082636	151083036	+	1000	106.5	[]	[]	[7.0754085]	[88]	[]	[151082805]
758_10032	chr8	129690964	129691364	+	1000	106.5	[11.127567, 7.652416]	[107, 143]	[]	[]	[129691155, 129691191]	[]
758_10033	chr8	143952443	143952843	+	1000	106.5	[]	[]	[7.3734775]	[70]	[]	[143952603]
758_10034	chr9	32526086	32526486	+	1000	106.5	[7.1035194]	[146]	[]	[]	[32526305]	[]
758_10040	chrX	48958112	48958512	+	1000	106.5	[11.362798]	[87]	[]	[]	[48958280]	[]
758_10050	chr1	91716395	91716795	+	1000	106.0	[9.56255]	[120]	[]	[]	[91716590]	[]
758_10059	chr11	32450281	32450681	+	1000	106.0	[7.220394]	[82]	[9.373037, 9.442706]	[67, 152]	[32450450]	[32450435, 32450520]
758_10070	chr16	79863626	79864026	+	1000	106.0	[]	[]	[7.1035194]	[104]	[]	[79863826]
758_10071	chr16	79951334	79951734	+	1000	106.0	[]	[]	[6.7416005, 7.6377397]	[58, 147]	[]	[79951488, 79951577]
758_10074	chr17	43172173	43172573	+	1000	106.0	[8.693299]	[150]	[14.245327, 7.2884393]	[70, 77]	[43172418]	[43172338, 43172345]
758_10075	chr17	46044250	46044650	+	1000	106.0	[]	[]	[8.458068]	[103]	[]	[46044446]
758_10077	chr18	79507031	79507431	+	1000	106.0	[8.245038]	[114]	[]	[]	[79507224]	[]
758_10086	chr2	130180649	130181049	+	1000	106.0	[7.87297]	[72]	[]	[]	[130180809]	[]
758_10087	chr2	132347084	132347484	+	1000	106.0	[6.780856]	[72]	[8.056022]	[95]	[132347251]	[132347274]
758_10089	chr20	31699204	31699604	+	1000	106.0	[11.127567]	[116]	[]	[]	[31699407]	[]
758_10091	chr21	35504292	35504692	+	1000	106.0	[7.2884393]	[129]	[]	[]	[35504515]	[]
758_10092	chr22	20020563	20020963	+	1000	106.0	[]	[]	[10.770176]	[118]	[]	[20020749]
758_10099	chr4	87011614	87012014	+	1000	106.0	[]	[]	[7.037342]	[74]	[]	[87011780]
758_10101	chr6	27279555	27279955	+	1000	106.0	[]	[]	[10.770176]	[123]	[]	[27279733]
758_10102	chr6	31777122	31777522	+	1000	106.0	[8.458068]	[130]	[]	[]	[31777340]	[]
758_10105	chr6	157033397	157033797	+	1000	106.0	[]	[]	[8.734424]	[97]	[]	[157033560]
758_10108	chr7	92528439	92528839	+	1000	106.0	[8.428089]	[141]	[]	[]	[92528678]	[]
758_10109	chr7	120999997	121000397	+	1000	106.0	[]	[]	[7.280349]	[110]	[]	[121000169]
758_1011	chr7	100472827	100473227	+	1000	338.5	[6.7116218]	[53]	[6.9204674]	[115]	[100472980]	[100473042]
758_10120	chr1	99648073	99648473	+	1000	105.5	[8.1006775]	[125]	[]	[]	[99648283]	[]
758_10122	chr1	212242269	212242669	+	1000	105.5	[]	[]	[6.780856]	[57]	[]	[212242426]
758_10124	chr1	247078467	247078867	+	1000	105.5	[6.7416005]	[204]	[]	[]	[247078700]	[]
758_10125	chr10	11757525	11757925	+	1000	105.5	[7.220394, 6.8401775, 7.652416]	[94, 126, 158]	[]	[]	[11757706, 11757738, 11757770]	[]
758_10127	chr10	97332857	97333257	+	1000	105.5	[10.7555, 7.25846, 14.245327]	[61, 71, 78]	[9.373037]	[111]	[97333015, 97333025, 97333032]	[97333065]
758_10128	chr10	112949852	112950252	+	1000	105.5	[]	[]	[8.458068]	[154]	[]	[112950093]
758_10134	chr12	94460137	94460537	+	1000	105.5	[]	[]	[6.8930507]	[96]	[]	[94460304]
758_10136	chr14	99475633	99476033	+	1000	105.5	[]	[]	[7.652416, 7.220394]	[80, 91]	[]	[99475804, 99475815]
758_1014	chr13	51583846	51584246	+	1000	338.0	[]	[]	[7.652416]	[87]	[]	[51584012]
758_10142	chr17	42314178	42314578	+	1000	105.5	[9.543426]	[154]	[]	[]	[42314413]	[]
758_10145	chr17	75114118	75114518	+	1000	105.5	[7.037342]	[140]	[11.127567]	[118]	[75114352]	[75114330]
758_10155	chr19	47275859	47276259	+	1000	105.5	[]	[]	[9.081597]	[97]	[]	[47276030]
758_10158	chr2	88659406	88659806	+	1000	105.5	[11.127567]	[121]	[]	[]	[88659617]	[]
