#PeakID(python identify_motif.py ./ENCODE_processed_files/FOXJ2_idr.fa FOXJ2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
303_1	chrM	123	523	+	1000	833.0	[6.5088143, 8.10693]	[165, 189]	[]	[]	[333, 357]	[]
303_10	chrM	8418	8818	+	1000	635.0	[10.162791]	[150]	[]	[]	[8638]	[]
303_1002	chr1	244341551	244341951	+	1000	124.0	[8.1802225]	[139]	[]	[]	[244341766]	[]
303_10025	chr4	169620017	169620417	+	1000	47.0	[8.325381]	[190]	[]	[]	[169620243]	[]
303_1003	chr10	60943239	60943639	+	1000	124.0	[]	[]	[6.4206944]	[114]	[]	[60943448]
303_10038	chr5	127988011	127988411	+	1000	47.0	[]	[]	[8.1802225]	[112]	[]	[127988202]
303_10070	chr6	118351070	118351470	+	1000	47.0	[]	[]	[12.285931, 12.067478]	[90, 124]	[]	[118351226, 118351260]
303_10071	chr6	125203400	125203800	+	1000	47.0	[]	[]	[7.3291993]	[123]	[]	[125203582]
303_10076	chr6	155171156	155171556	+	1000	47.0	[6.4206944]	[159]	[7.3291993]	[140]	[155171378]	[155171359]
303_10079	chr6	167894477	167894877	+	1000	47.0	[]	[]	[12.067478, 10.381243]	[118, 134]	[]	[167894675, 167894691]
303_10080	chr7	1537165	1537565	+	1000	47.0	[12.285931]	[103]	[]	[]	[1537347]	[]
303_10091	chr7	105268981	105269381	+	1000	47.0	[7.3291993]	[162]	[]	[]	[105269183]	[]
303_1010	chr14	56199142	56199542	+	1000	124.0	[]	[]	[8.10693, 12.067478]	[111, 117]	[]	[56199328, 56199334]
303_10118	chr8	86098593	86098993	+	1000	47.0	[12.067478]	[93]	[]	[]	[86098781]	[]
