#PeakID(python scan_motif.py ./ENCODE_processed_files/ARID2_idr.fa ARID2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
652_10	chrM	6300	6700	+	1000	818.0	[]	[]	[6.5447836]	[94]	[]	[6491]
652_10003	chr17	28735273	28735673	+	1000	44.5	[]	[]	[8.236117]	[118]	[]	[28735480]
652_10005	chr17	29370096	29370496	+	1000	44.5	[6.5447836]	[135]	[]	[]	[29370329]	[]
652_10006	chr17	29807727	29808127	+	1000	44.5	[6.5447836]	[90]	[]	[]	[29807886]	[]
652_10013	chr17	45152000	45152400	+	1000	44.5	[]	[]	[6.9436774]	[169]	[]	[45152247]
652_10014	chr17	47866964	47867364	+	1000	44.5	[13.202995]	[182]	[9.212816]	[119]	[47867196]	[47867133]
652_10016	chr17	56915186	56915586	+	1000	44.5	[]	[]	[6.5447836, 6.5447836, 6.5447836, 6.5447836]	[99, 104, 111, 116]	[]	[56915356, 56915361, 56915368, 56915373]
652_10025	chr19	1542086	1542486	+	1000	44.5	[]	[]	[6.5447836]	[81]	[]	[1542257]
652_10031	chr19	5433698	5434098	+	1000	44.5	[6.5447836, 6.5447836]	[132, 137]	[]	[]	[5433927, 5433932]	[]
652_10033	chr19	9205476	9205876	+	1000	44.5	[6.5447836]	[77]	[]	[]	[9205644]	[]
652_10037	chr19	38312751	38313151	+	1000	44.5	[]	[]	[6.5447836]	[92]	[]	[38312935]
652_1005	chr20	46681249	46681649	+	1000	87.0	[6.5447836, 6.5447836]	[123, 173]	[]	[]	[46681420, 46681470]	[]
652_10051	chr2	58730716	58731116	+	1000	44.5	[]	[]	[13.202995]	[111]	[]	[58730917]
652_10054	chr2	85500124	85500524	+	1000	44.5	[]	[]	[13.202995]	[109]	[]	[85500282]
652_10055	chr2	85934205	85934605	+	1000	44.5	[6.5447836, 13.202995, 6.5447836]	[68, 73, 111]	[]	[]	[85934360, 85934365, 85934403]	[]
652_10060	chr2	131093697	131094097	+	843	44.5	[6.5447836]	[203]	[]	[]	[131093906]	[]
652_10062	chr2	166376066	166376466	+	1000	44.5	[]	[]	[13.202995]	[168]	[]	[166376276]
652_10063	chr2	166419548	166419948	+	1000	44.5	[]	[]	[6.5447836, 6.5447836, 6.5447836]	[64, 75, 87]	[]	[166419711, 166419722, 166419734]
652_10065	chr2	169131093	169131493	+	1000	44.5	[6.5447836]	[116]	[]	[]	[169131303]	[]
652_10073	chr20	31607264	31607664	+	1000	44.5	[13.202995]	[166]	[]	[]	[31607480]	[]
