#PeakID	chr	start	end	strand	idrScore	count
503_0	chrM	7	238	+	1000	747.0
503_1	chrM	3377	3578	+	1000	732.0
503_2	chrM	12779	13013	+	1000	726.0
503_3	chrM	15037	15263	+	1000	710.0
503_4	chrM	11088	11328	+	1000	658.0
503_5	chrM	9761	10023	+	1000	655.0
503_6	chrM	13666	13886	+	1000	649.0
503_7	chrM	10394	10764	+	1000	639.0
503_8	chrM	2567	2960	+	1000	638.0
503_9	chrM	11735	12009	+	1000	610.0
503_10	chr9	129863230	129863456	+	1000	583.0
503_11	chrM	14293	14501	+	1000	540.0
503_12	chrM	6196	6565	+	1000	538.0
503_13	chr22	20507440	20507648	+	1000	508.0
503_14	chr1	2526176	2526380	+	1000	480.0
503_15	chr9	131125491	131125711	+	1000	453.0
503_16	chrM	8024	8238	+	1000	452.0
503_17	chrM	4858	5073	+	1000	451.0
503_18	chr3	93470431	93470795	+	1000	448.0
503_19	chr16	87950918	87951147	+	1000	412.0
503_20	chrM	5219	5483	+	1000	406.0
503_21	chr4	2418758	2418965	+	1000	405.0
503_22	chr20	64062968	64063173	+	1000	399.0
503_23	chr16	70439220	70439434	+	1000	389.0
503_24	chr22	21665882	21666084	+	1000	385.0
503_25	chr1	53838510	53838711	+	1000	384.0
503_26	chr1	25998083	25998297	+	1000	376.0
503_27	chr16	2047794	2047997	+	1000	374.0
503_28	chrM	9153	9358	+	1000	370.0
503_29	chr17	39927544	39927767	+	1000	366.0
503_30	chr3	50292394	50292620	+	1000	360.0
503_31	chr1	21783592	21783797	+	1000	358.0
503_32	chr7	151057928	151058150	+	1000	358.0
503_33	chr17	75784561	75784783	+	1000	353.0
503_34	chr12	6852377	6852602	+	1000	352.0
503_35	chr20	33811035	33811271	+	1000	351.0
503_36	chr22	19723314	19723540	+	1000	344.0
503_37	chr22	20917072	20917279	+	1000	337.0
503_38	chr1	44721590	44721818	+	1000	332.0
503_39	chr17	28952304	28952508	+	1000	332.0
503_40	chr2	218270312	218270519	+	1000	330.0
503_41	chr19	46850958	46851164	+	1000	324.0
503_42	chr1	156767327	156767566	+	1000	323.0
503_43	chrM	1608	1808	+	1000	323.0
503_44	chr19	58326853	58327066	+	1000	321.0
503_45	chr3	14124786	14125009	+	1000	321.0
503_46	chr22	20117342	20117562	+	1000	320.0
503_47	chr19	10701319	10701533	+	1000	319.0
503_48	chr8	109334056	109334278	+	1000	319.0
503_49	chr12	48852137	48852337	+	1000	318.0
503_50	chr22	19432369	19432583	+	1000	318.0
503_51	chr5	40755900	40756101	+	1000	316.0
503_52	chr16	11916018	11916222	+	1000	315.0
503_53	chr7	134316944	134317162	+	1000	315.0
503_54	chr1	151165849	151166059	+	1000	313.0
503_55	chr1	10472495	10472724	+	1000	311.0
