#PeakID	chr	start	end	strand	idrScore	count
0_0	chr11	2400391	2400609	+	1000	874.0
0_1	chr11	47408348	47408549	+	1000	854.0
0_2	chrM	12494	12698	+	1000	847.0
0_3	chr6	30067092	30067293	+	1000	839.0
0_4	chr17	63827116	63827330	+	1000	834.0
0_5	chr5	40835176	40835380	+	1000	832.0
0_6	chrM	169	370	+	1000	827.0
0_7	chr21	25734965	25735172	+	1000	826.0
0_8	chrM	16013	16217	+	1000	826.0
0_9	chrM	3277	3477	+	1000	823.0
0_10	chrM	13756	14029	+	1000	820.0
0_11	chr18	41954965	41955183	+	1000	818.0
0_12	chr22	21665929	21666143	+	1000	818.0
0_13	chrM	10481	10725	+	1000	817.0
0_14	chr11	61429989	61430203	+	1000	816.0
0_15	chr16	2603225	2603425	+	1000	815.0
0_16	chr1	1375280	1375495	+	1000	814.0
0_17	chr22	21982730	21982937	+	1000	811.0
0_18	chr22	20507465	20507667	+	1000	810.0
0_19	chr19	17419762	17419963	+	1000	808.0
0_20	chr6	28080848	28081052	+	1000	806.0
0_21	chr1	44213323	44213531	+	1000	805.0
0_22	chr22	19432395	19432598	+	1000	805.0
0_23	chr12	123601945	123602146	+	1000	804.0
0_24	chr16	1420748	1420956	+	1000	804.0
0_25	chr21	28992807	28993009	+	1000	804.0
0_26	chr22	20117184	20117389	+	1000	803.0
0_27	chr5	103120064	103120268	+	1000	803.0
0_28	chr7	135170637	135170849	+	1000	803.0
0_29	chr22	19431671	19431871	+	1000	802.0
0_30	chr1	9943292	9943499	+	1000	801.0
0_31	chr1	11262694	11262895	+	1000	801.0
0_32	chr12	55829541	55829741	+	1000	801.0
0_33	chr12	68686853	68687053	+	1000	801.0
0_34	chr19	49580542	49580750	+	1000	801.0
0_35	chr16	690333	690536	+	1000	800.0
0_36	chr6	33271773	33271988	+	1000	800.0
0_37	chr7	129054961	129055180	+	1000	800.0
0_38	chr1	169367920	169368142	+	1000	799.0
0_39	chr11	64269961	64270176	+	1000	799.0
0_40	chr20	35954417	35954618	+	1000	799.0
0_41	chr22	19479173	19479384	+	1000	799.0
0_42	chr7	141738233	141738442	+	1000	799.0
0_43	chr1	27322044	27322248	+	1000	798.0
0_44	chr17	51153411	51153623	+	1000	798.0
0_45	chr9	128322429	128322631	+	1000	798.0
0_46	chr12	6689469	6689672	+	1000	797.0
0_47	chr19	58519748	58519959	+	1000	797.0
0_48	chr2	3575076	3575280	+	1000	797.0
0_49	chr16	31074274	31074482	+	1000	796.0
0_50	chr19	10928612	10928826	+	1000	796.0
0_51	chr19	12669451	12669708	+	1000	796.0
0_52	chr19	14081276	14081495	+	1000	795.0
0_53	chr2	74454908	74455111	+	1000	795.0
0_54	chr20	32358104	32358309	+	1000	795.0
0_55	chr5	271329	271532	+	1000	795.0
0_56	chr19	50376257	50376468	+	1000	794.0
0_57	chr6	36885837	36886041	+	1000	794.0
0_58	chr7	139340176	139340376	+	1000	794.0
0_59	chr8	144078484	144078697	+	1000	794.0
0_60	chr1	40257955	40258162	+	1000	793.0
0_61	chr16	67227012	67227217	+	1000	792.0
0_62	chr21	44939863	44940072	+	1000	792.0
0_63	chr6	36874731	36874939	+	1000	792.0
0_64	chr1	37989966	37990166	+	1000	791.0
0_65	chr1	163321696	163321903	+	1000	791.0
0_66	chr1	203861489	203861705	+	1000	791.0
0_67	chr11	57712311	57712513	+	1000	791.0
0_68	chr12	109052428	109052630	+	1000	791.0
0_69	chr4	1721216	1721425	+	1000	791.0
0_70	chr1	40040589	40040804	+	1000	790.0
0_71	chr11	47578900	47579103	+	1000	790.0
0_72	chr2	55269160	55269362	+	1000	790.0
0_73	chr10	51699586	51699794	+	1000	789.0
0_74	chr11	8688901	8689106	+	1000	789.0
0_75	chr3	12841616	12841832	+	1000	789.0
0_76	chr3	129161162	129161368	+	1000	789.0
0_77	chr11	72112558	72112779	+	1000	788.0
0_78	chr12	6663118	6663318	+	1000	787.0
0_79	chr16	24729532	24729735	+	1000	787.0
0_80	chr19	4723718	4723922	+	1000	787.0
0_81	chr20	49915504	49915711	+	1000	787.0
0_82	chr6	31958964	31959185	+	1000	787.0
0_83	chr12	109477370	109477589	+	1000	786.0
0_84	chr5	892730	892937	+	1000	786.0
0_85	chr1	173714786	173714992	+	1000	785.0
0_86	chr10	73730416	73730618	+	1000	785.0
0_87	chr12	54188973	54189183	+	1000	785.0
0_88	chr12	123633613	123633813	+	1000	785.0
0_89	chr19	18919414	18919630	+	1000	785.0
0_90	chr2	73737343	73737546	+	1000	785.0
0_91	chr3	155854460	155854664	+	1000	785.0
0_92	chr9	92670229	92670430	+	1000	785.0
0_93	chr22	21002022	21002233	+	1000	784.0
0_94	chr6	131628160	131628361	+	1000	784.0
0_95	chr1	28328929	28329133	+	1000	783.0
0_96	chr1	156741145	156741347	+	1000	783.0
0_97	chr1	174999527	174999739	+	1000	783.0
0_98	chr8	22604552	22604752	+	1000	783.0
0_99	chr11	59810709	59810916	+	1000	782.0
0_100	chr12	105236160	105236370	+	1000	782.0
0_101	chr3	128123871	128124081	+	1000	782.0
0_102	chr1	155934402	155934604	+	1000	781.0
0_103	chr1	234373414	234373620	+	1000	781.0
0_104	chr12	131710934	131711134	+	1000	781.0
0_105	chr3	150546585	150546804	+	1000	781.0
0_106	chr1	183471971	183472174	+	1000	780.0
0_107	chr16	89720854	89721064	+	1000	780.0
0_108	chr6	31547407	31547610	+	1000	780.0
0_109	chr6	170554209	170554411	+	1000	780.0
0_110	chr8	11284311	11284513	+	1000	780.0
0_111	chr8	56074470	56074678	+	1000	780.0
0_112	chr1	1273775	1273980	+	1000	779.0
0_113	chr1	227735235	227735450	+	1000	779.0
0_114	chr17	43483797	43484021	+	1000	779.0
0_115	chr19	9768657	9768869	+	1000	779.0
0_116	chr21	32612495	32612708	+	1000	779.0
0_117	chr6	31665760	31665975	+	1000	779.0
0_118	chr9	134164782	134164988	+	1000	779.0
0_119	chr1	1407223	1407425	+	1000	778.0
0_120	chr16	21599417	21599620	+	1000	778.0
0_121	chr18	35972527	35972731	+	1000	778.0
0_122	chr19	16660055	16660255	+	1000	778.0
0_123	chr6	31652338	31652574	+	1000	778.0
0_124	chr7	44490620	44490841	+	1000	778.0
0_125	chr1	2391656	2391863	+	1000	777.0
0_126	chr14	69398377	69398597	+	1000	777.0
0_127	chr4	70688274	70688486	+	1000	777.0
0_128	chr7	128343821	128344031	+	1000	777.0
0_129	chr8	37849850	37850055	+	1000	777.0
