#PeakID(python identify_motif.py ./ENCODE_processed_files/JUN_idr.fa JUN --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_100	chr16	34586641	34587041	+	1000	239.0	[]	[]	[10.599883, 8.440658, 8.440658]	[91, 117, 163]	[]	[34586810, 34586836, 34586882]
92_10012	chr14	59188476	59188876	+	1000	47.0	[13.068796]	[121]	[]	[]	[59188655]	[]
92_10013	chr14	77342714	77343114	+	1000	47.0	[6.0127234]	[148]	[]	[]	[77342959]	[]
92_10015	chr14	103378043	103378443	+	1000	47.0	[5.254826]	[161]	[]	[]	[103378247]	[]
92_10030	chr16	11612338	11612738	+	1000	47.0	[]	[]	[5.342469]	[64]	[]	[11612496]
92_10034	chr16	31453436	31453836	+	1000	47.0	[15.123054]	[128]	[6.6871166]	[128]	[31453649]	[31453649]
92_10039	chr16	75620586	75620986	+	1000	47.0	[6.247855]	[97]	[]	[]	[75620747]	[]
92_10041	chr16	79484219	79484619	+	1000	47.0	[6.9755206]	[108]	[11.573731]	[108]	[79484416]	[79484416]
92_10046	chr17	7483236	7483636	+	1000	47.0	[5.121263]	[127]	[5.5977874]	[138]	[7483455]	[7483466]
92_1005	chr21	17611501	17611901	+	1000	131.0	[13.2645445]	[94]	[13.303303]	[94]	[17611694]	[17611694]
92_10054	chr17	47279214	47279614	+	1000	47.0	[7.35703]	[88]	[]	[]	[47279401]	[]
92_10055	chr17	48149350	48149750	+	1000	47.0	[]	[]	[14.157123]	[109]	[]	[48149530]
92_10087	chr2	10530881	10531281	+	1000	47.0	[]	[]	[7.5866, 7.360249]	[122, 172]	[]	[10531078, 10531128]
92_10104	chr2	70293508	70293908	+	1000	47.0	[]	[]	[5.0391703, 9.469134]	[92, 131]	[]	[70293697, 70293736]
92_10109	chr2	111100776	111101176	+	1000	47.0	[]	[]	[5.381711]	[114]	[]	[111100968]
92_1011	chr5	134249727	134250127	+	1000	131.0	[6.6940527, 6.6871166]	[131, 134]	[15.123054]	[134]	[134249942, 134249945]	[134249945]
92_10110	chr2	113105032	113105432	+	1000	47.0	[11.62836]	[131]	[11.20141]	[131]	[113105243]	[113105243]
92_10115	chr2	177606598	177606998	+	1000	47.0	[5.012173]	[101]	[13.059919]	[101]	[177606791]	[177606791]
92_10118	chr2	200756922	200757322	+	1000	47.0	[]	[]	[7.8445306]	[145]	[]	[200757158]
92_10125	chr20	1325588	1325988	+	1000	47.0	[11.210287]	[128]	[11.210287]	[128]	[1325799]	[1325799]
92_10144	chr22	36123906	36124306	+	1000	47.0	[9.147153]	[86]	[9.535344]	[86]	[36124073]	[36124073]
92_10164	chr3	87503914	87504314	+	1000	47.0	[13.303303]	[138]	[13.2645445]	[138]	[87504137]	[87504137]
92_10166	chr3	141386685	141387085	+	1000	47.0	[7.03367]	[90]	[5.8309]	[159]	[141386838]	[141386907]
92_10167	chr3	156579381	156579781	+	1000	47.0	[9.113695]	[141]	[12.5632305]	[141]	[156579603]	[156579603]
92_10169	chr3	158644296	158644696	+	1000	47.0	[]	[]	[5.8309]	[141]	[]	[158644530]
92_10170	chr3	173037864	173038264	+	1000	47.0	[6.986784]	[82]	[]	[]	[173038030]	[]
92_10186	chr4	154719156	154719556	+	1000	47.0	[14.052155]	[150]	[]	[]	[154719383]	[]
92_10192	chr5	68419597	68419997	+	1000	47.0	[]	[]	[5.342469]	[151]	[]	[68419828]
92_10196	chr5	133968471	133968871	+	1000	47.0	[12.000681]	[69]	[6.5485716]	[69]	[133968629]	[133968629]
92_10219	chr6	37258021	37258421	+	1000	47.0	[]	[]	[9.519474]	[83]	[]	[37258203]
92_1024	chr17	80891968	80892368	+	1000	130.0	[]	[]	[10.2545595]	[97]	[]	[80892159]
92_10247	chr7	92134595	92134995	+	1000	47.0	[5.4847074]	[186]	[]	[]	[92134821]	[]
92_10258	chr7	130207611	130208011	+	1000	47.0	[]	[]	[5.296419, 5.823968]	[107, 136]	[]	[130207800, 130207829]
92_10268	chr8	52713028	52713428	+	1000	47.0	[5.1202216]	[100]	[6.9855866]	[149]	[52713224]	[52713273]
92_10270	chr8	61767070	61767470	+	1000	47.0	[6.076003]	[57]	[]	[]	[61767224]	[]
92_1028	chr2	148881559	148881959	+	1000	130.0	[]	[]	[4.966422]	[85]	[]	[148881744]
92_10286	chr9	120584002	120584402	+	1000	47.0	[11.210287]	[128]	[11.210287]	[128]	[120584207]	[120584207]
92_10292	chr9	134205936	134206336	+	1000	47.0	[6.6871166, 8.464843]	[116, 145]	[15.123054]	[116]	[134206135, 134206164]	[134206135]
92_10298	chrX	119206179	119206579	+	1000	47.0	[]	[]	[14.052155]	[152]	[]	[119206399]
92_10299	chrX	123962929	123963329	+	1000	47.0	[]	[]	[5.5354342]	[133]	[]	[123963162]
92_10304	chr1	8525777	8526177	+	1000	46.0	[5.970831, 5.5354342]	[103, 200]	[5.572144]	[103]	[8525928, 8526025]	[8525928]
92_10314	chr1	61253347	61253747	+	1000	46.0	[8.116777]	[123]	[5.254826]	[102]	[61253561]	[61253540]
92_10318	chr1	89804626	89805026	+	1000	46.0	[]	[]	[9.553237]	[105]	[]	[89804818]
92_1032	chr4	151744612	151745012	+	1000	130.0	[7.02068, 4.9575453]	[76, 126]	[10.508973, 6.6940527]	[76, 104]	[151744783, 151744833]	[151744783, 151744811]
92_10329	chr1	117339947	117340347	+	1000	46.0	[9.113695]	[127]	[12.5632305]	[127]	[117340171]	[117340171]
92_10331	chr1	143272927	143273327	+	1000	46.0	[]	[]	[8.440658, 8.440658]	[69, 140]	[]	[143273096, 143273167]
92_10337	chr1	156281284	156281684	+	977	46.0	[]	[]	[5.3429527]	[133]	[]	[156281495]
92_10341	chr1	176879801	176880201	+	1000	46.0	[6.9787226]	[62]	[]	[]	[176879953]	[]
92_10351	chr1	207034161	207034561	+	1000	46.0	[17.21607]	[111]	[9.071671, 8.741374, 7.3506765]	[76, 111, 114]	[207034364]	[207034329, 207034364, 207034367]
92_10358	chr1	228166475	228166875	+	1000	46.0	[]	[]	[11.393853]	[144]	[]	[228166707]
92_10362	chr1	234869490	234869890	+	1000	46.0	[]	[]	[5.493584]	[108]	[]	[234869692]
92_10365	chr10	3851589	3851989	+	1000	46.0	[10.470215]	[80]	[7.0594378]	[80]	[3851767]	[3851767]
92_10371	chr10	42979305	42979705	+	1000	46.0	[15.35756]	[96]	[15.35756]	[96]	[42979501]	[42979501]
92_10389	chr11	34653979	34654379	+	1000	46.0	[5.026435]	[101]	[8.2299385]	[120]	[34654160]	[34654179]
92_10392	chr11	47515295	47515695	+	1000	46.0	[8.270968]	[86]	[]	[]	[47515459]	[]
92_10398	chr11	65122013	65122413	+	1000	46.0	[]	[]	[5.121263]	[84]	[]	[65122175]
92_104	chr1	168178533	168178933	+	1000	237.0	[13.303303]	[101]	[13.2645445]	[101]	[168178730]	[168178730]
92_10401	chr11	85725907	85726307	+	1000	46.0	[8.506867]	[149]	[]	[]	[85726155]	[]
92_10414	chr12	53159374	53159774	+	1000	46.0	[]	[]	[7.8417473]	[115]	[]	[53159575]
92_10415	chr12	54353590	54353990	+	1000	46.0	[13.059919]	[107]	[5.012173]	[107]	[54353778]	[54353778]
92_10419	chr12	68483546	68483946	+	1000	46.0	[8.611706]	[110]	[13.675624]	[110]	[68483740]	[68483740]
92_10427	chr12	122646856	122647256	+	1000	46.0	[]	[]	[10.293317]	[73]	[]	[122647016]
92_1043	chr12	111841764	111842164	+	1000	129.0	[15.35756]	[107]	[15.35756]	[107]	[111841970]	[111841970]
92_10435	chr14	20333195	20333595	+	1000	46.0	[12.298614]	[101]	[7.2629576]	[101]	[20333382]	[20333382]
92_10438	chr14	69191272	69191672	+	1000	46.0	[]	[]	[7.6946597]	[96]	[]	[69191451]
92_10446	chr15	42010423	42010823	+	1000	46.0	[5.57746]	[140]	[]	[]	[42010648]	[]
92_10451	chr15	90234038	90234438	+	1000	46.0	[]	[]	[6.9786544]	[91]	[]	[90234227]
92_10453	chr16	1827013	1827413	+	1000	46.0	[]	[]	[8.398701]	[144]	[]	[1827239]
92_10456	chr16	3317317	3317717	+	1000	46.0	[]	[]	[5.350599]	[107]	[]	[3317499]
92_10459	chr16	8572868	8573268	+	1000	46.0	[]	[]	[14.052155]	[146]	[]	[8573101]
92_10495	chr17_KI270729v1_random	160840	161240	+	1000	46.0	[6.736078, 8.440658, 8.440658]	[65, 114, 137]	[]	[]	[161005, 161054, 161077]	[]
92_10506	chr19	9435364	9435764	+	1000	46.0	[11.210287]	[118]	[11.210287]	[118]	[9435582]	[9435582]
92_10509	chr19	17617358	17617758	+	1000	46.0	[9.535344, 13.303303]	[85, 171]	[9.147153, 13.2645445]	[85, 171]	[17617517, 17617603]	[17617517, 17617603]
92_10517	chr19	38270696	38271096	+	1000	46.0	[6.582149, 5.214797]	[120, 166]	[]	[]	[38270894, 38270940]	[]
92_10523	chr19	47745298	47745698	+	1000	46.0	[]	[]	[5.601644]	[80]	[]	[47745469]
92_10533	chr2	33219711	33220111	+	1000	46.0	[7.0594378]	[140]	[12.1936455]	[119]	[33219935]	[33219914]
92_10537	chr2	66477449	66477849	+	1000	46.0	[7.5866]	[134]	[8.191424]	[109]	[66477680]	[66477655]
92_10538	chr2	68062845	68063245	+	1000	46.0	[6.1940675, 10.508973]	[58, 109]	[7.02068]	[109]	[68063003, 68063054]	[68063054]
92_10544	chr2	158321223	158321623	+	1000	46.0	[8.07511]	[97]	[]	[]	[158321399]	[]
92_10546	chr2	188326599	188326999	+	1000	46.0	[7.1418567]	[113]	[13.486869]	[95]	[188326808]	[188326790]
92_10550	chr2	207330846	207331246	+	1000	46.0	[9.896005]	[83]	[]	[]	[207331023]	[]
92_10551	chr2	217108650	217109050	+	1000	46.0	[]	[]	[9.896005]	[63]	[]	[217108807]
92_10560	chr20	4686037	4686437	+	1000	46.0	[6.166804]	[87]	[]	[]	[4686217]	[]
92_10566	chr20	49989369	49989769	+	1000	46.0	[6.5574484]	[102]	[11.582608]	[102]	[49989559]	[49989559]
92_10579	chr21	37659067	37659467	+	1000	46.0	[]	[]	[6.474206]	[62]	[]	[37659218]
92_10590	chr22	25726186	25726586	+	1000	46.0	[10.911693, 9.595194]	[64, 124]	[5.7313886]	[127]	[25726348, 25726408]	[25726411]
92_10593	chr22	42959701	42960101	+	1000	46.0	[9.0798]	[156]	[12.347575]	[128]	[42959936]	[42959908]
92_10594	chr3	38519012	38519412	+	1000	46.0	[11.573731]	[170]	[6.9755206]	[170]	[38519262]	[38519262]
92_10596	chr3	49349580	49349980	+	1000	46.0	[7.6740365]	[113]	[6.674804, 7.6070166]	[62, 113]	[49349789]	[49349738, 49349789]
92_106	chr16	46388558	46388958	+	1000	237.0	[]	[]	[8.440658, 6.3864]	[78, 150]	[]	[46388734, 46388806]
92_10606	chr3	160565961	160566361	+	1000	46.0	[5.5393353]	[62]	[]	[]	[160566112]	[]
92_1061	chr1	233112924	233113324	+	1000	128.0	[]	[]	[11.005662, 5.959561]	[103, 114]	[]	[233113120, 233113131]
92_10643	chr6	3291918	3292318	+	1000	46.0	[]	[]	[5.3048286]	[142]	[]	[3292149]
92_10648	chr6	15368166	15368566	+	1000	46.0	[11.959139]	[94]	[]	[]	[15368358]	[]
92_10667	chr6	133569513	133569913	+	1000	46.0	[5.9497805]	[172]	[]	[]	[133569758]	[]
92_10679	chr7	32163051	32163451	+	1000	46.0	[10.072353]	[65]	[5.0754547]	[65]	[32163202]	[32163202]
92_1068	chr2	47534249	47534649	+	1000	128.0	[7.0594378]	[156]	[10.470215]	[156]	[47534494]	[47534494]
92_1069	chr2	68849622	68850022	+	1000	128.0	[13.675624]	[68]	[8.611706]	[68]	[68849779]	[68849779]
92_10694	chr7	135929685	135930085	+	1000	46.0	[9.423384]	[102]	[]	[]	[135929876]	[]
92_10697	chr7	157398386	157398786	+	1000	46.0	[6.8706822]	[115]	[]	[]	[157398595]	[]
92_10701	chr8	22668934	22669334	+	1000	46.0	[8.530655]	[126]	[]	[]	[22669138]	[]
92_10704	chr8	42155553	42155953	+	1000	46.0	[5.342469]	[128]	[]	[]	[42155779]	[]
92_10708	chr8	89757519	89757919	+	1000	46.0	[8.142464]	[119]	[]	[]	[89757716]	[]
92_1071	chr20	31699149	31699549	+	1000	128.0	[15.161812]	[113]	[6.648359]	[113]	[31699360]	[31699360]
92_10712	chr8	101504562	101504962	+	1000	46.0	[]	[]	[14.052155]	[155]	[]	[101504798]
92_10714	chr8	116755682	116756082	+	1000	46.0	[11.210287]	[83]	[11.210287]	[83]	[116755861]	[116755861]
92_1074	chr3	150371791	150372191	+	1000	128.0	[13.068796, 5.9575515, 5.6824274]	[98, 114, 124]	[]	[]	[150371988, 150372004, 150372014]	[]
92_10744	chr1	26233681	26234081	+	1000	45.0	[6.7437506]	[117]	[]	[]	[26233833]	[]
92_10758	chr1	61139422	61139822	+	1000	45.0	[]	[]	[6.3459873]	[72]	[]	[61139592]
92_10768	chr1	110337606	110338006	+	1000	45.0	[]	[]	[9.519474]	[134]	[]	[110337820]
92_10769	chr1	115829263	115829663	+	1000	45.0	[13.486869]	[147]	[]	[]	[115829499]	[]
92_10771	chr1	143263251	143263651	+	1000	45.0	[]	[]	[8.440658]	[143]	[]	[143263494]
92_108	chr6	11143707	11144107	+	1000	237.0	[]	[]	[6.919377, 6.0438595]	[97, 134]	[]	[11143903, 11143940]
92_10800	chr10	3942615	3943015	+	1000	45.0	[6.8706822, 5.170527]	[88, 125]	[6.443733]	[88]	[3942802, 3942839]	[3942802]
92_10801	chr10	18651425	18651825	+	1000	45.0	[]	[]	[8.530655]	[124]	[]	[18651636]
92_10802	chr10	24867235	24867635	+	1000	45.0	[17.21607]	[111]	[8.741374]	[111]	[24867437]	[24867437]
92_10823	chr11	33227874	33228274	+	1000	45.0	[5.346618, 15.161812]	[83, 165]	[6.648359]	[165]	[33228031, 33228113]	[33228113]
