#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_1	chr22	23223844	23224244	+	1000	994.0	[9.166563]	[62]	[]	[]	[23224006]	[]
203_10008	chr3	108125573	108125973	+	1000	133.0	[12.754859]	[98]	[]	[]	[108125763]	[]
203_10010	chr3	171960931	171961331	+	1000	133.0	[12.754859]	[140]	[8.679044]	[102]	[171961169]	[171961131]
203_1002	chr16	88688123	88688523	+	1000	518.0	[8.386223, 9.166563]	[60, 79]	[]	[]	[88688275, 88688294]	[]
203_10023	chr7	2844551	2844951	+	1000	133.0	[8.643063]	[154]	[]	[]	[2844792]	[]
203_10026	chr8	22667661	22668061	+	1000	133.0	[8.643063]	[125]	[8.52607]	[57]	[22667881]	[22667813]
203_1003	chr8	23508710	23509110	+	1000	518.0	[]	[]	[8.235647]	[100]	[]	[23508909]
203_1004	chr10	6920316	6920716	+	1000	517.0	[]	[]	[8.235647]	[94]	[]	[6920501]
203_10047	chr12	51926037	51926437	+	1000	132.0	[7.8923073]	[83]	[8.801346]	[103]	[51926208]	[51926228]
203_10054	chr16	21643790	21644190	+	1000	132.0	[12.754859]	[98]	[]	[]	[21643980]	[]
203_10062	chr2	9313399	9313799	+	1000	132.0	[8.643063, 9.540733]	[71, 122]	[9.540733]	[121]	[9313565, 9313616]	[9313615]
203_10089	chr4	109815241	109815641	+	1000	132.0	[7.5073967]	[74]	[]	[]	[109815409]	[]
203_10093	chr6	341276	341676	+	1000	132.0	[8.801346]	[151]	[]	[]	[341513]	[]
203_10106	chr9	131278086	131278486	+	1000	132.0	[9.166563]	[175]	[8.272243]	[112]	[131278335]	[131278272]
203_10114	chr1	207963488	207963888	+	1000	131.0	[]	[]	[8.801346]	[101]	[]	[207963658]
203_10116	chr1	220046390	220046790	+	1000	131.0	[]	[]	[7.5073967]	[106]	[]	[220046588]
203_10129	chr13	98480894	98481294	+	1000	131.0	[7.8923073]	[105]	[]	[]	[98481089]	[]
203_1013	chr10	123135032	123135432	+	1000	515.0	[8.643063]	[98]	[8.643063]	[97]	[123135229]	[123135228]
203_10141	chr17	17088108	17088508	+	1000	131.0	[]	[]	[8.643063]	[104]	[]	[17088310]
203_10157	chr3	21783851	21784251	+	1000	131.0	[9.540733]	[132]	[]	[]	[21784072]	[]
