#PeakID(python identify_motif.py ./ENCODE_processed_files/USF2_idr.fa USF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
77_1	chr7	4775392	4775792	+	1000	1223.0	[11.787619, 12.827876, 12.827922]	[83, 95, 127]	[6.3357368, 12.086817, 12.367886]	[83, 95, 127]	[4775572, 4775584, 4775616]	[4775572, 4775584, 4775616]
77_100	chr5	132963464	132963864	+	1000	916.0	[13.018968, 13.541038]	[85, 117]	[6.342368, 13.783291]	[85, 117]	[132963649, 132963681]	[132963649, 132963681]
77_10000	chr16	30985528	30985928	+	1000	78.0	[]	[]	[6.7343836]	[76]	[]	[30985698]
77_10004	chr17	37488839	37489239	+	1000	78.0	[6.864139]	[122]	[6.178773, 6.539683]	[122, 136]	[37489036]	[37489036, 37489050]
77_10007	chr17	77424973	77425373	+	1000	78.0	[13.018968]	[106]	[6.342368]	[106]	[77425160]	[77425160]
77_10008	chr17	78861972	78862372	+	1000	78.0	[9.304013]	[106]	[8.789132]	[106]	[78862167]	[78862167]
77_10009	chr17	81309155	81309555	+	1000	78.0	[7.3758764]	[95]	[]	[]	[81309341]	[]
77_1001	chr5	179698798	179699198	+	1000	487.0	[12.827876]	[101]	[12.086817]	[101]	[179698995]	[179698995]
77_10010	chr17_GL000205v2_random	56159	56559	+	1000	78.0	[8.625433]	[136]	[]	[]	[56348]	[]
77_10013	chr18	46399253	46399653	+	1000	78.0	[6.437684, 12.827876]	[57, 100]	[12.086817]	[100]	[46399409, 46399452]	[46399452]
77_10014	chr19	4247172	4247572	+	1000	78.0	[]	[]	[7.604468]	[124]	[]	[4247389]
77_10016	chr19	12737873	12738273	+	1000	78.0	[8.668185]	[95]	[7.9271264]	[95]	[12738063]	[12738063]
77_1002	chr1	9539222	9539622	+	1000	486.0	[13.817017]	[119]	[12.61677]	[119]	[9539437]	[9539437]
77_10020	chr19	47229382	47229782	+	1000	78.0	[12.827922, 6.829499]	[85, 120]	[12.367886, 10.403315, 6.575677]	[85, 120, 129]	[47229560, 47229595]	[47229560, 47229595, 47229604]
77_10023	chr2	64831222	64831622	+	1000	78.0	[9.172683]	[106]	[9.172683]	[106]	[64831425]	[64831425]
77_10031	chr20	32764722	32765122	+	1000	78.0	[7.3176527, 6.4583592]	[99, 108]	[7.777689]	[99]	[32764903, 32764912]	[32764903]
77_10037	chr20	61230139	61230539	+	1000	78.0	[7.6297903]	[105]	[13.838806]	[105]	[61230343]	[61230343]
77_10038	chr20	63980221	63980621	+	1000	78.0	[9.76405]	[96]	[8.329096]	[96]	[63980400]	[63980400]
77_10046	chr22	22586749	22587149	+	1000	78.0	[]	[]	[6.4237375]	[76]	[]	[22586917]
77_1005	chr12	6891032	6891432	+	1000	485.0	[12.367886]	[112]	[12.827922]	[112]	[6891239]	[6891239]
77_10054	chr22	36114495	36114895	+	1000	78.0	[9.657327]	[83]	[8.457079]	[83]	[36114674]	[36114674]
77_10058	chr3	13513446	13513846	+	1000	78.0	[11.70322]	[95]	[12.678137]	[95]	[13513637]	[13513637]
77_10060	chr3	125150482	125150882	+	1000	78.0	[6.2967544]	[106]	[6.5390077]	[106]	[125150674]	[125150674]
77_10061	chr3	125603116	125603516	+	1000	78.0	[15.742009]	[82]	[15.742009]	[82]	[125603296]	[125603296]
77_10070	chr6	1527169	1527569	+	1000	78.0	[10.902928]	[100]	[9.242645]	[100]	[1527354]	[1527354]
77_10078	chr6	111483266	111483666	+	1000	78.0	[]	[]	[8.593608]	[99]	[]	[111483452]
77_10080	chr6	139374595	139374995	+	1000	78.0	[6.9717116]	[106]	[7.2139645]	[106]	[139374794]	[139374794]
77_10082	chr7	26074933	26075333	+	1000	78.0	[12.827876]	[125]	[12.086817]	[125]	[26075147]	[26075147]
77_10086	chr7	112481833	112482233	+	1000	78.0	[12.776714]	[103]	[6.5846214]	[103]	[112482036]	[112482036]
77_10087	chr7	150405090	150405490	+	1000	78.0	[11.603561]	[130]	[]	[]	[150405313]	[]
77_101	chr17	7234389	7234789	+	1000	913.0	[13.541038, 13.783291, 7.5426154]	[101, 120, 154]	[13.783291, 13.541038, 11.81872]	[101, 120, 154]	[7234581, 7234600, 7234634]	[7234581, 7234600, 7234634]
