#PeakID(python identify_motif.py ./ENCODE_processed_files/MEIS2_idr.fa MEIS2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
596_10000	chr1	226344710	226345110	+	1000	139.0	[11.310461]	[102]	[7.239613]	[79]	[226344907]	[226344884]
596_10001	chr1	236108226	236108626	+	1000	139.0	[]	[]	[7.705946]	[122]	[]	[236108437]
596_10003	chr10	43627947	43628347	+	1000	139.0	[11.310461]	[134]	[]	[]	[43628151]	[]
596_10004	chr10	45404403	45404803	+	1000	139.0	[7.705946]	[94]	[]	[]	[45404593]	[]
596_10005	chr10	71909372	71909772	+	1000	139.0	[7.239613]	[131]	[]	[]	[71909588]	[]
596_10007	chr10	74826403	74826803	+	1000	139.0	[]	[]	[7.705946, 7.239613]	[99, 115]	[]	[74826601, 74826617]
596_10008	chr11	3345717	3346117	+	1000	139.0	[7.705946, 7.239613]	[190, 206]	[]	[]	[3345950, 3345966]	[]
596_10009	chr11	88484804	88485204	+	1000	139.0	[7.705946]	[173]	[7.705946]	[154]	[88485033]	[88485014]
596_10011	chr13	95380602	95381002	+	1000	139.0	[]	[]	[11.310461]	[108]	[]	[95380809]
596_10013	chr17	32956263	32956663	+	1000	139.0	[11.310461]	[116]	[7.239613, 11.310461]	[99, 186]	[32956433]	[32956416, 32956503]
596_10014	chr17	59435265	59435665	+	1000	139.0	[]	[]	[7.4989777]	[127]	[]	[59435490]
596_10018	chr19	5575492	5575892	+	1000	139.0	[7.4989777]	[111]	[]	[]	[5575700]	[]
596_1002	chr17	42266815	42267215	+	1000	724.5	[11.310461]	[98]	[]	[]	[42266999]	[]
596_10025	chr21	29794730	29795130	+	1000	139.0	[11.310461]	[111]	[]	[]	[29794906]	[]
596_10028	chr22	30720431	30720831	+	1000	139.0	[]	[]	[11.310461]	[110]	[]	[30720640]
596_10031	chr3	142579357	142579757	+	1000	139.0	[7.239613]	[80]	[7.239613]	[84]	[142579527]	[142579531]
596_10033	chr3	169751921	169752321	+	1000	139.0	[]	[]	[11.310461]	[89]	[]	[169752108]
596_10034	chr3	183349446	183349846	+	1000	139.0	[]	[]	[7.4989777]	[127]	[]	[183349617]
596_10035	chr4	8336354	8336754	+	1000	139.0	[]	[]	[7.705946]	[124]	[]	[8336561]
596_10040	chr6	15376875	15377275	+	1000	139.0	[]	[]	[7.239613]	[126]	[]	[15377100]
596_10041	chr6	30769593	30769993	+	1000	139.0	[]	[]	[7.705946]	[127]	[]	[30769814]
596_10047	chrX	90458095	90458495	+	1000	139.0	[11.310461]	[99]	[]	[]	[90458292]	[]
596_10049	chr1	24694326	24694726	+	1000	138.5	[]	[]	[7.705946]	[106]	[]	[24694528]
596_10053	chr1	207781312	207781712	+	1000	138.5	[]	[]	[7.239613]	[100]	[]	[207781511]
596_10058	chr11	130308861	130309261	+	1000	138.5	[11.310461]	[98]	[]	[]	[130309044]	[]
596_10060	chr13	28640748	28641148	+	1000	138.5	[7.4989777]	[78]	[]	[]	[28640921]	[]
596_10063	chr15	50624735	50625135	+	585	138.5	[11.310461]	[144]	[]	[]	[50624964]	[]
596_10065	chr17	29722642	29723042	+	1000	138.5	[]	[]	[11.310461]	[111]	[]	[29722847]
596_10066	chr17	42361754	42362154	+	1000	138.5	[7.239613]	[122]	[]	[]	[42361956]	[]
596_1007	chr10	33066878	33067278	+	1000	720.5	[11.310461, 7.239613]	[114, 140]	[]	[]	[33067092, 33067118]	[]
596_10072	chr2	73233044	73233444	+	1000	138.5	[11.310461]	[94]	[]	[]	[73233236]	[]
596_10074	chr2	111375289	111375689	+	1000	138.5	[]	[]	[7.4989777]	[119]	[]	[111375447]
596_10076	chr2	216217441	216217841	+	1000	138.5	[]	[]	[11.310461, 11.310461, 7.4989777]	[94, 111, 117]	[]	[216217631, 216217648, 216217654]
596_10079	chr20	35085566	35085966	+	1000	138.5	[]	[]	[11.310461]	[177]	[]	[35085797]
596_10084	chr4	55311856	55312256	+	1000	138.5	[]	[]	[7.239613, 7.239613]	[137, 162]	[]	[55312043, 55312068]
596_10088	chr6	43631274	43631674	+	1000	138.5	[]	[]	[11.310461]	[237]	[]	[43631518]
596_10093	chr9	87410503	87410903	+	1000	138.5	[]	[]	[11.310461]	[92]	[]	[87410693]
596_10097	chr1	201554045	201554445	+	1000	138.0	[7.705946, 11.310461]	[132, 142]	[]	[]	[201554196, 201554206]	[]
596_10098	chr1	211340690	211341090	+	1000	138.0	[]	[]	[7.4989777]	[310]	[]	[211340934]
596_10101	chr11	47913852	47914252	+	1000	138.0	[11.310461]	[148]	[]	[]	[47914100]	[]
596_10105	chr12	105617152	105617552	+	1000	138.0	[]	[]	[11.310461]	[100]	[]	[105617341]
596_10108	chr15	58471367	58471767	+	1000	138.0	[11.310461]	[76]	[11.310461]	[106]	[58471539]	[58471569]
596_1011	chr16	22282320	22282720	+	1000	719.0	[]	[]	[7.705946]	[96]	[]	[22282514]
596_10111	chr18	104239	104639	+	1000	138.0	[7.4989777]	[148]	[7.705946]	[102]	[104455]	[104409]
596_10113	chr18	57659548	57659948	+	1000	138.0	[7.239613]	[89]	[]	[]	[57659735]	[]
596_10114	chr19	43782205	43782605	+	1000	138.0	[7.705946]	[155]	[7.239613]	[132]	[43782447]	[43782424]
596_10115	chr2	9662088	9662488	+	979	138.0	[7.239613]	[111]	[]	[]	[9662281]	[]
596_10117	chr20	38140380	38140780	+	1000	138.0	[]	[]	[7.4989777]	[94]	[]	[38140574]
596_10119	chr3	15431391	15431791	+	1000	138.0	[7.239613]	[190]	[]	[]	[15431632]	[]
596_10120	chr3	48858673	48859073	+	1000	138.0	[]	[]	[11.310461]	[146]	[]	[48858906]
596_10126	chr4	185325542	185325942	+	1000	138.0	[]	[]	[11.310461]	[153]	[]	[185325729]
596_1013	chrUn_KI270467v1	2164	2564	+	1000	718.5	[7.239613]	[133]	[]	[]	[2389]	[]
596_10130	chr6	137258138	137258538	+	1000	138.0	[]	[]	[11.310461]	[105]	[]	[137258341]
596_10136	chr8	101889188	101889588	+	896	138.0	[11.310461]	[110]	[]	[]	[101889392]	[]
596_1014	chr15	67680550	67680950	+	1000	718.0	[]	[]	[11.310461]	[85]	[]	[67680724]
596_10149	chr11	59560944	59561344	+	1000	137.5	[]	[]	[7.239613]	[165]	[]	[59561141]
596_10150	chr11	102341798	102342198	+	1000	137.5	[11.310461]	[133]	[]	[]	[102341978]	[]
596_10151	chr12	93122072	93122472	+	1000	137.5	[7.239613]	[148]	[]	[]	[93122314]	[]
596_10152	chr12	132766718	132767118	+	1000	137.5	[]	[]	[11.310461]	[126]	[]	[132766914]
596_10154	chr13	52187393	52187793	+	1000	137.5	[11.310461]	[109]	[]	[]	[52187594]	[]
596_10158	chr15	58114737	58115137	+	886	137.5	[7.705946]	[99]	[]	[]	[58114900]	[]
596_10159	chr15	67382747	67383147	+	1000	137.5	[]	[]	[11.310461]	[161]	[]	[67382959]
596_10160	chr15	73630059	73630459	+	1000	137.5	[11.310461]	[118]	[11.310461]	[143]	[73630260]	[73630285]
596_10163	chr19	38882795	38883195	+	1000	137.5	[]	[]	[7.239613]	[173]	[]	[38883033]
596_10164	chr2	144391654	144392054	+	1000	137.5	[11.310461]	[120]	[]	[]	[144391852]	[]
596_10167	chr20	56415106	56415506	+	1000	137.5	[]	[]	[7.239613]	[122]	[]	[56415309]
596_10168	chr21	43651172	43651572	+	1000	137.5	[7.705946]	[96]	[]	[]	[43651363]	[]
596_10169	chr22	21855669	21856069	+	1000	137.5	[7.239613]	[233]	[7.239613]	[237]	[21855898]	[21855902]
596_10171	chr4	15533828	15534228	+	1000	137.5	[7.239613]	[117]	[]	[]	[15534040]	[]
596_10172	chr4	79611029	79611429	+	1000	137.5	[]	[]	[11.310461]	[104]	[]	[79611228]
596_10177	chr5	146499676	146500076	+	1000	137.5	[11.310461, 7.705946]	[99, 116]	[11.310461, 11.310461]	[83, 105]	[146499874, 146499891]	[146499858, 146499880]
596_10179	chr6	3026658	3027058	+	1000	137.5	[7.4989777]	[156]	[7.705946]	[90]	[3026905]	[3026839]
596_1018	chr8	140944406	140944806	+	1000	716.0	[7.705946, 11.310461]	[89, 96]	[]	[]	[140944590, 140944597]	[]
596_10180	chr6	89321599	89321999	+	1000	137.5	[]	[]	[7.4989777]	[86]	[]	[89321775]
596_10181	chr6	139390439	139390839	+	1000	137.5	[7.4989777]	[89]	[]	[]	[139390624]	[]
596_10182	chr8	11787705	11788105	+	1000	137.5	[7.4989777]	[139]	[7.4989777]	[145]	[11787919]	[11787925]
596_10183	chr8	95258787	95259187	+	1000	137.5	[7.239613, 7.705946]	[108, 139]	[]	[]	[95258993, 95259024]	[]
596_10186	chr1	21324193	21324593	+	1000	137.0	[11.310461]	[98]	[]	[]	[21324387]	[]
596_10189	chr1	219119861	219120261	+	1000	137.0	[11.310461]	[92]	[7.239613]	[130]	[219120036]	[219120074]
596_10190	chr1	221099006	221099406	+	870	137.0	[7.239613]	[96]	[]	[]	[221099197]	[]
596_10195	chr12	110060249	110060649	+	1000	137.0	[7.705946]	[141]	[7.4989777]	[80]	[110060481]	[110060420]
596_10196	chr14	70886593	70886993	+	1000	137.0	[]	[]	[7.239613, 7.4989777]	[123, 182]	[]	[70886771, 70886830]
596_102	chr7	107836305	107836705	+	1000	1438.5	[]	[]	[11.310461]	[153]	[]	[107836554]
596_1020	chr16	69812620	69813020	+	1000	715.0	[7.239613]	[89]	[7.705946]	[120]	[69812806]	[69812837]
596_10203	chr19	47648268	47648668	+	1000	137.0	[]	[]	[11.310461]	[132]	[]	[47648485]
596_10204	chr2	48677402	48677802	+	1000	137.0	[7.239613]	[100]	[]	[]	[48677594]	[]
596_10205	chr2	208930083	208930483	+	1000	137.0	[7.4989777]	[115]	[]	[]	[208930286]	[]
596_10208	chr3	37864863	37865263	+	1000	137.0	[7.705946]	[149]	[]	[]	[37865082]	[]
596_10209	chr3	48031755	48032155	+	1000	137.0	[7.239613]	[90]	[]	[]	[48031926]	[]
596_10210	chr3	101686664	101687064	+	1000	137.0	[11.310461]	[99]	[]	[]	[101686852]	[]
596_10211	chr3	151877258	151877658	+	1000	137.0	[7.239613]	[123]	[]	[]	[151877452]	[]
596_10219	chr7	74067740	74068140	+	1000	137.0	[11.310461]	[123]	[]	[]	[74067909]	[]
596_10229	chr1	25608487	25608887	+	1000	136.5	[11.310461]	[188]	[7.4989777]	[194]	[25608713]	[25608719]
