#PeakID	chr	start	end	strand	idrScore	count
39_0	chrM	2935	3311	+	1000	808.0
39_1	chrM	9683	9925	+	1000	801.0
39_2	chrM	13684	13903	+	1000	800.0
39_3	chrM	11082	11319	+	1000	797.0
39_4	chrM	447	657	+	1000	795.0
39_5	chrM	10574	10779	+	1000	791.0
39_6	chrM	4822	5060	+	1000	762.0
39_7	chrM	5237	5484	+	1000	722.0
39_8	chrM	6196	6580	+	1000	722.0
39_9	chrM	8040	8252	+	1000	671.0
39_10	chr16	46390442	46390769	+	1000	574.0
39_11	chrM	7116	7337	+	1000	553.0
39_12	chrM	9153	9426	+	1000	537.0
39_13	chr16	46394687	46394890	+	1000	435.0
39_14	chr1	28648518	28648743	+	1000	427.0
39_15	chr1	148522587	148522787	+	1000	414.0
39_16	chrUn_KI270438v1	109499	109709	+	1000	373.0
39_17	chr16	34586723	34586925	+	1000	365.0
39_18	chr1	145281091	145281310	+	1000	364.0
39_19	chr1_KI270713v1_random	21676	21905	+	1000	361.0
39_20	chr1	44721601	44721803	+	1000	347.0
39_21	chr22	19723337	19723548	+	1000	345.0
39_22	chr1	144412583	144412803	+	1000	332.0
39_23	chr16	46388579	46388846	+	1000	329.0
39_24	chr1	146052075	146052283	+	1000	299.0
39_25	chr16	46401334	46401534	+	1000	275.0
39_26	chr1	145465613	145465831	+	1000	268.0
39_27	chr17	58679496	58679724	+	1000	267.0
39_28	chr9	131125477	131125702	+	1000	265.0
39_29	chr1	120850764	120850994	+	1000	264.0
39_30	chr1	30768987	30769211	+	1000	263.0
39_31	chrUn_KI270438v1	104601	104803	+	1000	251.0
39_32	chr12	120291761	120291999	+	1000	247.0
39_33	chr7	92133746	92133960	+	1000	246.0
39_34	chr16	34582129	34582333	+	1000	242.0
39_35	chr21	45074075	45074318	+	1000	238.0
39_36	chr22	42615238	42615453	+	1000	237.0
39_37	chr16	34593021	34593363	+	1000	236.0
39_38	chr16	46399274	46399496	+	1000	234.0
39_39	chr17	8173405	8173629	+	1000	232.0
39_40	chr22	20025449	20025652	+	1000	228.0
39_41	chr2	121530821	121531037	+	1000	224.0
39_42	chr17	58659085	58659287	+	1000	223.0
39_43	chr1	16896062	16896283	+	1000	222.0
39_44	chr12	131576806	131577008	+	1000	220.0
39_45	chr16	34595125	34595325	+	1000	220.0
39_46	chr1	120942579	120942783	+	1000	212.0
39_47	chr5	49601527	49601728	+	1000	210.0
39_48	chr6	133701664	133701875	+	1000	209.0
39_49	chr6	109304531	109304737	+	1000	207.0
39_50	chr1	16905062	16905295	+	1000	206.0
39_51	chr22	22559200	22559426	+	1000	205.0
39_52	chr10	94299541	94299743	+	1000	203.0
39_53	chr1	633928	634128	+	1000	201.0
39_54	chr6	2542928	2543131	+	1000	201.0
39_55	chr9	129863102	129863428	+	1000	201.0
39_56	chrUn_KI270438v1	112042	112242	+	1000	200.0
39_57	chr5	154653946	154654177	+	1000	199.0
39_58	chr1	11908124	11908336	+	1000	198.0
39_59	chr1	148334584	148334830	+	1000	198.0
39_60	chr8	33513436	33513651	+	1000	198.0
39_61	chr1	149636740	149636953	+	1000	197.0
39_62	chr7	73886170	73886419	+	1000	197.0
