#PeakID	chr	start	end	strand	idrScore	count
77_0	chr1	11806073	11806277	+	1000	1225.0
77_1	chr7	4775489	4775695	+	1000	1223.0
77_2	chr6	33418297	33418499	+	1000	1215.0
77_3	chr13	113296972	113297177	+	1000	1208.0
77_4	chrX	318881	319083	+	1000	1195.0
77_5	chr19	10653890	10654098	+	1000	1190.0
77_6	chr12	57752443	57752646	+	1000	1168.0
77_7	chr19	48954688	48954901	+	1000	1166.0
77_8	chr11	65711894	65712096	+	1000	1133.0
77_9	chr3	20186171	20186381	+	1000	1131.0
77_10	chr1	154558727	154558932	+	1000	1123.0
77_11	chr1	22451703	22451909	+	1000	1115.0
77_12	chr16	28974647	28974847	+	1000	1113.0
77_13	chr5	151447469	151447673	+	1000	1112.0
77_14	chrM	14850	15183	+	1000	1112.0
77_15	chr11	126211622	126211828	+	1000	1111.0
77_16	chr5	173056143	173056357	+	1000	1110.0
77_17	chr16	4847303	4847507	+	1000	1108.0
77_18	chr21	44517305	44517509	+	1000	1107.0
77_19	chrM	9697	9918	+	1000	1107.0
77_20	chr10	67884460	67884661	+	1000	1106.0
77_21	chr16	88857003	88857208	+	1000	1099.0
77_22	chr22	20858720	20858924	+	1000	1093.0
77_23	chr19	7522490	7522694	+	1000	1091.0
77_24	chr16	67481103	67481304	+	1000	1089.0
77_25	chr7	140398440	140398640	+	1000	1086.0
77_26	chr7	876203	876409	+	1000	1071.0
77_27	chr10	45594815	45595021	+	1000	1059.0
77_28	chr19	18022226	18022437	+	1000	1052.0
77_29	chr9	97922170	97922371	+	1000	1048.0
77_30	chr22	21876500	21876708	+	1000	1044.0
77_31	chrM	10576	10779	+	1000	1044.0
77_32	chrM	8047	8251	+	1000	1036.0
77_33	chrM	11121	11342	+	1000	1036.0
77_34	chrM	6151	6395	+	1000	1031.0
77_35	chrM	670	873	+	1000	1030.0
77_36	chr11	67391773	67391977	+	1000	1028.0
77_37	chr19	40348432	40348637	+	1000	1024.0
77_38	chr9	114587614	114587820	+	1000	1024.0
77_39	chr9	122093288	122093493	+	1000	1024.0
77_40	chr19	36054309	36054514	+	1000	1023.0
77_41	chr1	43974797	43975019	+	1000	1019.0
77_42	chr3	4467165	4467369	+	1000	1017.0
77_43	chr16	5033837	5034045	+	1000	1010.0
77_44	chr1	154220601	154220802	+	1000	1007.0
77_45	chr12	55715930	55716135	+	1000	1005.0
77_46	chr16	2047772	2047973	+	1000	1004.0
77_47	chr19	12945687	12945906	+	1000	1004.0
77_48	chr1	26432052	26432261	+	1000	1001.0
77_49	chr6	31862853	31863062	+	1000	1000.0
77_50	chr9	128947550	128947752	+	1000	995.0
77_51	chr11	36289341	36289551	+	1000	991.0
77_52	chrM	4834	5052	+	1000	991.0
77_53	chr5	134370941	134371155	+	1000	989.0
77_54	chr20	38962071	38962283	+	1000	984.0
77_55	chr7	108569725	108569926	+	1000	983.0
77_56	chr20	45891197	45891403	+	1000	976.0
77_57	chr1	25906366	25906572	+	1000	975.0
77_58	chr12	113773627	113773838	+	1000	974.0
77_59	chr7	93232261	93232461	+	1000	972.0
77_60	chr8	125091699	125091905	+	1000	971.0
77_61	chr1	38859780	38859983	+	1000	970.0
77_62	chr1	52366092	52366295	+	1000	966.0
77_63	chrM	9234	9437	+	1000	966.0
77_64	chr16	1474959	1475165	+	1000	964.0
77_65	chrM	5245	5486	+	1000	964.0
77_66	chr18	31943049	31943250	+	1000	962.0
77_67	chr17	82292794	82293001	+	1000	960.0
77_68	chr12	64759358	64759561	+	1000	957.0
77_69	chr5	131797033	131797264	+	1000	956.0
77_70	chr6	84227584	84227788	+	1000	956.0
77_71	chr12	122266388	122266598	+	1000	953.0
77_72	chr6	87155433	87155637	+	1000	953.0
77_73	chr4	47463610	47463816	+	1000	952.0
77_74	chr5	10485133	10485346	+	1000	947.0
77_75	chr4	1511718	1511923	+	1000	945.0
77_76	chr1	28232937	28233137	+	1000	939.0
77_77	chr14	20455057	20455281	+	1000	936.0
77_78	chrM	1	205	+	1000	935.0
77_79	chr1	50960229	50960431	+	1000	934.0
77_80	chr22	22520228	22520440	+	1000	933.0
77_81	chrM	7105	7324	+	1000	933.0
77_82	chr12	120317646	120317871	+	1000	931.0
77_83	chr12	53938554	53938764	+	1000	930.0
77_84	chr12	112013293	112013493	+	1000	930.0
77_85	chr5	1799787	1799992	+	1000	930.0
77_86	chr1	10472523	10472726	+	1000	929.0
77_87	chr3	158801945	158802146	+	1000	929.0
77_88	chr16	46390433	46390642	+	1000	928.0
77_89	chr7	42911981	42912198	+	1000	927.0
77_90	chr14	20461560	20461760	+	1000	926.0
77_91	chr17	81472110	81472317	+	1000	926.0
77_92	chr21	37366490	37366691	+	1000	926.0
77_93	chr21	34615274	34615479	+	1000	924.0
77_94	chr17	37609406	37609608	+	1000	920.0
77_95	chr19	47515339	47515542	+	1000	919.0
77_96	chr7	96322138	96322344	+	1000	917.0
77_97	chr19	1275767	1275971	+	1000	916.0
77_98	chr2	46698765	46698969	+	1000	916.0
77_99	chr21	34030144	34030345	+	1000	916.0
77_100	chr5	132963564	132963765	+	1000	916.0
77_101	chr17	7234480	7234698	+	1000	913.0
77_102	chr16	58684666	58684869	+	1000	912.0
77_103	chr15	72375934	72376135	+	1000	911.0
77_104	chr6	151452109	151452313	+	1000	909.0
77_105	chr16	28491996	28492196	+	1000	906.0
77_106	chr7	100101317	100101521	+	1000	901.0
77_107	chr16	1827103	1827303	+	1000	900.0
77_108	chr7	2353983	2354185	+	1000	900.0
77_109	chr1	36224159	36224361	+	1000	899.0
77_110	chr21	37563791	37563994	+	1000	897.0
77_111	chr4	1346897	1347107	+	1000	895.0
77_112	chr21	43728563	43728763	+	1000	894.0
77_113	chr11	18322438	18322642	+	1000	893.0
77_114	chr3	112561852	112562065	+	1000	891.0
77_115	chr18	35041221	35041424	+	1000	889.0
77_116	chr1	30854217	30854419	+	1000	886.0
77_117	chr1	155324329	155324531	+	1000	885.0
77_118	chr17	35567948	35568156	+	1000	882.0
77_119	chr22	22168617	22168819	+	1000	881.0
77_120	chr10	69124061	69124278	+	1000	879.0
77_121	chr20	48921603	48921803	+	1000	879.0
77_122	chr14	101948216	101948419	+	1000	876.0
77_123	chr17	82497158	82497366	+	1000	875.0
77_124	chr4	781784	781990	+	1000	875.0
77_125	chr9	136950042	136950248	+	1000	875.0
77_126	chr7	101165520	101165723	+	1000	871.0
77_127	chr17	82288066	82288281	+	1000	868.0
77_128	chr6	36423351	36423551	+	1000	868.0
77_129	chr11	61792774	61792981	+	1000	867.0
77_130	chr17	8192220	8192426	+	1000	867.0
77_131	chr11	86069206	86069424	+	1000	866.0
77_132	chr16	1351816	1352030	+	1000	866.0
77_133	chr16	9053175	9053378	+	1000	865.0
77_134	chr16	74695911	74696114	+	1000	865.0
77_135	chr19	3500582	3500782	+	1000	865.0
77_136	chr19	10701310	10701512	+	1000	865.0
77_137	chr19	47256414	47256617	+	1000	865.0
77_138	chr22	30969057	30969262	+	1000	865.0
77_139	chr7	139340483	139340688	+	1000	863.0
77_140	chr11	65013972	65014179	+	1000	862.0
77_141	chr19	4472019	4472223	+	1000	862.0
77_142	chr1	155241183	155241386	+	1000	861.0
77_143	chr5	69234688	69234889	+	1000	861.0
77_144	chr16	69762210	69762417	+	1000	860.0
77_145	chr5	172983648	172983851	+	1000	857.0
77_146	chr19	32345502	32345704	+	1000	855.0
77_147	chr19	10315910	10316118	+	1000	848.0
77_148	chr7	100837415	100837620	+	1000	848.0
77_149	chr10	118755148	118755355	+	1000	847.0
77_150	chr1	42682246	42682449	+	1000	845.0
77_151	chr19	12722609	12722811	+	1000	845.0
77_152	chr12	93570791	93570992	+	1000	844.0
77_153	chr1	15526713	15526921	+	1000	843.0
77_154	chr4	83455781	83455986	+	1000	842.0
77_155	chr20	50468105	50468309	+	1000	841.0
77_156	chr3	184314434	184314642	+	1000	841.0
77_157	chr15	74598325	74598533	+	1000	840.0
77_158	chr16	2520251	2520452	+	1000	839.0
77_159	chr5	41904220	41904429	+	1000	839.0
77_160	chr8	53843191	53843396	+	1000	838.0
77_161	chr1	88684090	88684301	+	1000	836.0
77_162	chr17	62065899	62066101	+	1000	836.0
77_163	chr11	69234894	69235102	+	1000	835.0
77_164	chr17	42566949	42567151	+	1000	830.0
77_165	chr20	50130083	50130290	+	1000	829.0
77_166	chr15	74100160	74100360	+	1000	827.0
77_167	chr9	94030655	94030856	+	1000	827.0
77_168	chr17	39730444	39730645	+	1000	826.0
77_169	chr18	13726539	13726740	+	1000	826.0
77_170	chr21	37267307	37267510	+	1000	826.0
77_171	chr1	173476951	173477154	+	1000	825.0
77_172	chr15	73633439	73633643	+	1000	823.0
77_173	chr17	3636589	3636802	+	1000	821.0
77_174	chr1	31815926	31816130	+	1000	820.0
77_175	chr12	120904315	120904519	+	1000	819.0
77_176	chr12	131194201	131194403	+	1000	818.0
77_177	chr2	176002252	176002453	+	1000	818.0
77_178	chr1	150321374	150321575	+	1000	815.0
77_179	chr18	3247325	3247528	+	1000	815.0
77_180	chr1	22048716	22048918	+	1000	814.0
77_181	chr3	49786619	49786822	+	1000	813.0
77_182	chr1	15603579	15603780	+	1000	812.0
77_183	chr8	70669112	70669317	+	1000	811.0
77_184	chr5	32585405	32585614	+	1000	808.0
77_185	chr8	103020955	103021169	+	1000	808.0
77_186	chr15	90954745	90954950	+	1000	807.0
77_187	chr21	43776254	43776458	+	1000	807.0
77_188	chr6	36986099	36986300	+	1000	806.0
77_189	chr1	11735940	11736148	+	1000	805.0
77_190	chr11	119121289	119121495	+	1000	805.0
77_191	chr14	65102463	65102665	+	1000	804.0
77_192	chr19	47130616	47130821	+	1000	804.0
77_193	chr15	75335925	75336129	+	1000	803.0
77_194	chr19	49487283	49487487	+	1000	803.0
77_195	chr6	33840502	33840706	+	1000	803.0
77_196	chr12	122064153	122064359	+	1000	802.0
77_197	chr11	119067671	119067881	+	1000	800.0
77_198	chr10	69179857	69180065	+	1000	799.0
77_199	chr6	44257255	44257457	+	1000	797.0
77_200	chr6	30721489	30721691	+	1000	796.0
77_201	chr11	108008814	108009020	+	1000	794.0
77_202	chr21	46022587	46022792	+	1000	794.0
77_203	chr6	150005258	150005460	+	1000	794.0
77_204	chr11	72103342	72103560	+	1000	791.0
77_205	chr6	7590072	7590273	+	1000	790.0
77_206	chr6	111259213	111259418	+	1000	790.0
77_207	chr16	31033173	31033378	+	1000	789.0
77_208	chr1	226083426	226083636	+	1000	788.0
77_209	chr15	98865398	98865599	+	1000	788.0
77_210	chr17	64145767	64145974	+	1000	788.0
77_211	chr12	103965691	103965891	+	1000	787.0
77_212	chr19	5680873	5681077	+	1000	787.0
77_213	chr1	26900354	26900559	+	1000	786.0
77_214	chr6	43369694	43369902	+	1000	786.0
77_215	chr11	62679013	62679220	+	1000	785.0
77_216	chr19	4815659	4815863	+	1000	785.0
77_217	chr10	45727092	45727295	+	1000	784.0
