#PeakID	chr	start	end	strand	idrScore	count
46_0	chrM	15945	16161	+	1000	823.0
46_1	chrM	163	369	+	1000	820.0
46_2	chrM	10447	10765	+	1000	817.0
46_3	chrM	3114	3316	+	1000	816.0
46_4	chrM	13868	14121	+	1000	813.0
46_5	chrM	6298	6571	+	1000	720.0
46_6	chr22	20777799	20778010	+	1000	675.0
46_7	chr22	21556098	21556304	+	1000	672.0
46_8	chrM	4902	5119	+	1000	661.0
46_9	chrM	5230	5531	+	1000	649.0
46_10	chrM	8454	8748	+	1000	644.0
46_11	chrM	7939	8157	+	1000	634.0
46_12	chr11	65899294	65899512	+	1000	623.0
46_13	chr3	93470482	93470689	+	1000	623.0
46_14	chr11	9566065	9566271	+	1000	621.0
46_15	chr11	36149786	36149990	+	1000	620.0
46_16	chr18	3652942	3653156	+	1000	614.0
46_17	chr3	8629520	8629774	+	1000	597.0
46_18	chr18	22668042	22668242	+	1000	580.0
46_19	chr6	158040418	158040659	+	1000	577.0
46_20	chr9	38170982	38171196	+	1000	570.0
46_21	chr22	21791793	21792004	+	1000	567.0
46_22	chr7	20219841	20220049	+	1000	563.0
46_23	chr2	172253265	172253490	+	1000	562.0
46_24	chr10	63707387	63707609	+	1000	552.0
46_25	chr1	15952845	15953054	+	1000	551.0
46_26	chr5	133240580	133240789	+	1000	551.0
46_27	chr7	101138523	101138732	+	1000	550.0
46_28	chr11	65900270	65900473	+	1000	545.0
46_29	chr21	36430094	36430310	+	1000	542.0
46_30	chr13	110965382	110965594	+	1000	537.0
46_31	chr7	129958735	129958956	+	1000	536.0
46_32	chr12	51884711	51884923	+	1000	535.0
46_33	chr4	72112627	72112833	+	1000	532.0
46_34	chr1	2180387	2180590	+	1000	527.0
46_35	chr4	174681913	174682124	+	1000	527.0
46_36	chr11	65915809	65916015	+	1000	526.0
46_37	chr8	630963	631165	+	1000	525.0
46_38	chr4	8336529	8336749	+	1000	521.0
46_39	chr16	15590973	15591185	+	1000	520.0
46_40	chr3	36958020	36958238	+	1000	519.0
46_41	chr2	157261372	157261587	+	1000	518.0
46_42	chr3	5428981	5429193	+	1000	517.0
46_43	chrM	1599	1808	+	1000	514.0
46_44	chr15	58332234	58332456	+	1000	510.0
46_45	chr19	48326004	48326221	+	1000	505.0
46_46	chr6	44966830	44967036	+	1000	504.0
46_47	chr1	172933926	172934174	+	1000	503.0
46_48	chr1	234975166	234975413	+	1000	501.0
46_49	chr19	38544064	38544283	+	1000	501.0
46_50	chr11	43920743	43920959	+	1000	498.0
46_51	chr2	172552878	172553084	+	1000	498.0
46_52	chr9	122402472	122402676	+	1000	498.0
46_53	chr9	121287106	121287310	+	1000	495.0
46_54	chr13	93290618	93290820	+	1000	492.0
46_55	chr11	66021088	66021303	+	1000	491.0
46_56	chr11	5280653	5280865	+	1000	488.0
46_57	chr1	36386543	36386774	+	1000	486.0
46_58	chr16	9047870	9048092	+	1000	486.0
46_59	chr1	15260694	15260929	+	1000	483.0
46_60	chr4	1043700	1043906	+	1000	481.0
46_61	chr5	175517953	175518165	+	1000	481.0
46_62	chr5	126884416	126884646	+	1000	476.0
46_63	chr1	31471625	31471838	+	1000	474.0
46_64	chr1	151311638	151311853	+	1000	473.0
46_65	chr15	92803956	92804198	+	1000	470.0
46_66	chr20	62088575	62088790	+	1000	470.0
46_67	chr6	43798923	43799153	+	1000	470.0
46_68	chr3	195716073	195716282	+	1000	469.0
46_69	chr9	120876479	120876687	+	1000	469.0
46_70	chr18	31738977	31739184	+	1000	468.0
46_71	chr6	157515091	157515296	+	1000	468.0
46_72	chr6	30769653	30769854	+	1000	467.0
46_73	chr7	151039374	151039603	+	1000	466.0
46_74	chr15	35557543	35557779	+	1000	464.0
46_75	chr10	72320768	72320995	+	1000	463.0
46_76	chr6	90369067	90369279	+	1000	463.0
46_77	chr1	15795155	15795392	+	1000	462.0
46_78	chr1	173355268	173355493	+	1000	461.0
46_79	chr18	3603500	3603721	+	1000	461.0
46_80	chr1	108016504	108016713	+	1000	460.0
46_81	chr1	110477204	110477437	+	1000	458.0
46_82	chr1	207024400	207024620	+	1000	456.0
46_83	chr15	96273717	96273935	+	1000	455.0
46_84	chr16	46390438	46390760	+	1000	455.0
46_85	chr3	197031500	197031713	+	1000	455.0
46_86	chr6	14744052	14744256	+	1000	455.0
46_87	chr10	74021325	74021552	+	1000	453.0
46_88	chr16	12613718	12613928	+	1000	452.0
46_89	chr8	90187767	90187972	+	1000	452.0
46_90	chr10	72097813	72098015	+	1000	451.0
46_91	chr1	14437047	14437271	+	1000	450.0
46_92	chr11	65906680	65906892	+	1000	450.0
46_93	chr1	233973027	233973231	+	1000	448.0
46_94	chr9	128307281	128307482	+	1000	448.0
46_95	chr9	108094282	108094485	+	1000	447.0
46_96	chr1	27542533	27542751	+	1000	446.0
46_97	chr12	57520639	57520859	+	1000	446.0
