#PeakID	chr	start	end	strand	idrScore	count
99_0	chrM	12446	12646	+	1000	1921.0
99_1	chrM	3065	3316	+	1000	1792.0
99_2	chrM	14983	15224	+	1000	1771.0
99_3	chrM	5	207	+	1000	1759.0
99_4	chrM	9733	9956	+	1000	1739.0
99_5	chrM	13741	13985	+	1000	1716.0
99_6	chrM	11137	11342	+	1000	1645.0
99_7	chrM	6196	6397	+	1000	1626.0
99_8	chrM	5285	5492	+	1000	1546.0
99_9	chr16	46390590	46390811	+	1000	1467.0
99_10	chrM	7990	8239	+	1000	1399.0
99_11	chrM	4847	5054	+	1000	1390.0
99_12	chrM	7131	7333	+	1000	941.0
99_13	chrUn_KI270438v1	109329	109529	+	1000	889.0
99_14	chr16	46394708	46394908	+	1000	845.0
99_15	chr16	34587974	34588177	+	1000	822.0
99_16	chr1	125180085	125180285	+	1000	802.0
99_17	chr16	46387832	46388032	+	1000	770.0
99_18	chrUn_KI270438v1	104011	104212	+	1000	767.0
99_19	chr16	46398818	46399018	+	1000	706.0
99_20	chr16	46389626	46389832	+	1000	682.0
99_21	chr11	66421682	66421906	+	1000	627.0
99_22	chrUn_KI270438v1	104625	104996	+	1000	607.0
99_23	chr16	46386331	46386532	+	1000	577.0
99_24	chr16	34586733	34586933	+	1000	563.0
99_25	chr16	34582316	34582520	+	1000	559.0
99_26	chr16	46401334	46401580	+	1000	519.0
99_27	chrUn_KI270438v1	112038	112240	+	1000	506.0
99_28	chr3	93470397	93470602	+	1000	499.0
99_29	chr16	34587139	34587373	+	1000	428.0
99_30	chr16	34585875	34586110	+	1000	412.0
99_31	chr16	46400027	46400230	+	1000	403.0
99_32	chr17	26603798	26603998	+	1000	398.0
99_33	chr16	34592641	34592842	+	1000	390.0
99_34	chr12	131576798	131577006	+	1000	374.0
99_35	chr16	34594954	34595162	+	1000	374.0
99_36	chr16	46388635	46388836	+	1000	366.0
99_37	chr1	143264581	143264790	+	1000	361.0
99_38	chr17	26885689	26885891	+	1000	344.0
99_39	chr17	25920108	25920309	+	1000	341.0
99_40	chr1	143185063	143185264	+	1000	336.0
99_41	chr22	21629174	21629432	+	1000	327.0
99_42	chrUn_GL000224v1	3749	3971	+	1000	322.0
99_43	chr16	34583059	34583260	+	1000	321.0
99_44	chr16	34584633	34584835	+	1000	318.0
99_45	chr2	90390645	90390845	+	1000	307.0
99_46	chr16	34574206	34574416	+	1000	303.0
99_47	chr17	26619928	26620136	+	1000	302.0
99_48	chr5	49601480	49601684	+	1000	299.0
99_49	chr16	34573000	34573236	+	1000	293.0
99_50	chr16	46400773	46400984	+	1000	280.0
99_51	chr2	90398512	90398758	+	1000	280.0
99_52	chr16	34593300	34593514	+	1000	270.0
99_53	chrUn_GL000216v2	333	626	+	1000	270.0
99_54	chr19	49987199	49987408	+	1000	267.0
99_55	chr16	34583584	34583792	+	1000	257.0
99_56	chr1	143266359	143266576	+	1000	255.0
