#PeakID(python identify_motif.py ./ENCODE_processed_files/ETS1_idr.fa ETS1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
503_1000	chr7	45111542	45111942	+	1000	123.0	[7.896186, 10.150553]	[105, 136]	[11.455031]	[155]	[45111737, 45111768]	[45111787]
503_10000	chr13	39037759	39038159	+	1000	43.0	[7.0065327]	[153]	[]	[]	[39037947]	[]
503_10003	chr14	20413332	20413732	+	1000	43.0	[9.92478]	[64]	[]	[]	[20413487]	[]
503_10008	chr14	75126868	75127268	+	1000	43.0	[9.467575]	[101]	[10.947011]	[120]	[75127065]	[75127084]
503_1001	chr7	99504448	99504848	+	1000	123.0	[]	[]	[6.4371176]	[112]	[]	[99504650]
503_10010	chr14	77760980	77761380	+	1000	43.0	[7.6478944]	[140]	[]	[]	[77761191]	[]
503_10011	chr15	36579361	36579761	+	1000	43.0	[]	[]	[8.830775]	[112]	[]	[36579539]
503_10016	chr15	75578620	75579020	+	1000	43.0	[]	[]	[6.924771]	[159]	[]	[75578846]
503_10020	chr15	89087849	89088249	+	1000	43.0	[]	[]	[6.4858923]	[166]	[]	[89088084]
503_10025	chr16	3059156	3059556	+	1000	43.0	[8.503526]	[129]	[]	[]	[3059326]	[]
503_10030	chr16	21953171	21953571	+	1000	43.0	[]	[]	[6.406941]	[98]	[]	[21953352]
503_1005	chr1	32013686	32014086	+	1000	122.0	[]	[]	[14.393928]	[86]	[]	[32013854]
503_10056	chr17	42751001	42751401	+	1000	43.0	[7.753163]	[60]	[]	[]	[42751155]	[]
503_1006	chr1	35930928	35931328	+	1000	122.0	[]	[]	[9.975595, 11.580525]	[82, 169]	[]	[35931084, 35931171]
503_10069	chr17	76383167	76383567	+	1000	43.0	[7.5145535]	[179]	[]	[]	[76383416]	[]
503_1007	chr10	61765548	61765948	+	1000	122.0	[]	[]	[12.327155]	[67]	[]	[61765714]
503_10070	chr17	77372847	77373247	+	1000	43.0	[]	[]	[8.303927]	[131]	[]	[77373036]
503_10080	chr18	47150343	47150743	+	1000	43.0	[11.455031]	[100]	[9.326159]	[147]	[47150514]	[47150561]
503_1009	chr12	56041620	56042020	+	1000	122.0	[10.327956]	[134]	[]	[]	[56041844]	[]
503_10091	chr19	12365244	12365644	+	1000	43.0	[]	[]	[6.8936343]	[212]	[]	[12365464]
503_10097	chr19	19146000	19146400	+	704	43.0	[14.901949]	[78]	[]	[]	[19146177]	[]
503_1010	chr15	82849523	82849923	+	1000	122.0	[9.834179]	[125]	[]	[]	[82849747]	[]
503_10100	chr19	39403736	39404136	+	1000	43.0	[7.4008026]	[175]	[]	[]	[39403953]	[]
503_10103	chr19	45717361	45717761	+	1000	43.0	[9.92478]	[113]	[]	[]	[45717551]	[]
503_10107	chr19	52095552	52095952	+	1000	43.0	[8.372218]	[181]	[9.975595]	[169]	[52095766]	[52095754]
503_10109	chr2	27663266	27663666	+	1000	43.0	[8.819032]	[103]	[]	[]	[27663457]	[]
503_10119	chr2	200811712	200812112	+	1000	43.0	[]	[]	[9.933497, 6.4858923]	[111, 141]	[]	[200811910, 200811940]
503_1012	chr16	8797616	8798016	+	1000	122.0	[11.405568]	[140]	[6.4371176]	[146]	[8797816]	[8797822]
503_10121	chr2	230712550	230712950	+	1000	43.0	[]	[]	[6.406941]	[99]	[]	[230712748]
503_10129	chr20	33992948	33993348	+	1000	43.0	[]	[]	[7.5145535]	[135]	[]	[33993120]
503_10131	chr20	39049972	39050372	+	1000	43.0	[6.8936343]	[143]	[11.405568]	[186]	[39050170]	[39050213]
503_10134	chr20	64038931	64039331	+	1000	43.0	[]	[]	[12.327155]	[105]	[]	[64039094]
503_10135	chr21	9767603	9768003	+	1000	43.0	[]	[]	[10.421151, 7.099728]	[124, 130]	[]	[9767795, 9767801]
503_1014	chr19	5719976	5720376	+	1000	122.0	[]	[]	[11.343102]	[106]	[]	[5720169]
503_10149	chr22	21693426	21693826	+	1000	43.0	[]	[]	[6.4371176]	[126]	[]	[21693613]
503_1016	chr19	13774222	13774622	+	1000	122.0	[]	[]	[9.1897955, 7.7851515]	[124, 155]	[]	[13774426, 13774457]
503_1017	chr19	14006906	14007306	+	1000	122.0	[8.311011]	[94]	[]	[]	[14007089]	[]
503_10173	chr3	5023249	5023649	+	1000	43.0	[]	[]	[6.406941]	[110]	[]	[5023424]
503_10174	chr3	11642645	11643045	+	1000	43.0	[10.897183]	[118]	[]	[]	[11642863]	[]
503_10175	chr3	43621757	43622157	+	1000	43.0	[8.00715]	[190]	[]	[]	[43621961]	[]
503_1018	chr2	71130434	71130834	+	1000	122.0	[]	[]	[9.467575]	[78]	[]	[71130608]
503_10193	chr4	126850286	126850686	+	1000	43.0	[]	[]	[10.310211]	[115]	[]	[126850460]
503_10200	chr5	149632366	149632766	+	1000	43.0	[8.880239]	[166]	[8.445345]	[103]	[149632581]	[149632518]
503_10218	chr6	41027973	41028373	+	1000	43.0	[9.1897955]	[135]	[]	[]	[41028196]	[]
503_1022	chr3	10320933	10321333	+	1000	122.0	[]	[]	[12.885004]	[85]	[]	[10321118]
503_10220	chr6	69796617	69797017	+	1000	43.0	[6.406941]	[173]	[]	[]	[69796867]	[]
503_10223	chr6	129767197	129767597	+	1000	43.0	[9.1897955]	[83]	[]	[]	[129767352]	[]
503_10229	chr6	158536029	158536429	+	1000	43.0	[6.406941]	[56]	[]	[]	[158536180]	[]
503_1023	chr6	28080732	28081132	+	1000	122.0	[14.901949]	[114]	[]	[]	[28080933]	[]
503_10231	chr7	471789	472189	+	1000	43.0	[7.4008026]	[96]	[10.150553]	[103]	[471967]	[471974]
503_10233	chr7	10973680	10974080	+	1000	43.0	[]	[]	[8.638506, 7.937324]	[122, 139]	[]	[10973872, 10973889]
503_10236	chr7	66922050	66922450	+	1000	43.0	[]	[]	[8.404206]	[141]	[]	[66922212]
503_10256	chr8	81686062	81686462	+	1000	43.0	[]	[]	[6.780644, 7.5145535]	[120, 160]	[]	[81686265, 81686305]
503_10259	chr8	143948428	143948828	+	1000	43.0	[]	[]	[10.897183]	[129]	[]	[143948590]
503_10266	chr9	113221027	113221427	+	1000	43.0	[8.76831]	[80]	[]	[]	[113221204]	[]
503_10268	chr9	129139937	129140337	+	1000	43.0	[]	[]	[9.80219]	[179]	[]	[129140159]
503_10270	chr9	130863356	130863756	+	1000	43.0	[6.892782]	[136]	[]	[]	[130863569]	[]
503_10279	chrX	47836569	47836969	+	1000	43.0	[]	[]	[7.891876]	[118]	[]	[47836765]
503_10283	chrX	68498773	68499173	+	1000	43.0	[8.423885]	[130]	[]	[]	[68498996]	[]
503_10295	chr1	12549128	12549528	+	1000	42.0	[]	[]	[8.123926]	[131]	[]	[12549325]
503_103	chr1	179882530	179882930	+	1000	267.0	[6.406941]	[65]	[9.933497]	[142]	[179882691]	[179882768]
503_1030	chr9	127451253	127451653	+	1000	122.0	[12.376983]	[80]	[]	[]	[127451406]	[]
503_10312	chr1	53889582	53889982	+	1000	42.0	[11.455031, 6.9121566]	[112, 119]	[]	[]	[53889793, 53889800]	[]
503_10313	chr1	61079871	61080271	+	1000	42.0	[10.320872]	[139]	[]	[]	[61080070]	[]
503_10319	chr1	154496979	154497379	+	1000	42.0	[8.880239]	[111]	[8.123926]	[129]	[154497161]	[154497179]
503_10322	chr1	165828839	165829239	+	1000	42.0	[6.615002]	[77]	[]	[]	[165828991]	[]
