#PeakID	chr	start	end	strand	idrScore	count
120_0	chrM	12459	12735	+	1000	798.0
120_1	chrM	44	285	+	1000	779.0
120_2	chrM	9887	10170	+	1000	774.0
120_3	chrM	13691	13908	+	1000	769.0
120_4	chrM	3144	3446	+	1000	767.0
120_5	chrM	11075	11281	+	1000	762.0
120_6	chrM	10572	10855	+	1000	757.0
120_7	chrM	14987	15312	+	1000	748.0
120_8	chr3	93470431	93470777	+	1000	747.0
120_9	chr5	138465013	138465214	+	1000	710.0
120_10	chrM	11795	12015	+	1000	700.0
120_11	chr17	45317188	45317393	+	1000	689.0
120_12	chrM	5326	5529	+	1000	637.0
120_13	chrM	6364	6597	+	1000	595.0
120_14	chr19	12793525	12793732	+	1000	592.0
120_15	chr19	49665768	49665971	+	1000	566.0
120_16	chr14	75294161	75294386	+	1000	555.0
120_17	chr6	15895835	15896036	+	1000	536.0
120_18	chr19	597706	597914	+	1000	486.0
120_19	chr11	77047668	77047874	+	1000	481.0
120_20	chrM	8033	8236	+	1000	478.0
120_21	chr19	16185118	16185321	+	1000	471.0
120_22	chr16	46390446	46390714	+	1000	467.0
120_23	chrUn_KI270467v1	2227	2518	+	1000	456.0
120_24	chrEBV	7943	8149	+	1000	455.0
120_25	chr7	157307950	157308152	+	1000	400.0
120_26	chrM	9155	9430	+	1000	392.0
120_27	chr7	106774828	106775039	+	1000	387.0
120_28	chr22	19479153	19479380	+	1000	380.0
120_29	chr5	126514159	126514361	+	1000	374.0
120_30	chr19	13151790	13152011	+	1000	366.0
120_31	chr9	33165833	33166040	+	1000	360.0
120_32	chr5	140261423	140261626	+	1000	358.0
120_33	chrUn_KI270466v1	919	1125	+	1000	354.0
120_34	chr3	9792684	9792893	+	1000	352.0
120_35	chr16	46394708	46394981	+	1000	349.0
120_36	chr5	120512901	120513108	+	1000	347.0
120_37	chr11	46700593	46700801	+	1000	338.0
120_38	chrEBV	8953	9171	+	1000	336.0
120_39	chr15	90648650	90648851	+	1000	334.0
120_40	chr7	131072080	131072297	+	1000	331.0
120_41	chr9	131125466	131125686	+	1000	331.0
120_42	chrM	7117	7355	+	1000	327.0
120_43	chr10	62816629	62816852	+	1000	321.0
120_44	chr11	62105187	62105391	+	1000	320.0
120_45	chr19	50374812	50375013	+	1000	301.0
120_46	chr22	20858802	20859003	+	1000	291.0
120_47	chr1	159077258	159077464	+	1000	289.0
120_48	chr1	150579563	150579785	+	1000	280.0
120_49	chr3	45062060	45062269	+	1000	277.0
120_50	chr22	20507456	20507658	+	1000	275.0
120_51	chr16	34586719	34587018	+	1000	274.0
120_52	chr19	8389831	8390042	+	1000	260.0
120_53	chr15	23565511	23565719	+	1000	259.0
120_54	chr10	47336745	47336948	+	1000	258.0
120_55	chr11	96243268	96243471	+	1000	255.0
120_56	chr8	42412909	42413115	+	1000	253.0
120_57	chr12	12353889	12354091	+	1000	246.0
120_58	chr16	46388659	46388864	+	1000	246.0
120_59	chr19	40420892	40421099	+	1000	246.0
120_60	chr16	34582124	34582326	+	1000	241.0
120_61	chr12	50222619	50222820	+	1000	234.0
120_62	chr5	138492083	138492289	+	1000	234.0
