#PeakID(python identify_motif.py ./ENCODE_processed_files/SRF_idr.fa SRF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
49_100	chr1	151539501	151539901	+	1000	1016.0	[7.407259, 11.844076]	[93, 125]	[7.0321693, 8.562728]	[93, 125]	[151539693, 151539725]	[151539693, 151539725]
49_10019	chr7	129423671	129424071	+	1000	74.0	[7.562104]	[173]	[7.728707]	[173]	[129423904]	[129423904]
49_1002	chr1	225882240	225882640	+	1000	260.0	[3.7564287]	[100]	[2.9697142]	[100]	[225882423]	[225882423]
49_10023	chr8	22672950	22673350	+	1000	74.0	[]	[]	[5.264582]	[167]	[]	[22673199]
49_1004	chr21	43921911	43922311	+	1000	260.0	[9.68026, 3.4554012]	[60, 98]	[13.033171, 6.433223]	[60, 98]	[43922068, 43922106]	[43922068, 43922106]
49_10050	chr1	1778769	1779169	+	1000	73.0	[]	[]	[2.775511]	[110]	[]	[1778971]
49_1006	chr3	8560732	8561132	+	1000	260.0	[8.562728]	[102]	[11.844076]	[102]	[8560928]	[8560928]
49_10075	chr1	165631782	165632182	+	1000	73.0	[2.972681]	[126]	[4.5568156]	[126]	[165631972]	[165631972]
49_1009	chr7	32501043	32501443	+	1000	260.0	[3.4554012]	[96]	[6.433223]	[96]	[32501237]	[32501237]
49_10099	chr10	73968084	73968484	+	1000	73.0	[13.033171]	[145]	[9.68026]	[145]	[73968308]	[73968308]
49_1011	chr12	103859006	103859406	+	1000	259.0	[12.74905]	[115]	[12.51038]	[115]	[103859209]	[103859209]
49_10119	chr11	100876851	100877251	+	1000	73.0	[9.68026]	[102]	[13.033171]	[102]	[100877045]	[100877045]
49_1014	chr7	108294602	108295002	+	1000	259.0	[3.4554012, 6.353051]	[118, 159]	[6.433223, 6.516847]	[118, 159]	[108294810, 108294851]	[108294810, 108294851]
49_10143	chr15	64695479	64695879	+	1000	73.0	[4.4246125]	[76]	[2.466425]	[76]	[64695630]	[64695630]
49_10145	chr15	75694132	75694532	+	1000	73.0	[2.4444578]	[147]	[4.2870903]	[147]	[75694352]	[75694352]
49_1015	chr15	58182339	58182739	+	1000	258.0	[10.9407625]	[86]	[8.668092]	[86]	[58182524]	[58182524]
49_10153	chr16	56519880	56520280	+	1000	73.0	[2.4444578]	[120]	[4.7906027]	[120]	[56520088]	[56520088]
49_10155	chr16	68023115	68023515	+	1000	73.0	[3.0887716]	[244]	[2.9691098]	[244]	[68023362]	[68023362]
49_10160	chr16	84116153	84116553	+	1000	73.0	[5.2784643]	[115]	[2.39857]	[115]	[84116361]	[84116361]
49_1017	chr3	14651346	14651746	+	1000	258.0	[8.969119]	[71]	[7.4772544]	[71]	[14651507]	[14651507]
49_1022	chr6	31083979	31084379	+	1000	257.0	[8.668092]	[136]	[10.9407625]	[136]	[31084209]	[31084209]
49_10221	chr2	74530384	74530784	+	1000	73.0	[5.0922184]	[141]	[]	[]	[74530608]	[]
49_10261	chr3	193853407	193853807	+	1000	73.0	[5.3894005]	[209]	[]	[]	[193853651]	[]
49_1029	chr18	44724184	44724584	+	1000	256.0	[11.315852]	[106]	[8.293002]	[106]	[44724387]	[44724387]
49_103	chr11	65900437	65900837	+	1000	1003.0	[12.51038]	[102]	[12.74905]	[102]	[65900638]	[65900638]
49_1031	chr2	206159650	206160050	+	1000	256.0	[11.844076]	[124]	[8.562728]	[124]	[206159864]	[206159864]
49_10317	chr7	149146892	149147292	+	1000	73.0	[3.3025098]	[156]	[]	[]	[149147122]	[]
49_1032	chr1	9910954	9911354	+	1000	255.0	[6.103162]	[95]	[3.7854621]	[95]	[9911135]	[9911135]
49_10331	chr8	116444853	116445253	+	1000	73.0	[2.7693167, 6.516847]	[98, 123]	[6.353051]	[123]	[116445046, 116445071]	[116445071]
49_10332	chr8	141055011	141055411	+	1000	73.0	[17.54071]	[92]	[14.892951]	[92]	[141055197]	[141055197]
49_10333	chr8	141397518	141397918	+	1000	73.0	[10.9407625]	[105]	[8.668092]	[105]	[141397714]	[141397714]
49_1034	chr7	88218108	88218508	+	1000	255.0	[9.1245775]	[121]	[8.419427]	[121]	[88218322]	[88218322]
49_1035	chr1	26123403	26123803	+	1000	254.0	[2.3926923]	[111]	[4.492142]	[111]	[26123601]	[26123601]
49_10355	chrX	47560913	47561313	+	1000	73.0	[7.7082863]	[201]	[3.5686607]	[201]	[47561120]	[47561120]
49_10375	chr1	61132088	61132488	+	1000	72.0	[12.201596]	[96]	[12.576686]	[96]	[61132281]	[61132281]
49_10399	chr1	201149388	201149788	+	1000	72.0	[6.287725, 5.685446]	[76, 132]	[5.84601, 6.3750186]	[76, 132]	[201149560, 201149616]	[201149560, 201149616]
49_104	chr11	96243168	96243568	+	1000	1002.0	[2.9981432]	[92]	[6.222219]	[92]	[96243360]	[96243360]
