#PeakID	chr	start	end	strand	idrScore	count
964_0	chrM	9879	10167	+	1000	1260.0
964_1	chrM	15658	15957	+	1000	1252.0
964_2	chrM	167	367	+	1000	1228.0
964_3	chrM	3131	3395	+	1000	1219.0
964_4	chrM	13786	14015	+	1000	1214.0
964_5	chrM	10601	10815	+	1000	1212.0
964_6	chrM	11165	11407	+	1000	1208.0
964_7	chrM	2528	2806	+	1000	1156.0
964_8	chr22	20117296	20117539	+	1000	1122.0
964_9	chr22	21735892	21736100	+	1000	1105.0
964_10	chr3	93470483	93470683	+	1000	1103.0
964_11	chrM	6367	6571	+	1000	1041.0
964_12	chr1	26472858	26473072	+	1000	945.0
964_13	chrM	7923	8123	+	1000	937.0
964_14	chr7	100428137	100428345	+	1000	936.0
964_15	chr11	63671471	63671684	+	1000	912.0
964_16	chr9	131125315	131125516	+	1000	902.0
964_17	chrM	8445	8645	+	1000	875.0
964_18	chr5	180072135	180072337	+	1000	850.0
964_19	chrM	4841	5137	+	1000	838.0
964_20	chr22	20079878	20080082	+	1000	835.0
964_21	chr7	148884578	148884779	+	1000	804.0
964_22	chrM	5374	5680	+	1000	801.0
964_23	chr16	46390440	46390649	+	1000	798.0
964_24	chr6	31739757	31740016	+	1000	792.0
964_25	chr11	59144707	59144907	+	1000	777.0
964_26	chr17	59565347	59565554	+	1000	775.0
964_27	chr12	110502190	110502391	+	1000	748.0
964_28	chr22	20495673	20495885	+	1000	742.0
964_29	chr19	10569161	10569378	+	1000	738.0
964_30	chr2	168890350	168890551	+	1000	718.0
964_31	chr2	10122392	10122641	+	1000	708.0
964_32	chr6	30717210	30717470	+	1000	708.0
964_33	chr3	45065176	45065389	+	1000	703.0
964_34	chr11	33161583	33161795	+	1000	699.0
964_35	chr11	67483213	67483442	+	1000	694.0
964_36	chr8	123396524	123396803	+	1000	688.0
964_37	chr17	49678238	49678469	+	1000	682.0
964_38	chr6	31834462	31834679	+	1000	670.0
964_39	chr6	37169714	37169916	+	1000	667.0
964_40	chr1	10430347	10430568	+	1000	658.0
964_41	chr1	27914798	27915027	+	1000	657.0
964_42	chr6	27894411	27894614	+	1000	645.0
964_43	chr13	91347598	91347820	+	1000	639.0
964_44	chr3	160449890	160450104	+	1000	638.0
964_45	chr6	20401727	20401927	+	1000	633.0
964_46	chr3	149086608	149086818	+	1000	632.0
964_47	chr16	30052919	30053124	+	1000	630.0
964_48	chr12	98516487	98516706	+	1000	627.0
964_49	chr7	158704657	158704865	+	1000	624.0
964_50	chr1	46247615	46247816	+	1000	616.0
964_51	chr22	21629167	21629422	+	1000	616.0
964_52	chr17	75785119	75785320	+	1000	614.0
964_53	chr3	10026335	10026536	+	1000	611.0
964_54	chr20	37095975	37096189	+	1000	608.0
964_55	chrM	7045	7245	+	1000	600.0
964_56	chr16	46394562	46394904	+	1000	597.0
964_57	chr22	19479802	19480005	+	1000	596.0
964_58	chr4	173334558	173334776	+	1000	596.0
964_59	chr7	143287992	143288200	+	1000	595.0
964_60	chr1	33036998	33037203	+	1000	594.0
964_61	chr19	10836497	10836756	+	1000	593.0
964_62	chr1	28518497	28518702	+	1000	591.0
964_63	chr17	63848842	63849062	+	1000	591.0
964_64	chr6	52284780	52284992	+	1000	584.0
964_65	chr4	1712545	1712786	+	1000	583.0
964_66	chr19	55503707	55503910	+	1000	577.0
964_67	chr22	21001638	21001933	+	1000	576.0
964_68	chr8	47960693	47960977	+	1000	576.0
964_69	chrUn_KI270467v1	2232	2449	+	1000	572.0
964_70	chr17	78187046	78187246	+	1000	560.0
964_71	chr4	67722178	67722391	+	1000	559.0
964_72	chr6	146887553	146887755	+	1000	558.0
964_73	chr15	90648335	90648561	+	1000	552.0
964_74	chr1	32650912	32651172	+	1000	550.0
964_75	chr1	212035627	212035854	+	1000	549.0
964_76	chr12	49130723	49130929	+	1000	546.0
964_77	chr17	58007530	58007744	+	1000	546.0
964_78	chr19	12919136	12919375	+	1000	546.0
964_79	chr6	26032061	26032265	+	1000	546.0
964_80	chr13	113584484	113584685	+	1000	543.0
