#PeakID(python identify_motif.py ./ENCODE_processed_files/ELK1_idr.fa ELK1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
120_1006	chr7	78019705	78020105	+	1000	62.0	[]	[]	[14.663861]	[129]	[]	[78019922]
120_1008	chr8	144413393	144413793	+	1000	62.0	[12.6155815]	[106]	[]	[]	[144413594]	[]
120_101	chr21	33380595	33380995	+	1000	167.0	[8.898363]	[91]	[6.1561913]	[121]	[33380785]	[33380815]
120_1012	chr1	11797799	11798199	+	1000	61.0	[]	[]	[7.682986]	[114]	[]	[11798002]
120_1013	chr1	31938203	31938603	+	1000	61.0	[7.8849635]	[64]	[]	[]	[31938364]	[]
120_1022	chr17	75046826	75047226	+	1000	61.0	[13.550472]	[149]	[6.771575]	[146]	[75047063]	[75047060]
120_103	chr19	34251649	34252049	+	1000	165.0	[5.97259]	[68]	[7.5894604]	[118]	[34251810]	[34251860]
120_1031	chr3	3126725	3127125	+	1000	61.0	[12.6155815]	[122]	[]	[]	[3126942]	[]
120_1032	chr3	13451696	13452096	+	1000	61.0	[12.6155815, 16.446117]	[108, 139]	[]	[]	[13451875, 13451906]	[]
120_1033	chr3	170343708	170344108	+	1000	61.0	[]	[]	[10.702384]	[108]	[]	[170343895]
120_1034	chr4	67721755	67722155	+	1000	61.0	[]	[]	[7.806739]	[153]	[]	[67721964]
120_1036	chr5	1633824	1634224	+	1000	61.0	[]	[]	[12.6155815]	[117]	[]	[1634010]
120_1038	chr6	30781841	30782241	+	1000	61.0	[]	[]	[7.353675, 14.663861]	[102, 173]	[]	[30782014, 30782085]
120_1046	chr1	90763497	90763897	+	1000	60.0	[]	[]	[7.806739]	[133]	[]	[90763719]
120_1049	chr1	153958548	153958948	+	1000	60.0	[7.0684943]	[107]	[]	[]	[153958746]	[]
120_1050	chr10	45000715	45001115	+	1000	60.0	[]	[]	[14.663861]	[134]	[]	[45000923]
120_1051	chr11	236755	237155	+	1000	60.0	[14.663861]	[132]	[10.946643]	[149]	[236963]	[236980]
120_1053	chr13	76991847	76992247	+	1000	60.0	[13.550472]	[160]	[]	[]	[76992075]	[]
120_1054	chr15	58770750	58771150	+	1000	60.0	[6.2644196]	[176]	[]	[]	[58770994]	[]
120_1055	chr16	14630067	14630467	+	1000	60.0	[7.0684943]	[93]	[13.550472]	[90]	[14630252]	[14630249]
120_1058	chr17	46922873	46923273	+	1000	60.0	[13.681358, 8.181883, 11.616154]	[136, 143, 150]	[]	[]	[46923107, 46923114, 46923121]	[]
120_106	chr6	151229258	151229658	+	1000	162.0	[7.806739]	[69]	[]	[]	[151229426]	[]
120_1068	chr2	32165567	32165967	+	1000	60.0	[7.1501074, 5.5428443]	[110, 117]	[]	[]	[32165760, 32165767]	[]
120_1077	chr3	52287848	52288248	+	1000	60.0	[10.946643]	[135]	[14.663861]	[107]	[52288060]	[52288032]
120_1078	chr3	119498258	119498658	+	1000	60.0	[16.446117]	[115]	[12.6155815]	[69]	[119498470]	[119498424]
120_108	chr7	12747802	12748202	+	1000	160.0	[]	[]	[7.806739]	[102]	[]	[12748003]
120_1083	chr6	99394022	99394422	+	1000	60.0	[]	[]	[7.7027783]	[100]	[]	[99394201]
