#PeakID(python identify_motif.py ./ENCODE_processed_files/ETV6_idr.fa ETV6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
418_100	chr2	216109170	216109570	+	1000	293.0	[9.940348, 8.119915]	[102, 135]	[]	[]	[216109368, 216109401]	[]
418_10000	chr1	167935280	167935680	+	860	33.0	[6.9452558]	[136]	[]	[]	[167935500]	[]
418_1003	chr1	12448806	12449206	+	1000	92.0	[]	[]	[10.77997]	[82]	[]	[12448963]
418_10030	chr1	240576206	240576606	+	1000	33.0	[10.77997]	[108]	[7.881745, 7.772714]	[83, 156]	[240576393]	[240576368, 240576441]
418_10033	chr1	245986517	245986917	+	1000	33.0	[10.77997]	[130]	[]	[]	[245986671]	[]
418_10034	chr1	247111699	247112099	+	561	33.0	[12.8385725]	[185]	[]	[]	[247111932]	[]
418_10037	chr10	5933953	5934353	+	1000	33.0	[]	[]	[7.881745]	[130]	[]	[5934155]
418_10040	chr10	15439512	15439912	+	1000	33.0	[9.831317, 9.058782]	[148, 157]	[]	[]	[15439696, 15439705]	[]
418_10043	chr10	22666457	22666857	+	989	33.0	[]	[]	[6.933092]	[156]	[]	[22666685]
418_10049	chr10	49164518	49164918	+	1000	33.0	[]	[]	[8.371923]	[153]	[]	[49164730]
418_10055	chr10	73785272	73785672	+	1000	33.0	[]	[]	[7.881745, 6.9452558]	[60, 135]	[]	[73785427, 73785502]
418_10063	chr10	88986565	88986965	+	699	33.0	[10.77997, 10.77997, 10.77997, 10.77997]	[96, 112, 144, 160]	[]	[]	[88986717, 88986733, 88986765, 88986781]	[]
418_10069	chr10	117241842	117242242	+	931	33.0	[]	[]	[6.9452558]	[110]	[]	[117242034]
418_1009	chr1	236762472	236762872	+	1000	92.0	[12.8385725]	[103]	[]	[]	[236762665]	[]
418_10093	chr11	78574528	78574928	+	975	33.0	[]	[]	[9.058782]	[83]	[]	[78574683]
418_10097	chr11	118359422	118359822	+	893	33.0	[12.8385725]	[150]	[12.8385725]	[128]	[118359609]	[118359587]
418_101	chr3	4741457	4741857	+	1000	292.0	[12.8385725]	[68]	[8.371923]	[63]	[4741622]	[4741617]
418_10100	chr11	126268730	126269130	+	1000	33.0	[9.831317]	[98]	[12.8385725]	[117]	[126268907]	[126268926]
418_10107	chr12	47834679	47835079	+	800	33.0	[10.77997]	[136]	[]	[]	[47834839]	[]
418_1011	chr10	71638741	71639141	+	1000	92.0	[9.058782]	[67]	[]	[]	[71638904]	[]
418_1012	chr12	54304316	54304716	+	1000	92.0	[]	[]	[7.881745]	[126]	[]	[54304538]
418_10122	chr12	108561266	108561666	+	929	33.0	[10.77997]	[113]	[]	[]	[108561433]	[]
418_10127	chr12	121794250	121794650	+	962	33.0	[]	[]	[8.371923]	[98]	[]	[121794412]
418_10132	chr13	20993540	20993940	+	602	33.0	[9.058782]	[104]	[7.881745]	[111]	[20993711]	[20993718]
418_10133	chr13	41004815	41005215	+	1000	33.0	[7.881745]	[147]	[]	[]	[41005031]	[]
418_10139	chr14	49999162	49999562	+	981	33.0	[10.77997]	[124]	[]	[]	[49999386]	[]
418_10143	chr14	69701888	69702288	+	1000	33.0	[7.772714]	[150]	[]	[]	[69702124]	[]
418_1015	chr16	3008045	3008445	+	1000	92.0	[]	[]	[10.77997, 9.058782]	[111, 142]	[]	[3008201, 3008232]
418_10159	chr15	69452632	69453032	+	903	33.0	[7.881745]	[150]	[8.371923]	[143]	[69452858]	[69452851]
418_10164	chr15	85047153	85047553	+	1000	33.0	[10.77997]	[97]	[7.772714]	[159]	[85047313]	[85047375]
418_10165	chr15	90241492	90241892	+	1000	33.0	[]	[]	[7.881745]	[142]	[]	[90241669]
418_10166	chr16	370459	370859	+	1000	33.0	[]	[]	[6.933092]	[144]	[]	[370692]
418_10169	chr16	19804794	19805194	+	1000	33.0	[]	[]	[7.881745]	[118]	[]	[19804989]
418_1017	chr2	54570891	54571291	+	1000	92.0	[9.058782]	[114]	[]	[]	[54571103]	[]
418_10171	chr16	30787034	30787434	+	938	33.0	[10.77997]	[118]	[]	[]	[30787199]	[]
418_10182	chr16	79869449	79869849	+	1000	33.0	[]	[]	[9.058782]	[108]	[]	[79869614]
418_10186	chr16	81738820	81739220	+	1000	33.0	[7.881745]	[174]	[]	[]	[81739069]	[]
418_1019	chr2	170247986	170248386	+	1000	92.0	[8.371923, 10.77997]	[165, 182]	[8.371923]	[160]	[170248218, 170248235]	[170248213]
418_10195	chr17	1717343	1717743	+	793	33.0	[]	[]	[10.77997]	[185]	[]	[1717564]
418_10196	chr17	8382992	8383392	+	834	33.0	[]	[]	[9.940348]	[156]	[]	[8383205]
418_10198	chr17	27294868	27295268	+	1000	33.0	[8.119915]	[97]	[]	[]	[27295041]	[]
418_102	chr22	31630315	31630715	+	1000	289.0	[10.77997]	[137]	[9.058782, 9.058782, 9.058782]	[63, 81, 99]	[31630549]	[31630475, 31630493, 31630511]
418_10203	chr17	38591803	38592203	+	570	33.0	[]	[]	[7.881745]	[136]	[]	[38592038]
418_10214	chr17	49742244	49742644	+	812	33.0	[10.77997]	[169]	[]	[]	[49742482]	[]
418_10228	chr18	3446642	3447042	+	1000	33.0	[8.755716]	[170]	[]	[]	[3446852]	[]
418_10231	chr18	9914967	9915367	+	1000	33.0	[]	[]	[7.881745]	[152]	[]	[9915129]
418_10232	chr18	11851153	11851553	+	1000	33.0	[10.77997]	[187]	[8.371923]	[115]	[11851401]	[11851329]
418_10235	chr18	35290203	35290603	+	990	33.0	[]	[]	[7.0784545]	[144]	[]	[35290425]
418_10237	chr19	1017377	1017777	+	664	33.0	[7.881745]	[174]	[]	[]	[1017625]	[]
418_10242	chr19	10402419	10402819	+	1000	33.0	[9.940348]	[111]	[7.772714]	[130]	[10402598]	[10402617]
418_10245	chr19	13162891	13163291	+	1000	33.0	[]	[]	[8.755716]	[171]	[]	[13163112]
418_10247	chr19	16542259	16542659	+	979	33.0	[9.940348, 12.8385725]	[121, 132]	[9.940348, 6.681529]	[176, 189]	[16542437, 16542448]	[16542492, 16542505]
418_10249	chr19	18341182	18341582	+	940	33.0	[]	[]	[12.8385725]	[184]	[]	[18341424]
418_10250	chr19	19366790	19367190	+	1000	33.0	[12.8385725]	[57]	[]	[]	[19366945]	[]
418_10253	chr19	39480571	39480971	+	1000	33.0	[]	[]	[9.940348]	[143]	[]	[39480749]
418_10257	chr19	45642130	45642530	+	1000	33.0	[]	[]	[8.755716]	[94]	[]	[45642319]
418_10268	chr19	52725573	52725973	+	950	33.0	[]	[]	[12.8385725]	[107]	[]	[52725755]
418_1027	chr7	101856412	101856812	+	1000	92.0	[]	[]	[7.881745]	[109]	[]	[101856601]
418_10284	chr2	61017016	61017416	+	1000	33.0	[]	[]	[8.371923]	[80]	[]	[61017192]
418_10285	chr2	64523941	64524341	+	1000	33.0	[10.77997]	[142]	[]	[]	[64524127]	[]
418_10290	chr2	71130383	71130783	+	571	33.0	[7.0784545]	[85]	[6.666218, 6.933092]	[89, 138]	[71130555]	[71130559, 71130608]
418_10295	chr2	102634707	102635107	+	1000	33.0	[]	[]	[10.77997]	[162]	[]	[102634921]
418_10296	chr2	111884102	111884502	+	929	33.0	[]	[]	[8.371923]	[168]	[]	[111884297]
418_1030	chr9	87516246	87516646	+	1000	92.0	[]	[]	[9.058782]	[112]	[]	[87516445]
