#PeakID(python identify_motif.py ./ENCODE_processed_files/ETV6_idr.fa ETV6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
418_10	chr1	206673206	206673606	+	1000	671.0	[]	[]	[9.058782]	[109]	[]	[206673396]
418_10001	chr1	168287089	168287489	+	1000	33.0	[]	[]	[7.772714]	[164]	[]	[168287283]
418_10015	chr1	205263604	205264004	+	1000	33.0	[]	[]	[7.881745]	[121]	[]	[205263807]
418_1002	chrX	1478187	1478587	+	1000	93.0	[10.77997]	[131]	[]	[]	[1478414]	[]
418_10020	chr1	210374026	210374426	+	907	33.0	[9.831317]	[88]	[]	[]	[210374213]	[]
418_10024	chr1	223143250	223143650	+	1000	33.0	[]	[]	[8.755716]	[148]	[]	[223143427]
418_10045	chr10	28822629	28823029	+	1000	33.0	[]	[]	[7.881745]	[109]	[]	[28822820]
418_10053	chr10	69408492	69408892	+	734	33.0	[]	[]	[9.940348]	[140]	[]	[69408705]
418_1006	chr1	150611464	150611864	+	1000	92.0	[9.058782]	[113]	[]	[]	[150611674]	[]
418_10065	chr10	92829176	92829576	+	994	33.0	[8.755716, 7.881745]	[71, 109]	[]	[]	[92829339, 92829377]	[]
418_1007	chr1	201578325	201578725	+	1000	92.0	[8.755716]	[117]	[]	[]	[201578539]	[]
418_10073	chr11	11841625	11842025	+	849	33.0	[]	[]	[6.8263144]	[155]	[]	[11841866]
418_10074	chr11	12666914	12667314	+	880	33.0	[10.77997]	[127]	[]	[]	[12667127]	[]
418_1008	chr1	235296696	235297096	+	1000	92.0	[]	[]	[10.77997]	[90]	[]	[235296871]
418_10084	chr11	62467722	62468122	+	1000	33.0	[]	[]	[10.77997]	[133]	[]	[62467923]
418_10086	chr11	63574443	63574843	+	1000	33.0	[]	[]	[8.371923]	[64]	[]	[63574599]
418_10088	chr11	69962265	69962665	+	799	33.0	[]	[]	[10.77997, 8.371923]	[57, 68]	[]	[69962416, 69962427]
418_10089	chr11	74460848	74461248	+	541	33.0	[7.772714]	[189]	[]	[]	[74461090]	[]
418_10092	chr11	78039922	78040322	+	1000	33.0	[]	[]	[12.8385725]	[165]	[]	[78040122]
418_10096	chr11	117946872	117947272	+	829	33.0	[9.058782]	[73]	[]	[]	[117947024]	[]
418_1010	chr10	14181246	14181646	+	1000	92.0	[9.940348]	[125]	[]	[]	[14181445]	[]
418_10102	chr12	6167844	6168244	+	852	33.0	[]	[]	[8.371923]	[132]	[]	[6168052]
418_10112	chr12	53441085	53441485	+	1000	33.0	[]	[]	[8.119915]	[158]	[]	[53441269]
418_10116	chr12	57111153	57111553	+	1000	33.0	[]	[]	[6.933092]	[168]	[]	[57111371]
418_10118	chr12	71440835	71441235	+	1000	33.0	[9.058782]	[158]	[]	[]	[71441037]	[]
