#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F1_idr.fa NR2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
504_100	chr3	49158103	49158503	+	1000	604.5	[12.247973, 11.108711]	[127, 133]	[]	[]	[49158319, 49158325]	[]
504_10008	chr1	203321076	203321476	+	928	73.0	[11.876825]	[205]	[]	[]	[203321302]	[]
504_10009	chr1	207020934	207021334	+	1000	73.0	[10.737563]	[114]	[]	[]	[207021123]	[]
504_10010	chr1	212620938	212621338	+	567	73.0	[]	[]	[10.737563]	[103]	[]	[212621134]
504_1002	chr19	633023	633423	+	1000	288.5	[10.737563, 12.247973]	[91, 125]	[]	[]	[633202, 633236]	[]
504_1004	chr7	27071630	27072030	+	1000	288.5	[11.108711, 8.79676]	[82, 93]	[]	[]	[27071795, 27071806]	[]
504_10050	chr20	760930	761330	+	1000	73.0	[6.0331016]	[145]	[]	[]	[761164]	[]
504_10070	chr7	526583	526983	+	1000	73.0	[]	[]	[6.0948906]	[206]	[]	[526786]
504_10072	chr7	55142930	55143330	+	985	73.0	[10.737563]	[84]	[]	[]	[55143091]	[]
504_10081	chr1	921004	921404	+	1000	72.5	[]	[]	[11.876825]	[112]	[]	[921188]
504_10083	chr1	34866239	34866639	+	1000	72.5	[12.247973]	[144]	[8.580908]	[112]	[34866475]	[34866443]
504_10086	chr1	44294694	44295094	+	1000	72.5	[]	[]	[11.108711]	[83]	[]	[44294861]
504_1009	chr8	19322095	19322495	+	1000	288.0	[8.580908]	[102]	[11.108711]	[85]	[19322292]	[19322275]
504_10104	chr11	64322854	64323254	+	1000	72.5	[10.737563, 11.876825, 12.247973]	[180, 223, 235]	[]	[]	[64323033, 64323076, 64323088]	[]
504_1011	chr6	170554156	170554556	+	1000	287.5	[6.0331016]	[126]	[]	[]	[170554372]	[]
504_10116	chr16	68244993	68245393	+	1000	72.5	[]	[]	[6.0331016]	[182]	[]	[68245232]
504_10117	chr17	36601724	36602124	+	1000	72.5	[]	[]	[8.580908, 6.0331016, 10.737563]	[212, 223, 253]	[]	[36601933, 36601944, 36601974]
504_1013	chr11	46554131	46554531	+	1000	287.0	[8.580908]	[121]	[6.4042497, 6.0331016]	[79, 87]	[46554334]	[46554292, 46554300]
504_10132	chr2	131092704	131093104	+	693	72.5	[]	[]	[10.737563, 6.4042497]	[153, 159]	[]	[131092930, 131092936]
504_10152	chr5	42586510	42586910	+	1000	72.5	[]	[]	[11.876825]	[220]	[]	[42586746]
504_10174	chr1	155001830	155002230	+	1000	72.0	[]	[]	[11.108711]	[133]	[]	[155002032]
504_10186	chr11	70424119	70424519	+	1000	72.0	[5.7237425]	[127]	[5.7237425]	[153]	[70424312]	[70424338]
504_1019	chr6	135306745	135307145	+	1000	286.5	[11.108711]	[113]	[]	[]	[135306940]	[]
504_10192	chr14	33941738	33942138	+	1000	72.0	[12.247973, 5.7237425]	[130, 140]	[]	[]	[33941965, 33941975]	[]
504_102	chr4	95289214	95289614	+	1000	603.0	[]	[]	[8.79676, 11.108711]	[123, 134]	[]	[95289431, 95289442]
504_10203	chr17	79993549	79993949	+	1000	72.0	[]	[]	[11.876825]	[226]	[]	[79993732]
504_1021	chr1	212034962	212035362	+	1000	286.0	[10.737563]	[161]	[]	[]	[212035188]	[]
504_10216	chr2	64049698	64050098	+	1000	72.0	[]	[]	[12.247973]	[159]	[]	[64049851]
504_10217	chr2	101625375	101625775	+	1000	72.0	[]	[]	[8.79676]	[215]	[]	[101625592]
504_10219	chr2	158317702	158318102	+	1000	72.0	[]	[]	[8.580908]	[93]	[]	[158317887]
504_10222	chr20	63552975	63553375	+	1000	72.0	[]	[]	[10.737563]	[191]	[]	[63553136]
504_10224	chr21	43768439	43768839	+	959	72.0	[5.7237425]	[116]	[]	[]	[43768591]	[]
504_10252	chr7	2530155	2530555	+	1000	72.0	[]	[]	[11.876825]	[210]	[]	[2530379]
504_10288	chr14	63453349	63453749	+	1000	71.5	[]	[]	[11.876825]	[234]	[]	[63453596]
504_103	chr7	130494476	130494876	+	1000	601.0	[11.108711]	[117]	[11.876825]	[92]	[130494677]	[130494652]
504_1030	chr16	90168729	90169129	+	1000	285.5	[11.876825, 11.876825]	[92, 141]	[]	[]	[90168919, 90168968]	[]
504_10303	chr16	30060780	30061180	+	1000	71.5	[12.247973]	[120]	[]	[]	[30060981]	[]
504_10307	chr17	50209511	50209911	+	1000	71.5	[]	[]	[7.441646]	[197]	[]	[50209756]
504_10308	chr17	58379433	58379833	+	1000	71.5	[]	[]	[10.737563]	[176]	[]	[58379650]
504_10311	chr18	79259215	79259615	+	1000	71.5	[7.6574984]	[137]	[]	[]	[79259408]	[]
504_10312	chr19	4575316	4575716	+	686	71.5	[10.737563]	[144]	[]	[]	[4575528]	[]
504_10320	chr2	207784964	207785364	+	1000	71.5	[11.108711]	[143]	[]	[]	[207785190]	[]
504_10322	chr20	34990781	34991181	+	1000	71.5	[10.737563]	[146]	[11.876825, 12.247973]	[115, 122]	[34991003]	[34990972, 34990979]
504_10325	chr22	20509262	20509662	+	1000	71.5	[]	[]	[8.79676]	[158]	[]	[20509462]
504_1033	chr11	61890858	61891258	+	1000	285.0	[11.876825, 12.247973]	[97, 104]	[]	[]	[61891046, 61891053]	[]
504_10332	chr4	70901810	70902210	+	1000	71.5	[]	[]	[11.876825]	[229]	[]	[70902055]
504_1034	chr12	67269090	67269490	+	1000	285.0	[]	[]	[12.247973]	[105]	[]	[67269289]
504_1035	chr2	157899180	157899580	+	1000	285.0	[]	[]	[12.247973]	[118]	[]	[157899376]
504_10351	chr7	55554087	55554487	+	883	71.5	[12.247973]	[149]	[]	[]	[55554274]	[]
504_10352	chr7	99309138	99309538	+	1000	71.5	[5.7237425]	[129]	[]	[]	[99309353]	[]
504_10356	chr7	151058251	151058651	+	1000	71.5	[]	[]	[10.737563, 11.876825, 5.7237425]	[78, 117, 136]	[]	[151058422, 151058461, 151058480]
504_10364	chr1	6523666	6524066	+	1000	71.0	[]	[]	[12.247973]	[168]	[]	[6523853]
504_10388	chr10	73886959	73887359	+	1000	71.0	[11.876825]	[117]	[]	[]	[73887162]	[]
504_10389	chr10	93106632	93107032	+	1000	71.0	[5.9149733]	[167]	[]	[]	[93106876]	[]
504_1039	chr18	55663779	55664179	+	1000	284.5	[]	[]	[5.7237425]	[192]	[]	[55663990]
504_10390	chr11	2811119	2811519	+	1000	71.0	[]	[]	[11.876825]	[115]	[]	[2811308]
504_10406	chr14	77301013	77301413	+	1000	71.0	[]	[]	[10.737563]	[86]	[]	[77301179]
504_1041	chr21	45318827	45319227	+	1000	284.5	[12.247973]	[99]	[]	[]	[45319020]	[]
504_10411	chr15	90863076	90863476	+	1000	71.0	[11.876825]	[123]	[]	[]	[90863240]	[]
504_1042	chr3	12405726	12406126	+	1000	284.5	[]	[]	[11.876825]	[272]	[]	[12405973]
504_10424	chr18	12062896	12063296	+	1000	71.0	[12.247973]	[103]	[]	[]	[12063049]	[]
504_10452	chr3	71006838	71007238	+	1000	71.0	[]	[]	[11.876825]	[100]	[]	[71007036]
504_10457	chr4	159398367	159398767	+	1000	71.0	[12.247973]	[147]	[]	[]	[159398604]	[]
504_1046	chr18	62526285	62526685	+	1000	283.5	[]	[]	[11.876825, 12.247973]	[81, 117]	[]	[62526465, 62526501]
504_10473	chr8	128149996	128150396	+	885	71.0	[]	[]	[11.108711]	[154]	[]	[128150242]
504_10474	chr9	94734126	94734526	+	1000	71.0	[12.247973]	[161]	[]	[]	[94734371]	[]
504_1048	chr11	95144356	95144756	+	1000	283.0	[7.6574984]	[125]	[11.108711]	[110]	[95144577]	[95144562]
504_10494	chr10	60073471	60073871	+	1000	70.5	[]	[]	[11.108711]	[209]	[]	[60073709]
504_10497	chr10	132421313	132421713	+	1000	70.5	[11.876825, 8.580908]	[106, 111]	[]	[]	[132421504, 132421509]	[]
504_105	chr4	78732551	78732951	+	1000	599.0	[12.247973]	[146]	[]	[]	[78732774]	[]
504_1050	chr3	97910892	97911292	+	1000	283.0	[12.247973]	[138]	[]	[]	[97911123]	[]
504_10509	chr15	88467530	88467930	+	914	70.5	[10.737563]	[112]	[]	[]	[88467702]	[]
504_10516	chr16	89489425	89489825	+	992	70.5	[7.441646, 6.0331016]	[134, 141]	[]	[]	[89489632, 89489639]	[]
504_10518	chr19	3500442	3500842	+	1000	70.5	[]	[]	[6.0948906]	[233]	[]	[3500682]
504_10520	chr19	50728269	50728669	+	1000	70.5	[7.441646]	[203]	[]	[]	[50728501]	[]
504_10527	chr2	100013853	100014253	+	1000	70.5	[]	[]	[11.876825]	[135]	[]	[100014060]
504_10532	chr20	62208563	62208963	+	1000	70.5	[]	[]	[11.108711, 10.737563, 7.6574984]	[107, 139, 161]	[]	[62208750, 62208782, 62208804]
504_10536	chr22	23182833	23183233	+	1000	70.5	[]	[]	[11.108711]	[95]	[]	[23183011]
504_10545	chr4	144021563	144021963	+	1000	70.5	[11.876825]	[81]	[]	[]	[144021732]	[]
504_10554	chr5	150777601	150778001	+	1000	70.5	[11.876825]	[142]	[11.876825]	[156]	[150777817]	[150777831]
504_10563	chr7	44979878	44980278	+	1000	70.5	[12.247973]	[234]	[]	[]	[44980051]	[]
504_10576	chr9	86282097	86282497	+	1000	70.5	[]	[]	[11.876825]	[247]	[]	[86282310]
504_10581	chr1	2193409	2193809	+	947	70.0	[]	[]	[12.247973]	[103]	[]	[2193567]
504_10586	chr1	26500719	26501119	+	1000	70.0	[]	[]	[5.7237425]	[165]	[]	[26500907]
504_10587	chr1	38246834	38247234	+	1000	70.0	[11.108711]	[130]	[]	[]	[38247050]	[]
504_10589	chr1	110964099	110964499	+	1000	70.0	[10.737563]	[290]	[]	[]	[110964300]	[]
504_10597	chr11	34599800	34600200	+	1000	70.0	[8.79676]	[187]	[]	[]	[34599996]	[]
504_10601	chr11	120124881	120125281	+	1000	70.0	[]	[]	[11.876825]	[140]	[]	[120125092]
504_10602	chr11	129611865	129612265	+	1000	70.0	[12.247973, 11.876825]	[153, 164]	[]	[]	[129612047, 129612058]	[]
504_10605	chr12	57460682	57461082	+	1000	70.0	[]	[]	[11.108711, 11.876825]	[125, 133]	[]	[57460895, 57460903]
504_10606	chr12	64619141	64619541	+	619	70.0	[]	[]	[8.79676]	[150]	[]	[64619364]
504_10609	chr12	102425219	102425619	+	1000	70.0	[12.247973]	[99]	[]	[]	[102425394]	[]
504_1061	chr17	28173061	28173461	+	1000	281.0	[]	[]	[7.6574984]	[228]	[]	[28173310]
504_10616	chr15	52717931	52718331	+	1000	70.0	[]	[]	[12.247973]	[90]	[]	[52718115]
504_10618	chr15	84929934	84930334	+	1000	70.0	[7.6574984]	[84]	[5.7237425]	[74]	[84930100]	[84930090]
504_1062	chr18	1002606	1003006	+	1000	281.0	[]	[]	[11.876825]	[101]	[]	[1002805]
504_10625	chr17	43170735	43171135	+	1000	70.0	[12.247973]	[117]	[]	[]	[43170941]	[]
